surface	working_meaning_de	composition	strongest_rival_de	family
eeckhy	Arzneikompositum trocken in Grundform	LEARNED_EECKHY_WHOLE	Arzneikompositum vollständig bereiten und abschließen	COMPOSITE
kchokchy	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	ACTION
dalar	erste Fraktion Rohdroge I abmessen	D_MEASURE+AL_RAW_I+AR_FRACTION_I	abgemessene Rohstoff-I-Fraktion	MEASURE
alchdy	Rohdroge I trocknen und fertigstellen	AL_RAW_I+CH_DRY+DY_FINISHED	fertig getrockneter Rohstoff I	ACTION
sh	einweichen	SH_MOIST	angefeuchtete Droge	ACTION
psheedy	Pulver vollständig einweichen und fertigstellen	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	fertiges vollständig angefeuchtetes Pulverpräparat	POWDER
tchar	erste Fraktion kalt trocknen	T_COLD+CH_DRY+AR_FRACTION_I	erste kalt getrocknete Fraktion	FRACTION
shedaiin	drei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	eingeweichte Droge auf Dosisstufe III	MEASURE
olkair	zweite Fraktion erhitzter Holzdroge im Ansatz	O_PREP+L_WOOD+K_HOT+AIR_FRACTION_II	heißes Drogenmaterial der Fraktion II	FRACTION
sary	erste Saatgutfraktion abschließen	S_SEED+AR_FRACTION_I+Y_START_OR_CLOSE	Saatgut der ersten Fraktion in Grundform	SEED
dals	eine Charge Rohdroge I abmessen	D_MEASURE+AL_RAW_I+S_TERM_SPECIES	abgemessene Rohstoff-I-Species	MEASURE
ckhody	Arzneikompositum ansetzen und fertigstellen	CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiger Arzneikompositum-Ansatz	COMPOSITE
lkeol	Holzdrogenstoff bis zur Mittelstufe erhitzen	L_WOOD+K_HOT+E_MIDDLE+OL_MATERIAL	mäßig erhitzter Holzdrogenauszug	WOOD
shokol	eingeweichten Ansatz erhitzen und als Drogenstoff erneut ansetzen	SH_MOIST+O_PREP+K_HOT+OL_MATERIAL	Feuchtansatz als erhitzter Drogenstoff	ACTION
ytchas	kühle und trockne hiervon eine gleiche Charge	Y_REFERENCE+T_COLD+CH_DRY+A_PART_OR_LINK+S_TERM_SPECIES	kalte Trockencharge dieser Droge	ACTION
oeees	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	lange bereitete Arzneispecies	PREPARATION
