event_id	source_position_id	page	record	statement_id	locus	silent_owner_de	surface	card_no	component_parse	literal_card_reading_de	practical_clause_de	composition_status	purpose_section	copy_status
E026	SRC_E026	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	otol	PROC021	OT+OL	danach · fortsetzen	danach fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E027	SRC_E027	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	chol	PROC013	OL	fortsetzen	fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E028	SRC_E028	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	cholor	PROC022	OL+OR	fortsetzen · Ansatz	fortsetzen Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E029	SRC_E029	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	chol	PROC013	OL	fortsetzen	fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E030	SRC_E030	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E031	SRC_E031	f10r	H2	H2-S002	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	dar	PROC003	AR	von dort	von dort	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E032	SRC_E032	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	oykchor	PROC023	O+Y+K+OR	Arbeitsgang · dies · zuführen · Ansatz	Arbeitsgang dies zuführen Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E033	SRC_E033	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	shor	PROC016	OR	Ansatz	Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E034	SRC_E034	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	chor	PROC016	OR	Ansatz	Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E035	SRC_E035	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	chy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E036	SRC_E036	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	kaiiin	PROC024	K+IIN	zuführen · Sollstufe	zuführen Sollstufe	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E037	SRC_E037	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	dy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E038	SRC_E038	f10r	H2	H2-S003	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	chodaiin	PROC025	CH+O+AIIN	abziehen · Arbeitsgang · Maß	abziehen Arbeitsgang Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E039	SRC_E039	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	tshol	PROC026	T+SH+OL	eintragen · halten · fortsetzen	eintragen halten fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E040	SRC_E040	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	schoal	PROC027	SH+O+AL	halten · Arbeitsgang · Zielstelle	halten Arbeitsgang Zielstelle	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E041	SRC_E041	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	cfhy	PROC028	CFH+Y	auswringen · dies	auswringen dies	PARTIAL_WITH_LEARNED_ATOM	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E042	SRC_E042	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	shfydaiin	PROC029	SH+Y+AIIN	halten · dies · Maß	halten dies Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E043	SRC_E043	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	cphy	PROC030	P+Y	hinein · dies	hinein dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E044	SRC_E044	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	shey	PROC031	SH+EE+Y	halten · länger · dies	halten länger dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E045	SRC_E045	f11r	H3	H3-S001	f11r.1	abgebildete dicht blau blühende Kronenpflanze	tchody	PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	eintragen abziehen Arbeitsgang; schließen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E046	SRC_E046	f11r	H3	H3-S002	f11r.1	abgebildete dicht blau blühende Kronenpflanze	shoyty	PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dies · eintragen · dies	halten Arbeitsgang dies eintragen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E047	SRC_E047	f11r	H3	H3-S003	f11r.4	abgebildete dicht blau blühende Kronenpflanze	dchol	PROC034	OL	fortsetzen	fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E048	SRC_E048	f11r	H3	H3-S003	f11r.4	abgebildete dicht blau blühende Kronenpflanze	chy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E049	SRC_E049	f11r	H3	H3-S003	f11r.4	abgebildete dicht blau blühende Kronenpflanze	kchy	PROC035	K+Y	zuführen · dies	zuführen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E050	SRC_E050	f11r	H3	H3-S003	f11r.4	abgebildete dicht blau blühende Kronenpflanze	dy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E051	SRC_E051	f11r	H3	H3-S003	f11r.4	abgebildete dicht blau blühende Kronenpflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E052	SRC_E052	f11r	H3	H3-S004	f11r.7	abgebildete dicht blau blühende Kronenpflanze	qotchy	PROC036	OT+Y	danach · dies	danach dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E053	SRC_E053	f11r	H3	H3-S004	f11r.7	abgebildete dicht blau blühende Kronenpflanze	okchol	PROC037	OK+OL	ansetzen · fortsetzen	ansetzen fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E054	SRC_E054	f11r	H3	H3-S004	f11r.7	abgebildete dicht blau blühende Kronenpflanze	cthy	PROC014	CTH+Y	bereit · dies	bereit dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E055	SRC_E055	f11r	H3	H3-S004	f11r.7	abgebildete dicht blau blühende Kronenpflanze	dy	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E056	SRC_E056	f55v	H4	H4-S001	f55v.5	abgebildete breitblättrige rispige Pflanze	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	ansetzen Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E057	SRC_E057	f55v	H4	H4-S001	f55v.5	abgebildete breitblättrige rispige Pflanze	chaiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E058	SRC_E058	f55v	H4	H4-S001	f55v.5	abgebildete breitblättrige rispige Pflanze	ykain	PROC039	Y+K+AIN	dies · zuführen · Portion	dies zuführen Portion	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E059	SRC_E059	f55v	H4	H4-S001	f55v.5	abgebildete breitblättrige rispige Pflanze	ykan	PROC040	Y+K+AIN	dies · zuführen · Portion	dies zuführen Portion	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E060	SRC_E060	f55v	H4	H4-S001	f55v.5	abgebildete breitblättrige rispige Pflanze	ody	PROC041	O+DY	Arbeitsgang · Schluss	Arbeitsgang; schließen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E061	SRC_E061	f55v	H4	H4-S002	f55v.5	abgebildete breitblättrige rispige Pflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E062	SRC_E062	f55v	H4	H4-S002	f55v.5	abgebildete breitblättrige rispige Pflanze	chedy	PROC042	CHD+Y	umsetzen · dies	umsetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E063	SRC_E063	f55v	H4	H4-S002	f55v.5	abgebildete breitblättrige rispige Pflanze	talam	PROC043	TALAM	verwahren	verwahren	LEARNED_WHOLE_CARD	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E064	SRC_E064	f55v	H4	H4-S003	f55v.11	abgebildete breitblättrige rispige Pflanze	ykaiin	PROC044	Y+K+AIIN	dies · zuführen · Maß	dies zuführen Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E065	SRC_E065	f55v	H4	H4-S003	f55v.11	abgebildete breitblättrige rispige Pflanze	cheoar	PROC045	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	abziehen kurz Arbeitsgang von dort	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E066	SRC_E066	f55v	H4	H4-S003	f55v.11	abgebildete breitblättrige rispige Pflanze	cheeky	PROC046	CHK+EE+Y	wärmen · länger · dies	wärmen länger dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E067	SRC_E067	f55v	H4	H4-S003	f55v.11	abgebildete breitblättrige rispige Pflanze	oldy	PROC047	OL+DY	fortsetzen · Schluss	fortsetzen; schließen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E068	SRC_E068	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	aiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E069	SRC_E069	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	okal	PROC048	OK+AL	ansetzen · Zielstelle	ansetzen Zielstelle	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E070	SRC_E070	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	oltchy	PROC049	OL+T+Y	fortsetzen · eintragen · dies	fortsetzen eintragen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E071	SRC_E071	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	or	PROC016	OR	Ansatz	Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E072	SRC_E072	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	y	PROC019	Y	dies	dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E073	SRC_E073	f55v	H4	H4-S004	f55v.11	abgebildete breitblättrige rispige Pflanze	orain	PROC050	OR+AIN	Ansatz · Portion	Ansatz Portion	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E074	SRC_E074	f56r	H5	H5-S001	f56r.5	abgebildete mehrköpfige stachelige Pflanze	chochor	PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	Gabe abziehen Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E075	SRC_E075	f56r	H5	H5-S001	f56r.5	abgebildete mehrköpfige stachelige Pflanze	cho	PROC052	HO	Gabe	Gabe	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E076	SRC_E076	f56r	H5	H5-S001	f56r.5	abgebildete mehrköpfige stachelige Pflanze	chodaly	PROC053	HO+AL+Y	Gabe · Zielstelle · dies	Gabe Zielstelle dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E077	SRC_E077	f56r	H5	H5-S001	f56r.5	abgebildete mehrköpfige stachelige Pflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E078	SRC_E078	f56r	H5	H5-S001	f56r.7	abgebildete mehrköpfige stachelige Pflanze	sho	PROC052	HO	Gabe	Gabe	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E079	SRC_E079	f56r	H5	H5-S001	f56r.7	abgebildete mehrköpfige stachelige Pflanze	kchol	PROC054	K+OL	zuführen · fortsetzen	zuführen fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E080	SRC_E080	f56r	H5	H5-S001	f56r.7	abgebildete mehrköpfige stachelige Pflanze	otchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	danach abziehen Ansatz	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E081	SRC_E081	f56r	H5	H5-S001	f56r.7	abgebildete mehrköpfige stachelige Pflanze	choky	PROC008	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E082	SRC_E082	f56r	H5	H5-S001	f56r.7	abgebildete mehrköpfige stachelige Pflanze	dal	PROC055	AL	Zielstelle	Zielstelle	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E083	SRC_E083	f56r	H5	H5-S002	f56r.8	abgebildete mehrköpfige stachelige Pflanze	schol	PROC034	OL	fortsetzen	fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E084	SRC_E084	f56r	H5	H5-S002	f56r.8	abgebildete mehrköpfige stachelige Pflanze	choy	PROC056	HO+Y	Gabe · dies	Gabe dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E085	SRC_E085	f56r	H5	H5-S002	f56r.8	abgebildete mehrköpfige stachelige Pflanze	choky	PROC008	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E086	SRC_E086	f56r	H5	H5-S002	f56r.8	abgebildete mehrköpfige stachelige Pflanze	cheeckhody	PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	abziehen länger Durchlass Arbeitsgang; schließen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E087	SRC_E087	f56r	H5	H5-S003	f56r.12	abgebildete mehrköpfige stachelige Pflanze	sh	PROC058	SH	halten	halten	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E088	SRC_E088	f56r	H5	H5-S003	f56r.12	abgebildete mehrköpfige stachelige Pflanze	cho	PROC052	HO	Gabe	Gabe	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E089	SRC_E089	f56r	H5	H5-S003	f56r.12	abgebildete mehrköpfige stachelige Pflanze	kchey	PROC059	K+E+Y	zuführen · kurz · dies	zuführen kurz dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E090	SRC_E090	f56r	H5	H5-S003	f56r.12	abgebildete mehrköpfige stachelige Pflanze	qokokchy	PROC060	OK+OK+Y	ansetzen · ansetzen · dies	ansetzen ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E091	SRC_E091	f56r	H5	H5-S004	f56r.13	abgebildete mehrköpfige stachelige Pflanze	okchy	PROC011	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E092	SRC_E092	f56r	H5	H5-S004	f56r.13	abgebildete mehrköpfige stachelige Pflanze	chokcheo	PROC061	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	ansetzen abziehen kurz Arbeitsgang	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E093	SRC_E093	f56r	H5	H5-S004	f56r.13	abgebildete mehrköpfige stachelige Pflanze	kchal	PROC062	K+AL	zuführen · Zielstelle	zuführen Zielstelle	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E094	SRC_E094	f56r	H5	H5-S005	f56r.18	abgebildete mehrköpfige stachelige Pflanze	sho	PROC052	HO	Gabe	Gabe	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E095	SRC_E095	f56r	H5	H5-S005	f56r.18	abgebildete mehrköpfige stachelige Pflanze	chokchy	PROC011	OK+Y	ansetzen · dies	ansetzen dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E096	SRC_E096	f56r	H5	H5-S005	f56r.18	abgebildete mehrköpfige stachelige Pflanze	kchoar	PROC063	K+HO+AR	zuführen · Gabe · von dort	zuführen Gabe von dort	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E097	SRC_E097	f56r	H5	H5-S005	f56r.18	abgebildete mehrköpfige stachelige Pflanze	sotodan	PROC064	OT+O+AIN	danach · Arbeitsgang · Portion	danach Arbeitsgang Portion	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E098	SRC_E098	f56r	H5	H5-S006	f56r.19	abgebildete mehrköpfige stachelige Pflanze	otchey	PROC065	OT+Y	danach · dies	danach dies	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E099	SRC_E099	f56r	H5	H5-S006	f56r.19	abgebildete mehrköpfige stachelige Pflanze	keol	PROC066	K+E+OL	zuführen · kurz · fortsetzen	zuführen kurz fortsetzen	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E100	SRC_E100	f56r	H5	H5-S006	f56r.19	abgebildete mehrköpfige stachelige Pflanze	daiin	PROC009	AIIN	Maß	Maß	COMPOSITIONAL	PLANT_MATERIAL_ARTICLE	ONE_VISIBLE_ONE_SOURCE
E101	SRC_E101	f81v	B1	B1-S001	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	qokedy	PROC067	OK+E+DY	ansetzen · kurz · Schluss	ansetzen kurz; schließen	COMPOSITIONAL	WET_WORKSHOP_STATION	ONE_VISIBLE_ONE_SOURCE
