group_serial	source_position_id	page	diagram_id	locus	event_index_within_locus	opaque_local_id	local_namespace	local_image_owner	literal_group_reading_de	practical_almanac_expansion_de	purpose_section	orientation	crosspage_join	prose_card_import
14	ASTRO_A1:G014	f67r2	A1	f67r2.6	1	A1:G014	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_06	Etikettsegment 1 am lokalen Bildplatz	f67r2.6: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
15	ASTRO_A1:G015	f67r2	A1	f67r2.7	1	A1:G015	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	Etikettsegment 1 am lokalen Bildplatz	f67r2.7: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
16	ASTRO_A1:G016	f67r2	A1	f67r2.7	2	A1:G016	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	Etikettsegment 2 am lokalen Bildplatz	f67r2.7: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
17	ASTRO_A1:G017	f67r2	A1	f67r2.7	3	A1:G017	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	Etikettsegment 3 am lokalen Bildplatz	f67r2.7: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
18	ASTRO_A1:G018	f67r2	A1	f67r2.8	1	A1:G018	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_08	Etikettsegment 1 am lokalen Bildplatz	f67r2.8: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
19	ASTRO_A1:G019	f67r2	A1	f67r2.9	1	A1:G019	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	Etikettsegment 1 am lokalen Bildplatz	f67r2.9: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
20	ASTRO_A1:G020	f67r2	A1	f67r2.9	2	A1:G020	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	Etikettsegment 2 am lokalen Bildplatz	f67r2.9: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
21	ASTRO_A1:G021	f67r2	A1	f67r2.10	1	A1:G021	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	Etikettsegment 1 am lokalen Bildplatz	f67r2.10: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
22	ASTRO_A1:G022	f67r2	A1	f67r2.10	2	A1:G022	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	Etikettsegment 2 am lokalen Bildplatz	f67r2.10: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
23	ASTRO_A1:G023	f67r2	A1	f67r2.10	3	A1:G023	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	Etikettsegment 3 am lokalen Bildplatz	f67r2.10: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
24	ASTRO_A1:G024	f67r2	A1	f67r2.11	1	A1:G024	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	Etikettsegment 1 am lokalen Bildplatz	f67r2.11: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
25	ASTRO_A1:G025	f67r2	A1	f67r2.11	2	A1:G025	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	Etikettsegment 2 am lokalen Bildplatz	f67r2.11: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
26	ASTRO_A1:G026	f67r2	A1	f67r2.11	3	A1:G026	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	Etikettsegment 3 am lokalen Bildplatz	f67r2.11: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
27	ASTRO_A1:G027	f67r2	A1	f67r2.12	1	A1:G027	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	Etikettsegment 1 am lokalen Bildplatz	f67r2.12: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
28	ASTRO_A1:G028	f67r2	A1	f67r2.12	2	A1:G028	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	Etikettsegment 2 am lokalen Bildplatz	f67r2.12: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
29	ASTRO_A1:G029	f67r2	A1	f67r2.13	1	A1:G029	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	Etikettsegment 1 am lokalen Bildplatz	f67r2.13: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
30	ASTRO_A1:G030	f67r2	A1	f67r2.13	2	A1:G030	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	Etikettsegment 2 am lokalen Bildplatz	f67r2.13: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
31	ASTRO_A1:G031	f67r2	A1	f67r2.13	3	A1:G031	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	Etikettsegment 3 am lokalen Bildplatz	f67r2.13: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
32	ASTRO_A1:G032	f67r2	A1	f67r2.13	4	A1:G032	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	Etikettsegment 4 am lokalen Bildplatz	f67r2.13: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
33	ASTRO_A1:G033	f67r2	A1	f67r2.14	1	A1:G033	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	Etikettsegment 1 am lokalen Bildplatz	f67r2.14: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
34	ASTRO_A1:G034	f67r2	A1	f67r2.14	2	A1:G034	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	Etikettsegment 2 am lokalen Bildplatz	f67r2.14: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
35	ASTRO_A1:G035	f67r2	A1	f67r2.14	3	A1:G035	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	Etikettsegment 3 am lokalen Bildplatz	f67r2.14: Arbeitswahl nach lokalem Himmelssektor; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
36	ASTRO_A1:G036	f67r2	A1	f67r2.15	1	A1:G036	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_15	Etikettsegment 1 am lokalen Bildplatz	f67r2.15: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
37	ASTRO_A1:G037	f67r2	A1	f67r2.16	1	A1:G037	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	Etikettsegment 1 am lokalen Bildplatz	f67r2.16: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
38	ASTRO_A1:G038	f67r2	A1	f67r2.16	2	A1:G038	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	Etikettsegment 2 am lokalen Bildplatz	f67r2.16: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
39	ASTRO_A1:G039	f67r2	A1	f67r2.16	3	A1:G039	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	Etikettsegment 3 am lokalen Bildplatz	f67r2.16: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
40	ASTRO_A1:G040	f67r2	A1	f67r2.16	4	A1:G040	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	Etikettsegment 4 am lokalen Bildplatz	f67r2.16: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
41	ASTRO_A1:G041	f67r2	A1	f67r2.17	1	A1:G041	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	Etikettsegment 1 am lokalen Bildplatz	f67r2.17: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
42	ASTRO_A1:G042	f67r2	A1	f67r2.17	2	A1:G042	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	Etikettsegment 2 am lokalen Bildplatz	f67r2.17: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
43	ASTRO_A1:G043	f67r2	A1	f67r2.17	3	A1:G043	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	Etikettsegment 3 am lokalen Bildplatz	f67r2.17: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
44	ASTRO_A1:G044	f67r2	A1	f67r2.18	1	A1:G044	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	Etikettsegment 1 am lokalen Bildplatz	f67r2.18: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
45	ASTRO_A1:G045	f67r2	A1	f67r2.18	2	A1:G045	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	Etikettsegment 2 am lokalen Bildplatz	f67r2.18: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
46	ASTRO_A1:G046	f67r2	A1	f67r2.18	3	A1:G046	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	Etikettsegment 3 am lokalen Bildplatz	f67r2.18: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
47	ASTRO_A1:G047	f67r2	A1	f67r2.19	1	A1:G047	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	Etikettsegment 1 am lokalen Bildplatz	f67r2.19: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
48	ASTRO_A1:G048	f67r2	A1	f67r2.19	2	A1:G048	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	Etikettsegment 2 am lokalen Bildplatz	f67r2.19: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
49	ASTRO_A1:G049	f67r2	A1	f67r2.19	3	A1:G049	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	Etikettsegment 3 am lokalen Bildplatz	f67r2.19: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
50	ASTRO_A1:G050	f67r2	A1	f67r2.19	4	A1:G050	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	Etikettsegment 4 am lokalen Bildplatz	f67r2.19: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
51	ASTRO_A1:G051	f67r2	A1	f67r2.20	1	A1:G051	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	Etikettsegment 1 am lokalen Bildplatz	f67r2.20: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
52	ASTRO_A1:G052	f67r2	A1	f67r2.20	2	A1:G052	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	Etikettsegment 2 am lokalen Bildplatz	f67r2.20: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
53	ASTRO_A1:G053	f67r2	A1	f67r2.21	1	A1:G053	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	Etikettsegment 1 am lokalen Bildplatz	f67r2.21: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
54	ASTRO_A1:G054	f67r2	A1	f67r2.21	2	A1:G054	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	Etikettsegment 2 am lokalen Bildplatz	f67r2.21: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
55	ASTRO_A1:G055	f67r2	A1	f67r2.21	3	A1:G055	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	Etikettsegment 3 am lokalen Bildplatz	f67r2.21: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
56	ASTRO_A1:G056	f67r2	A1	f67r2.22	1	A1:G056	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_22	Etikettsegment 1 am lokalen Bildplatz	f67r2.22: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
57	ASTRO_A1:G057	f67r2	A1	f67r2.23	1	A1:G057	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	Etikettsegment 1 am lokalen Bildplatz	f67r2.23: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
58	ASTRO_A1:G058	f67r2	A1	f67r2.23	2	A1:G058	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	Etikettsegment 2 am lokalen Bildplatz	f67r2.23: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
59	ASTRO_A1:G059	f67r2	A1	f67r2.24	1	A1:G059	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	Etikettsegment 1 am lokalen Bildplatz	f67r2.24: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
60	ASTRO_A1:G060	f67r2	A1	f67r2.24	2	A1:G060	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	Etikettsegment 2 am lokalen Bildplatz	f67r2.24: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
61	ASTRO_A1:G061	f67r2	A1	f67r2.24	3	A1:G061	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	Etikettsegment 3 am lokalen Bildplatz	f67r2.24: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
62	ASTRO_A1:G062	f67r2	A1	f67r2.25	1	A1:G062	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_25	Etikettsegment 1 am lokalen Bildplatz	f67r2.25: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
63	ASTRO_A1:G063	f67r2	A1	f67r2.26	1	A1:G063	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	Etikettsegment 1 am lokalen Bildplatz	f67r2.26: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
64	ASTRO_A1:G064	f67r2	A1	f67r2.26	2	A1:G064	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	Etikettsegment 2 am lokalen Bildplatz	f67r2.26: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
65	ASTRO_A1:G065	f67r2	A1	f67r2.26	3	A1:G065	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	Etikettsegment 3 am lokalen Bildplatz	f67r2.26: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
66	ASTRO_A1:G066	f67r2	A1	f67r2.27	1	A1:G066	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	Etikettsegment 1 am lokalen Bildplatz	f67r2.27: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
67	ASTRO_A1:G067	f67r2	A1	f67r2.27	2	A1:G067	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	Etikettsegment 2 am lokalen Bildplatz	f67r2.27: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
68	ASTRO_A1:G068	f67r2	A1	f67r2.27	3	A1:G068	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	Etikettsegment 3 am lokalen Bildplatz	f67r2.27: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
69	ASTRO_A1:G069	f67r2	A1	f67r2.27	4	A1:G069	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	Etikettsegment 4 am lokalen Bildplatz	f67r2.27: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
70	ASTRO_A1:G070	f67r2	A1	f67r2.28	1	A1:G070	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_28	Etikettsegment 1 am lokalen Bildplatz	f67r2.28: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
71	ASTRO_A1:G071	f67r2	A1	f67r2.28	2	A1:G071	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_28	Etikettsegment 2 am lokalen Bildplatz	f67r2.28: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
72	ASTRO_A1:G072	f67r2	A1	f67r2.29	1	A1:G072	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_29	Etikettsegment 1 am lokalen Bildplatz	f67r2.29: örtliche Wetterlage am Himmelsrad nachschlagen; örtlichen Eintrag aus dem Exemplar lesen.	CELESTIAL_WORK_ALMANAC	NONE_SELECTED	NONE	NONE
