body	occurrence_total	concrete_body_role_de	family	confidence	positive_evidence	counterevidence	scope
key	8	erhitzte Form I	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+8_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
oly	8	Abseih- oder Trennschritt	PROCESS_WHOLE	MEDIUM_HIGH	V99_W3_EXACT_WHOLE+HEADED_PATIENTS_SHARE_PROCESS+8_MULTIHEAD	MATERIAL_CLOSE_RIVAL	WHOLE_ONLY
os	8	Zubereitungsposten	PREPARATION_ITEM	LOW	V99_W0_WHOLE+8_MULTIHEAD+ITEM_NEIGHBORS	SEMANTICALLY_BROAD+PATIENT_OPEN	HELD_WHOLES_ONLY
araiin	7	Teil-/Fraktionsstufe I: Wert III	PART_VALUE	HIGH	VALUE_LADDER+TWO_HEADED_WHOLES_AGREE+7_MULTIHEAD	AMOUNT_VS_CLASS	HELD_WHOLES_ONLY
daiin	7	Dosis-/Wertslot III	DOSE_VALUE	HIGH	GDT626_COMPLETE_D_LADDER+721_BARE+7_MULTIHEAD	DOSE_VS_AMOUNT_VS_CLASS	HELD_WHOLES_ONLY
dar	7	abgemessener Anteil, Stufe I	DOSED_PART	HIGH	V99_WHOLE+PART_VALUE_FAMILY+7_MULTIHEAD	ACTION_VS_RESULT	HELD_WHOLES_ONLY
kal	7	erhitztes Material, Stufe I	HEATED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+HEAT_MATERIAL_FAMILY+7_MULTIHEAD	DIMENSION_OPEN+PATIENT_OPEN	HELD_WHOLES_ONLY
om	7	Zubereitungsmaß	PREPARATION_MEASURE	MEDIUM	V99_CONTEXT_WHOLES+7_MULTIHEAD	HANDFUL_NOT_GROUNDED+UNIT_OPEN	HELD_WHOLES_ONLY
sheody	7	feucht aufbereitetes Ergebnis, Grundform	MOIST_PREP_RESULT	MEDIUM_HIGH	GDT736_ODY_FAMILY+V99_WHOLE+7_MULTIHEAD	MOIST_VS_SOAKED+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY
aly	6	Rohstoff-/Materialstufe I, Grundform	MATERIAL_SERIES	HIGH	V99_WHOLE+GDT736_AL_FAMILY+6_MULTIHEAD	RAW_VS_GENERIC_MATERIAL	HELD_WHOLES_ONLY
chedal	6	abgemessenes Trockenmaterial, Stufe I/Form I	DRY_DOSED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+DRY_MATERIAL_VALUE_FAMILY+6_MULTIHEAD	MEASURE_VS_STATE	HELD_WHOLES_ONLY
cheody	6	trocken aufbereitetes Ergebnis, Form I	DRY_PREP_RESULT	HIGH	GDT736_ODY_FAMILY+V99_WHOLE+69_BARE+6_MULTIHEAD	MASS_VS_PREPARATION	HELD_WHOLES_ONLY
cheor	6	trockener Teil-/Portionsträger	DRY_PART	HIGH	V99_WHOLE+DRY_PLUS_PART_FAMILY+71_BARE+6_MULTIHEAD	PART_VS_PORTION	HELD_WHOLES_ONLY
kchdy	6	erhitzt-trockenes Ergebnis, Grundform	HOT_DRY_RESULT	HIGH	GDT626_QUALITY_GRID+V99_WHOLE+6_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
keeody	6	vollständig erhitztes Zubereitungsergebnis	HEATED_PREP_RESULT	MEDIUM_HIGH	V99_WHOLE+HEAT_RESULT_FAMILY+6_MULTIHEAD	BOILED_TOO_SPECIFIC+EXACT_TIER_OPEN	HELD_WHOLES_ONLY
olkeey	6	erhitztes Material, Form II	HEATED_MATERIAL	HIGH	V99_WHOLES+STATE_LATTICE+6_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY
aiiin	5	Ordinal-/Wertstufe IV	VALUE_LADDER	HIGH	GDT626_LADDER+42_BARE+5_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY
aram	5	Teil-/Fraktionsstufe I, Eintragsabschluss	PART_CLOSE	MEDIUM_HIGH	V99_WHOLE+GDT736_AM_FINALITY+5_MULTIHEAD	MEASURE_RIVAL	HELD_WHOLES_ONLY
chdaiin	5	Trockenresultat: Dosis oder Wert III	DRY_DOSE_VALUE	MEDIUM_HIGH	D_LADDER+DRY_RESULT_FAMILY+16_BARE+5_MULTIHEAD	NO_EXACT_BODY_WHOLE+DIMENSION_OPEN	HELD_WHOLES_ONLY
odar	5	Zubereitungsanteil oder Dosisstufe I	PREP_DOSED_PART	MEDIUM_HIGH	V99_WHOLE+PART_VALUE_FAMILY+5_MULTIHEAD	ACTION_VS_RESULT	HELD_WHOLES_ONLY
oiiin	5	Zubereitungsform: Index IV	PREPARATION_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+5_MULTIHEAD	FORM_VS_AMOUNT	HELD_WHOLES_ONLY
okeedy	5	erhitztes Zubereitungsergebnis, Form II	HEATED_PREP_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLE+94_BARE+5_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
olkaiin	5	erhitztes Material: Index III	HEATED_MATERIAL_VALUE	MEDIUM_HIGH	VALUE_LADDER+V99_WHOLES+5_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY
olkeedy	5	erhitztes Materialergebnis, Form II	HEATED_MATERIAL_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLES+5_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY
olshedy	5	angefeuchtetes Materialergebnis, Form I	MOIST_MATERIAL_RESULT	HIGH	MOIST_RESULT_LATTICE+V99_WHOLE+5_MULTIHEAD	SOAKED_VS_MOIST	HELD_WHOLES_ONLY
oty	5	kalte oder abgekühlte Zubereitung, Grundform	COLD_PREPARATION	MEDIUM_HIGH	V99_WHOLE+TEMPERATURE_FAMILY+101_BARE+5_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
shdy	5	angefeuchtetes Ergebnis, Grundform	MOIST_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLE+5_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY
a	4	Gleichanteilsfeld	EQUAL_PART_FIELD	LOW	V99_EXACT_WHOLE+4_MULTIHEAD	SINGLE_SIGN+NESTED_STRUCTURE+PORTABILITY_OPEN	HELD_WHOLES_ONLY
aiir	4	Teil-/Anteilswert III	PART_VALUE	MEDIUM	V99_WHOLE+THREE_HEADED_WHOLES_AGREE+4_MULTIHEAD	NOT_MINIM_N_LADDER+DIMENSION_OPEN	HELD_WHOLES_ONLY
aral	4	Rohstoff-/Materialfraktion I	MATERIAL_PART	HIGH	V99_WHOLE+EXACT_BOS_EOS_FRAME+4_MULTIHEAD	RAW_VS_GENERIC_MATERIAL	HELD_WHOLES_ONLY
cheam	4	Trockenform, Eintragsabschluss I	DRY_ENTRY_CLOSE	MEDIUM_HIGH	GDT736_AM_FINALITY+3_OF_4_CACHE_H4_FORMS_LINE_FINAL+4_MULTIHEAD	MEASURE_RIVAL+LOW_N	HELD_WHOLES_ONLY
cheos	4	Trockenansatz-Posten	DRY_PREPARATION_ITEM	MEDIUM_HIGH	V99_WHOLE+DRY_PREP_FAMILY+4_MULTIHEAD	BATCH_VS_ITEM	HELD_WHOLES_ONLY
ches	4	trockene Form I oder Mittelstufe	DRY_STATE	MEDIUM	V99_WHOLE+DRY_STATE_FAMILY+4_MULTIHEAD	EXACT_TIER_OPEN	HELD_WHOLES_ONLY
chodain	4	trockene Zubereitung: Dosis oder Wert II	DRY_PREP_VALUE	HIGH	FOUR_HEADED_WHOLES_AGREE+MINIM_II+4_MULTIHEAD	ABSOLUTE_TWO_UNSUPPORTED+DIMENSION_OPEN	HELD_WHOLES_ONLY
l	4	verschachtelter H4-Kopf oder gebundenes Feld	NESTED_HEAD	STRUCTURE_ONLY	SINGLE_OPAQUE_HEAD_AS_BODY+4_MULTIHEAD	SEGMENTATION_OPEN+NO_BODY_SEMANTICS	STRUCTURE_ONLY
okeey	4	erhitzte Zubereitung, Form II	HEATED_PREPARATION	HIGH	STATE_LATTICE+V99_WHOLE+138_BARE+4_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
olchey	4	getrocknetes Material, Form I	DRY_MATERIAL	HIGH	DRY_MATERIAL_LATTICE+V99_WHOLES+4_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY
oldy	4	fertig aufbereitetes Materialergebnis	MATERIAL_RESULT	HIGH	GDT736_DY_RESULT+V99_WHOLE+4_MULTIHEAD	STRAINED_EXTRACT_TOO_SPECIFIC	HELD_WHOLES_ONLY
ols	4	Materialposten	MATERIAL_ITEM	HIGH	V99_WHOLE+ITEM_ROLE+4_MULTIHEAD	BATCH_VS_ITEM	HELD_WHOLES_ONLY
orain	4	Teil-/Portionsträger: Wert II	PART_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+4_MULTIHEAD	AMOUNT_VS_CLASS	HELD_WHOLES_ONLY
shed	4	Einweich-/Feuchtergebnis, Mittel-/Schlussform	MOIST_RESULT	MEDIUM_HIGH	V99_WHOLE+MOIST_RESULT_FAMILY+4_MULTIHEAD	NO_TERMINAL_Y+EXACT_TIER_OPEN	HELD_WHOLES_ONLY
shol	4	Feuchtmaterial	MOIST_MATERIAL	HIGH	MOIST_PLUS_MATERIAL_FAMILY+V99_WHOLE+163_BARE+4_MULTIHEAD	STATE_VS_CARRIER	HELD_WHOLES_ONLY
shy	4	feuchte oder angeweichte Grundform	MOIST_STATE	HIGH	STATE_LATTICE+V99_WHOLE+95_BARE+4_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY
ag	3	opaker Eintragsabschluss G	ENTRY_CLOSE	STRUCTURE_ONLY	3_OF_3_CACHE_FORMS_LINE_FINAL	NO_PHARMACEUTICAL_IDENTITY+NO_EXACT_BODY_ROLE	STRUCTURE_ONLY
chdal	3	abgemessenes Trockenmaterial, Stufe I/Grundform	DRY_DOSED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+DRY_MATERIAL_VALUE_FAMILY+3_MULTIHEAD	MEASURE_VS_STATE+LOW_N	HELD_WHOLES_ONLY
chdol	3	Trockenmaterial-Maßslot	DRY_MATERIAL_MEASURE	MEDIUM	DRY_PLUS_MATERIAL_MEASURE_FAMILY+3_MULTIHEAD+KNOWN_NEIGHBORS	NO_EXACT_BODY_ROLE+LOW_N	HELD_WHOLES_ONLY
chear	3	trockene Teil-/Fraktionsstufe I, Form I	DRY_PART	MEDIUM_HIGH	V99_WHOLE+DRY_PART_FAMILY+44_BARE+3_MULTIHEAD	CHAR_VS_CHEAR_DISTINCTION_OPEN	HELD_WHOLES_ONLY
chl	3	gebundenes Trockenfeld	DRY_BOUND_FIELD	LOW	V99_WHOLE+DRY_FAMILY+3_MULTIHEAD	ACTION_RIVAL+SHORT_FORM_SEGMENTATION	HELD_WHOLES_ONLY
chs	3	trockene Grundform oder Trockenposten	DRY_STATE	MEDIUM	V99_WHOLE+DRY_FAMILY+3_MULTIHEAD	SHORT_FORM_SEGMENTATION	HELD_WHOLES_ONLY
dol	3	Materialmaß oder Materialwert	MATERIAL_MEASURE	MEDIUM	V99_WHOLE+76_BARE+3_MULTIHEAD	UNIT_OPEN+ACTION_VS_FIELD	HELD_WHOLES_ONLY
oar	3	Zubereitungsanteil, Stufe I	PREPARATION_PART	MEDIUM_HIGH	V99_WHOLE+PART_FAMILY+3_MULTIHEAD	PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY
ochedy	3	Zubereitung aus Trockenresultat, Form I	DRY_PREP_RESULT	HIGH	V99_WHOLE+GDT736_CHEDY_FAMILY+3_MULTIHEAD	COMPOSITION_NOT_EXPORTABLE+LOW_N	HELD_WHOLES_ONLY
od	3	Abmess- oder Entnahmeschritt am Ansatz	MEASURE_PROCESS_WHOLE	MEDIUM_HIGH	V99_W2_EXACT_WHOLE+THREE_INTERNAL_OR_FINAL_FORMS	ACTION_VS_VALUE_FIELD	WHOLE_ONLY
okar	3	erhitzte Zubereitungsfraktion I	HEATED_PREP_PART	HIGH	V99_WHOLE+HEAT_PART_FAMILY+119_BARE+3_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
olkain	3	erhitztes Material: Index II	HEATED_MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+3_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY
olkedy	3	erhitztes Materialergebnis, Form I	HEATED_MATERIAL_RESULT	HIGH	RESULT_LATTICE+V99_WHOLE+3_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY
olky	3	erhitztes Material, Grundform	HEATED_MATERIAL	MEDIUM_HIGH	STATE_LATTICE+20_BARE+ONE_HEADED_WHOLE+3_MULTIHEAD	NO_EXACT_BODY_WHOLE	HELD_WHOLES_ONLY
olor	3	Zutaten- oder Materialportion	MATERIAL_PART	HIGH	V99_WHOLE+MATERIAL_PART_FAMILY+3_MULTIHEAD	INGREDIENT_VS_GENERIC_PART	HELD_WHOLES_ONLY
olshey	3	angefeuchtetes Material, Form I	MOIST_MATERIAL	HIGH	MOIST_MATERIAL_LATTICE+V99_WHOLE+3_MULTIHEAD	SOAKED_VS_MOIST	HELD_WHOLES_ONLY
ory	3	Teil-/Portionsträger, Grund-/Schlussform	PART_CLOSE	MEDIUM_HIGH	GDT736_OR_PLUS_Y_FAMILY+ONE_HEADED_WHOLE+3_MULTIHEAD	NO_EXACT_BODY_WHOLE	HELD_WHOLES_ONLY
sheckhy	3	angefeuchtete Mischung, Grundform	MOIST_MIXTURE	MEDIUM_HIGH	V99_WHOLE+MOIST_MIXTURE_FAMILY+3_MULTIHEAD	PATIENT_OPEN	HELD_WHOLES_ONLY
sheol	3	Feuchtmaterial, Form I	MOIST_MATERIAL	HIGH	V99_WHOLE+MOIST_MATERIAL_LATTICE+90_BARE+3_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY
tain	3	Kälte-/Abkühlindex II	COLD_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+THREE_HEADED_WHOLES+3_MULTIHEAD	TEMPERATURE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY
alar	2	Rohstoff-/Materialfraktion I	MATERIAL_PART	MEDIUM	AL_PLUS_AR_FAMILY+2_MULTIHEAD+BOS_ITEM_POSITION	NO_EXACT_BODY_WHOLE+LOW_N	HELD_WHOLES_ONLY
alchey	2	trockenes Rohmaterial, Stufe I/Form I	DRY_MATERIAL	HIGH	V99_WHOLE+DRY_MATERIAL_FAMILY+2_MULTIHEAD	RAW_VS_GENERIC_MATERIAL+LOW_N	HELD_WHOLES_ONLY
alol	2	Rohmaterialträger	MATERIAL_CARRIER	HIGH	V99_WHOLE+AL_OL_FAMILY+2_MULTIHEAD	PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY
chaiin	2	Trockenindex oder -grad III	DRY_VALUE	HIGH	GDT626_VALUE_LADDER+V99_WHOLE+48_BARE+2_MULTIHEAD	GRADE_VS_CLASS	HELD_WHOLES_ONLY
chedair	2	getrocknete Fraktion, Form I/Wert II	DRY_PART_VALUE	MEDIUM	DRY_RESULT_PLUS_AIR_FAMILY+2_BOS_FORMS	NO_EXACT_BODY_WHOLE+LOW_N+DIMENSION_OPEN	HELD_WHOLES_ONLY
chees	2	getrocknete Mischung, Form II	DRY_MIXTURE	HIGH	V99_WHOLE+DRY_STATE_LATTICE+32_BARE+2_MULTIHEAD	MIXTURE_PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY
chos	2	trockene Zubereitung oder Trockenposten	DRY_PREPARATION	MEDIUM_HIGH	V99_WHOLE+DRY_PREP_FAMILY+30_BARE+2_MULTIHEAD	PREP_VS_ITEM+LOW_N	HELD_WHOLES_ONLY
choy	2	trockene Zubereitung, Grund-/Schlussform	DRY_PREP_CLOSE	HIGH	V99_WHOLE+DRY_PREP_FAMILY+14_BARE+2_MULTIHEAD	ACTION_VS_STATE+LOW_N	HELD_WHOLES_ONLY
chr	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS+NEIGHBORS_ONLY	NO_EXACT_BODY_ROLE+NO_STABLE_FAMILY+LOW_N	UNKNOWN
dal	2	abgemessene Materialstufe I	MATERIAL_MEASURE	MEDIUM_HIGH	V99_WHOLE+191_BARE+2_MULTIHEAD	ACTION_VS_VALUE_FIELD+LOW_N	HELD_WHOLES_ONLY
keeal	2	vollständig erhitztes Material, Stufe I	HEATED_MATERIAL	LOW	V99_W0_WHOLE+HEAT_MATERIAL_FAMILY+2_MULTIHEAD	ONE_BARE_OCCURRENCE+PATIENT_OPEN	HELD_WHOLES_ONLY
ochey	2	trockene Zubereitung, Form I	DRY_PREPARATION	MEDIUM_HIGH	GDT736_CHEY_PLUS_O_FAMILY+5_BARE+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+LOW_N	HELD_WHOLES_ONLY
odair	2	Zubereitungsanteil oder -dosis, Stufe II	PREP_PART_VALUE	LOW	GDT736_AIR_VALUE_FAMILY+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+ONE_BARE+DIMENSION_OPEN	HELD_WHOLES_ONLY
oees	2	Zubereitungsposten, Endform	PREPARATION_ITEM	MEDIUM	V99_WHOLE+9_BARE+2_MULTIHEAD	BATCH_VS_FORM+LOW_N	HELD_WHOLES_ONLY
oiir	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS+6_BARE	NO_EXACT_BODY_ROLE+NO_LICENSED_VALUE_LADDER	UNKNOWN
oiis	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS	NO_BARE_OCCURRENCE+NO_EXACT_BODY_ROLE	UNKNOWN
oiry	2	Zubereitungsfraktion II, Grund-/Schlussform	PREP_PART_CLOSE	LOW	ONE_HEADED_WHOLE+OI_OR_Y_FAMILY+2_MULTIHEAD	NO_BARE_OCCURRENCE+OLD_PATIENT_DEPENDENCE	HELD_WHOLES_ONLY
okaiin	2	erhitzte Zubereitung: Index III	HEATED_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+200_BARE+2_MULTIHEAD	GRADE_VS_CLASS+LOW_HEADED_N	HELD_WHOLES_ONLY
okain	2	erhitzte Zubereitung: Index II	HEATED_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+132_BARE+2_MULTIHEAD	GRADE_VS_CLASS+LOW_HEADED_N	HELD_WHOLES_ONLY
okedy	2	erhitztes Zubereitungsergebnis, Form I	HEATED_PREP_RESULT	HIGH	RESULT_LATTICE+V99_WHOLE+87_BARE+2_MULTIHEAD	STATE_VS_PROCESS+LOW_HEADED_N	HELD_WHOLES_ONLY
olain	2	Materialträger: Wert II	MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+11_BARE+2_MULTIHEAD	AMOUNT_VS_CLASS+LOW_N	HELD_WHOLES_ONLY
olchor	2	Trockenmaterialportion	DRY_MATERIAL_PART	MEDIUM	OL_PLUS_CHOR_FAMILY+2_MULTIHEAD+KNOWN_VALUE_NEIGHBOR	NO_EXACT_BODY_WHOLE+ONE_BARE	HELD_WHOLES_ONLY
olchy	2	Trockenmaterial, Grundform	DRY_MATERIAL	HIGH	V99_WHOLE+DRY_MATERIAL_LATTICE+9_BARE+2_MULTIHEAD	OLD_PATIENT_REMOVED+LOW_N	HELD_WHOLES_ONLY
oldaiin	2	Materialergebnis: Dosis oder Wert III	MATERIAL_RESULT_VALUE	MEDIUM	D_LADDER+MATERIAL_RESULT_FAMILY+7_BARE+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+DIMENSION_OPEN	HELD_WHOLES_ONLY
olol	2	Materialgrundlage oder Materialansatz	MATERIAL_CARRIER	MEDIUM	V99_WHOLE+OL_CARRIER_FAMILY+14_BARE+2_MULTIHEAD	OLD_PATIENT_REMOVED+SEMANTICALLY_BROAD	HELD_WHOLES_ONLY
oror	2	gekoppelter Teil-/Portionsträger	PART_PAIR	LOW	V99_WHOLE+REPEATED_OR_FAMILY+2_MULTIHEAD	ABSOLUTE_TWO_UNSUPPORTED+LOW_N	HELD_WHOLES_ONLY
osaiin	2	Zubereitungsposten: Wert III	PREP_ITEM_VALUE	LOW	VALUE_LADDER+ONE_HEADED_WHOLE+5_BARE+2_MULTIHEAD	INTERNAL_HEADLIKE_S+OLD_PATIENT_DEPENDENCE	HELD_WHOLES_ONLY
otaiin	2	kalte/abgekühlte Zubereitung: Index III	COLD_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+138_BARE+2_MULTIHEAD	TEMPERATURE_VS_PROCESS+LOW_HEADED_N	HELD_WHOLES_ONLY
paiin	2	Verweis auf H1-Ordinal-III-Eintrag	NESTED_RECORD_FORM	STRUCTURE_ONLY	BODY_IS_REGISTERED_H1_PLUS_AIIN_FORM+2_MULTIHEAD	DOUBLE_HEADING_SEGMENTATION+NO_NEW_LEXEME	STRUCTURE_ONLY
pchey	2	Verweis auf H1-Trockenform-I-Eintrag	NESTED_RECORD_FORM	STRUCTURE_ONLY	BODY_IS_REGISTERED_H1_PLUS_CHEY_FORM+2_MULTIHEAD	DOUBLE_HEADING_SEGMENTATION+NO_NEW_LEXEME	STRUCTURE_ONLY
shar	2	angefeuchtete Teil-/Fraktionsstufe I	MOIST_PART	HIGH	V99_WHOLE+MOIST_PART_FAMILY+29_BARE+2_MULTIHEAD	MOIST_VS_SOAKED+LOW_N	HELD_WHOLES_ONLY
shdaiin	2	angefeuchtetes Ergebnis: Dosis oder Wert III	MOIST_RESULT_VALUE	HIGH	V99_WHOLE+D_LADDER+MOIST_RESULT_FAMILY+2_MULTIHEAD	DIMENSION_OPEN+LOW_N	HELD_WHOLES_ONLY
sheg	2	opaker feuchtbezogener Eintragsabschluss G	ENTRY_CLOSE	STRUCTURE_ONLY	2_OF_2_CACHE_FORMS_LINE_FINAL+MOIST_FAMILY_PREFIX	NO_PHARMACEUTICAL_IDENTITY+NO_BARE_OCCURRENCE	STRUCTURE_ONLY
sheo	2	feuchte oder angeweichte Zubereitung	MOIST_PREPARATION	HIGH	V99_WHOLE+MOIST_PREP_FAMILY+37_BARE+2_MULTIHEAD	MOIST_VS_SOAKED+LOW_N	HELD_WHOLES_ONLY
sheodar	2	angefeuchtete Zubereitungsfraktion I	MOIST_PREP_PART	MEDIUM	MOIST_PLUS_ODAR_FAMILY+2_BOS_FORMS	NO_EXACT_BODY_WHOLE+ONE_BARE+MEASURE_RIVAL	HELD_WHOLES_ONLY
shod	2	angefeuchtete, abgemessene Zubereitung	MOIST_DOSED_PREP	MEDIUM	V99_WHOLE+MOIST_MEASURE_FAMILY+10_BARE+2_MULTIHEAD	ACTION_VS_RESULT+LOW_N	HELD_WHOLES_ONLY
