card_no	component_parse	literal_reading_de	fluent_command_de	occurrences	composition_status	component_values_unchanged
PROC038	OK+AIIN	ansetzen · Maß	den Posten nach Maß ansetzen	9	COMPOSITIONAL	YES
PROC039	Y+K+AIN	dies · zuführen · Portion	diesen Posten zuführen	1	COMPOSITIONAL	YES
PROC040	Y+K+AIN	dies · zuführen · Portion	diesen Posten zuführen	1	COMPOSITIONAL	YES
PROC041	O+DY	Arbeitsgang · Schluss	den Arbeitsgang ausführen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC042	CHD+Y	umsetzen · dies	diesen Posten umsetzen	11	COMPOSITIONAL	YES
PROC043	TALAM	verwahren	den Posten verwahren	1	LEARNED_WHOLE_CARD	YES
PROC044	Y+K+AIIN	dies · zuführen · Maß	diesen Posten nach Maß zuführen	1	COMPOSITIONAL	YES
PROC045	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	den Arbeitsgang von dort kurz abziehen	1	COMPOSITIONAL	YES
PROC046	CHK+EE+Y	wärmen · länger · dies	diesen Posten länger wärmen	2	COMPOSITIONAL	YES
PROC047	OL+DY	fortsetzen · Schluss	den Posten fortsetzen und den Schritt schließen	2	COMPOSITIONAL	YES
PROC048	OK+AL	ansetzen · Zielstelle	den Posten an der Zielstelle ansetzen	6	COMPOSITIONAL	YES
PROC049	OL+T+Y	fortsetzen · eintragen · dies	diesen Posten fortsetzen und eintragen	1	COMPOSITIONAL	YES
PROC050	OR+AIN	Ansatz · Portion	eine Portion nehmen	1	COMPOSITIONAL	YES
PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	die Gabe abziehen	1	COMPOSITIONAL	YES
PROC052	HO	Gabe	die Gabe nehmen	4	COMPOSITIONAL	YES
PROC053	HO+AL+Y	Gabe · Zielstelle · dies	die Zielstelle setzen	1	COMPOSITIONAL	YES
PROC054	K+OL	zuführen · fortsetzen	den Posten zuführen und fortsetzen	1	COMPOSITIONAL	YES
PROC055	AL	Zielstelle	die Zielstelle setzen	10	COMPOSITIONAL	YES
PROC056	HO+Y	Gabe · dies	diesen Posten übernehmen	1	COMPOSITIONAL	YES
PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC058	SH	halten	den Posten halten	1	COMPOSITIONAL	YES
PROC059	K+E+Y	zuführen · kurz · dies	diesen Posten kurz zuführen	1	COMPOSITIONAL	YES
PROC060	OK+OK+Y	ansetzen · ansetzen · dies	diesen Posten ansetzen und ansetzen	1	COMPOSITIONAL	YES
PROC061	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	den Arbeitsgang kurz ansetzen und abziehen	1	COMPOSITIONAL	YES
PROC062	K+AL	zuführen · Zielstelle	den Posten an der Zielstelle zuführen	1	COMPOSITIONAL	YES
PROC063	K+HO+AR	zuführen · Gabe · von dort	die Gabe von dort zuführen	1	COMPOSITIONAL	YES
PROC064	OT+O+AIN	danach · Arbeitsgang · Portion	danach eine Portion nehmen	1	COMPOSITIONAL	YES
PROC065	OT+Y	danach · dies	danach diesen Posten übernehmen	2	COMPOSITIONAL	YES
PROC066	K+E+OL	zuführen · kurz · fortsetzen	den Posten kurz zuführen und fortsetzen	1	COMPOSITIONAL	YES
PROC067	OK+E+DY	ansetzen · kurz · Schluss	den Posten kurz ansetzen und den Schritt schließen	8	COMPOSITIONAL	YES
PROC068	K+AIR	zuführen · Lauf	den Posten im Lauf zuführen	1	COMPOSITIONAL	YES
PROC069	K+AIN	zuführen · Portion	eine Portion zuführen	3	COMPOSITIONAL	YES
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	eine Portion fortsetzen und zuführen	2	COMPOSITIONAL	YES
PROC071	R+OL	abkühlen · fortsetzen	den Posten abkühlen und fortsetzen	1	COMPOSITIONAL	YES
PROC072	L	führen	den Posten führen	2	COMPOSITIONAL	YES
PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · Zielstelle	den Posten an der Zielstelle am Durchlass kurz halten	1	COMPOSITIONAL	YES
PROC074	OK+EE+AL	ansetzen · länger · Zielstelle	den Posten an der Zielstelle länger ansetzen	1	COMPOSITIONAL	YES
PROC075	CKH+Y	Durchlass · dies	diesen Posten übernehmen	4	COMPOSITIONAL	YES
PROC076	CHD+DY	umsetzen · Schluss	den Posten umsetzen und den Schritt schließen	4	COMPOSITIONAL	YES
PROC077	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	den Posten halten und zuführen und umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC078	SHED+DY	absetzen · Schluss	den Posten absetzen und den Schritt schließen	12	COMPOSITIONAL	YES
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	den Posten fortsetzen und umsetzen und den Schritt schließen	3	COMPOSITIONAL	YES
PROC080	OK+AIN	ansetzen · Portion	eine Portion ansetzen	7	COMPOSITIONAL	YES
PROC081	R+AL	abkühlen · Zielstelle	den Posten an der Zielstelle abkühlen	1	COMPOSITIONAL	YES
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	den Posten ansetzen und umsetzen und den Schritt schließen	3	COMPOSITIONAL	YES
PROC083	CHK+E+Y	wärmen · kurz · dies	diesen Posten kurz wärmen	3	COMPOSITIONAL	YES
PROC084	LSH+O	Waschgang · Arbeitsgang	den Arbeitsgang ausführen	1	COMPOSITIONAL	YES
PROC085	OK+E+Y	ansetzen · kurz · dies	diesen Posten kurz ansetzen	2	COMPOSITIONAL	YES
PROC086	LSH+E+DY	Waschgang · kurz · Schluss	den Posten bearbeiten und den Schritt schließen	2	COMPOSITIONAL	YES
PROC087	SOLK+Y	auffangen · dies	diesen Posten auffangen	1	COMPOSITIONAL	YES
PROC088	L+CHD+AL	führen · umsetzen · Zielstelle	den Posten an der Zielstelle führen und umsetzen	1	COMPOSITIONAL	YES
PROC089	OT+AR	danach · von dort	danach von dort nehmen	1	COMPOSITIONAL	YES
PROC090	T+E+Y	eintragen · kurz · dies	diesen Posten kurz eintragen	1	COMPOSITIONAL	YES
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	den Posten ansetzen und umsetzen und den Schritt schließen	2	COMPOSITIONAL	YES
PROC092	OK+EE+Y	ansetzen · länger · dies	diesen Posten länger ansetzen	7	COMPOSITIONAL	YES
PROC093	E+OL	kurz · fortsetzen	den Posten kurz fortsetzen	1	COMPOSITIONAL	YES
PROC094	CHD+DY	umsetzen · Schluss	den Posten umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC095	L+Y	führen · dies	diesen Posten führen	1	COMPOSITIONAL	YES
PROC096	SH+E+OL	halten · kurz · fortsetzen	den Posten kurz halten und fortsetzen	1	COMPOSITIONAL	YES
PROC097	O+IIN	Arbeitsgang · Sollstufe	die Sollstufe einstellen	2	COMPOSITIONAL	YES
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	den Posten länger auffangen und den Schritt schließen	3	COMPOSITIONAL	YES
PROC099	SH+CKH+E+DY	halten · Durchlass · kurz · Schluss	den Posten am Durchlass kurz halten und den Schritt schließen	3	COMPOSITIONAL	YES
PROC100	OK+EE+DY	ansetzen · länger · Schluss	den Posten länger ansetzen und den Schritt schließen	10	COMPOSITIONAL	YES
PROC101	L+CKH+Y	führen · Durchlass · dies	diesen Posten am Durchlass führen	1	COMPOSITIONAL	YES
PROC102	L+CHD	führen · umsetzen	den Posten führen und umsetzen	1	COMPOSITIONAL	YES
PROC103	L+CKH+E+DY	führen · Durchlass · kurz · Schluss	den Posten am Durchlass kurz führen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC104	OK+AL+Y	ansetzen · Zielstelle · dies	diesen Posten an der Zielstelle ansetzen	1	COMPOSITIONAL	YES
PROC105	SOLK+AIIN	auffangen · Maß	den Posten nach Maß auffangen	1	COMPOSITIONAL	YES
PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	den Arbeitsgang bis bereit kurz fortsetzen	1	COMPOSITIONAL	YES
PROC107	CHK+EE+Y	wärmen · länger · dies	diesen Posten länger wärmen	1	COMPOSITIONAL	YES
PROC108	L+DY	führen · Schluss	den Posten führen und den Schritt schließen	2	COMPOSITIONAL	YES
PROC109	OT+EE+Y	danach · länger · dies	danach diesen Posten übernehmen	2	COMPOSITIONAL	YES
PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dies	diesen Posten am Durchlass kurz halten	1	COMPOSITIONAL	YES
PROC111	SH+E+DY	halten · kurz · Schluss	den Posten kurz halten und den Schritt schließen	1	COMPOSITIONAL	YES
PROC112	OT+AIIN	danach · Maß	danach das Maß setzen	3	COMPOSITIONAL	YES
PROC113	OK+AR	ansetzen · von dort	den Posten von dort ansetzen	1	COMPOSITIONAL	YES
PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	den Posten kurz fortsetzen und halten und den Schritt schließen	1	COMPOSITIONAL	YES
PROC115	LS	fortsetzen	den Posten fortsetzen	1	LEARNED_WHOLE_CARD	YES
PROC116	L+CH+Y	führen · abziehen · dies	diesen Posten führen und abziehen	1	COMPOSITIONAL	YES
PROC117	CTH+E+Y	bereit · kurz · dies	diesen Posten bis bereit halten	2	COMPOSITIONAL	YES
PROC118	L+EE+Y	führen · länger · dies	diesen Posten länger führen	1	COMPOSITIONAL	YES
PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	den Posten vollständig ansetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC120	L+CHD+DY	führen · umsetzen · Schluss	den Posten führen und umsetzen und den Schritt schließen	8	COMPOSITIONAL	YES
PROC121	L+AR	führen · von dort	den Posten von dort führen	1	COMPOSITIONAL	YES
PROC122	SH+E+Y	halten · kurz · dies	diesen Posten kurz halten	1	COMPOSITIONAL	YES
PROC123	L+CHD+AR	führen · umsetzen · von dort	den Posten von dort führen und umsetzen	1	COMPOSITIONAL	YES
PROC124	CH+E+S	abziehen · kurz · teilen	den Posten kurz abziehen und teilen	1	PARTIAL_WITH_LEARNED_ATOM	YES
PROC125	P+CHD+DY	hinein · umsetzen · Schluss	den Posten hineingeben und umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC126	R+SH+E+AL	abkühlen · halten · kurz · Zielstelle	den Posten an der Zielstelle kurz abkühlen und halten	1	COMPOSITIONAL	YES
PROC127	AL+DY	Zielstelle · Schluss	die Zielstelle setzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	den Posten abkühlen und absetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC129	OT+EE+DY	danach · länger · Schluss	danach den Posten bearbeiten und den Schritt schließen	2	COMPOSITIONAL	YES
PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	den Arbeitsgang führen und umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC131	OT+AL	danach · Zielstelle	danach die Zielstelle setzen	3	COMPOSITIONAL	YES
PROC132	CHK+EE+DY	wärmen · länger · Schluss	den Posten länger wärmen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC133	CHD+Y	umsetzen · dies	diesen Posten umsetzen	1	COMPOSITIONAL	YES
PROC134	P+CHD+AL	hinein · umsetzen · Zielstelle	den Posten an der Zielstelle hineingeben und umsetzen	1	COMPOSITIONAL	YES
PROC135	OT+E+DY	danach · kurz · Schluss	danach den Posten bearbeiten und den Schritt schließen	2	COMPOSITIONAL	YES
PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dies	diesen Posten bis bereit kurz halten und umsetzen	1	COMPOSITIONAL	YES
PROC137	AR+Y	von dort · dies	von dort nehmen	1	COMPOSITIONAL	YES
PROC138	OK+AIR	ansetzen · Lauf	den Posten im Lauf ansetzen	1	COMPOSITIONAL	YES
PROC139	SH+EE+DY	halten · länger · Schluss	den Posten länger halten und den Schritt schließen	1	COMPOSITIONAL	YES
PROC140	L+O	führen · Arbeitsgang	den Arbeitsgang führen	1	COMPOSITIONAL	YES
PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	den Posten kurz ansetzen und halten und den Schritt schließen	1	COMPOSITIONAL	YES
PROC142	SHED+AL	absetzen · Zielstelle	den Posten an der Zielstelle absetzen	2	COMPOSITIONAL	YES
PROC143	SH+E+CTH+Y	halten · kurz · bereit · dies	diesen Posten bis bereit kurz halten	1	COMPOSITIONAL	YES
PROC144	AL+CHD+DY	Zielstelle · umsetzen · Schluss	den Posten an der Zielstelle umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	danach den Posten umsetzen und den Schritt schließen	2	COMPOSITIONAL	YES
PROC146	EE+AR	länger · von dort	von dort nehmen	1	COMPOSITIONAL	YES
PROC147	L+AIIN	führen · Maß	den Posten nach Maß führen	1	COMPOSITIONAL	YES
PROC148	AL+R+OR	Zielstelle · abkühlen · Ansatz	den Ansatz an der Zielstelle abkühlen	1	COMPOSITIONAL	YES
PROC149	EEE+T+Y	vollständig · eintragen · dies	diesen Posten vollständig eintragen	1	COMPOSITIONAL	YES
PROC150	CHD+AIR	umsetzen · Lauf	den Posten im Lauf umsetzen	1	COMPOSITIONAL	YES
PROC151	CHD+AIN	umsetzen · Portion	eine Portion umsetzen	1	COMPOSITIONAL	YES
PROC152	OT+E+AIIN	danach · kurz · Maß	danach das Maß setzen	1	COMPOSITIONAL	YES
PROC153	OL+AL+Y	fortsetzen · Zielstelle · dies	diesen Posten an der Zielstelle fortsetzen	1	COMPOSITIONAL	YES
PROC154	OL+Y	fortsetzen · dies	diesen Posten fortsetzen	1	COMPOSITIONAL	YES
PROC155	OK+Y+LD+DY	ansetzen · dies · befestigen · Schluss	diesen Posten ansetzen und befestigen und den Schritt schließen	1	PARTIAL_WITH_LEARNED_ATOM	YES
PROC156	AIN	Portion	eine Portion nehmen	2	COMPOSITIONAL	YES
PROC157	SH+EE+Y	halten · länger · dies	diesen Posten länger halten	1	COMPOSITIONAL	YES
PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	den Posten länger ansetzen und fortsetzen	1	COMPOSITIONAL	YES
PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	den Posten kurz führen und zuführen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC160	OK+OL	ansetzen · fortsetzen	den Posten ansetzen und fortsetzen	1	COMPOSITIONAL	YES
PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dies	diesen Posten übernehmen	1	COMPOSITIONAL	YES
PROC162	AIR+Y+DY	Lauf · dies · Schluss	den Lauf wählen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC163	CH+CKH+AL	abziehen · Durchlass · Zielstelle	den Posten an der Zielstelle am Durchlass abziehen	1	COMPOSITIONAL	YES
PROC164	SOLK+E+Y	auffangen · kurz · dies	diesen Posten kurz auffangen	1	COMPOSITIONAL	YES
PROC165	K+AR	zuführen · von dort	den Posten von dort zuführen	1	COMPOSITIONAL	YES
PROC166	OT+CHD+DY	danach · umsetzen · Schluss	danach den Posten umsetzen und den Schritt schließen	1	COMPOSITIONAL	YES
PROC167	L+OL	führen · fortsetzen	den Posten führen und fortsetzen	1	COMPOSITIONAL	YES
PROC168	CHD+AL	umsetzen · Zielstelle	den Posten an der Zielstelle umsetzen	1	COMPOSITIONAL	YES
PROC169	DA+IIN	zweite · Sollstufe	die zweite Sollstufe einstellen	1	PARTIAL_WITH_LEARNED_ATOM	YES
PROC170	SOLK+EE+Y	auffangen · länger · dies	diesen Posten länger auffangen	1	COMPOSITIONAL	YES
PROC171	E+K+E+Y	kurz · zuführen · kurz · dies	diesen Posten kurz zuführen	1	COMPOSITIONAL	YES
PROC172	R+AL+Y	abkühlen · Zielstelle · dies	diesen Posten an der Zielstelle abkühlen	1	COMPOSITIONAL	YES
PROC173	L+AL+OR	führen · Zielstelle · Ansatz	den Ansatz an der Zielstelle führen	1	COMPOSITIONAL	YES
