entry_id	entry_tier	entry_type	recognition_form	portable_value_de	productive_composition_uses	all_atom_uses	physical_pages	teaching_rule_de
R-SH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SH	HALTEN	106	219	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AR	QUELLE	66	201	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-K	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	K	GEBEN	132	194	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIIN	SOLLWERT	128	191	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-S	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	S	AUSWÄHLEN	95	182	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-CHD	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHD	UMSETZEN	57	164	f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r	Grundtafel: frei zusammensetzen.
R-OR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OR	SATZ	97	151	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-L	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	L	LEITEN	84	131	f11r|f55v|f67r2|f68r1|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-T	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	T	EINSTELLEN	81	127	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIN	EINHEIT	53	105	f10r|f11r|f55v|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-R	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	R	MARKIEREN	52	73	f10r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-P	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	P	EINSETZEN	48	60	f10r|f13r|f55v|f67r2|f68r1|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-CTH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CTH	BEREIT	42	59	f10r|f11r|f56r|f67r2|f68r1|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-SHED	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SHED	ABSETZEN	13	59	f75r|f81v|f82r|f83r	Grundtafel: frei zusammensetzen.
R-CKH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CKH	DURCHLASS	30	55	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AM_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AM_ADDR	INNEN	33	47	f10r|f55v|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-CHEO	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHEO	AUSZUG	18	45	f10r|f55v|f56r|f67r2|f68r1|f69v|f70v|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-DA	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DA	ZWEIT	18	38	f55v|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-CARRIER_Q	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CARRIER_Q	BEGINNEN	35	36	f10r|f11r|f55v|f67r2|f68r1|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-A_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	A_ADDR	ORT	19	35	f10r|f55v|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-AIR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIR	LAUF	17	33	f10r|f11r|f55v|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	Grundtafel: frei zusammensetzen.
R-CHK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHK	BEHANDELN	15	30	f55v|f56r|f67r2|f68r1|f70v|f75r|f81v|f82r|f83r	Grundtafel: frei zusammensetzen.
R-IIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	IIN	STUFE	18	26	f10r|f13r|f67r2|f68r1|f69v|f70v|f81v|f82r|f83r	Grundtafel: frei zusammensetzen.
R-S_ADDR	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	S_ADDR	STERNORT	2	24	f67r2|f69v|f70v|f83r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-SOLK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SOLK	AUFFANGEN	12	22	f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-EEE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EEE	VOLL	15	18	f13r|f55v|f68r1|f69v|f70v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-LSH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	LSH	SPÜLEN	11	17	f75r|f81v|f82r|f83r|f88r	Grundtafel: frei zusammensetzen.
R-LOCAL_CHAR_F	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_F	NEBENWEG	8	13	f55v|f67r2|f68r1|f81v|f88r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-CPH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CPH	UMLEITEN	9	12	f11r|f56r|f67r2|f68r1|f81v|f82r|f83r|f88r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-HO	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	HO	TEILSTOFF	7	11	f13r|f55v|f56r|f67r2|f69v|f70v	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-AN	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	AN	ZUSATZ	6	9	f55v|f56r|f67r2|f70v|f75r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-G_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	G_LABEL	PRÜFEN	3	7	f67r2|f68r1|f70v|f82r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-CFH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CFH	TRENNEN	4	5	f10r|f11r|f13r|f67r2|f68r1	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_G	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_G	EINMAL	5	5	f13r|f56r|f67r2|f83r|f88r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_I	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_I	UNTERSTUFE	4	5	f10r|f67r2|f68r1|f69v|f83r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-OS	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	OS	DAZU	4	4	f10r|f55v|f67r2	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-D_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	D_LABEL	RAND	1	3	f55v|f69v|f70v	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-S_LABEL	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	S_LABEL	RAHMEN	0	3	f70v	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-LOCAL_CHAR_B	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_B	PAAR	2	2	f83r|f88r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-M_LOCAL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	M_LOCAL	MITTE	1	2	f10r|f70v	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-Z_ADDR	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	Z_ADDR	AUSSEN	0	2	f70v	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-LD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LD	BEFESTIGEN	1	1	f83r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_J	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_J	VERBINDEN	1	1	f88r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_Z	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_Z	ZWISCHEN	0	1	f69v	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-RESUME_CARD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	RESUME_CARD	WIEDER	1	1	f56r	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
F001	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHD+Y	DIESEN POSTEN UMSETZEN	0	52	f55v|f56r|f69v|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F002	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SHED+DY	ABSETZEN; ENDE	0	46	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F003	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+DY	KURZ ANSETZEN; ENDE	0	45	f69v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F004	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+DY	LAENGER ANSETZEN; ENDE	0	45	f55v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F005	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+Y	DIESEN POSTEN ANSETZEN	0	41	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F006	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIN	EINE PORTION ANSETZEN	0	37	f55v|f67r2|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F007	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+Y	LAENGER ANSETZEN	0	30	f56r|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F008	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIIN	NACH SOLLMASS ANSETZEN	0	26	f55v|f56r|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F009	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AL	AN DER ZIELSTELLE ANSETZEN	0	26	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F010	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+E+Y	KURZ HALTEN	0	26	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F011	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+Y	DANACH DIESER POSTEN	0	24	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F012	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	0	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F013	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AR	AUS DER QUELLE ANSETZEN	0	21	f55v|f56r|f67r2|f69v|f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F014	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+EE+Y	LAENGER HALTEN	0	21	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F015	C_LEARNED_FORMULA_CARD	FORMULA_CARD	L+CHD+DY	WEITER UMSETZEN; ENDE	0	20	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F016	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AR	DANACH AUS DER QUELLE	0	19	f10r|f55v|f67r2|f70v|f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F017	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+Y	KURZ ANSETZEN	0	15	f67r2|f69v|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F018	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+DY	DAMIT FORTFAHREN; ENDE	0	14	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F019	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHEO+L	DEN AUSZUG WEITERFUEHREN	0	13	f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F020	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CKH+Y	DURCH DEN DURCHLASS FUEHREN	0	13	f10r|f13r|f55v|f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F021	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	0	13	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F022	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	0	11	f70v|f75r|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F023	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	0	11	f69v|f70v|f75r|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F024	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AR	QUELLE WAEHLEN	0	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F025	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CTH+Y	BIS BEREIT FUEHREN	0	10	f10r|f11r|f56r|f75r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F026	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+OR	DER NAECHSTE ANSATZ	0	10	f10r|f68r1|f70v|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F027	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AIIN	SOLLWERT WAEHLEN	0	10	f67r2|f70v|f75r|f81v|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F028	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CH+OR	VOM ANSATZ ENTNEHMEN	0	9	f10r|f13r|f56r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F029	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AIN	EINHEIT WAEHLEN	0	9	f67r2|f75r|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F030	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHK+E+Y	KURZ BEHANDELN	0	7	f55v|f70v|f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F031	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AL	ZIELSTELLE WAEHLEN	0	7	f67r2|f70v|f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F032	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+EE+DY	LAENGER HALTEN; ENDE	0	7	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F033	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+OL	WEITER HALTEN	0	7	f13r|f56r|f70v|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F034	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHEO+R	AUSZUG MARKIEREN	0	6	f68r1|f69v|f82r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F035	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+OL	ANSETZEN UND WEITERFÜHREN	0	14	f10r|f11r|f56r|f67r2|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F036	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+Y	MIT DIESEM POSTEN WEITER	0	14	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F037	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	0	8	f68r1|f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F038	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+CHD+DY	WEITER UMSETZEN; ENDE	0	7	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F039	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AL	ZUR NÄCHSTEN STELLE	0	11	f70v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F040	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+OL	DEN BEZEICHNETEN TEIL WEITERFÜHREN	0	6	f11r|f13r|f81v|f82r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F041	C_LEARNED_FORMULA_CARD	FORMULA_CARD	LSH+E+DY	KURZ SPÜLEN; ENDE	0	6	f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F042	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+E+DY	KURZ HALTEN; ENDE	0	6	f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F043	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+E+OL	KURZ HALTEN UND WEITERFÜHREN	0	6	f75r|f81v|f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F044	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHK+EE+Y	DIESEN POSTEN LÄNGER BEHANDELN	0	5	f55v|f75r|f81v|f82r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F045	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+OR	BEZEICHNETER TEILANSATZ	0	5	f11r|f13r|f75r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F046	C_LEARNED_FORMULA_CARD	FORMULA_CARD	K+AR	VON DER ENTNAHMESTELLE ZUGEBEN	0	5	f55v|f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F047	C_LEARNED_FORMULA_CARD	FORMULA_CARD	K+OL	WEITER ZUGEBEN	0	5	f11r|f13r|f56r|f75r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F048	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+OR	ZUBEREITUNGSVARIANTE	0	5	f10r|f67r2|f75r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F049	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SOLK+EE+DY	LÄNGER AUFFANGEN; ENDE	0	5	f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F050	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SOLK+EE+Y	DIESEN POSTEN LÄNGER AUFFANGEN	0	5	f75r|f81v|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F051	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+SH+E+DY	ANSETZEN, KURZ HALTEN; ENDE	0	5	f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F052	C_LEARNED_FORMULA_CARD	FORMULA_CARD	P+CHD+DY	EINSETZEN, UMSETZEN; ENDE	0	5	f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F053	C_LEARNED_FORMULA_CARD	FORMULA_CARD	Y+T+Y	DIESEN POSTEN EINSTELLEN	0	5	f10r|f11r|f13r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F054	C_LEARNED_FORMULA_CARD	FORMULA_CARD	O+CKH+E+Y	DIESEN POSTEN KURZ DURCHFÜHREN	0	4	f82r|f83r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F055	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+SH+E+DY	WEITER KURZ HALTEN; ENDE	0	4	f75r|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F056	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+CH+OL	DANACH TEIL ENTNEHMEN UND WEITER	0	4	f10r|f13r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F057	C_LEARNED_FORMULA_CARD	FORMULA_CARD	T+CHD+Y	DIESEN POSTEN UMSTELLEN	0	4	f75r|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F058	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CH+E+CKH+Y	DIESEN TEIL KURZ DURCHFÜHREN	0	3	f75r|f81v|f83r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F059	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CH+O+D_ADDR+Y	DEN BEZEICHNETEN TEIL BEARBEITEN	0	3	f11r|f56r|f88r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F060	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CH+O+S	TEIL BEARBEITEN UND VARIANTE WÄHLEN	0	3	f56r|f67r2	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F061	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+CHD+Y	DEN BEZEICHNETEN TEIL UMSETZEN	0	3	f75r|f81v|f82r	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
