target_ordinal	surface	reader_decision	support_tier	support_rank	support_band	final_recipe	target_event_count	target_physical_pages	observed_requirement_modes	visible_action_roots	visible_argument_roots	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	neutral_component_reading_de	known_contextual_readings_de	original_tier_route_class	original_tier_trace	original_tier_evidence	original_tier_context_relation	original_tier_caution	former_queue_candidate	former_queue_reason	resolution_generation	resolution_source	strongest_current_provenance	current_route_trace_scope	current_route_trace	current_evidence_trace	retained_scope_limit	support_rest_status	reading_scope	guard
88	qoekedy	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	CARRIER_Q+O+E+K+E+DY	1	f31r	REQUIRES_ACTIVE_ARGUMENT	K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Mit Beginnmarker; zur Ausführung; auf Grad I; geben; erneut auf Grad I; abschließen.	Gib die Arbeitseinheit [wie zuvor] zu; mit Beginnmarker, zur Ausführung, auf Grad I [außen] und auf Grad I [innen]; schließe den Schritt.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[qoe+[kedy]]	anchor=K+E+DY;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT549_CURRENT_PEER	GDT549	CURRENT_EXACT_CONTEXT_AND_OR_INTERFACE_PEER	EXACT_VISIBLE_ROUTE	qoe→CARRIER_Q+O+E | kedy→K+E+DY	context=CURRENT_PEER_CONTEXT_BRIDGE;interface=NOT_REQUIRED	CURRENT_ADMITTED_PEER_SUPPORT_ONLY__NOT_UNIVERSAL_RULE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
94	qokshd	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	OK+SH+D_ADDR	1	f66r	SELF_CONTAINED	OK|SH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Setzen und halten; hier.	Trage ein und halte fest; an der bezeichneten Stelle.	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	PRIMARY[[qoksh]+d]	anchor=OK+SH;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT549_CURRENT_PEER	GDT549	CURRENT_EXACT_CONTEXT_AND_OR_INTERFACE_PEER	EXACT_VISIBLE_ROUTE	qok→OK | shd→SH+D_ADDR	context=CURRENT_PEER_CONTEXT_BRIDGE;interface=NOT_REQUIRED	CURRENT_ADMITTED_PEER_SUPPORT_ONLY__NOT_UNIVERSAL_RULE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
98	qoteeod	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	OT+EE+O+D_ADDR	1	f66r	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	NONE	NONE	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	ACTIVE_ACTION	Danach; auf Grad II; zur Ausführung; hier.	Danach: im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	PRIMARY[q+[~oteeo]+d]	anchor=OT+EE+O;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT551_SLOT_CONTRACT	GDT551	GDT540_SLOT_CONTRACT_NORMALIZATION	EXACT_VISIBLE_ROUTE	qot→OT | eeod→EE+O+D_ADDR	anchor=OT+EE+O;contract=IDENTICAL_SLOT_CONTRACT;resolution=CLOSED_BY_GDT540_SLOT_CONTRACT_NORMALIZATION	INSTANCE_MODE_IS_INCOMING_STATE__NO_LEXICAL_CONTEXT_SWITCH	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
100	rotaiin	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	R+OT+AIIN	1	f66r	SELF_CONTAINED	R	AIIN	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Wert markieren; danach.	Danach: kennzeichne den Kennwert.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[r+[otaiin]]	anchor=OT+AIIN;anchor_old_events=20;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	NEW_ATOM_INTERFACE	GDT552_BOUNDARY_FAMILY	GDT552	VISIBLE_OLD_CARD_BOUNDARY_PLUS_ONE_GAP_CARRIER	EXACT_VISIBLE_ROUTE	r→R | otaiin→OT+AIIN	old_one_gap=1;old_boundaries=1;visible_seam_boundaries=1	OLD_DIRECT_WITHIN_CARD_PAIR_ABSENT__TARGET_SPECIFIC_BRIDGE_ONLY__NO_UNIVERSAL_PAIR_LICENSE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
101	saiis	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	S+A_ADDR+IIN+S	1	f31r	SELF_CONTAINED	S|S	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Zweimal wählen; hier; auf der bezeichneten Stufe.	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	PRIMARY[[sa]+iis]	anchor=S+A_ADDR;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT551_SLOT_CONTRACT	GDT551	GDT540_SLOT_CONTRACT_NORMALIZATION	EXACT_VISIBLE_ROUTE	s→S | aiis→A_ADDR+IIN+S	anchor=S+A_ADDR;contract=IDENTICAL_SLOT_CONTRACT;resolution=CLOSED_BY_GDT540_SLOT_CONTRACT_NORMALIZATION	INSTANCE_MODE_IS_INCOMING_STATE__NO_LEXICAL_CONTEXT_SWITCH	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
110	shekair	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+AIR	1	f66r	REQUIRES_ACTIVE_ARGUMENT	SH|K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Halten und geben; auf Grad I; entlang der Bahn.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn; auf Grad I.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[SH+E | K+AIR]	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	shek→SH+E+K | air→AIR	frame=F001:she→SH+E;position=START;same_mode_peers=1	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
111	shekaly	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+AL+Y	1	f66r	SELF_CONTAINED	SH|K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten halten und geben; auf Grad I; am Zielort.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[SH+E+K | AL+Y]	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	shek→SH+E+K | aly→AL+Y	frame=F001:she→SH+E;position=START;same_mode_peers=13	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
115	shekol	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+OL	1	f66r	REQUIRES_ACTIVE_ARGUMENT	SH|K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Halten und geben; auf Grad I; fortsetzen.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; führe fort.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[SH+E | K+OL]	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	she→SH+E | kol→K+OL	frame=F001:she→SH+E;position=START;same_mode_peers=1	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
121	shokaiir	READ_KNOWN_ZERO_REST_145_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	SH+OK+IIN+R	1	f66r	SELF_CONTAINED	SH|OK|R	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Halten, setzen und markieren; auf der bezeichneten Stufe.	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	PRIMARY[sh+[okaiir]]	anchor=OK+IIN+R;anchor_old_events=2;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT551_SLOT_CONTRACT	GDT551	GDT540_SLOT_CONTRACT_NORMALIZATION	EXACT_VISIBLE_ROUTE	sh→SH | okaiir→OK+IIN+R	anchor=OK+IIN+R;contract=IDENTICAL_SLOT_CONTRACT;resolution=CLOSED_BY_GDT540_SLOT_CONTRACT_NORMALIZATION	INSTANCE_MODE_IS_INCOMING_STATE__NO_LEXICAL_CONTEXT_SWITCH	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
123	shso	READ_KNOWN_ZERO_REST_145_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	WORKING_DEFAULT_NEW_ACTION_PAIR	SH+S+O	1	f31r	SELF_CONTAINED	SH|S	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Halten und wählen; zur Ausführung.	Halte und wähle; zur Ausführung.	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	sh→SH | s→S | o→O	old_cover_paths=2;old_interfaces=1/2;execution=READ_EXPLICIT_OBSERVED_PAIR_DEFAULT	GDT540_OBSERVED_REQUIREMENT_MODE	NEW_DIRECT_ACTION_PAIR_SH>S__OBSERVED_SINGLETON	YES	RAW_NEW_DIRECT_ACTION_PAIR_SH>S	GDT552_BOUNDARY_FAMILY	GDT552	VISIBLE_OLD_CARD_BOUNDARY_PLUS_RECURRENT_SEPARATED_CHAIN	EXACT_VISIBLE_ROUTE	sh→SH | so→S+O	old_one_gap=7;visible_seam_boundaries=1;gdt444_focus=5	OLD_DIRECT_WITHIN_CARD_PAIR_ABSENT__TARGET_SPECIFIC_BRIDGE_ONLY__NO_UNIVERSAL_PAIR_LICENSE	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
125	shyshol	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+Y+SH+OL	1	f4r	SELF_CONTAINED	SH|SH	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten zweimal halten; fortsetzen.	Halte den Pflanzenposten und halte den Pflanzenposten; führe fort.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[SH+Y | SH+OL]	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	sh→SH | ysh→Y+SH | ol→OL	frame=F004:shy→SH+Y;position=START;same_mode_peers=2	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
132	tolshy	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	T+OL+SH+Y	1	f20v	SELF_CONTAINED	T|SH	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten einstellen und halten; fortsetzen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; führe fort.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[T+OL | SH+Y]	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	t→T | ol→OL | sh→SH | y→Y	frame=F004:shy→SH+Y;position=END;same_mode_peers=2	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
141	ypches	READ_KNOWN_ZERO_REST_145_WORKING_CARD	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	2	WORKING_DEFAULT_COMPLETE_OLD_TILES	Y+P+CH+E+S	1	f66r	SELF_CONTAINED	P|CH|S	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten einsetzen, nehmen und wählen; auf Grad I.	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	OLD_TILES[Y+P+CH | E+S]	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	NO_EXACT_PORTABLE_SKELETON	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	YES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	GDT550_RECURRENT_FRAME	GDT550	RECURRENT_VISIBLE_FRAME_PLUS_SAME_MODE_STRONG_PEER	EXACT_VISIBLE_ROUTE	yp→Y+P | ches→CH+E+S	frame=F017:ches→CH+E+S;position=END;same_mode_peers=1	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	NONE__BOUNDED_WORKING_ROUTE_DOCUMENTED	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
