statement_episode_ordinal	statement_id	physical_page	paragraph_keys	bath_host_count	body_host_count	station_host_count	role_sequence	event_sequence	surface_sequence	blocker_sequence	transition_count	role_switch_count	control_marked_switch_count	reader_boundary_switch_count	episode_class	gdt590_primary_reader_de	guard
11	G407-S151	f75r	f75r:P3	1	1	0	BODY	G407-E1758	sheety	NONE	0	0	0	0	BODY_ONLY	Halte den Körper im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
12	G407-S160	f75r	f75r:P3	1	1	0	BODY	G407-E1769	yshedy	NONE	0	0	0	0	BODY_ONLY	Halte den Körper im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
13	G407-S173	f75r	f75r:P3	1	1	0	BODY	G407-E1789	dshedy	NONE	0	0	0	0	BODY_ONLY	Halte den Körper im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
14	G407-S177	f75r	f75r:P3	1	0	1	STATION	G407-E1795	yshedy	D_ADDR	0	0	0	0	STATION_ONLY	Halte die Badeinheit und den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
15	G407-S312	f77r	f77r:P1	1	1	0	BODY	G407-E2404	shey	NONE	0	0	0	0	BODY_ONLY	"Reguliere den Stationsansatz über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte den Körper im Bad bei der angegebenen Füllung auf Grad I. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
16	G407-S324	f77r	f77r:P1	1	0	1	STATION	G407-E2435	lsheedy	D_ADDR|L	0	0	0	0	STATION_ONLY	Behandle den Stationsansatz. Halte den Stationsansatz im Bad auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
17	G407-S340	f77r	f77r:P1	1	0	1	STATION	G407-E2468	sheed	CARRIER_Q|D_ADDR	0	0	0	0	STATION_ONLY	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle. Wähle das Stationsmaß aus. Halte im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
18	G407-S341	f77r	f77r:P1	1	0	1	STATION	G407-E2476	lshey	L	0	0	0	0	STATION_ONLY	Verwende für den vorangehenden Arbeitsschritt über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Halte im Bad auf Grad II und an der Stations-Endstelle. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe auf Grad I zu. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
19	G407-S343	f77r	f77r:P1	1	0	1	STATION	G407-E2487	lsheey	L	0	0	0	0	STATION_ONLY	"Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2487@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
20	G407-S346	f77r	f77r:P1	1	1	0	BODY	G407-E2499	sheey	NONE	0	0	0	0	BODY_ONLY	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beschicke oder bereite den Stationsansatz und die Anwendungsportion vor. Halte den Körper im Bad auf Grad II. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
21	G407-S351	f77r	f77r:P1	1	0	1	STATION	G407-E2508	shear	AR	0	0	0	0	STATION_ONLY	"Beschicke oder bereite den Stationsansatz auf Grad II vor. Behandle den Stationsansatz. Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
22	G407-S353	f77r	f77r:P1	1	1	0	BODY	G407-E2517	cheey	NONE	0	0	0	0	BODY_ONLY	Kennzeichne oder prüfe den Stationsansatz. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform und auf der Anwendungsstufe. Behandle das Stationsmaß. Halte den Körper im Bad auf Grad II. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
23	G407-S370	f77r	f77r:P2	1	1	0	BODY	G407-E2584	cheey	NONE	0	0	0	0	BODY_ONLY	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz und die Becken- oder Körpereinheit und von der Ausgangsstation oder aus dem Ausgangsbecken. Entnimm oder lass die Anwendungsportion und die Becken- oder Körpereinheit in Anwendungsform, auf Grad I, zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung ab. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Temperiere auf der Anwendungsstufe, auf Grad I und als neuer Bad- oder Stationsansatz. Kennzeichne oder prüfe den Stationsansatz und das Stations- oder Badmaß im zweiten Durchgang. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Führe auf Grad II zu. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
24	G407-S379	f77r	f77r:P2	1	1	0	BODY	G407-E2625	cheey	NONE	0	0	0	0	BODY_ONLY	Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Halte den Körper im Bad auf Grad II. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
25	G407-S382	f77r	f77r:P3	2	1	1	BODY→STATION	G407-E2637|G407-E2639	cheey|lsheey	NONE → L	1	1	0	0	MIXED_BODY_STATION	Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad bei der angegebenen Füllung auf Grad II. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung. Führe den Stationsansatz und das Stations- oder Badmaß zu. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
26	G407-S385	f77r	f77r:P3	1	1	0	BODY	G407-E2652	sh	NONE	0	0	0	0	BODY_ONLY	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Halte den Körper im Bad bei der angegebenen Füllung. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
27	G407-S392	f77r	f77r:P3	4	2	2	BODY→STATION→BODY→STATION	G407-E2677|G407-E2682|G407-E2697|G407-E2704	sheey|cheey|chlchpsheey|ysheey	NONE → L → NONE → AL	3	3	3	1	MIXED_BODY_STATION	"Kennzeichne oder prüfe das Stations- oder Badmaß. Halte den Körper im Bad auf Grad II. Wende auf Grad I und als neuer Bad- oder Stationsansatz an. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Beschicke oder bereite auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Beschicke oder bereite das Stations- oder Badmaß vor. Entnimm oder lass auf Grad I ab. Wähle die Einheit aus. Entnimm oder lass auf Grad I, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung ab. Entnimm oder lass ab. Kennzeichne oder prüfe. Leite den Strom über den Stationskontakt oder die Leitung um. Wähle die Anwendungsportion aus. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe das Stations- oder Badmaß in Anwendungsform, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Entnimm oder lass ab. Entnimm oder lass über den Stationskontakt oder die Leitung ab. Wende an. Halte den Körper im Bad auf Grad II. Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Verwende für den vorangehenden Arbeitsschritt im zweiten Durchgang und in der Alternativform. Wähle den Stationsansatz und das Stationsmaß an der Stations-Hauptstelle aus. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken. Wähle die Einheit an der Stations-Hauptstelle aus. Wähle die Einheit auf der Anwendungsstufe aus. Fahre im selben Arbeitsgang fort. Leite den Strom in Anwendungsform, an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken um. Reguliere die Anwendungsportion. Kennzeichne oder prüfe den Stationsansatz in Anwendungsform, im zweiten Durchgang, an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken. Wähle die Einheit in Anwendungsform aus. Kennzeichne oder prüfe im zweiten Durchgang. Fahre im selben Arbeitsgang fort. Beschicke oder bereite den Stationsansatz vor.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2682@1:SH: Y+Y+Y → Stationsansatz|Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×3) | ACTION:G407-E2704@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
28	G407-S396	f81r	f81r:P1	1	0	1	STATION	G407-E2719	ofshdy	D_ADDR|LOCAL_CHAR_F|O	0	0	0	0	STATION_ONLY	"Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz auf Grad I ab. Halte den Zustand zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Behandle den Ansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz über den Stationskontakt oder die Leitung vor. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte im Bad auf Grad II und an der Stations-Endstelle. Fahre im selben Arbeitsgang fort. Führe zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2719@3:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
29	G407-S401	f81r	f81r:P1	1	0	1	STATION	G407-E2778	cheey	L	0	0	0	0	STATION_ONLY	"Halte den Stationsansatz und die Anwendungsportion im Bad auf Grad II und über den Stationskontakt oder die Leitung. Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Führe zu. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Führe zu. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2778@1:SH: Y+AIN+Y → Stationsansatz|Anwendungsportion|Stationsansatz (Multiset: Stationsansatz ×2; Anwendungsportion ×1)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
30	G407-S416	f81r	f81r:P2	1	1	0	BODY	G407-E2817	shey	NONE	0	0	0	0	BODY_ONLY	Halte den Körper im Bad auf Grad I. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
31	G407-S425	f81r	f81r:P2	1	0	1	STATION	G407-E2843	olshey	AL|L	0	0	0	0	STATION_ONLY	"Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz und das Stationsmaß. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beschicke oder bereite die Anwendungsportion vor. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Leite den Strom in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um. Wende von der Ausgangsstation oder aus dem Ausgangsbecken an. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2843@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2852@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2858@1:S: Y+Y → Strom|Strom (Multiset: Strom ×2)."	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
32	G407-S436	f81r	f81r:P2	1	0	1	STATION	G407-E2912	olkshdy	D_ADDR	0	0	0	0	STATION_ONLY	Wähle die Stationseinheit aus. Fahre im selben Arbeitsgang fort. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Fahre im selben Arbeitsgang fort. Führe das Stations- oder Badmaß zu. Fahre im selben Arbeitsgang fort. Führe zu. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
33	G407-S441	f81v	f81v:P1	1	1	0	BODY	G407-E2925	shey	NONE	0	0	0	0	BODY_ONLY	Wende von der Ausgangsstation oder aus dem Ausgangsbecken an. Halte den Körper im Bad auf Grad I. Führe auf Grad II zu. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BATH_SEQUENCE__NO_ROLE_COLLAPSE
