transition_ordinal	paragraph_key	physical_page	paragraph_locus_range	from_statement_id	to_statement_id	same_statement	from_event_id	to_event_id	from_locus	to_locus	from_role	to_role	role_switch	from_blockers	to_blockers	guard
12	f75r:P1	f75r	f75r.1–.26	G407-S115	G407-S119	NO	G407-E1576	G407-E1592	f75r.17	f75r.19	STATION	BODY	YES	AL	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
13	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1592	G407-E1594	f75r.19	f75r.19	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
14	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1594	G407-E1599	f75r.19	f75r.20	BODY	STATION	YES	NONE	L|O	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
15	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1599	G407-E1605	f75r.20	f75r.20	STATION	BODY	YES	L|O	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
16	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1605	G407-E1611	f75r.20	f75r.21	BODY	STATION	YES	NONE	AR|D_ADDR|L|O	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
17	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1611	G407-E1616	f75r.21	f75r.22	STATION	BODY	YES	AR|D_ADDR|L|O	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
18	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1616	G407-E1620	f75r.22	f75r.22	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
19	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1620	G407-E1625	f75r.22	f75r.23	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
20	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S119	YES	G407-E1625	G407-E1628	f75r.23	f75r.23	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
21	f75r:P1	f75r	f75r.1–.26	G407-S119	G407-S122	NO	G407-E1628	G407-E1648	f75r.23	f75r.26	BODY	STATION	YES	NONE	AR|A_ADDR|D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
22	f75r:P3	f75r	f75r.32–.46	G407-S135	G407-S151	NO	G407-E1711	G407-E1758	f75r.32	f75r.37	STATION	BODY	YES	AL	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
23	f75r:P3	f75r	f75r.32–.46	G407-S151	G407-S160	NO	G407-E1758	G407-E1769	f75r.37	f75r.39	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
24	f75r:P3	f75r	f75r.32–.46	G407-S160	G407-S173	NO	G407-E1769	G407-E1789	f75r.39	f75r.42	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
25	f75r:P3	f75r	f75r.32–.46	G407-S173	G407-S177	NO	G407-E1789	G407-E1795	f75r.42	f75r.43	BODY	STATION	YES	NONE	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
26	f77r:P1	f77r	f77r.9–.24	G407-S312	G407-S324	NO	G407-E2404	G407-E2435	f77r.10	f77r.13	BODY	STATION	YES	NONE	D_ADDR|L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
27	f77r:P1	f77r	f77r.9–.24	G407-S324	G407-S340	NO	G407-E2435	G407-E2468	f77r.13	f77r.17	STATION	STATION	NO	D_ADDR|L	CARRIER_Q|D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
28	f77r:P1	f77r	f77r.9–.24	G407-S340	G407-S341	NO	G407-E2468	G407-E2476	f77r.17	f77r.18	STATION	STATION	NO	CARRIER_Q|D_ADDR	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
29	f77r:P1	f77r	f77r.9–.24	G407-S341	G407-S343	NO	G407-E2476	G407-E2487	f77r.18	f77r.19	STATION	STATION	NO	L	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
30	f77r:P1	f77r	f77r.9–.24	G407-S343	G407-S346	NO	G407-E2487	G407-E2499	f77r.19	f77r.20	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
31	f77r:P1	f77r	f77r.9–.24	G407-S346	G407-S351	NO	G407-E2499	G407-E2508	f77r.20	f77r.21	BODY	STATION	YES	NONE	AR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
32	f77r:P1	f77r	f77r.9–.24	G407-S351	G407-S353	NO	G407-E2508	G407-E2517	f77r.21	f77r.22	STATION	BODY	YES	AR	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
33	f77r:P2	f77r	f77r.25–.37	G407-S370	G407-S379	NO	G407-E2584	G407-E2625	f77r.32	f77r.37	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
34	f77r:P3	f77r	f77r.38–.48	G407-S382	G407-S382	YES	G407-E2637	G407-E2639	f77r.39	f77r.39	BODY	STATION	YES	NONE	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
35	f77r:P3	f77r	f77r.38–.48	G407-S382	G407-S385	NO	G407-E2639	G407-E2652	f77r.39	f77r.41	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
36	f77r:P3	f77r	f77r.38–.48	G407-S385	G407-S392	NO	G407-E2652	G407-E2677	f77r.41	f77r.44	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
37	f77r:P3	f77r	f77r.38–.48	G407-S392	G407-S392	YES	G407-E2677	G407-E2682	f77r.44	f77r.44	BODY	STATION	YES	NONE	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
38	f77r:P3	f77r	f77r.38–.48	G407-S392	G407-S392	YES	G407-E2682	G407-E2697	f77r.44	f77r.46	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
39	f77r:P3	f77r	f77r.38–.48	G407-S392	G407-S392	YES	G407-E2697	G407-E2704	f77r.46	f77r.47	BODY	STATION	YES	NONE	AL	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
40	f81r:P1	f81r	f81r.1–.15	G407-S396	G407-S401	NO	G407-E2719	G407-E2778	f81r.1	f81r.10	STATION	STATION	NO	D_ADDR|LOCAL_CHAR_F|O	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
41	f81r:P2	f81r	f81r.16–.31	G407-S416	G407-S425	NO	G407-E2817	G407-E2843	f81r.17	f81r.21	BODY	STATION	YES	NONE	AL|L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
42	f81r:P2	f81r	f81r.16–.31	G407-S425	G407-S436	NO	G407-E2843	G407-E2912	f81r.21	f81r.30	STATION	STATION	NO	AL|L	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
43	f81v:P2	f81v	f81v.10–.27	G407-S455	G407-S455	YES	G407-E3012	G407-E3013	f81v.10	f81v.10	BODY	STATION	YES	NONE	A_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
44	f81v:P2	f81v	f81v.10–.27	G407-S455	G407-S458	NO	G407-E3013	G407-E3020	f81v.10	f81v.11	STATION	STATION	NO	A_ADDR	AIR|A_ADDR|D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
45	f81v:P2	f81v	f81v.10–.27	G407-S458	G407-S458	YES	G407-E3020	G407-E3030	f81v.11	f81v.11	STATION	STATION	NO	AIR|A_ADDR|D_ADDR	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
46	f81v:P2	f81v	f81v.10–.27	G407-S458	G407-S462	NO	G407-E3030	G407-E3040	f81v.11	f81v.13	STATION	BODY	YES	D_ADDR	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
47	f81v:P2	f81v	f81v.10–.27	G407-S462	G407-S468	NO	G407-E3040	G407-E3060	f81v.13	f81v.15	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
48	f81v:P2	f81v	f81v.10–.27	G407-S468	G407-S469	NO	G407-E3060	G407-E3071	f81v.15	f81v.16	BODY	STATION	YES	NONE	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
49	f81v:P2	f81v	f81v.10–.27	G407-S469	G407-S484	NO	G407-E3071	G407-E3125	f81v.16	f81v.22	STATION	STATION	NO	D_ADDR	AL	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
50	f81v:P2	f81v	f81v.10–.27	G407-S484	G407-S488	NO	G407-E3125	G407-E3149	f81v.22	f81v.25	STATION	STATION	NO	AL	L|O	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
51	f81v:P2	f81v	f81v.10–.27	G407-S488	G407-S489	NO	G407-E3149	G407-E3154	f81v.25	f81v.25	STATION	BODY	YES	L|O	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
52	f81v:P2	f81v	f81v.10–.27	G407-S489	G407-S490	NO	G407-E3154	G407-E3166	f81v.25	f81v.26	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
53	f82r:P1	f82r	f82r.1–.9	G407-S495	G407-S495	YES	G407-E3177	G407-E3182	f82r.1	f82r.1	STATION	BODY	YES	CARRIER_Q|D_ADDR|O	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
54	f82r:P1	f82r	f82r.1–.9	G407-S495	G407-S495	YES	G407-E3182	G407-E3184	f82r.1	f82r.1	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
55	f82r:P1	f82r	f82r.1–.9	G407-S495	G407-S505	NO	G407-E3184	G407-E3232	f82r.1	f82r.7	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
56	f82r:P1	f82r	f82r.1–.9	G407-S505	G407-S507	NO	G407-E3232	G407-E3238	f82r.7	f82r.8	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
57	f82r:P2	f82r	f82r.11–.19	G407-S513	G407-S521	NO	G407-E3270	G407-E3295	f82r.13	f82r.16	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
58	f82r:P3	f82r	f82r.20–.33	G407-S527	G407-S531	NO	G407-E3329	G407-E3341	f82r.20	f82r.21	STATION	STATION	NO	L	L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
59	f82r:P3	f82r	f82r.20–.33	G407-S531	G407-S531	YES	G407-E3341	G407-E3350	f82r.21	f82r.22	STATION	BODY	YES	L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
60	f82r:P3	f82r	f82r.20–.33	G407-S531	G407-S531	YES	G407-E3350	G407-E3357	f82r.22	f82r.23	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
61	f82r:P3	f82r	f82r.20–.33	G407-S531	G407-S538	NO	G407-E3357	G407-E3384	f82r.23	f82r.25	BODY	STATION	YES	NONE	AR|L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
62	f82r:P3	f82r	f82r.20–.33	G407-S538	G407-S538	YES	G407-E3384	G407-E3386	f82r.25	f82r.26	STATION	BODY	YES	AR|L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
63	f82r:P3	f82r	f82r.20–.33	G407-S538	G407-S548	NO	G407-E3386	G407-E3413	f82r.26	f82r.29	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
64	f82r:P3	f82r	f82r.20–.33	G407-S548	G407-S555	NO	G407-E3413	G407-E3433	f82r.29	f82r.31	BODY	STATION	YES	NONE	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
65	f82r:P3	f82r	f82r.20–.33	G407-S555	G407-S556	NO	G407-E3433	G407-E3445	f82r.31	f82r.32	STATION	BODY	YES	D_ADDR	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
66	f83r:P1	f83r	f83r.1–.8	G407-S559	G407-S559	YES	G407-E3463	G407-E3467	f83r.2	f83r.2	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
67	f83r:P1	f83r	f83r.1–.8	G407-S559	G407-S572	NO	G407-E3467	G407-E3512	f83r.2	f83r.7	BODY	STATION	YES	NONE	CARRIER_Q|D_ADDR|L	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
68	f83r:P1	f83r	f83r.1–.8	G407-S572	G407-S572	YES	G407-E3512	G407-E3517	f83r.7	f83r.7	STATION	STATION	NO	CARRIER_Q|D_ADDR|L	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
69	f83r:P2	f83r	f83r.9–.17	G407-S578	G407-S579	NO	G407-E3530	G407-E3534	f83r.9	f83r.9	STATION	STATION	NO	D_ADDR|L	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
70	f83r:P3	f83r	f83r.18–.24	G407-S597	G407-S599	NO	G407-E3611	G407-E3615	f83r.18	f83r.18	STATION	BODY	YES	D_ADDR|L	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
71	f83r:P3	f83r	f83r.18–.24	G407-S599	G407-S599	YES	G407-E3615	G407-E3616	f83r.18	f83r.18	BODY	STATION	YES	NONE	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
72	f83r:P3	f83r	f83r.18–.24	G407-S599	G407-S599	YES	G407-E3616	G407-E3618	f83r.18	f83r.18	STATION	STATION	NO	D_ADDR	D_ADDR	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
73	f83r:P3	f83r	f83r.18–.24	G407-S599	G407-S601	NO	G407-E3618	G407-E3629	f83r.18	f83r.19	STATION	BODY	YES	D_ADDR	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
74	f83r:P4	f83r	f83r.25–.30	G407-S624	G407-S627	NO	G407-E3693	G407-E3698	f83r.28	f83r.29	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
75	f83r:P5	f83r	f83r.31–.44	G407-S636	G407-S641	NO	G407-E3733	G407-E3746	f83r.36	f83r.39	BODY	BODY	NO	NONE	NONE	ADJACENT_BATH_Y_HOSTS_WITHIN_PHYSICAL_ZL3B_PARAGRAPH__NO_IMAGE_FLOW_CLAIM
