bath_host_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_id	paragraph_line_ordinal	paragraph_locus_range	host_ordinal_in_statement	surface	component_recipe	complete_host_values_written	direct_governor_tokens	written_root_sequence	carrier_slot_count	y_slot_count	direct_carrier_count	remote_carrier_count	body_blockers_present	gdt590_role	gdt590_y_lemma_sequence	gdt590_reader_clause_de	gdt590_changed	paragraph_boundary_inside_host	guard
11	ACTION:G407-E1574@2:SH	G407-E1574	G407-S115	f75r	f75r.17	f75r:P1	P1	17	f75r.1–.26	7	lshedary	L+SH+E+D_ADDR+AR+Y	L|SH|E|D_ADDR|AR|Y|AL	AR|D_ADDR|E|L|SH|Y	Y	1	1	1	0	AL|AR|D_ADDR|L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
12	ACTION:G407-E1576@1:SH	G407-E1576	G407-S115	f75r	f75r.17	f75r:P1	P1	17	f75r.1–.26	8	shal	SH+AL	SH|AL|Y	AL|SH	Y	1	1	0	1	AL	STATION	Stationsansatz	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
13	ACTION:G407-E1592@1:SH	G407-E1592	G407-S119	f75r	f75r.19	f75r:P1	P1	19	f75r.1–.26	2	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
14	ACTION:G407-E1594@1:SH	G407-E1594	G407-S119	f75r	f75r.19	f75r:P1	P1	19	f75r.1–.26	4	shey	SH+E+Y	SH|E|Y|E|Y	E|SH|Y	Y+Y	2	2	1	1	NONE	BODY	Körper|Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
15	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	f75r:P1	P1	20	f75r.1–.26	7	shey	SH+E+Y	SH|E|Y|OR|Y|L|Y|L|O|Y|AIN	E|SH|Y	Y+OR+Y+Y+Y+AIN	6	4	1	5	L|O	STATION	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	Halte den Stationsansatz, die Badeinheit und die Anwendungsportion im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
16	ACTION:G407-E1605@1:SH	G407-E1605	G407-S119	f75r	f75r.20	f75r:P1	P1	20	f75r.1–.26	8	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
17	ACTION:G407-E1611@2:SH	G407-E1611	G407-S119	f75r	f75r.21	f75r:P1	P1	21	f75r.1–.26	13	ysheor	Y+SH+E+OR	Y|SH|E|OR|L|OR|O|D_ADDR|AR	E|OR|SH|Y	Y+OR+OR	3	1	2	1	AR|D_ADDR|L|O	STATION	Stationsansatz	Halte den Stationsansatz und die Badeinheit im Bad in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
18	ACTION:G407-E1616@1:SH	G407-E1616	G407-S119	f75r	f75r.22	f75r:P1	P1	22	f75r.1–.26	16	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
19	ACTION:G407-E1620@1:SH	G407-E1620	G407-S119	f75r	f75r.22	f75r:P1	P1	22	f75r.1–.26	19	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
20	ACTION:G407-E1625@2:SH	G407-E1625	G407-S119	f75r	f75r.23	f75r:P1	P1	23	f75r.1–.26	25	kshey	K+SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
21	ACTION:G407-E1628@2:SH	G407-E1628	G407-S119	f75r	f75r.23	f75r:P1	P1	23	f75r.1–.26	29	sshey	S+SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
22	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	f75r.26	f75r:P1	P1	26	f75r.1–.26	3	sheol	SH+E+OL	SH|AIN|Y|D_ADDR|AR|A_ADDR|Y	SH	AIN+Y+Y	3	2	0	3	AR|A_ADDR|D_ADDR	STATION	Stationsansatz|Stationsansatz	Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
23	ACTION:G407-E1711@3:SH	G407-E1711	G407-S135	f75r	f75r.32	f75r:P3	P3	1	f75r.32–.46	3	polshy	P+OL+SH+Y	SH|Y|AL	SH|Y	Y	1	1	1	0	AL	STATION	Stationsansatz	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
24	ACTION:G407-E1758@1:SH	G407-E1758	G407-S151	f75r	f75r.37	f75r:P3	P3	6	f75r.32–.46	1	sheety	SH+EE+T+Y	Y|SH|EE	EE|SH	Y	1	1	0	1	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
25	ACTION:G407-E1769@2:SH	G407-E1769	G407-S160	f75r	f75r.39	f75r:P3	P3	8	f75r.32–.46	1	yshedy	Y+SH+E+DY	Y|SH|E	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
26	ACTION:G407-E1789@1:SH	G407-E1789	G407-S173	f75r	f75r.42	f75r:P3	P3	11	f75r.32–.46	1	dshedy	SH+E+DY	Y|SH|E	E|SH	Y	1	1	0	1	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
27	ACTION:G407-E1795@2:SH	G407-E1795	G407-S177	f75r	f75r.43	f75r:P3	P3	12	f75r.32–.46	1	yshedy	Y+SH+E+DY	D_ADDR|OR|Y|SH|E	E|SH|Y	OR+Y	2	1	1	1	D_ADDR	STATION	Stationsansatz	Halte die Badeinheit und den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
28	ACTION:G407-E2404@1:SH	G407-E2404	G407-S312	f77r	f77r.10	f77r:P1	P1	2	f77r.9–.24	5	shey	SH+E+Y	SH|E|Y|AIIN	E|SH|Y	Y+AIIN	2	1	1	1	NONE	BODY	Körper	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	YES	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
29	ACTION:G407-E2435@2:SH	G407-E2435	G407-S324	f77r	f77r.13	f77r:P1	P1	5	f77r.9–.24	2	lsheedy	L+SH+EE+D_ADDR+Y	L|SH|EE|D_ADDR|Y	D_ADDR|EE|L|SH|Y	Y	1	1	1	0	D_ADDR|L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
30	ACTION:G407-E2468@1:SH	G407-E2468	G407-S340	f77r	f77r.17	f77r:P1	P1	9	f77r.9–.24	1	sheed	SH+EE+D_ADDR	SH|EE|D_ADDR|CARRIER_Q|EE|Y	D_ADDR|EE|SH	Y	1	1	0	1	CARRIER_Q|D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
31	ACTION:G407-E2476@2:SH	G407-E2476	G407-S341	f77r	f77r.18	f77r:P1	P1	10	f77r.9–.24	4	lshey	L+SH+E+Y	L|SH|E|Y|L|OR	E|L|SH|Y	Y+OR	2	1	1	1	L	STATION	Stationsansatz	Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
32	ACTION:G407-E2487@2:SH	G407-E2487	G407-S343	f77r	f77r.19	f77r:P1	P1	11	f77r.9–.24	1	lsheey	L+SH+EE+Y	L|Y|L|SH|EE|Y	EE|L|SH|Y	Y+Y	2	2	1	1	L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
33	ACTION:G407-E2499@1:SH	G407-E2499	G407-S346	f77r	f77r.20	f77r:P1	P1	12	f77r.9–.24	4	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
34	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	f77r.21	f77r:P1	P1	13	f77r.9–.24	3	shear	SH+E+AR	SH|E|AR|AIIN|Y	AR|E|SH	AIIN+Y	2	1	0	2	AR	STATION	Stationsansatz	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
35	ACTION:G407-E2517@1:SH	G407-E2517	G407-S353	f77r	f77r.22	f77r:P1	P1	14	f77r.9–.24	4	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
36	ACTION:G407-E2584@1:SH	G407-E2584	G407-S370	f77r	f77r.32	f77r:P2	P2	8	f77r.25–.37	5	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
37	ACTION:G407-E2625@1:SH	G407-E2625	G407-S379	f77r	f77r.37	f77r:P2	P2	13	f77r.25–.37	3	cheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
38	ACTION:G407-E2637@1:SH	G407-E2637	G407-S382	f77r	f77r.39	f77r:P3	P3	2	f77r.38–.48	3	cheey	SH+EE+Y	AIIN|SH|EE|Y	EE|SH|Y	AIIN+Y	2	1	1	1	NONE	BODY	Körper	Halte den Körper im Bad bei der angegebenen Füllung auf Grad II	YES	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
39	ACTION:G407-E2639@2:SH	G407-E2639	G407-S382	f77r	f77r.39	f77r:P3	P3	2	f77r.38–.48	7	lsheey	L+SH+EE+Y	L|SH|EE|Y	EE|L|SH|Y	Y	1	1	1	0	L	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
40	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	f77r.41	f77r:P3	P3	4	f77r.38–.48	3	sh	SH	AIIN|SH|Y	SH	AIIN+Y	2	1	0	2	NONE	BODY	Körper	Halte den Körper im Bad bei der angegebenen Füllung	YES	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
41	ACTION:G407-E2677@1:SH	G407-E2677	G407-S392	f77r	f77r.44	f77r:P3	P3	7	f77r.38–.48	2	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
42	ACTION:G407-E2682@1:SH	G407-E2682	G407-S392	f77r	f77r.44	f77r:P3	P3	7	f77r.38–.48	8	cheey	SH+EE+Y	SH|EE|Y|L|Y|Y	EE|SH|Y	Y+Y+Y	3	3	1	2	L	STATION	Stationsansatz|Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
43	ACTION:G407-E2697@5:SH	G407-E2697	G407-S392	f77r	f77r.46	f77r:P3	P3	9	f77r.38–.48	23	chlchpsheey	CH+L+CH+P+SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
44	ACTION:G407-E2704@2:SH	G407-E2704	G407-S392	f77r	f77r.47	f77r:P3	P3	10	f77r.38–.48	30	ysheey	Y+SH+EE+Y	Y|SH|EE|Y|AL	EE|SH|Y	Y+Y	2	2	2	0	AL	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
45	ACTION:G407-E2719@3:SH	G407-E2719	G407-S396	f81r	f81r.1	f81r:P1	P1	1	f81r.1–.15	1	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	O|LOCAL_CHAR_F|SH|D_ADDR|Y|Y	D_ADDR|LOCAL_CHAR_F|O|SH|Y	Y+Y	2	2	1	1	D_ADDR|LOCAL_CHAR_F|O	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
46	ACTION:G407-E2778@1:SH	G407-E2778	G407-S401	f81r	f81r.10	f81r:P1	P1	10	f81r.1–.15	1	cheey	SH+EE+Y	SH|EE|Y|AIN|L|Y	EE|SH|Y	Y+AIN+Y	3	2	1	2	L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz und die Anwendungsportion im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
47	ACTION:G407-E2817@1:SH	G407-E2817	G407-S416	f81r	f81r.17	f81r:P2	P2	2	f81r.16–.31	1	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
48	ACTION:G407-E2843@2:SH	G407-E2843	G407-S425	f81r	f81r.21	f81r:P2	P2	6	f81r.16–.31	8	olshey	OL+SH+E+Y	SH|Y|Y|L|AL	SH|Y	Y+Y	2	2	1	1	AL|L	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
49	ACTION:G407-E2912@3:SH	G407-E2912	G407-S436	f81r	f81r.30	f81r:P2	P2	15	f81r.16–.31	8	olkshdy	OL+K+SH+D_ADDR+Y	SH|D_ADDR|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
50	ACTION:G407-E2925@1:SH	G407-E2925	G407-S441	f81v	f81v.1	f81v:P1	P1	1	f81v.1–.9	2	shey	SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
51	ACTION:G407-E3012@3:SH	G407-E3012	G407-S455	f81v	f81v.10	f81v:P2	P2	1	f81v.10–.27	3	polshy	P+OL+SH+Y	SH|Y	SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
52	ACTION:G407-E3013@2:SH	G407-E3013	G407-S455	f81v	f81v.10	f81v:P2	P2	1	f81v.10–.27	4	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	A_ADDR|SH|Y	A_ADDR|SH|Y	Y	1	1	1	0	A_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Hauptstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
53	ACTION:G407-E3020@2:SH	G407-E3020	G407-S458	f81v	f81v.11	f81v:P2	P2	2	f81v.10–.27	3	yshey	Y+SH+E+Y	D_ADDR|AIR|A_ADDR|AM_ADDR|Y|SH|E|Y	E|SH|Y	Y+Y	2	2	2	0	AIR|A_ADDR|D_ADDR	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
54	ACTION:G407-E3030@2:SH	G407-E3030	G407-S458	f81v	f81v.11	f81v:P2	P2	2	f81v.10–.27	14	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	D_ADDR|SH|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
55	ACTION:G407-E3040@4:SH	G407-E3040	G407-S462	f81v	f81v.13	f81v:P2	P2	4	f81v.10–.27	2	ykeshey	Y+K+E+SH+E+Y	SH|E|Y	E|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad I	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
56	ACTION:G407-E3060@1:SH	G407-E3060	G407-S468	f81v	f81v.15	f81v:P2	P2	6	f81v.10–.27	7	sheey	SH+EE+Y	SH|EE|Y	EE|SH|Y	Y	1	1	1	0	NONE	BODY	Körper	Halte den Körper im Bad auf Grad II	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
57	ACTION:G407-E3071@2:SH	G407-E3071	G407-S469	f81v	f81v.16	f81v:P2	P2	7	f81v.10–.27	4	rshdy	R+SH+D_ADDR+Y	SH|D_ADDR|Y	D_ADDR|SH|Y	Y	1	1	1	0	D_ADDR	STATION	Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
58	ACTION:G407-E3125@1:SH	G407-E3125	G407-S484	f81v	f81v.22	f81v:P2	P2	13	f81v.10–.27	10	cheey	SH+EE+Y	SH|EE|Y|AL	EE|SH|Y	Y	1	1	1	0	AL	STATION	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
59	ACTION:G407-E3149@2:SH	G407-E3149	G407-S488	f81v	f81v.25	f81v:P2	P2	16	f81v.10–.27	1	oshedy	O+SH+E+Y	L|Y|O|SH|E|Y	E|O|SH|Y	Y+Y	2	2	1	1	L|O	STATION	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	NO	NONE	EXACT_COMPLETE_HOST__PHYSICAL_PARAGRAPH_SEPARATE_FROM_READER_BOUNDARY
