remote_attachment_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	gdt590_role	carrier_slot_id	carrier_source_event_id	carrier_surface	carrier_root	carrier_slot_position	attachment_geometry	lookahead_cards	effective_grammar_host_key	owner_boundary_crossed	statement_boundary_crossed	boundary_class	realization_scope	remote_means_de	guard
11	ACTION:G407-E1611@2:SH	G407-E1611	G407-S119	f75r	f75r.21	STATION	RUNNING:G407-E1613@2	G407-E1613	lor	OR	2	INHERITED_ACTION	0	ACTION:G407-E1611@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
12	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	f75r.26	STATION	RUNNING:G407-E1649@1	G407-E1649	dain	AIN	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E1648@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
13	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	f75r.26	STATION	RUNNING:G407-E1651@2	G407-E1651	qoly	Y	2	INHERITED_ACTION	0	ACTION:G407-E1648@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
14	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	f75r.26	STATION	RUNNING:G407-E1653@2	G407-E1653	ajy	Y	2	INHERITED_ACTION	0	ACTION:G407-E1648@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
15	ACTION:G407-E1758@1:SH	G407-E1758	G407-S151	f75r	f75r.37	BODY	RUNNING:G407-E1757@1	G407-E1757	dy	Y	1	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E1758@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
16	ACTION:G407-E1789@1:SH	G407-E1789	G407-S173	f75r	f75r.42	BODY	RUNNING:G407-E1788@1	G407-E1788	sy	Y	1	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E1789@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
17	ACTION:G407-E1795@2:SH	G407-E1795	G407-S177	f75r	f75r.43	STATION	RUNNING:G407-E1794@2	G407-E1794	dor	OR	2	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E1795@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
18	ACTION:G407-E2404@1:SH	G407-E2404	G407-S312	f77r	f77r.10	BODY	RUNNING:G407-E2405@2	G407-E2405	qotaiin	AIIN	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2404@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
19	ACTION:G407-E2468@1:SH	G407-E2468	G407-S340	f77r	f77r.17	STATION	RUNNING:G407-E2469@3	G407-E2469	qeey	Y	3	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2468@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
20	ACTION:G407-E2476@2:SH	G407-E2476	G407-S341	f77r	f77r.18	STATION	RUNNING:G407-E2479@1	G407-E2479	or	OR	1	INHERITED_ACTION	0	ACTION:G407-E2476@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
21	ACTION:G407-E2487@2:SH	G407-E2487	G407-S343	f77r	f77r.19	STATION	RUNNING:G407-E2486@2	G407-E2486	lchey	Y	2	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E2487@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
22	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	f77r.21	STATION	RUNNING:G407-E2509@2	G407-E2509	olaiiny	AIIN	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2508@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
23	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	f77r.21	STATION	RUNNING:G407-E2509@3	G407-E2509	olaiiny	Y	3	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2508@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
24	ACTION:G407-E2637@1:SH	G407-E2637	G407-S382	f77r	f77r.39	BODY	RUNNING:G407-E2636@2	G407-E2636	olaiin	AIIN	2	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E2637@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
25	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	f77r.41	BODY	RUNNING:G407-E2651@1	G407-E2651	daiin	AIIN	1	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E2652@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
26	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	f77r.41	BODY	RUNNING:G407-E2653@2	G407-E2653	qolchey	Y	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2652@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
27	ACTION:G407-E2682@1:SH	G407-E2682	G407-S392	f77r	f77r.44	STATION	RUNNING:G407-E2683@3	G407-E2683	loly	Y	3	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2682@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
28	ACTION:G407-E2682@1:SH	G407-E2682	G407-S392	f77r	f77r.44	STATION	RUNNING:G407-E2684@1	G407-E2684	dy	Y	1	INHERITED_ACTION	0	ACTION:G407-E2682@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
29	ACTION:G407-E2719@3:SH	G407-E2719	G407-S396	f81r	f81r.1	STATION	RUNNING:G407-E2720@2	G407-E2720	oly	Y	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2719@3:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
30	ACTION:G407-E2778@1:SH	G407-E2778	G407-S401	f81r	f81r.10	STATION	RUNNING:G407-E2779@2	G407-E2779	qotain	AIN	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2778@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
31	ACTION:G407-E2778@1:SH	G407-E2778	G407-S401	f81r	f81r.10	STATION	RUNNING:G407-E2780@2	G407-E2780	ly	Y	2	INHERITED_ACTION	0	ACTION:G407-E2778@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
32	ACTION:G407-E2843@2:SH	G407-E2843	G407-S425	f81r	f81r.21	STATION	RUNNING:G407-E2844@3	G407-E2844	otey	Y	3	PREVIOUS_CARD_ACTION	0	ACTION:G407-E2843@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
33	ACTION:G407-E3149@2:SH	G407-E3149	G407-S488	f81v	f81v.25	STATION	RUNNING:G407-E3148@2	G407-E3148	ly	Y	2	BOUNDED_NEXT_CARD_ACTION	1	ACTION:G407-E3149@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
34	ACTION:G407-E3154@1:SH	G407-E3154	G407-S489	f81v	f81v.25	BODY	RUNNING:G407-E3156@1	G407-E3156	chey	Y	1	INHERITED_ACTION	0	ACTION:G407-E3154@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
35	ACTION:G407-E3182@1:SH	G407-E3182	G407-S495	f82r	f82r.1	BODY	RUNNING:G407-E3183@1	G407-E3183	daiin	AIIN	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E3182@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
36	ACTION:G407-E3270@1:SH	G407-E3270	G407-S513	f82r	f82r.13	STATION	RUNNING:G407-E3271@2	G407-E3271	lchey	Y	2	PREVIOUS_CARD_ACTION	0	ACTION:G407-E3270@1:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
37	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	f82r.21	STATION	RUNNING:G407-E3342@1	G407-E3342	daiin	AIIN	1	PREVIOUS_CARD_ACTION	0	ACTION:G407-E3341@4:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
38	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	f82r.21	STATION	RUNNING:G407-E3343@1	G407-E3343	chey	Y	1	INHERITED_ACTION	0	ACTION:G407-E3341@4:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
39	ACTION:G407-E3512@2:SH	G407-E3512	G407-S572	f83r	f83r.7	STATION	RUNNING:G407-E3513@4	G407-E3513	qeeedy	Y	4	PREVIOUS_CARD_ACTION	0	ACTION:G407-E3512@2:SH	NO	NO	RUNNING_OBJECT_FUNCTION	PRIMARY_GOVERNOR	anderes Quellereignis als das Handlungsanker-Ereignis; keine Aussage über räumliche Distanz auf dem Blatt	FIXED_GDT581_ATTACHMENT__NO_REATTACHMENT__NO_OWNER_OR_STATEMENT_CROSS
