transition_ordinal	statement_id	physical_page	paragraph_key	from_event_id	to_event_id	from_surface	to_surface	from_role	to_role	from_blockers	to_blockers	role_switch	new_governor	physical_same_paragraph	intervening_host_count	intervening_control_count	intervening_control_roots	intervening_reader_boundary_count	intervening_reader_boundaries	switch_license	working_transition_de	guard
11	G407-S119	f75r	f75r:P1	G407-E1616	G407-E1620	shey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	2	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
12	G407-S119	f75r	f75r:P1	G407-E1620	G407-E1625	shey	kshey	BODY	BODY	NONE	NONE	NO	YES	YES	5	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
13	G407-S119	f75r	f75r:P1	G407-E1625	G407-E1628	kshey	sshey	BODY	BODY	NONE	NONE	NO	YES	YES	3	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
14	G407-S382	f77r	f77r:P3	G407-E2637	G407-E2639	cheey	lsheey	BODY	STATION	NONE	L	YES	YES	YES	3	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
15	G407-S392	f77r	f77r:P3	G407-E2677	G407-E2682	sheey	cheey	BODY	STATION	NONE	L	YES	YES	YES	5	1	OL	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
16	G407-S392	f77r	f77r:P3	G407-E2682	G407-E2697	cheey	chlchpsheey	STATION	BODY	L	NONE	YES	YES	YES	14	2	OL|OL	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
17	G407-S392	f77r	f77r:P3	G407-E2697	G407-E2704	chlchpsheey	ysheey	BODY	STATION	NONE	AL	YES	YES	YES	6	1	OT	1	PARAGRAPH_AFTER	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
18	G407-S455	f81v	f81v:P2	G407-E3012	G407-E3013	polshy	ashyteed	BODY	STATION	NONE	A_ADDR	YES	YES	YES	0	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
19	G407-S458	f81v	f81v:P2	G407-E3020	G407-E3030	yshey	dsholyd	STATION	STATION	AIR|A_ADDR|D_ADDR	D_ADDR	NO	YES	YES	10	1	OL	0	NONE	SAME_ROLE	STATION → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
20	G407-S495	f82r	f82r:P1	G407-E3177	G407-E3182	qosheedy	cheey	STATION	BODY	CARRIER_Q|D_ADDR|O	NONE	YES	YES	YES	7	1	OL	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
21	G407-S495	f82r	f82r:P1	G407-E3182	G407-E3184	cheey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	0	0	NONE	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
22	G407-S531	f82r	f82r:P3	G407-E3341	G407-E3350	salshey	sheey	STATION	BODY	L	NONE	YES	YES	YES	6	1	OL	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
23	G407-S531	f82r	f82r:P3	G407-E3350	G407-E3357	sheey	cheey	BODY	BODY	NONE	NONE	NO	YES	YES	9	1	OL	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
24	G407-S538	f82r	f82r:P3	G407-E3384	G407-E3386	sheey	tshey	STATION	BODY	AR|L	NONE	YES	YES	YES	1	0	NONE	0	NONE	BLOCKER_STATE_CHANGES_WITH_ROLE	STATION → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
25	G407-S559	f83r	f83r:P1	G407-E3463	G407-E3467	cheey	shey	BODY	BODY	NONE	NONE	NO	YES	YES	5	1	OL	0	NONE	SAME_ROLE	BODY → BODY	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
26	G407-S572	f83r	f83r:P1	G407-E3512	G407-E3517	lsheedy	rsheedy	STATION	STATION	CARRIER_Q|D_ADDR|L	D_ADDR	NO	YES	YES	4	1	OL	0	NONE	SAME_ROLE	STATION → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
27	G407-S599	f83r	f83r:P3	G407-E3615	G407-E3616	opshedy	otshdy	BODY	STATION	NONE	D_ADDR	YES	YES	YES	1	1	OT	1	PARAGRAPH_AFTER	BLOCKER_STATE_CHANGES_WITH_ROLE	BODY → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
28	G407-S599	f83r	f83r:P3	G407-E3616	G407-E3618	otshdy	shdy	STATION	STATION	D_ADDR	D_ADDR	NO	YES	YES	3	1	OL	0	NONE	SAME_ROLE	STATION → STATION	ADJACENT_BATH_Y_HOSTS_WITHIN_STATEMENT__DESCRIPTIVE_REPLAY_NOT_EDGE_EVIDENCE
