scope	record	at	word	G	M	R	row_status
RECORD	f6v|f6v.6-f6v.21	f6v.13:5	oees	⟦oees⟧	⟦oees⟧	⟦oees⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.13:6	or	⟦or⟧	⟦or⟧	⟦or⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.14:1	qokor	⟦qokor⟧	⟦qokor⟧	⟦qokor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.14:2	chol	trocken	trocken	trocken	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.14:3	cthol	Trockenmaterial	Trockenmaterial	Trockenmaterial	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.14:4	tchalody	⟦tchalody⟧	⟦tchalody⟧	⟦tchalody⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	⟦chockhy⟧	⟦chockhy⟧	⟦chockhy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:2	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:3	or	⟦or⟧	⟦or⟧	⟦or⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:4	chy	Wasser	Wasser	Wasser	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:5	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:6	ain	⟦ain⟧	⟦ain⟧	⟦ain⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.15:7	ar	⟦ar⟧	⟦ar⟧	⟦ar⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.16:1	ochy	⟦ochy⟧	⟦ochy⟧	⟦ochy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.16:2	cthar	⟦cthar⟧	⟦cthar⟧	⟦cthar⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.16:3	cth[a:o]r	⟦cth[a:o]r⟧	⟦cth[a:o]r⟧	⟦cth[a:o]r⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.16:4	cthy	Kraut	Kraut	Kraut	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.17:1	y	⟦y⟧	⟦y⟧	⟦y⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.17:2	chaies	⟦chaies⟧	⟦chaies⟧	⟦chaies⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.17:3	ckhal	⟦ckhal⟧	⟦ckhal⟧	⟦ckhal⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.17:4	cthodam	⟦cthodam⟧	⟦cthodam⟧	⟦cthodam⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.17:5	dy	⟦dy⟧	⟦dy⟧	⟦dy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.18:1	ytchocthol	⟦ytchocthol⟧	⟦ytchocthol⟧	⟦ytchocthol⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.18:2	ches	⟦ches⟧	⟦ches⟧	⟦ches⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.18:3	{ith}or	⟦{ith}or⟧	⟦{ith}or⟧	⟦{ith}or⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.19:1	ocholy	⟦ocholy⟧	⟦ocholy⟧	⟦ocholy⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.19:2	kchos	⟦kchos⟧	⟦kchos⟧	⟦kchos⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.19:3	chy	Wasser	Wasser	Wasser	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.19:4	dor	⟦dor⟧	⟦dor⟧	⟦dor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.20:1	dchor	⟦dchor⟧	⟦dchor⟧	⟦dchor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.20:2	choldar	⟦choldar⟧	⟦choldar⟧	⟦choldar⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.20:3	okol	⟦okol⟧	⟦okol⟧	⟦okol⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.20:4	daiin	Wasser: ? im Grad C [Skala offen] [fehlend=quality]	Wasser: Menge C·U [fehlend=]	Masse(Wasser) / Masse(Kraut) = C [fehlend=]	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.21:1	ycheor	⟦ycheor⟧	⟦ycheor⟧	⟦ycheor⟧	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.21:2	chor	Blüten	Blüten	Blüten	recorded
RECORD	f6v|f6v.6-f6v.21	f6v.21:3	octham	⟦octham⟧	⟦octham⟧	⟦octham⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:1	pchor	⟦pchor⟧	⟦pchor⟧	⟦pchor⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:2	ypcheey	⟦ypcheey⟧	⟦ypcheey⟧	⟦ypcheey⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:3	qotor	⟦qotor⟧	⟦qotor⟧	⟦qotor⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:4	ypchy	⟦ypchy⟧	⟦ypchy⟧	⟦ypchy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:5	olcfholy	⟦olcfholy⟧	⟦olcfholy⟧	⟦olcfholy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:6	t[o:e]	⟦t[o:e]⟧	⟦t[o:e]⟧	⟦t[o:e]⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:7	ar	⟦ar⟧	⟦ar⟧	⟦ar⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:8	chty	⟦chty⟧	⟦chty⟧	⟦chty⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.5:9	daiiin	⟦daiiin⟧	⟦daiiin⟧	⟦daiiin⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:1	odol	⟦odol⟧	⟦odol⟧	⟦odol⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:2	choy	⟦choy⟧	⟦choy⟧	⟦choy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:3	ksheody	⟦ksheody⟧	⟦ksheody⟧	⟦ksheody⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:4	chody	⟦chody⟧	⟦chody⟧	⟦chody⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:5	da[in:iin]	⟦da[in:iin]⟧	⟦da[in:iin]⟧	⟦da[in:iin]⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:6	otchy	⟦otchy⟧	⟦otchy⟧	⟦otchy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:7	cthod	⟦cthod⟧	⟦cthod⟧	⟦cthod⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.6:8	yko	⟦yko⟧	⟦yko⟧	⟦yko⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:1	qo	⟦qo⟧	⟦qo⟧	⟦qo⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:2	chol	trocken	trocken	trocken	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:3	chol	trocken	trocken	trocken	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:4	{ct}chy	⟦{ct}chy⟧	⟦{ct}chy⟧	⟦{ct}chy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:5	daiin	?: trocken im Grad C [Skala offen] [fehlend=material]	?: Menge C·U [fehlend=material]	Masse(?) / Masse(?) = C [fehlend=material,denominator]	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:6	otal	⟦otal⟧	⟦otal⟧	⟦otal⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:7	dor	⟦dor⟧	⟦dor⟧	⟦dor⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.7:8	daim	⟦daim⟧	⟦daim⟧	⟦daim⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:1	soiin	⟦soiin⟧	⟦soiin⟧	⟦soiin⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:2	daiin	?: trocken im Grad C [Skala offen] [fehlend=material]	?: Menge C·U [fehlend=material]	Masse(?) / Masse(?) = C [fehlend=material,denominator]	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:3	qokcho	⟦qokcho⟧	⟦qokcho⟧	⟦qokcho⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:4	rokyd	⟦rokyd⟧	⟦rokyd⟧	⟦rokyd⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.8:5	daly	⟦daly⟧	⟦daly⟧	⟦daly⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:1	daiin	?: trocken im Grad C [Skala offen] [fehlend=material]	?: Menge C·U [fehlend=material]	Masse(?) / Masse(?) = C [fehlend=material,denominator]	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:2	chy	Wasser	Wasser	Wasser	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:3	tor	⟦tor⟧	⟦tor⟧	⟦tor⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:4	chyty	⟦chyty⟧	⟦chyty⟧	⟦chyty⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:5	dary	⟦dary⟧	⟦dary⟧	⟦dary⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.9:6	ytoldy	⟦ytoldy⟧	⟦ytoldy⟧	⟦ytoldy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.10:1	oty	⟦oty⟧	⟦oty⟧	⟦oty⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.10:2	kchol	⟦kchol⟧	⟦kchol⟧	⟦kchol⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.10:3	chol	trocken	trocken	trocken	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.10:4	chy	Wasser	Wasser	Wasser	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.10:5	kyty	⟦kyty⟧	⟦kyty⟧	⟦kyty⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.11:1	ychor	⟦ychor⟧	⟦ychor⟧	⟦ychor⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.11:2	chshoty	⟦chshoty⟧	⟦chshoty⟧	⟦chshoty⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.11:3	oky	⟦oky⟧	⟦oky⟧	⟦oky⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.11:4	kaiin	⟦kaiin⟧	⟦kaiin⟧	⟦kaiin⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.12:1	chkaiin	⟦chkaiin⟧	⟦chkaiin⟧	⟦chkaiin⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.12:2	ckhy	⟦ckhy⟧	⟦ckhy⟧	⟦ckhy⟧	recorded
RECORD	f9v|f9v.5-f9v.12	f9v.12:3	chor	Blüten	Blüten	Blüten	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:1	pchodol	⟦pchodol⟧	⟦pchodol⟧	⟦pchodol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:2	chor	Blüten	Blüten	Blüten	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:3	pchy	⟦pchy⟧	⟦pchy⟧	⟦pchy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:4	opydaiin	⟦opydaiin⟧	⟦opydaiin⟧	⟦opydaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:5	odal	⟦odal⟧	⟦odal⟧	⟦odal⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.1:6	dy	⟦dy⟧	⟦dy⟧	⟦dy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:1	ycheey	⟦ycheey⟧	⟦ycheey⟧	⟦ycheey⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:2	keeor	⟦keeor⟧	⟦keeor⟧	⟦keeor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:3	cthodal	⟦cthodal⟧	⟦cthodal⟧	⟦cthodal⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:4	okol	⟦okol⟧	⟦okol⟧	⟦okol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:5	odaiin	Zusatzportion	Zusatzportion	Zusatzportion	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.2:6	okal	⟦okal⟧	⟦okal⟧	⟦okal⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:1	oldaig	⟦oldaig⟧	⟦oldaig⟧	⟦oldaig⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:2	odaiin	Zusatzportion	Zusatzportion	Zusatzportion	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:3	okal	⟦okal⟧	⟦okal⟧	⟦okal⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:4	oldaiin	⟦oldaiin⟧	⟦oldaiin⟧	⟦oldaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:5	chockhol	⟦chockhol⟧	⟦chockhol⟧	⟦chockhol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.3:6	olol	⟦olol⟧	⟦olol⟧	⟦olol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.4:1	kchor	⟦kchor⟧	⟦kchor⟧	⟦kchor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.4:2	fchol	⟦fchol⟧	⟦fchol⟧	⟦fchol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.4:3	cphol	⟦cphol⟧	⟦cphol⟧	⟦cphol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.4:4	olcheol	⟦olcheol⟧	⟦olcheol⟧	⟦olcheol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.4:5	ok[eee:eeee]y	⟦ok[eee:eeee]y⟧	⟦ok[eee:eeee]y⟧	⟦ok[eee:eeee]y⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:1	ychol	⟦ychol⟧	⟦ychol⟧	⟦ychol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:2	chol	trocken	trocken	trocken	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:3	dolcheey	⟦dolcheey⟧	⟦dolcheey⟧	⟦dolcheey⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:4	tchol	⟦tchol⟧	⟦tchol⟧	⟦tchol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:5	dar	⟦dar⟧	⟦dar⟧	⟦dar⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.5:6	ckhy	⟦ckhy⟧	⟦ckhy⟧	⟦ckhy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:1	oekor	⟦oekor⟧	⟦oekor⟧	⟦oekor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:2	or	⟦or⟧	⟦or⟧	⟦or⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:3	okaiin	Ansatz	Ansatz	Ansatz	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:4	or	⟦or⟧	⟦or⟧	⟦or⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:5	otaiin	⟦otaiin⟧	⟦otaiin⟧	⟦otaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.6:6	d	⟦d⟧	⟦d⟧	⟦d⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:1	sor	⟦sor⟧	⟦sor⟧	⟦sor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:2	chkeey	⟦chkeey⟧	⟦chkeey⟧	⟦chkeey⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:3	poiis	⟦poiis⟧	⟦poiis⟧	⟦poiis⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:4	cheor	⟦cheor⟧	⟦cheor⟧	⟦cheor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:5	os	⟦os⟧	⟦os⟧	⟦os⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:6	s	⟦s⟧	⟦s⟧	⟦s⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.7:7	aiin	⟦aiin⟧	⟦aiin⟧	⟦aiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:1	qokeey	⟦qokeey⟧	⟦qokeey⟧	⟦qokeey⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:2	kchar	⟦kchar⟧	⟦kchar⟧	⟦kchar⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:3	ol	⟦ol⟧	⟦ol⟧	⟦ol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:4	dy	⟦dy⟧	⟦dy⟧	⟦dy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:5	choldaiin	⟦choldaiin⟧	⟦choldaiin⟧	⟦choldaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.8:6	sy	⟦sy⟧	⟦sy⟧	⟦sy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.9:1	ycheol	⟦ycheol⟧	⟦ycheol⟧	⟦ycheol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.9:2	shol	feucht	feucht	feucht	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.9:3	kchol	⟦kchol⟧	⟦kchol⟧	⟦kchol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.9:4	choltaiin	⟦choltaiin⟧	⟦choltaiin⟧	⟦choltaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.9:5	ol	⟦ol⟧	⟦ol⟧	⟦ol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:1	oytor	⟦oytor⟧	⟦oytor⟧	⟦oytor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:2	okeor	⟦okeor⟧	⟦okeor⟧	⟦okeor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:3	okar	⟦okar⟧	⟦okar⟧	⟦okar⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:4	okol	⟦okol⟧	⟦okol⟧	⟦okol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:5	daiir	⟦daiir⟧	⟦daiir⟧	⟦daiir⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.10:6	a[r:m]	⟦a[r:m]⟧	⟦a[r:m]⟧	⟦a[r:m]⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.11:1	qokcheo	⟦qokcheo⟧	⟦qokcheo⟧	⟦qokcheo⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.11:2	qokoiir	⟦qokoiir⟧	⟦qokoiir⟧	⟦qokoiir⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.11:3	ctheol	⟦ctheol⟧	⟦ctheol⟧	⟦ctheol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.11:4	chol	trocken	trocken	trocken	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:1	oy	⟦oy⟧	⟦oy⟧	⟦oy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:2	choy	⟦choy⟧	⟦choy⟧	⟦choy⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:3	keaiin	⟦keaiin⟧	⟦keaiin⟧	⟦keaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:4	chckhey	⟦chckhey⟧	⟦chckhey⟧	⟦chckhey⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:5	ol	⟦ol⟧	⟦ol⟧	⟦ol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.12:6	chor	Blüten	Blüten	Blüten	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:1	ykeor	⟦ykeor⟧	⟦ykeor⟧	⟦ykeor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:2	chol	trocken	trocken	trocken	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:3	chol	trocken	trocken	trocken	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:4	cthol	Trockenmaterial	Trockenmaterial	Trockenmaterial	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:5	chkor	⟦chkor⟧	⟦chkor⟧	⟦chkor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.13:6	sheol	⟦sheol⟧	⟦sheol⟧	⟦sheol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:1	olo	⟦olo⟧	⟦olo⟧	⟦olo⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:2	r	⟦r⟧	⟦r⟧	⟦r⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:3	okeeol	⟦okeeol⟧	⟦okeeol⟧	⟦okeeol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:4	chodaiin	⟦chodaiin⟧	⟦chodaiin⟧	⟦chodaiin⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:5	okeol	⟦okeol⟧	⟦okeol⟧	⟦okeol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.14:6	tchory	⟦tchory⟧	⟦tchory⟧	⟦tchory⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:1	ychor	⟦ychor⟧	⟦ychor⟧	⟦ychor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:2	cthy	Kraut	Kraut	Kraut	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:3	che'eky	⟦che'eky⟧	⟦che'eky⟧	⟦che'eky⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:4	cheo	⟦cheo⟧	⟦cheo⟧	⟦cheo⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:5	otor	⟦otor⟧	⟦otor⟧	⟦otor⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.15:6	oteol	⟦oteol⟧	⟦oteol⟧	⟦oteol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.16:1	okcheol	⟦okcheol⟧	⟦okcheol⟧	⟦okcheol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.16:2	chol	trocken	trocken	trocken	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.16:3	okeol	⟦okeol⟧	⟦okeol⟧	⟦okeol⟧	recorded
RECORD	f17v|f17v.1-f17v.23	f17v.16:4	cthol	Trockenmaterial	Trockenmaterial	Trockenmaterial	recorded
