form_id	frame_id	frozen_frame	frame_working_meaning_de	observed_clause_de	carrier_count	event_ids	page_count	pages	register_count	registers	owner_class_count	owner_classes	surfaces	templates	all_roundtrip_exact	observed_not_invented
G490-P11	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	1	G407-E4490	1	f95v	1	HERBAL	1	GANZPFLANZE	tchedy	MULTI_ACTION	YES	YES
G490-P12	G490-F07	@ACTION+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	Stelle den Stationsposten ein und bearbeite den Stationsposten.	4	G407-E1665|G407-E3455|G407-E3597|G407-E3659	2	f75r|f83r	1	BIOLOGICAL	2	BAD_ODER_BECKENFELD|LOKALE_STATIONSGRUPPE	tchedy	MULTI_ACTION	YES	YES
G490-P13	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter lege den laufenden Eintrag [wie zuvor] fest.	1	G407-E0150	1	f1r	1	SOURCE_SECTION_T	1	TEXTBLOCK	tol	ORDERED_ACTION	YES	YES
G490-P14	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Arbeitswert [wie zuvor] ein.	1	G407-E0339	1	f11r	1	HERBAL	1	WURZEL_UND_GANZPFLANZE	tchol	ORDERED_ACTION	YES	YES
G490-P15	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Drogenanteil [wie zuvor] ein.	1	G407-E4032	1	f88v	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	tol	ORDERED_ACTION	YES	YES
G490-P16	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Drogenposten [wie zuvor] ein.	1	G407-E4218	1	f89r	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	tol	ORDERED_ACTION	YES	YES
G490-P17	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Pflanzenposten [wie zuvor] ein.	2	G407-E0852|G407-E0880	1	f56r	1	HERBAL	1	KOPFSTADIEN_UND_GANZPFLANZE	tchol	ORDERED_ACTION	YES	YES
G490-P18	G490-F08	@ACTION+OL	EINSTELLEN · FORTSETZEN	Weiter stelle den Stationsposten [wie zuvor] ein.	1	G407-E3683	1	f83r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	tol	ORDERED_ACTION	YES	YES
G490-P19	G490-F09	@ACTION+OR+Y	EINSTELLEN · EINHEIT · POSTEN	Stelle die Arbeitseinheit und den Pflanzenposten ein.	1	G407-E0428	1	f13r	1	HERBAL	1	WURZEL_UND_GANZPFLANZE	torchy	ACTION_ARGUMENT	YES	YES
G490-P20	G490-F10	@ACTION+Y	EINSTELLEN · POSTEN	Stelle den Pflanzenposten ein.	2	G407-E0235|G407-E0402	2	f10r|f13r	1	HERBAL	1	WURZEL_UND_GANZPFLANZE	tchy|tshy	ACTION_ARGUMENT	YES	YES
G490-P21	G490-F10	@ACTION+Y	EINSTELLEN · POSTEN	Stelle den Stationsposten ein.	1	G407-E3670	1	f83r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	chety	ACTION_ARGUMENT	YES	YES
G490-P22	G490-F11	CH+@ACTION	NEHMEN · EINSTELLEN	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	1	G407-E0273	1	f10r	1	HERBAL	1	WURZEL_UND_GANZPFLANZE	cth	MULTI_ACTION	YES	YES
