card_no	surfaces	component_recipe	compact_atomic_reading_de	historical_layers	composition_mode	events	pages
PROC044	ykaiin	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f55v
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f55v
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f55v|f83r
PROC047	oldy	OL+DY	FORTSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f55v|f83r
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	6	f55v|f81v|f82r|f83r
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	RELATION_ADDRESS_SIGN+OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f55v
PROC050	orain	OR+AIN	ANSATZ · PORTION	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f55v
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	STATE_OBJECT_SIGN+OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC052	cho|sho	HO	ZUTAT	STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	4	f56r
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIEL · DIES	STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f56r
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIEL	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	10	f56r|f81v|f82r|f83r
PROC056	choy	HO+Y	ZUTAT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f56r
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f56r
PROC058	sh	SH	HALTEN	OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f56r
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f56r
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC062	kchal	K+AL	ZUDOSIEREN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC064	sotodan	OT+O+AIN	DANACH · GANG · PORTION	RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC065	otchey	OT+Y	DANACH · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f56r|f83r
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f56r
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	8	f81v|f83r
PROC068	kair	K+AIR	ZUDOSIEREN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	3	f81v|f83r
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	RELATION_ADDRESS_SIGN+OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	2	f81v|f83r
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC072	dl	L	WEITERLEITEN	OPERATION_SIGN	PRODUCTIVE_COMPOSITION	2	f81v
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIEL	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	4	f81v|f82r
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	4	f81v|f82r|f83r
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f81v
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	12	f81v|f82r|f83r
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	3	f81v|f82r|f83r
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	7	f81v|f82r|f83r
PROC081	ral	R+AL	KUEHLEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	3	f81v|f83r
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	3	f81v|f83r
PROC084	lsho	LSH+O	WASCHEN · GANG	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f81v|f82r
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f81v
PROC087	qolky	SOLK+Y	AUFFANGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f81v
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC089	otar	OT+AR	DANACH · QUELLE	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f81v
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f81v|f83r
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	7	f81v|f82r|f83r
PROC093	teol	E+OL	KURZ · FORTSETZEN	BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f81v
PROC095	ly	L+Y	WEITERLEITEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f81v
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f81v
PROC097	oiiin|soiiin	O+IIN	GANG · STUFE	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	2	f81v|f83r
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	3	f81v|f83r
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	3	f81v|f83r
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	10	f82r|f83r
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	OPERATION_SIGN+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	OPERATION_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIEL · DIES	OPERATION_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC106	octheol	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	STATE_OBJECT_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC108	ldy	L+DY	WEITERLEITEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f82r|f83r
PROC109	oteey	OT+EE+Y	DANACH · LANG · DIES	RELATION_ADDRESS_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f82r
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · MASS	RELATION_ADDRESS_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	3	f82r|f83r
PROC113	qokar	OK+AR	ANSETZEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC115	ls	OL	FORTSETZEN	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · DIES	STATE_OBJECT_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	2	f82r|f83r
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	8	f82r|f83r
PROC121	lar	L+AR	WEITERLEITEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC122	tshey	SH+E+Y	HALTEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f82r
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	OPERATION_SIGN+BOUND_GRADE	COMPOSITION_WITH_SINGLETON_ATOM	1	f82r
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f82r
PROC127	daldy	AL+DY	ZIEL · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC128	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f82r|f83r
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f82r
PROC131	otal|qotal	OT+AL	DANACH · ZIEL	RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	3	f83r
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC133	chedchy	CHD+Y	UMSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f83r
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC137	chary	AR+Y	QUELLE · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC138	okair	OK+AIR	ANSETZEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC139	sheedy	SH+EE+DY	HALTEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC140	lo	L+O	WEITERLEITEN · GANG	OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC142	shedal	SHED+AL	ABSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	2	f83r
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	PRODUCTIVE_COMPOSITION	1	f83r
PROC144	dalchdy	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	1	f83r
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	PRODUCTIVE_COMPOSITION	2	f83r
PROC146	cheedar	EE+AR	LANG · QUELLE	BOUND_GRADE+RELATION_ADDRESS_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC147	chldaiin	L+AIIN	WEITERLEITEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
PROC148	chealror	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	RELATION_ADDRESS_SIGN+OPERATION_SIGN+STATE_OBJECT_SIGN	PRODUCTIVE_COMPOSITION	1	f83r
