dictionary_order	master_card_id	master_form	registered_surface_family	semantic_atoms	atomic_default_de	atomic_unit_count	original_short_default_de	revision_status	productivity_tier	composition_policy
23	MC023	kair	kair	AIR	Lauf	1	Beckenwasser	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
24	MC024	qokol	qokol	OK+OL	ansetzen+weiter	2	Fortsetzung ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
25	MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	umsetzen+Schluss	2	Posten überführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
26	MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	2	aktuellen Posten ansetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
27	MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	3	aktuellen Ansatz bearbeiten	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
28	MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	weiter+umsetzen+Schluss	3	weiterüberführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
29	MC029	lar	lar	L+AR	abführen+Quelle	2	von dort abfuehren	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
30	MC030	lo	lo	L	abführen	1	abfuehren	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
31	MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	3	dorthin umsetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
32	MC032	cheeky	cheeky	CHK+EE+Y	wärmen+länger+Posten	3	länger erwärmen und offen halten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
33	MC033	oiiin	oiiin|soiiin	IIN	Stufe	1	Sollstufe	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
34	MC034	cho	cho|sho	HO	Zutat	1	Zutat	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
35	MC035	chckhy	chckhy|shckhy	CKH+Y	Durchlass+Posten	2	durchleiten	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
36	MC036	solkaiin	solkaiin	SOLK+AIIN	sammeln+Sollmaß	2	bis Sollmass sammeln	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
37	MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	2	Eingangsposten beiseitestellen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
38	MC038	lshedy	lshedy	WASH+CLOSE	waschen+Schluss	2	waschen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
39	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	1	Sollmaß	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
40	MC040	okal	okal|qokal	OK+AL	ansetzen+Ziel	2	dort ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
41	MC041	okchol	okchol	OK+OL	ansetzen+weiter	2	weiterlaufenden Posten aufnehmen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
42	MC042	cheedar	cheedar	CHD+AR	umsetzen+Quelle	2	von dort umsetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
43	MC043	shecthedchy	shecthedchy	CTH+CHD+Y	bereit+umsetzen+Posten	3	bereiten Posten umsetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
44	MC044	qokar	qokar	OK+AR	ansetzen+Quelle	2	daraus ansetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
45	MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	sammeln+länger+Schluss	3	länger sammeln; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
46	MC046	raly	raly	AL+Y	Ziel+Posten	2	diesen Posten dorthin	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
47	MC047	ykain	ykain	Y+AIN	Posten+Anteil	2	Postenportion	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
48	MC048	kaiiin	kaiiin	IIN	Stufe	1	Weichstufe	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
49	MC049	schoal	schoal	HO+AL	Zutat+Ziel	2	Zutat an die Arbeitsstelle geben	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
50	MC050	solkey	solkey	SOLK+E+Y	sammeln+kurz+Posten	3	kurz sammeln	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
51	MC051	lchedal	lchedal	L+CHD+AL	abführen+umsetzen+Ziel	3	zur Ablaufstelle führen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
52	MC052	qekey	qekey	KCH+E+Y	bearbeiten+kurz+Posten	3	aktuellen Posten kurz bearbeiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
53	MC053	otol	otol	OT+OL	danach+weiter	2	danach fortsetzen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
54	MC054	qokaly	qokaly	OK+AL+Y	ansetzen+Ziel+Posten	3	dies dort ansetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
55	MC055	char	char|dar|sar	AR	Quelle	1	aus dem Ansatz	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
56	MC056	ral	ral	AL	Ziel	1	zur Zielstelle	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
57	MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	danach+umsetzen+Schluss	3	nächsten Posten überführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
58	MC058	sheckhal	sheckhal	CKH+E+AL	Durchlass+kurz+Ziel	3	kurz zur Zielstelle durchleiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
59	MC059	dain	dain	DAIN	Tuch	1	Tuch	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
60	MC060	otaiin	otaiin|sotaiin	OT+AIIN	danach+Sollmaß	2	Folgemaß	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
61	MC061	sshkchdy	sshkchdy	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	4	im Arbeitsgang schwenken; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
62	MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	3	Zutatenteil	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
63	MC063	oteey	oteey	OT+EE+Y	danach+länger+Posten	3	langer Folgeposten	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
64	MC064	chedchy	chedchy	CHD+Y	umsetzen+Posten	2	diesen Posten überführen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
65	MC065	ls	ls	L	abführen	1	Durchlassöffnung	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
66	MC066	lcheey	lcheey	L+CHEEY	abführen+Ergebnis	2	Klarlauf abfuehren	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
67	MC067	otchdy	otchdy	OT+CHD+CLOSE	danach+umsetzen+Schluss	3	Folgegang vollziehen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
68	MC068	sotodan	sotodan	OT+DAN	danach+anwenden	2	danach anwenden	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
69	MC069	otytchol	otytchol	OT+TY+OL	danach+Teil+weiter	3	naechsten Teilposten weiterfuehren	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
70	MC070	pchedy	pchedy	P+CHD+CLOSE	zuführen+umsetzen+Schluss	3	einführen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
71	MC071	dchey	dchey	DCHE+Y	Wurzel+Posten	2	Wurzel als aktueller Posten	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
72	MC072	orain	orain	OR+AIN	Ansatz+Anteil	2	Ansatzportion	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
73	MC073	qcthey	qcthey|shcthey	CTH+E+Y	bereit+kurz+Posten	3	kurz bereithalten	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
74	MC074	chdy	chdy|chedy	CHD+Y	umsetzen+Posten	2	laufenden Posten umsetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
75	MC075	ycheor	ycheor	Y+CHEO+OR	Posten+Auszug+Ansatz	3	Auszugsansatz	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
76	MC076	dsheol	dsheol	SH+E+OL	halten+kurz+weiter	3	kurz weiter ruhen lassen	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
77	MC077	kchal	kchal	KCH+AL	bearbeiten+Ziel	2	an der Zielstelle bearbeiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
78	MC078	olsaly	olsaly	AL+Y	Ziel+Posten	2	untere Zielstelle	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
79	MC079	daldy	daldy	AL+CLOSE	Ziel+Schluss	2	Nebenoeffnung; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
80	MC080	chor	chor|or|shor|sor	OR	Ansatz	1	Ansatz	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
81	MC081	okair	okair	OK+AIR	ansetzen+Lauf	2	Wasser einlassen	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
82	MC082	qokeedy	qokeedy	OK+EE+CLOSE	ansetzen+länger+Schluss	3	länger ansetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
83	MC083	qokedy	qokedy	OK+E+CLOSE	ansetzen+kurz+Schluss	3	kurz ansetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
84	MC084	rshedy	rshedy	WASH+CLOSE	waschen+Schluss	2	Waschgang abschließen	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
85	MC085	cheoar	cheoar	CHEO+AR	Auszug+Quelle	2	Auszug entnehmen	KEEP_SHORT_DEFAULT	WHOLE_CARD_FIRST	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
86	MC086	chety	chety|chty	PARTITION+TY	teilen+Teil	2	Teil abtrennen	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
87	MC087	chodaiin	chodaiin	HO+AIIN	Zutat+Sollmaß	2	Zutatenmaß	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
88	MC088	qokchdy	qokchdy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	3	Umsetzung ansetzen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
89	MC089	skar	skar	SK+AR	ausgießen+Quelle	2	vom Ausgang ausgießen	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
90	MC090	kchol	kchol	KCH+OL	bearbeiten+weiter	2	weiter bearbeiten	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
91	MC091	dairydy	dairydy	AIR+Y+CLOSE	Lauf+Posten+Schluss	3	Wasserlauf schliessen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
92	MC092	lol	lol	L+OL	abführen+weiter	2	von dort weiterfuehren	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
93	MC093	otal	otal|qotal	OT+AL	danach+Ziel	2	danach dorthin	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
94	MC094	cheeety	cheeety	EEE+TY	vollständig+Teil	2	ganzen Teilposten	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
95	MC095	sheey	sheey	SH+EE+Y	halten+länger+Posten	3	laenger ruhen	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
96	MC096	qokeedal	qokeedal	OK+EE+AL	ansetzen+länger+Ziel	3	dort länger halten	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
97	MC097	olkain	olkain|qolkain	OL+AIN	weiter+Anteil	2	weitere Portion	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
98	MC098	tshol	tshol	HO+L	Zutat+abführen	2	Zutat entnehmen	KEEP_SHORT_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
99	MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	4	länger auftragen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
100	MC100	ody	ody	ODY	kühlen	1	kühlen	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
101	MC101	ldalor	ldalor	AL	Ziel	1	Endziel	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
102	MC102	rsheal	rsheal	SH+E+AL	halten+kurz+Ziel	3	kurz am Ziel ruhen	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
103	MC103	chokchy	chokchy|okchy|qokchy	OK+Y	ansetzen+Posten	2	Posten zur Weiterbearbeitung ansetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
104	MC104	keol	keol	E+OL	kurz+weiter	2	kurz weiterbearbeiten	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
105	MC105	chkain	chkain|kain	AIN	Anteil	1	eine Portion	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
106	MC106	teol	teol	E+OL	kurz+weiter	2	kurz weiterleiten	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
107	MC107	qotchy	qotchy	OT+Y	danach+Posten	2	anschließender Arbeitsposten	KEEP_SHORT_DEFAULT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
108	MC108	etyd	etyd	E+TY	kurz+Teil	2	kleiner Restteil	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
109	MC109	ytey	ytey	Y+E+TY	Posten+kurz+Teil	3	kurzen Teil des aktuellen Postens nehmen	REPLACE_SENTENCE_LIKE_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
110	MC110	chkeedy	chkeedy	CHK+EE+CLOSE	wärmen+länger+Schluss	3	länger wärmen; Schluss	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
111	MC111	shfydaiin	shfydaiin	SH+AIIN	halten+Sollmaß	2	Standmaß	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
112	MC112	octheol	octheol	CTH+OL	bereit+weiter	2	bereitgestellten Gang fortsetzen	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
113	MC113	shedal	shedal	SHED+AL	absetzen+Ziel	2	dort absetzen	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
114	MC114	sh	sh	SH	halten	1	halten	KEEP_SHORT_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
115	MC115	qoctholy	qoctholy	CTH+OL+Y	bereit+weiter+Posten	3	bereiten Posten weiterfuehren	REPLACE_SENTENCE_LIKE_DEFAULT	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
116	MC116	schedair	schedair	AIR	Lauf	1	Wasser weiterleiten	KEEP_SHORT_DEFAULT	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
117	MC117	kchy	kchy	KCH+Y	bearbeiten+Posten	2	diesen Posten bearbeiten	REPLACE_SENTENCE_LIKE_DEFAULT	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
