master_card_id	surface_family	semantic_atoms	old_default_de	new_atomic_default_de	reason
MC036	solkaiin	SOLK+AIIN	bis Sollmass sammeln	sammeln+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC037	tchody	HO+CLOSE	Eingangsposten beiseitestellen; Schluss	Zutat+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC038	lshedy	WASH+CLOSE	waschen; Schluss	waschen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC040	okal|qokal	OK+AL	dort ansetzen	ansetzen+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC041	okchol	OK+OL	weiterlaufenden Posten aufnehmen	ansetzen+weiter	one short value per component; fluent syntax belongs to the statement layer
MC042	cheedar	CHD+AR	von dort umsetzen	umsetzen+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC043	shecthedchy	CTH+CHD+Y	bereiten Posten umsetzen	bereit+umsetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC044	qokar	OK+AR	daraus ansetzen	ansetzen+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC045	olkeedy|solkeedy	SOLK+EE+CLOSE	länger sammeln; Schluss	sammeln+länger+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC046	raly	AL+Y	diesen Posten dorthin	Ziel+Posten	one short value per component; fluent syntax belongs to the statement layer
MC047	ykain	Y+AIN	Postenportion	Posten+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC048	kaiiin	IIN	Weichstufe	Stufe	one short value per component; fluent syntax belongs to the statement layer
MC049	schoal	HO+AL	Zutat an die Arbeitsstelle geben	Zutat+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC050	solkey	SOLK+E+Y	kurz sammeln	sammeln+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC051	lchedal	L+CHD+AL	zur Ablaufstelle führen	abführen+umsetzen+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC052	qekey	KCH+E+Y	aktuellen Posten kurz bearbeiten	bearbeiten+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC053	otol	OT+OL	danach fortsetzen	danach+weiter	one short value per component; fluent syntax belongs to the statement layer
MC054	qokaly	OK+AL+Y	dies dort ansetzen	ansetzen+Ziel+Posten	one short value per component; fluent syntax belongs to the statement layer
MC055	char|dar|sar	AR	aus dem Ansatz	Quelle	one short value per component; fluent syntax belongs to the statement layer
MC056	ral	AL	zur Zielstelle	Ziel	one short value per component; fluent syntax belongs to the statement layer
MC057	otchedy|qotchedy	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	danach+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC058	sheckhal	CKH+E+AL	kurz zur Zielstelle durchleiten	Durchlass+kurz+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC060	otaiin|sotaiin	OT+AIIN	Folgemaß	danach+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC061	sshkchdy	SH+KCH+CHD+CLOSE	im Arbeitsgang schwenken; Schluss	halten+bearbeiten+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC062	shoyty	HO+Y+TY	Zutatenteil	Zutat+Posten+Teil	one short value per component; fluent syntax belongs to the statement layer
MC063	oteey	OT+EE+Y	langer Folgeposten	danach+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC064	chedchy	CHD+Y	diesen Posten überführen	umsetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC065	ls	L	Durchlassöffnung	abführen	one short value per component; fluent syntax belongs to the statement layer
MC066	lcheey	L+CHEEY	Klarlauf abfuehren	abführen+Ergebnis	one short value per component; fluent syntax belongs to the statement layer
MC067	otchdy	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	danach+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC069	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	danach+Teil+weiter	one short value per component; fluent syntax belongs to the statement layer
MC070	pchedy	P+CHD+CLOSE	einführen; Schluss	zuführen+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC071	dchey	DCHE+Y	Wurzel als aktueller Posten	Wurzel+Posten	one short value per component; fluent syntax belongs to the statement layer
MC072	orain	OR+AIN	Ansatzportion	Ansatz+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC073	qcthey|shcthey	CTH+E+Y	kurz bereithalten	bereit+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC074	chdy|chedy	CHD+Y	laufenden Posten umsetzen	umsetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC075	ycheor	Y+CHEO+OR	Auszugsansatz	Posten+Auszug+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC076	dsheol	SH+E+OL	kurz weiter ruhen lassen	halten+kurz+weiter	one short value per component; fluent syntax belongs to the statement layer
MC077	kchal	KCH+AL	an der Zielstelle bearbeiten	bearbeiten+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC078	olsaly	AL+Y	untere Zielstelle	Ziel+Posten	one short value per component; fluent syntax belongs to the statement layer
MC079	daldy	AL+CLOSE	Nebenoeffnung; Schluss	Ziel+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC081	okair	OK+AIR	Wasser einlassen	ansetzen+Lauf	one short value per component; fluent syntax belongs to the statement layer
MC082	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	ansetzen+länger+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC083	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	ansetzen+kurz+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC084	rshedy	WASH+CLOSE	Waschgang abschließen	waschen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC085	cheoar	CHEO+AR	Auszug entnehmen	Auszug+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC086	chety|chty	PARTITION+TY	Teil abtrennen	teilen+Teil	one short value per component; fluent syntax belongs to the statement layer
MC087	chodaiin	HO+AIIN	Zutatenmaß	Zutat+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC088	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	ansetzen+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC089	skar	SK+AR	vom Ausgang ausgießen	ausgießen+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC090	kchol	KCH+OL	weiter bearbeiten	bearbeiten+weiter	one short value per component; fluent syntax belongs to the statement layer
MC091	dairydy	AIR+Y+CLOSE	Wasserlauf schliessen; Schluss	Lauf+Posten+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC092	lol	L+OL	von dort weiterfuehren	abführen+weiter	one short value per component; fluent syntax belongs to the statement layer
MC093	otal|qotal	OT+AL	danach dorthin	danach+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC094	cheeety	EEE+TY	ganzen Teilposten	vollständig+Teil	one short value per component; fluent syntax belongs to the statement layer
MC095	sheey	SH+EE+Y	laenger ruhen	halten+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC096	qokeedal	OK+EE+AL	dort länger halten	ansetzen+länger+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC097	olkain|qolkain	OL+AIN	weitere Portion	weiter+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC098	tshol	HO+L	Zutat entnehmen	Zutat+abführen	one short value per component; fluent syntax belongs to the statement layer
MC099	cheeckhody	EE+CKH+HO+CLOSE	länger auftragen; Schluss	länger+Durchlass+Zutat+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC101	ldalor	AL	Endziel	Ziel	one short value per component; fluent syntax belongs to the statement layer
MC102	rsheal	SH+E+AL	kurz am Ziel ruhen	halten+kurz+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC103	chokchy|okchy|qokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	ansetzen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC104	keol	E+OL	kurz weiterbearbeiten	kurz+weiter	one short value per component; fluent syntax belongs to the statement layer
MC105	chkain|kain	AIN	eine Portion	Anteil	one short value per component; fluent syntax belongs to the statement layer
MC106	teol	E+OL	kurz weiterleiten	kurz+weiter	one short value per component; fluent syntax belongs to the statement layer
MC107	qotchy	OT+Y	anschließender Arbeitsposten	danach+Posten	one short value per component; fluent syntax belongs to the statement layer
MC108	etyd	E+TY	kleiner Restteil	kurz+Teil	one short value per component; fluent syntax belongs to the statement layer
MC109	ytey	Y+E+TY	kurzen Teil des aktuellen Postens nehmen	Posten+kurz+Teil	one short value per component; fluent syntax belongs to the statement layer
MC110	chkeedy	CHK+EE+CLOSE	länger wärmen; Schluss	wärmen+länger+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC111	shfydaiin	SH+AIIN	Standmaß	halten+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC112	octheol	CTH+OL	bereitgestellten Gang fortsetzen	bereit+weiter	one short value per component; fluent syntax belongs to the statement layer
MC113	shedal	SHED+AL	dort absetzen	absetzen+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC115	qoctholy	CTH+OL+Y	bereiten Posten weiterfuehren	bereit+weiter+Posten	one short value per component; fluent syntax belongs to the statement layer
MC116	schedair	AIR	Wasser weiterleiten	Lauf	one short value per component; fluent syntax belongs to the statement layer
MC117	kchy	KCH+Y	diesen Posten bearbeiten	bearbeiten+Posten	one short value per component; fluent syntax belongs to the statement layer
MC118	ly	L+Y	aktuellen Posten abführen	abführen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC119	cheey|shey	CHEEY	klarer Auszug	Ergebnis	one short value per component; fluent syntax belongs to the statement layer
MC120	okaiin|qokaiin	OK+AIIN	auf Sollmaß einstellen	ansetzen+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC121	otar	OT+AR	danach von dort	danach+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC122	kchey	KCH+E+Y	diesen Posten kurz bearbeiten	bearbeiten+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC123	chey|chy|dy|shy|sy|y	Y	dieser Posten	Posten	one short value per component; fluent syntax belongs to the statement layer
MC124	lkedy	L+E+CLOSE	kurz abführen; Schluss	abführen+kurz+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC125	chochor	HO+OR	Zutatenansatz	Zutat+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC126	pchedal	P+CHD+AL	Einlass	zuführen+umsetzen+Ziel	one short value per component; fluent syntax belongs to the statement layer
MC127	lched	L+CHD	abführen	abführen+umsetzen	one short value per component; fluent syntax belongs to the statement layer
MC128	cheedy|shedy|tedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	absetzen+kurz+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC129	cfhy	CFH+Y	aktuellen Posten auswringen	auswringen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC130	lsho	WASH	Waschgang beginnen	waschen	one short value per component; fluent syntax belongs to the statement layer
MC131	choy	HO+Y	diese Zutat	Zutat+Posten	one short value per component; fluent syntax belongs to the statement layer
MC132	sheckhy	CKH+E+Y	kurz durchleiten	Durchlass+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC133	lcheckhedy	L+CKHE+CLOSE	abseihen; Schluss	abführen+trennen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC134	qolky	OL	auf dem Arbeitsweg weiterleiten	weiter	one short value per component; fluent syntax belongs to the statement layer
MC135	otedy	OT+E+CLOSE	kurze Folge; Schluss	danach+kurz+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC136	kchoar	CHEO+AR	Auszug daraus	Auszug+Quelle	one short value per component; fluent syntax belongs to the statement layer
MC137	shecthy	CTH+E+Y	kurz bereit halten	bereit+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC138	dshedy	SHED+E+CLOSE	kurz absetzen; Schluss	absetzen+kurz+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC139	dchdy	CHD+CLOSE	weitergeführten Posten überführen; Schluss	umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC140	qokeeedy	OK+EEE+CLOSE	vollständig ansetzen; Schluss	ansetzen+vollständig+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC141	tshey	CHEEY	Klarlauf zugeben	Ergebnis	one short value per component; fluent syntax belongs to the statement layer
MC142	dchol|schol	DCHOL	vorigen Posten fortsetzen	vorher	one short value per component; fluent syntax belongs to the statement layer
MC143	shckhedy	CKHE+CLOSE	seihen; Schluss	trennen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC144	chldaiin	SHED+AIIN	Absetzmaß	absetzen+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC145	chedain	CHD+AIN	Portion umsetzen	umsetzen+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC146	chealror	AL+OR	Ansatz von dort zur Zielstelle	Ziel+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC147	cheky	CHK+E+Y	kurz wärmen	wärmen+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC148	ykan	Y+AIN	dieser Anteil	Posten+Anteil	one short value per component; fluent syntax belongs to the statement layer
MC149	solshedy	OL+SHED+CLOSE	weiter absetzen; Schluss	weiter+absetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC150	okeeol	OK+EE+OL	länger fortführen	ansetzen+länger+weiter	one short value per component; fluent syntax belongs to the statement layer
MC151	qokshedy	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	ansetzen+absetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC153	cheol|chol|ol|qol|sol|tol	OL	fortsetzen	weiter	one short value per component; fluent syntax belongs to the statement layer
MC154	al|chal|cheal|dal|sal|tal	AL	dorthin	Ziel	one short value per component; fluent syntax belongs to the statement layer
MC155	lchedy	L+CHD+CLOSE	abführen; Schluss	abführen+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC156	cphy	CPH+Y	aktuellen Posten nachseihen	nachseihen+Posten	one short value per component; fluent syntax belongs to the statement layer
MC157	cholor|olor	OL+OR	Fortsetzungsansatz	weiter+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC158	cthoor	CTH+OR	Ansatz bereit	bereit+Ansatz	one short value per component; fluent syntax belongs to the statement layer
MC159	os	OS	Mischgefäß	Gefäß	one short value per component; fluent syntax belongs to the statement layer
MC160	talam	AL+AM	am Ziel verwahren	Ziel+verwahren	one short value per component; fluent syntax belongs to the statement layer
MC161	checthy|cthy|shcthy	CTH+Y	bereit	bereit+Posten	one short value per component; fluent syntax belongs to the statement layer
MC162	qolchey	OL+Y	diesen Posten weiterfuehren	weiter+Posten	one short value per component; fluent syntax belongs to the statement layer
MC163	qotchol	OT+OL	danach weiterfuehren	danach+weiter	one short value per component; fluent syntax belongs to the statement layer
MC164	qokylddy	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	ansetzen+Posten+festbinden	one short value per component; fluent syntax belongs to the statement layer
MC165	qockhey	OK+CKH+E+Y	kurzen Durchlauf ansetzen	ansetzen+Durchlass+kurz+Posten	one short value per component; fluent syntax belongs to the statement layer
MC166	chkeey	CHK+EE+Y	diesen Posten länger warm halten	wärmen+länger+Posten	one short value per component; fluent syntax belongs to the statement layer
MC167	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	abführen+umsetzen+Schluss	one short value per component; fluent syntax belongs to the statement layer
MC168	lcheckhy	L+CKH+Y	Ausgangsdurchlass	abführen+Durchlass+Posten	one short value per component; fluent syntax belongs to the statement layer
MC169	cthaiin	CTH+AIIN	Fertigmaß	bereit+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC170	ykaiin	Y+AIIN	Postenmaß	Posten+Sollmaß	one short value per component; fluent syntax belongs to the statement layer
MC171	otchey	OT+Y	nächster Teilposten	danach+Posten	one short value per component; fluent syntax belongs to the statement layer
MC172	daiiin	IIN	Öffnungsstufe	Stufe	one short value per component; fluent syntax belongs to the statement layer
MC173	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	danach+länger+Schluss	one short value per component; fluent syntax belongs to the statement layer
