event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	semantic_atoms	atomic_default_de	statement_translation_de
44	H3-S001	H3	f11r	shey	MC119	CHEEY	Ergebnis	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
45	H3-S001	H3	f11r	tchody	MC037	HO+CLOSE	Zutat+Schluss	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
46	H3-S002	H3	f11r	shoyty	MC062	HO+Y+TY	Zutat+Posten+Teil	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
47	H3-S003	H3	f11r	dchol	MC142	DCHOL	vorher	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
48	H3-S003	H3	f11r	chy	MC123	Y	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
49	H3-S003	H3	f11r	kchy	MC117	KCH+Y	bearbeiten+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
50	H3-S003	H3	f11r	dy	MC123	Y	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
51	H3-S003	H3	f11r	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
52	H3-S004	H3	f11r	qotchy	MC107	OT+Y	danach+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
53	H3-S004	H3	f11r	okchol	MC041	OK+OL	ansetzen+weiter	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
54	H3-S004	H3	f11r	cthy	MC161	CTH+Y	bereit+Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
55	H3-S004	H3	f11r	dy	MC123	Y	Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
56	H4-S001	H4	f55v	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
57	H4-S001	H4	f55v	chaiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
58	H4-S001	H4	f55v	ykain	MC047	Y+AIN	Posten+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
59	H4-S001	H4	f55v	ykan	MC148	Y+AIN	Posten+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
60	H4-S001	H4	f55v	ody	MC100	ODY	kühlen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
61	H4-S002	H4	f55v	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
62	H4-S002	H4	f55v	chedy	MC074	CHD+Y	umsetzen+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
63	H4-S002	H4	f55v	talam	MC160	AL+AM	Ziel+verwahren	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
64	H4-S003	H4	f55v	ykaiin	MC170	Y+AIIN	Posten+Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
65	H4-S003	H4	f55v	cheoar	MC085	CHEO+AR	Auszug+Quelle	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
66	H4-S003	H4	f55v	cheeky	MC032	CHK+EE+Y	wärmen+länger+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
67	H4-S003	H4	f55v	oldy	MC019	OL+CLOSE	weiter+Schluss	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
68	H4-S004	H4	f55v	aiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
69	H4-S004	H4	f55v	okal	MC040	OK+AL	ansetzen+Ziel	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
70	H4-S004	H4	f55v	oltchy	MC021	OL+CTH+Y	weiter+bereit+Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
71	H4-S004	H4	f55v	or	MC080	OR	Ansatz	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
72	H4-S004	H4	f55v	y	MC123	Y	Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
73	H4-S004	H4	f55v	orain	MC072	OR+AIN	Ansatz+Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
74	H5-S001	H5	f56r	chochor	MC125	HO+OR	Zutat+Ansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
75	H5-S001	H5	f56r	cho	MC034	HO	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
76	H5-S001	H5	f56r	chodaly	MC010	HO+AL+Y	Zutat+Ziel+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
77	H5-S001	H5	f56r	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
78	H5-S001	H5	f56r	sho	MC034	HO	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
79	H5-S001	H5	f56r	kchol	MC090	KCH+OL	bearbeiten+weiter	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
80	H5-S001	H5	f56r	otchor	MC013	OT+OR	danach+Ansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
81	H5-S001	H5	f56r	choky	MC026	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
82	H5-S001	H5	f56r	dal	MC154	AL	Ziel	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
83	H5-S002	H5	f56r	schol	MC142	DCHOL	vorher	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
84	H5-S002	H5	f56r	choy	MC131	HO+Y	Zutat+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
85	H5-S002	H5	f56r	choky	MC026	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
86	H5-S002	H5	f56r	cheeckhody	MC099	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
87	H5-S003	H5	f56r	sh	MC114	SH	halten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
88	H5-S003	H5	f56r	cho	MC034	HO	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
89	H5-S003	H5	f56r	kchey	MC122	KCH+E+Y	bearbeiten+kurz+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
90	H5-S003	H5	f56r	qokokchy	MC015	OK+OK+Y	ansetzen+ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
91	H5-S004	H5	f56r	okchy	MC103	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
92	H5-S004	H5	f56r	chokcheo	MC006	OK+CHEO	ansetzen+Auszug	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
93	H5-S004	H5	f56r	kchal	MC077	KCH+AL	bearbeiten+Ziel	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
94	H5-S005	H5	f56r	sho	MC034	HO	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
95	H5-S005	H5	f56r	chokchy	MC103	OK+Y	ansetzen+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
96	H5-S005	H5	f56r	kchoar	MC136	CHEO+AR	Auszug+Quelle	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
97	H5-S005	H5	f56r	sotodan	MC068	OT+DAN	danach+anwenden	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
98	H5-S006	H5	f56r	otchey	MC171	OT+Y	danach+Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
99	H5-S006	H5	f56r	keol	MC104	E+OL	kurz+weiter	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
100	H5-S006	H5	f56r	daiin	MC039	AIIN	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
101	B1-S001	B1	f81v	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
102	B1-S002	B1	f81v	okaiin	MC120	OK+AIIN	ansetzen+Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
103	B1-S002	B1	f81v	kair	MC023	AIR	Lauf	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
104	B1-S002	B1	f81v	okal	MC040	OK+AL	ansetzen+Ziel	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
