statement_id	physical_page	visible_owner	surface_sequence	specialist_cards	specialist_card_count	complete_working_translation_de
H5-S004	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	okchy chokcheo kchal	kchal=abseihen	1	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.
H5-S005	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho chokchy kchoar sotodan	sotodan=anwenden	1	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und zur Folgeanwendung weiterführen.
H5-S006	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchey keol daiin	keol=Gabe	1	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.
B1-S002	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	rol=warm | dl=Zusatz | sheckhal=Mittelmaß	3	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.
B1-S003	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	qol sshkchdy	sshkchdy=schwenken	1	Weiterführen und übertragen; Schluss.
B1-S006	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	qokain shckhy dl ral	dl=Zusatz | ral=abkühlen	2	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.
B1-S014	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy qolky lchedal qol otar	qolky=Arbeitsstelle	1	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.
B1-S015	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	ytey okchedy	ytey=füllen	1	Den kurzen Teil aus der eben gesetzten Quelle als vorigen Posten überführen; Schluss.
B1-S017	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	sal teol dchdy	teol=Hahn	1	Dorthin bringen, kurz weiterführen und übertragen; Schluss.
B1-S018	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	ly dsheol oiiin olkeedy	ly=Auffangschale | dsheol=einreiben	2	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.
B2-S005	f82r	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	solkaiin=Seihtuch | octheol=gleichstellen	2	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.
B2-S006	f82r	obere Paarbecken-/Zylinderstation	oteey qokal sheckhy qoky	sheckhy=Überlauf	1	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.
B2-S007	f82r	mittlere linke Geräte-/Inline-Knotenstation	dshedy	dshedy=Frischwasser	1	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.
B2-S010	f82r	mittlere linke Geräte-/Inline-Knotenstation	qokeey qoky ls cheey	ls=Düse | cheey=Klarlauf	2	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.
B2-S012	f82r	ungelöste mittlere rechte Linie-/Liegepodeststation	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	cheey=Klarlauf | lcheey=Nassstelle	2	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.
B2-S014	f82r	unteres grünes Mehrfigurenfeld	lar	lar=Bodenablauf	1	Aus der Quelle abziehen.
B2-S015	f82r	lokale Randstationen des unteren Feldes	tshey qokeedy	tshey=Spülwasser	1	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.
B2-S016	f82r	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	ches=gleichteilen	1	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.
B2-S017	f82r	lokale Randstationen des unteren Feldes	rsheal daldy	rsheal=Warmwasser	1	Am Ziel kurz halten und den Zielschritt schließen.
B2-S019	f82r	lokale Randstationen des unteren Feldes	rshedy	rshedy=Waschgang	1	Eine Vollwaschung ausführen; Schluss.
B3-S011	f83r	untere korbartige Gefäß-Randstation	shecthedchy qoky chedy chary	shecthedchy=aufstreichen | chary=abkühlen	2	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.
B3-S016	f83r	untere korbartige Gefäß-Randstation	lo qokchedy	lo=Bodenablauf	1	Abziehen und den vorigen Posten in die nächste Station überführen; Schluss.
B3-S021	f83r	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	shecthy=handwarm	1	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.
B3-S026	f83r	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar=Sammelbecken | chealror=klar	2	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.
B3-S029	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	sol cheeety qokedy	cheeety=erste Spülung	1	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.
B3-S032	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	chedain chedy qotedaiin otaiin otedy	qotedaiin=Wanne	1	Einen Anteil übertragen, weiterführen, den kurzen Sollwert und das Folgemaß einstellen, dann kurz weiterführen; Schluss.
B4-S002	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qolchey qokeey qokedy	qolchey=Becken	1	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.
B4-S004	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qokylddy	qokylddy=befestigen	1	Den Posten befestigen; Schluss.
B4-S005	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	dain chedy qokeedy	dain=Tuch	1	Die Einlage überführen und länger einwirken lassen; Schluss.
B4-S008	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	saiin cheeky sheey qokedy	sheey=Ablauf	1	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.
B4-S011	f83r	linke offene Fransen-/Unterlaufstation	saiin cheky okeeol okain chdy sol lkedy	lkedy=nachwaschen	1	An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und weiter abziehen; Schluss.
B4-S014	f83r	linke offene Fransen-/Unterlaufstation	or chey qockhey dairydy	qockhey=Überlauf	1	Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen.
B4-S015	f83r	linke offene Fransen-/Unterlaufstation	qokain shey kain chckhal solkey lchedy	shey=Klarlauf | chckhal=Haltezeit	2	Eine Portion zum Klarlauf geben, die Portion durch die Zielpassage führen, kurz auffangen und abführen; Schluss.
B4-S016	f83r	rechte S-Lauf-/Mehrarmknotenstation	qolkain dal skar shedy	skar=warm ausgießen	1	Einen weiteren Anteil dorthin bringen, aus der Quelle ausgießen und kurz absetzen lassen; Schluss.
B5-S003	f83r	linker offener Fransen-Endposten	shedal dal cheol lol chdal aiin sol daiiin chedy	lol=warm	1	Am Ziel absetzen, dorthin bringen, weiterführen und weiter abziehen; den Zieltransfer auf Sollmaß bringen, bis zur Endstufe fortsetzen und überführen.
B6-S001	f83r	rechter S-Lauf-/Mehrarm-Endposten	solkeey qekey raly ol daiin ol dain chey ldalor	qekey=roh | raly=Seitenarm | dain=Tuch	3	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.
