unit	page	source_ids	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_segmentation_de	fluent_workshop_reading_de	cards	phrase_chunks
B1-S001	f81v	E101	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	1	0
B1-S002	f81v	E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120	qokaiin kair qokal char ol kain olkain dal ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN ; K+AIR ; OK+AL ; AR ; OL ; K+AIN ; OL+K+AIN ; AL ; OL ; R+OL ; L ; OL+OR ; OL ; SH+E+CKH+AL ; AIIN ; OK+EE+AL ; AIIN ; CKH+Y ; CHD+DY	PHR08	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; ZUGEBEN · WASSER ; ANSETZEN · ZIELSTELLE ; QUELLE ; WEITER ; ZUGEBEN · EIN ABGEGRENZTER TEIL ; PHR08[EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN] ; WEITER ; KUEHLEN · WEITER ; LEITEN ; WEITER · ANSATZ ; WEITER ; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · ZIELSTELLE ; EIN KLEINER SCHOEPFBECHER ; ANSETZEN · DREI KURZE ARBEITSGAENGE · ZIELSTELLE ; EIN KLEINER SCHOEPFBECHER ; DURCHLASS · POSTEN ; UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	19	1
B1-S003	f81v	E121,E122	ol sshkchdy	OL ; SH+K+CHD+DY	NONE	WEITER ; HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	2	0
B1-S004	f81v	E123,E124,E125	chedy ol shedy	CHD+Y ; OL ; SHED+DY	PHR03	PHR03[DEN POSTEN UMSETZEN UND WEITERFUEHREN] ; STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	3	1
B1-S005	f81v	E126	qolchedy	OL+CHD+DY	NONE	WEITER · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	1	0
B1-S006	f81v	E127,E128,E129,E130	qokain chckhy dl ral	OK+AIN ; CKH+Y ; L ; R+AL	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL ; DURCHLASS · POSTEN ; LEITEN ; KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	4	0
B1-S007	f81v	E131	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	1	0
B1-S008	f81v	E132,E133,E134,E135,E136	chey ol cheky ol shedy	Y ; OL ; CHK+E+Y ; OL ; SHED+DY	PHR07	POSTEN ; WEITER ; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN ; PHR07[WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN]	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	5	1
B1-S009	f81v	E137	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	0
B1-S010	f81v	E138	qokedy	OK+E+DY	NONE	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	0
B1-S011	f81v	E139,E140	chckhy qoky	CKH+Y ; OK+Y	NONE	DURCHLASS · POSTEN ; ANSETZEN · POSTEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	2	0
B1-S012	f81v	E141,E142,E143	lsho okey lshedy	LSH+O ; OK+E+Y ; LSH+E+DY	NONE	SPUELEN · ARBEITSGANG ; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN ; SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.	3	0
B1-S013	f81v	E144	lshedy	LSH+E+DY	NONE	SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.	1	0
B1-S014	f81v	E145,E146,E147,E148,E149	chedy qolky lchedal ol otar	CHD+Y ; SOLK+Y ; L+CHD+AL ; OL ; OT+AR	NONE	UMSETZEN · POSTEN ; SAMMELN · POSTEN ; LEITEN · UMSETZEN · ZIELSTELLE ; WEITER ; DANACH · QUELLE	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	5	0
B1-S015	f81v	E150,E151	ytey okchedy	T+E+Y ; OK+CHD+DY	NONE	BEARBEITEN · EIN KURZER ARBEITSGANG · POSTEN ; ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.	2	0
B1-S016	f81v	E152,E153,E154,E155	qokal qokeey ol shedy	OK+AL ; OK+EE+Y ; OL ; SHED+DY	PHR07	ANSETZEN · ZIELSTELLE ; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN ; PHR07[WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN]	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	4	1
B1-S017	f81v	E156,E157,E158	dal teol dchdy	AL ; E+OL ; CHD+DY	NONE	ZIELSTELLE ; EIN KURZER ARBEITSGANG · WEITER ; UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	3	0
B1-S018	f81v	E159,E160,E161,E162	ly dsheol oiiin olkeedy	L+Y ; SH+E+OL ; O+IIN ; SOLK+EE+DY	NONE	LEITEN · POSTEN ; HALTEN · EIN KURZER ARBEITSGANG · WEITER ; ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE ; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.	4	0
B1-S019	f81v	E163	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	1	0
B1-S020	f81v	E164,E165	cheky shckhedy	CHK+E+Y ; SH+CKH+E+DY	NONE	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN ; HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	2	0
B1-S021	f81v	E166	dal	AL	NONE	ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	1	0
B2-S001	f82r	E167	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	1	0
B2-S002	f82r	E168	qolchedy	OL+CHD+DY	NONE	WEITER · UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	1	0
B2-S003	f82r	E169,E170,E171	qokain chey qokeedy	OK+AIN ; Y ; OK+EE+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL ; POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	3	0
B2-S004	f82r	E172,E173,E174,E175,E176	qokal lcheckhy lched qokeey lcheckhedy	OK+AL ; L+CKH+Y ; L+CHD ; OK+EE+Y ; L+CKH+E+DY	NONE	ANSETZEN · ZIELSTELLE ; LEITEN · DURCHLASS · POSTEN ; LEITEN · UMSETZEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN ; LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	5	0
B2-S005	f82r	E177,E178,E179,E180,E181,E182,E183,E184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y ; SOLK+AIIN ; CKH+Y ; OK+AIIN ; OK+AIIN ; O+CTH+E+OL ; CHK+EE+Y ; L+DY	NONE	ANSETZEN · ZIELSTELLE · POSTEN ; SAMMELN · EIN KLEINER SCHOEPFBECHER ; DURCHLASS · POSTEN ; ANSETZEN · EIN KLEINER SCHOEPFBECHER ; ANSETZEN · EIN KLEINER SCHOEPFBECHER ; ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER ; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN ; LEITEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	8	0
B2-S006	f82r	E185,E186,E187,E188	oteey qokal sheckhy qoky	OT+EE+Y ; OK+AL ; SH+E+CKH+Y ; OK+Y	NONE	DANACH · DREI KURZE ARBEITSGAENGE · POSTEN ; ANSETZEN · ZIELSTELLE ; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · POSTEN ; ANSETZEN · POSTEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	4	0
B2-S007	f82r	E189	dshedy	SH+E+DY	NONE	HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	1	0
B2-S008	f82r	E190,E191,E192	otaiin qokar shedy	OT+AIIN ; OK+AR ; SHED+DY	NONE	DANACH · EIN KLEINER SCHOEPFBECHER ; ANSETZEN · QUELLE ; STEHENLASSEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	3	0
B2-S009	f82r	E193	solshedy	OL+SH+E+DY	NONE	WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	1	0
B2-S010	f82r	E194,E195,E196,E197	qokeey qoky ls cheey	OK+EE+Y ; OK+Y ; OL ; SH+EE+Y	PHR10	PHR10[DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN] ; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	4	1
B2-S011	f82r	E198,E199,E200,E201	qokain char qokain qokeedy	OK+AIN ; AR ; OK+AIN ; OK+EE+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL ; QUELLE ; ANSETZEN · EIN ABGEGRENZTER TEIL ; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	4	0
B2-S012	f82r	E202,E203,E204,E205,E206,E207,E208,E209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y ; SH+EE+Y ; CTH+E+Y ; OK+EE+Y ; L+EE+Y ; AIIN ; Y ; OK+EEE+DY	PHR01	LEITEN · ENTNEHMEN · POSTEN ; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN ; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN ; LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN ; PHR01[DEN POSTEN NACH SOLLMASS FUEHREN] ; ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	8	1
B2-S013	f82r	E210	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	1	0
B2-S014	f82r	E211	lar	L+AR	NONE	LEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	1	0
B2-S015	f82r	E212,E213	tshey qokeedy	SH+E+Y ; OK+EE+DY	NONE	HALTEN · EIN KURZER ARBEITSGANG · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	2	0
B2-S016	f82r	E214,E215,E216,E217,E218,E219,E220,E221	dal lchedar ches daiin oteey qokaiin okey pchedy	AL ; L+CHD+AR ; CH+E+S ; AIIN ; OT+EE+Y ; OK+AIIN ; OK+E+Y ; P+CHD+DY	NONE	ZIELSTELLE ; LEITEN · UMSETZEN · QUELLE ; ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE ; EIN KLEINER SCHOEPFBECHER ; DANACH · DREI KURZE ARBEITSGAENGE · POSTEN ; ANSETZEN · EIN KLEINER SCHOEPFBECHER ; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN ; EINBRINGEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.	8	0
B2-S017	f82r	E222,E223	rsheal daldy	R+SH+E+AL ; AL+DY	NONE	KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE ; ZIELSTELLE · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	2	0
B2-S018	f82r	E224	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	0
B2-S019	f82r	E225	rshedy	R+SHED+DY	NONE	KUEHLEN · STEHENLASSEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	1	0
B2-S020	f82r	E226	qoteedy	OT+EE+DY	NONE	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	1	0
B2-S021	f82r	E227	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	0
B2-S022	f82r	E228	lochedy	L+O+CHD+DY	NONE	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	1	0
B3-S001	f83r	E229	olkeedy	SOLK+EE+DY	NONE	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.	1	0
B3-S002	f83r	E230,E231	qotal chkeedy	OT+AL ; CHK+EE+DY	NONE	DANACH · ZIELSTELLE ; WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	2	0
B3-S003	f83r	E232,E233,E234,E235	chey daiin chey lchedy	Y ; AIIN ; Y ; L+CHD+DY	PHR01	POSTEN ; PHR01[DEN POSTEN NACH SOLLMASS FUEHREN] ; LEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	4	1
B3-S004	f83r	E236,E237,E238	qokaiin qotal char	OK+AIIN ; OT+AL ; AR	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; DANACH · ZIELSTELLE ; QUELLE	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	3	0
B3-S005	f83r	E239	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	1	0
B3-S006	f83r	E240,E241,E242	chedchy qokal qolchedy	CHD+Y ; OK+AL ; OL+CHD+DY	NONE	UMSETZEN · POSTEN ; ANSETZEN · ZIELSTELLE ; WEITER · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	3	0
B3-S007	f83r	E243,E244,E245	qokaiin chedy qokeedy	OK+AIIN ; CHD+Y ; OK+EE+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; UMSETZEN · POSTEN ; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	3	0
B3-S008	f83r	E246	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	1	0
B3-S009	f83r	E247	qoky	OK+Y	NONE	ANSETZEN · POSTEN	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	1	0
B3-S010	f83r	E248,E249	pchedal otedy	P+CHD+AL ; OT+E+DY	NONE	EINBRINGEN · UMSETZEN · ZIELSTELLE ; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.	2	0
B3-S011	f83r	E250,E251,E252,E253	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y ; OK+Y ; CHD+Y ; AR+Y	NONE	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN ; ANSETZEN · POSTEN ; UMSETZEN · POSTEN ; QUELLE · POSTEN	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	4	0
B3-S012	f83r	E254,E255	or shedy	OR ; SHED+DY	NONE	ANSATZ ; STEHENLASSEN · SCHLUSS	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	2	0
B3-S013	f83r	E256,E257,E258,E259	qokaiin kain qcthey qokedy	OK+AIIN ; K+AIN ; CTH+E+Y ; OK+E+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER ; ZUGEBEN · EIN ABGEGRENZTER TEIL ; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN ; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	4	0
B3-S014	f83r	E260,E261	okair sheedy	OK+AIR ; SH+EE+DY	NONE	ANSETZEN · WASSER ; HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am unteren Korbgefaess: Das laufende Wasser ansetzen; dann laenger halten; den Schritt schliessen.	2	0
B3-S015	f83r	E262	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	1	0
B3-S016	f83r	E263,E264	lo okchedy	L+O ; OK+CHD+DY	NONE	LEITEN · ARBEITSGANG ; ANSETZEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	2	0
B3-S017	f83r	E265	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	1	0
