statement_id	page	record	owner_noun_de	events	productive_recipe_events	bound_variant_events	local_singleton_events	memorized_whole_events	core15_touch_events	surface_sequence	component_sequence	working_reading_de	semantic_rebuild
H4-S002	f55v	H4	die breitblaettrige rispige Pflanze	3	2	0	0	1	2	daiin chedy talam	AIIN | CHD+Y | TALAM	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	PASS
H4-S003	f55v	H4	die breitblaettrige rispige Pflanze	4	4	0	0	0	4	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	PASS
H4-S004	f55v	H4	die breitblaettrige rispige Pflanze	6	6	0	0	0	5	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	PASS
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	9	9	0	0	0	6	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	PASS
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	4	3	0	0	1	3	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	PASS
H5-S003	f56r	H5	die mehrkoepfige stachelige Pflanze	4	4	0	0	0	2	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	PASS
H5-S004	f56r	H5	die mehrkoepfige stachelige Pflanze	3	3	0	0	0	3	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	PASS
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	4	4	0	0	0	3	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	PASS
H5-S006	f56r	H5	die mehrkoepfige stachelige Pflanze	3	3	0	0	0	3	otchey keol daiin	OT+Y | K+E+OL | AIIN	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	PASS
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	PASS
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	19	19	0	0	0	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	PASS
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	2	2	0	0	0	2	qol sshkchdy	OL | SH+K+CHD+DY	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	PASS
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	3	3	0	0	0	3	chedy ol shedy	CHD+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	PASS
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	qolchedy	OL+CHD+DY	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	PASS
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	4	4	0	0	0	4	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	PASS
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	qokchdy	OK+CHD+DY	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	PASS
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	5	5	0	0	0	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	PASS
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	PASS
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	qokedy	OK+E+DY	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	PASS
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	2	2	0	0	0	2	chckhy qoky	CKH+Y | OK+Y	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	PASS
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	3	3	0	0	0	2	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	PASS
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	lshedy	LSH+E+DY	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	PASS
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	5	5	0	0	0	5	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	PASS
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	2	2	0	0	0	2	ytey okchedy	T+E+Y | OK+CHD+DY	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	PASS
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	4	4	0	0	0	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	PASS
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	3	3	0	0	0	3	sal teol dchdy	AL | E+OL | CHD+DY	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	PASS
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	4	4	0	0	0	3	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	PASS
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	tedy	SHED+DY	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	PASS
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	2	2	0	0	0	2	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	PASS
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	1	1	0	0	0	1	chal	AL	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	PASS
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	1	1	0	0	0	1	dchedy	CHD+DY	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	PASS
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	1	1	0	0	0	1	qolchedy	OL+CHD+DY	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	PASS
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	3	3	0	0	0	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	PASS
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	5	5	0	0	0	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	PASS
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	8	8	0	0	0	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	PASS
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	4	4	0	0	0	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	PASS
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	1	0	0	0	1	dshedy	SH+E+DY	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	PASS
B2-S008	f82r	B2	die linke Mittelstation mit Zwischenknoten	3	3	0	0	0	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	PASS
B2-S009	f82r	B2	die linke Mittelstation mit Zwischenknoten	1	1	0	0	0	1	solshedy	OL+SH+E+DY	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	PASS
B2-S010	f82r	B2	die linke Mittelstation mit Zwischenknoten	4	4	0	0	0	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	PASS
B2-S011	f82r	B2	die rechte unklare Mittelstation	4	4	0	0	0	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	PASS
B2-S012	f82r	B2	die rechte unklare Mittelstation und das untere gruene Figurenbecken	8	8	0	0	0	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	PASS
B2-S013	f82r	B2	das untere gruene Figurenbecken	1	1	0	0	0	1	lchedy	L+CHD+DY	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	PASS
B2-S014	f82r	B2	das untere gruene Figurenbecken	1	1	0	0	0	1	lar	L+AR	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	PASS
B2-S015	f82r	B2	die Randstationen des unteren Beckens	2	2	0	0	0	2	tshey qokeedy	SH+E+Y | OK+EE+DY	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	PASS
B2-S016	f82r	B2	die Randstationen des unteren Beckens	8	7	0	1	0	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	PASS
B2-S017	f82r	B2	die Randstationen des unteren Beckens	2	2	0	0	0	2	rsheal daldy	R+SH+E+AL | AL+DY	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	PASS
B2-S018	f82r	B2	die Randstationen des unteren Beckens	1	1	0	0	0	1	qokeedy	OK+EE+DY	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	PASS
B2-S019	f82r	B2	die Randstationen des unteren Beckens	1	1	0	0	0	1	rshedy	R+SHED+DY	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	PASS
B2-S020	f82r	B2	die Randstationen des unteren Beckens	1	1	0	0	0	1	qoteedy	OT+EE+DY	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	PASS
B2-S021	f82r	B2	die Randstationen des unteren Beckens	1	1	0	0	0	1	qokeedy	OK+EE+DY	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	PASS
B2-S022	f82r	B2	die Randstationen des unteren Beckens	1	1	0	0	0	1	lochedy	L+O+CHD+DY	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	PASS
B3-S001	f83r	B3	die obere offene Faecherstation	1	1	0	0	0	1	olkeedy	SOLK+EE+DY	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	PASS
B3-S002	f83r	B3	die obere offene Faecherstation	2	2	0	0	0	2	qotal chkeedy	OT+AL | CHK+EE+DY	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	PASS
B3-S003	f83r	B3	die obere offene Faecherstation	4	4	0	0	0	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	PASS
B3-S004	f83r	B3	die obere offene Faecherstation	3	3	0	0	0	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	PASS
B3-S005	f83r	B3	das runde Mittelgefaess	1	1	0	0	0	1	schedy	CHD+DY	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	PASS
B3-S006	f83r	B3	das runde Mittelgefaess	3	3	0	0	0	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+DY	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	PASS
B3-S007	f83r	B3	das runde Mittelgefaess	3	3	0	0	0	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+DY	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	PASS
B3-S008	f83r	B3	das runde Mittelgefaess	1	1	0	0	0	1	lchedy	L+CHD+DY	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	PASS
B3-S009	f83r	B3	das runde Mittelgefaess	1	1	0	0	0	1	qoky	OK+Y	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	PASS
B3-S010	f83r	B3	das untere Korbgefaess	2	2	0	0	0	2	pchedal otedy	P+CHD+AL | OT+E+DY	Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	PASS
B3-S011	f83r	B3	das untere Korbgefaess	4	4	0	0	0	4	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	PASS
B3-S012	f83r	B3	das untere Korbgefaess	2	2	0	0	0	1	sor shedy	OR | SHED+DY	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	PASS
B3-S013	f83r	B3	das untere Korbgefaess	4	4	0	0	0	4	qokaiin chkain shcthey qokedy	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	PASS
B3-S014	f83r	B3	das untere Korbgefaess	2	2	0	0	0	2	okair sheedy	OK+AIR | SH+EE+DY	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.	PASS
B3-S015	f83r	B3	das untere Korbgefaess	1	1	0	0	0	1	lchedy	L+CHD+DY	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	PASS
B3-S016	f83r	B3	das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt	2	2	0	0	0	2	lo qokchedy	L+O | OK+CHD+DY	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	PASS
B3-S017	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	qokeedy	OK+EE+DY	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	PASS
B3-S018	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	shedy	SHED+DY	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	PASS
B3-S019	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	qokshedy	OK+SH+E+DY	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	PASS
B3-S020	f83r	B3	der bildlich unverbundene Zwischenabschnitt	2	2	0	0	0	2	dal lchedy	AL | L+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	PASS
B3-S021	f83r	B3	der bildlich unverbundene Zwischenabschnitt	11	11	0	0	0	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	PASS
B3-S022	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	qotchedy	OT+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	PASS
B3-S023	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	lchedy	L+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	PASS
B3-S024	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	tchedy	CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	PASS
B3-S025	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	1	0	0	0	1	qokchdy	OK+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	PASS
B3-S026	f83r	B3	der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar	7	7	0	0	0	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	PASS
B3-S027	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	qoteedy	OT+EE+DY	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	PASS
B3-S028	f83r	B3	das durch den Bogen verbundene Hauptpaar	2	2	0	0	0	2	qokeey qokedy	OK+EE+Y | OK+E+DY	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	PASS
B3-S029	f83r	B3	das durch den Bogen verbundene Hauptpaar	3	3	0	0	0	3	sol cheeety qokedy	OL | EEE+T+Y | OK+E+DY	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen.	PASS
B3-S030	f83r	B3	das durch den Bogen verbundene Hauptpaar	4	4	0	0	0	4	qoky saiin schedair otchedy	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	PASS
B3-S031	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	1	0	0	0	1	qokeedy	OK+EE+DY	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	PASS
B3-S032	f83r	B3	das durch den Bogen verbundene Hauptpaar	5	5	0	0	0	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	PASS
