component_no	component	short_value_de	grammar_tier	exact_cards	events	access_rule	diagnostic_surfaces
C15	L	LEITEN	PARADIGM_CORE15	18	27	freely read only in registered recipe slot	chldaiin|dl|lar|lcheckhedy|lcheckhy|lched|lchedal|lchedar|lchedy|lcheey|lchy|ldalor|ldy|lkedy|lo|lochedy|lol|ly
C16	OL	WEITER	PARADIGM_CORE15	25	48	freely read only in registered recipe slot	cheol|chol|cholor|dsheol|kchol|keol|lol|ls|octheol|okchol|okeeol|ol|olchedy|oldy|olkain|olor|olsaly|oltchy|otol|otytchol|qoctholy|qokol|qol|qolchedy|qolchey|qolkain|qotchol|rol|sol|solshedy|teol|tol|tshol
C17	OT	DANACH	PARADIGM_CORE15	16	26	freely read only in registered recipe slot	otaiin|otal|otar|otchdy|otchedy|otchey|otchor|otedy|oteey|otol|otytchol|qotal|qotchedy|qotchol|qotchor|qotchy|qotedaiin|qoteedy|sotaiin|sotodan
C18	AL	ZIELSTELLE	PARADIGM_CORE15	22	39	freely read only in registered recipe slot	al|chal|chckhal|chdal|cheal|chealror|chodaly|dal|dalchdy|daldy|kchal|lchedal|ldalor|okal|olsaly|otal|pchedal|qokal|qokaly|qokeedal|qotal|ral|raly|rsheal|sal|schoal|sheckhal|shedal|tal
C19	AR	QUELLE	PARADIGM_CORE15	10	14	freely read only in registered recipe slot	char|chary|cheedar|cheoar|dar|kchoar|lar|lchedar|otar|qokar|sar|skar
C20	AIR	WASSER	RECURRENT_RULE_STRIP	5	5	read from recurrent wall strip	chair|dairydy|kair|okair|schedair
C21	OR	ANSATZ	RECURRENT_RULE_STRIP	10	18	read from recurrent wall strip	chealror|chochor|cholor|chor|cthoor|ldalor|olor|or|orain|otchor|oykchor|qotchor|shor|sor|ycheor
C22	HO	ZUTAT	RECURRENT_RULE_STRIP	5	8	read from recurrent wall strip	cho|chochor|chodaly|choy|kchoar|sho
C23	CKH	DURCHLASS	RECURRENT_RULE_STRIP	9	14	read from recurrent wall strip	chckhal|chckhy|cheeckhody|lcheckhedy|lcheckhy|qockhey|shckhedy|shckhy|sheckhal|sheckhy
C24	O	ARBEITSGANG	RECURRENT_RULE_STRIP	18	19	read from recurrent wall strip	cheeckhody|cheoar|chodaiin|chokcheo|cthoor|lo|lochedy|lsho|octheol|ody|oiiin|oykchor|qockhey|qoctholy|schoal|shoyty|soiiin|sotodan|tchody
C25	Y	DIES	PARADIGM_CORE15	61	125	freely read only in registered recipe slot	cfhy|chary|chckhy|chdy|checthy|chedchy|chedy|cheeety|cheeky|cheey|cheky|chety|chey|chkeey|chodaly|chokchy|choky|choy|chty|chy|cphy|cthy|dairydy|dchey|dy|etyd|kchey|kchy|lcheckhy|lcheey|lchy|ly|okchy|okeey|okey|oky|olsaly|oltchy|otchey|oteey
C26	AIN	PORTION	PARADIGM_CORE15	8	18	freely read only in registered recipe slot	chedain|chkain|dain|kain|okain|olkain|orain|qokain|qolkain|sotodan|ykain
C27	AIIN	SOLLMASS	PARADIGM_CORE15	10	39	freely read only in registered recipe slot	aiin|chaiin|chldaiin|chodaiin|cthaiin|daiin|okaiin|otaiin|qokaiin|qotedaiin|saiin|shfydaiin|solkaiin|sotaiin|taiin|ykaiin
C28	IIN	ARBEITSSTUFE	RECURRENT_RULE_STRIP	3	4	read from recurrent wall strip	daiiin|kaiiin|oiiin|soiiin
C29	E	KURZ	PARADIGM_CORE15	35	50	freely read only in registered recipe slot	cheky|cheoar|ches|chokcheo|dchey|dshedy|dsheol|etyd|kchey|keol|lcheckhedy|lkedy|lshedy|octheol|okey|otedy|qcthey|qekey|qockhey|qokedy|qokey|qokshedy|qotedaiin|rsheal|shckhedy|shcthey|sheckhal|sheckhy|shecthedchy|shecthy|solkey|solshedy|teol
C30	EE	LANG	PARADIGM_CORE15	17	40	freely read only in registered recipe slot	cheeckhody|cheedar|cheeky|cheey|chkeedy|chkeey|lcheey|okeeol|okeey|olkeedy|oteey|qokeedal|qokeedy|qokeey|qoteedy|sheedy|sheey|shey|solkeedy|solkeey
C31	EEE	VOLL	PARADIGM_CORE15	2	2	freely read only in registered recipe slot	cheeety|qokeeedy
C32	R	KUEHLEN	RECURRENT_RULE_STRIP	6	6	read from recurrent wall strip	chealror|ral|raly|rol|rsheal|rshedy
C33	AN	NACHGABE	BOUND_VARIANT	1	1	use only in its attested bound frame	ykan
C34	DA	ZWEIT	LOCAL_SINGLETON	1	1	copy from owner-local model card	daiiin
C35	LD	BEFESTIGEN	LOCAL_SINGLETON	1	1	copy from owner-local model card	qokylddy
C36	DY	SCHLUSS	PARADIGM_CORE15	37	89	freely read only in registered recipe slot	cheeckhody|cheedy|chkeedy|dairydy|dalchdy|daldy|dchdy|dchedy|dshedy|lcheckhedy|lchedy|ldy|lkedy|lochedy|lshedy|ody|okchedy|olchedy|oldy|olkeedy|otchdy|otchedy|otedy|pchedy|qokchdy|qokchedy|qokedy|qokeedy|qokeeedy|qokshedy|qokylddy|qolchedy|
C37	OS	FACH	MEMORIZED_WHOLE_COMMAND	1	1	memorize and copy entire command card	os
C38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	1	2	memorize and copy entire command card	dchol|schol
C39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	1	memorize and copy entire command card	talam
