line_ordinal	source_selector	physical_page	register	topology_family	locus	line_number	paragraph_start	paragraph_end	line_kind	token_count	running_event_count	local_card_count	coarse_page_owner_id	legacy_owner_ids	panel_ids	record_ids	component_ids	context_scope	eva_clean	semantic_export_credit
11	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.11	11	1	0	RUNNING_PROSE	8	8	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ydain cphesaiin ols cphey ytain shoshy cphodal es	ZERO__STRUCTURAL_CROSSWALK_ONLY
12	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.12	12	0	0	RUNNING_PROSE	8	8	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	oksho kshoy otairin oteol okan shodain sckhey daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
13	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.13	13	0	0	RUNNING_PROSE	9	9	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	ZERO__STRUCTURAL_CROSSWALK_ONLY
14	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.14	14	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dain oiin chol odaiin chodain chdy okain dn cthy kod	ZERO__STRUCTURAL_CROSSWALK_ONLY
15	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.15	15	0	0	RUNNING_PROSE	11	11	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	daiin shckhey eo r char shey kol chol chol kor chal	ZERO__STRUCTURAL_CROSSWALK_ONLY
16	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.16	16	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	sho chol shodan kshy kchy d or chodaiin sho koeam	ZERO__STRUCTURAL_CROSSWALK_ONLY
17	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.17	17	0	0	RUNNING_PROSE	8	8	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ycho tchey chekain sheo pshol dydyd cthy daiy	ZERO__STRUCTURAL_CROSSWALK_ONLY
18	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.18	18	0	0	RUNNING_PROSE	9	9	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	yto shol she kodshey cphealy dar ain dain ckhyds	ZERO__STRUCTURAL_CROSSWALK_ONLY
19	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.19	19	0	0	RUNNING_PROSE	8	8	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchar shcthaiin okaiir chey chy tol cthols dloo	ZERO__STRUCTURAL_CROSSWALK_ONLY
20	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.20	20	0	0	RUNNING_PROSE	5	5	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	shok chor chey dain ckhey	ZERO__STRUCTURAL_CROSSWALK_ONLY
21	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.21	21	0	1	RUNNING_PROSE	2	2	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_C	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	otol daiiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
22	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.22	22	1	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	ZERO__STRUCTURAL_CROSSWALK_ONLY
23	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.23	23	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ydoin chol dain cthal dar shear kaiin dar shey cthar	ZERO__STRUCTURAL_CROSSWALK_ONLY
24	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.24	24	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	ZERO__STRUCTURAL_CROSSWALK_ONLY
25	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.25	25	0	0	RUNNING_PROSE	9	9	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ycheey okeey oky daiin okchey kokaiin ochol kdchy dal	ZERO__STRUCTURAL_CROSSWALK_ONLY
26	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.26	26	0	0	RUNNING_PROSE	10	10	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dcheo shody koshey cthy ok chey keey keey dal chtor	ZERO__STRUCTURAL_CROSSWALK_ONLY
27	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.27	27	0	0	RUNNING_PROSE	5	5	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	eo chol chok choty chotey	ZERO__STRUCTURAL_CROSSWALK_ONLY
28	f1r	f1r	SOURCE_SECTION_T	TEXT_BLOCK	f1r.28	28	0	1	RUNNING_PROSE	1	1	0	F1R_TEXT_PAGE	F1R_TEXT_BLOCK_D	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
29	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.1	1	1	0	RUNNING_PROSE	9	9	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	kodalchy chpady sheol ol sheey qotey doiin chor ytoy	ZERO__STRUCTURAL_CROSSWALK_ONLY
30	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.2	2	0	0	RUNNING_PROSE	9	9	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchor shol shol cthol shtchy chaiin s choraiin chom	ZERO__STRUCTURAL_CROSSWALK_ONLY
31	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.3	3	0	0	RUNNING_PROSE	7	7	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	otchol chol chy chaiin qotaiin daiin shain	ZERO__STRUCTURAL_CROSSWALK_ONLY
32	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.4	4	0	1	RUNNING_PROSE	6	6	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotchol chy yty daiin okaiin cthy	ZERO__STRUCTURAL_CROSSWALK_ONLY
33	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.5	5	1	0	RUNNING_PROSE	4	4	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	pydaiin qotchy dy tydy	ZERO__STRUCTURAL_CROSSWALK_ONLY
34	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.6	6	0	0	RUNNING_PROSE	3	3	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	chor shytchy dytcheey	ZERO__STRUCTURAL_CROSSWALK_ONLY
35	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.7	7	0	0	RUNNING_PROSE	4	4	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotaiin cthol daiin cthom	ZERO__STRUCTURAL_CROSSWALK_ONLY
36	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.8	8	0	0	RUNNING_PROSE	5	5	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	shor shol shol cthy cpholdy	ZERO__STRUCTURAL_CROSSWALK_ONLY
37	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.9	9	0	0	RUNNING_PROSE	5	5	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	daiin ckhochy tchy kor aiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
38	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.10	10	0	0	RUNNING_PROSE	4	4	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	odal shor shyshol cphaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
39	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.11	11	0	0	RUNNING_PROSE	3	3	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotchoiin sheor qoty	ZERO__STRUCTURAL_CROSSWALK_ONLY
40	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.12	12	0	0	RUNNING_PROSE	3	3	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	soiin chaiin chaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
41	f4r	f4r	HERBAL	WHOLE_PLANT_ARTICLE	f4r.13	13	0	1	RUNNING_PROSE	2	2	0	F4R_WHOLE_PLANT	F4R_WHOLE_PLANT	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	daiin cthey	ZERO__STRUCTURAL_CROSSWALK_ONLY
42	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.1	1	1	0	RUNNING_PROSE	8	8	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	pchocthy shor octhody chorchy pchodol chopchal ypch kom	ZERO__STRUCTURAL_CROSSWALK_ONLY
43	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.2	2	0	0	RUNNING_PROSE	10	10	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchey cthoor char chty os chair otytchol oky daiin etyd	ZERO__STRUCTURAL_CROSSWALK_ONLY
44	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.3	3	0	0	RUNNING_PROSE	11	11	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotor o tchy daiin chocthy qotchy chol or yty dy dy	ZERO__STRUCTURAL_CROSSWALK_ONLY
45	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.4	4	0	0	RUNNING_PROSE	10	10	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	ZERO__STRUCTURAL_CROSSWALK_ONLY
46	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.5	5	0	1	RUNNING_PROSE	4	4	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qokchy qotchol chol cthy	ZERO__STRUCTURAL_CROSSWALK_ONLY
47	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.6	6	1	0	RUNNING_PROSE	9	9	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ZERO__STRUCTURAL_CROSSWALK_ONLY
48	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.7	7	0	0	RUNNING_PROSE	10	10	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchy qokchol y kchaiin yty daiin cth dain dair am	ZERO__STRUCTURAL_CROSSWALK_ONLY
49	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.8	8	0	0	RUNNING_PROSE	8	8	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotchor chor otol chol cholor chol daiin dar	ZERO__STRUCTURAL_CROSSWALK_ONLY
50	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.9	9	0	0	RUNNING_PROSE	7	7	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	oykchor shor chor chy kaiiin dy chodaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
51	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.10	10	0	0	RUNNING_PROSE	6	6	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	oqotor otor cfhy cthor osain ytoiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
52	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.11	11	0	0	RUNNING_PROSE	5	5	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	otchoshor qoty qotor cthyd otar	ZERO__STRUCTURAL_CROSSWALK_ONLY
53	f10r	f10r	HERBAL	WHOLE_PLANT_ARTICLE	f10r.12	12	0	1	RUNNING_PROSE	4	4	0	F10R_WHOLE_PLANT	zweiknolliges blauköpfiges Heilkraut	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	odaiin daiin qotchy qotor	ZERO__STRUCTURAL_CROSSWALK_ONLY
54	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.1	1	1	0	RUNNING_PROSE	8	8	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	ZERO__STRUCTURAL_CROSSWALK_ONLY
55	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.2	2	0	0	RUNNING_PROSE	9	9	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
56	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.3	3	0	0	RUNNING_PROSE	10	10	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qoty chol cthy dor ykychy choty dain chaiin daiin dod	ZERO__STRUCTURAL_CROSSWALK_ONLY
57	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.4	4	0	1	RUNNING_PROSE	5	5	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchol chy kchy dy daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
58	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.5	5	1	0	RUNNING_PROSE	11	11	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	tchol shor shor dky y daiin cthy d y chodl daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
59	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.6	6	0	0	RUNNING_PROSE	12	12	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	odl d s y otol chaiin ykchor dair chody cthy s daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
60	f11r	f11r	HERBAL	WHOLE_PLANT_ARTICLE	f11r.7	7	0	1	RUNNING_PROSE	4	4	0	F11R_WHOLE_PLANT	blühender dreikroniger Sodenstock	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qotchy okchol cthy dy	ZERO__STRUCTURAL_CROSSWALK_ONLY
61	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.1	1	1	0	RUNNING_PROSE	9	9	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	torshor opchy shol dy qopchy shol opchor dypchy dchg	ZERO__STRUCTURAL_CROSSWALK_ONLY
62	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.2	2	0	0	RUNNING_PROSE	11	11	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchol chol dol shkchy ydal shy ykchy qoty daiin s y	ZERO__STRUCTURAL_CROSSWALK_ONLY
63	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.3	3	0	0	RUNNING_PROSE	11	11	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar	ZERO__STRUCTURAL_CROSSWALK_ONLY
64	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.4	4	0	1	RUNNING_PROSE	3	3	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	qodchy ytchy otchor	ZERO__STRUCTURAL_CROSSWALK_ONLY
65	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.5	5	1	0	RUNNING_PROSE	8	8	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	ZERO__STRUCTURAL_CROSSWALK_ONLY
66	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.6	6	0	0	RUNNING_PROSE	9	9	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	tchor dor daiin qotchol okchy okchor oiin chckhy d	ZERO__STRUCTURAL_CROSSWALK_ONLY
67	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.7	7	0	0	RUNNING_PROSE	9	9	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	dchy qoky chol dy qoy d oldy okchor doaiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
68	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.8	8	0	0	RUNNING_PROSE	7	7	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	shochy qokchy torchy k s okchey daiin	ZERO__STRUCTURAL_CROSSWALK_ONLY
69	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.9	9	0	0	RUNNING_PROSE	7	7	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	oldy shey chol doiin ykoly okchal daldy	ZERO__STRUCTURAL_CROSSWALK_ONLY
70	f13r	f13r	HERBAL	WHOLE_PLANT_ARTICLE	f13r.10	10	0	1	RUNNING_PROSE	3	3	0	F13R_WHOLE_PLANT	große Wurzelkrone mit Blatt und Blütenstand	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	sotchy kchy okorory	ZERO__STRUCTURAL_CROSSWALK_ONLY
71	f17r	f17r	HERBAL	WHOLE_PLANT_ARTICLE	f17r.1	1	1	0	RUNNING_PROSE	10	10	0	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	ZERO__STRUCTURAL_CROSSWALK_ONLY
72	f17r	f17r	HERBAL	WHOLE_PLANT_ARTICLE	f17r.2	2	0	0	RUNNING_PROSE	9	9	0	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ZERO__STRUCTURAL_CROSSWALK_ONLY
73	f17r	f17r	HERBAL	WHOLE_PLANT_ARTICLE	f17r.3	3	0	1	RUNNING_PROSE	7	7	0	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	chol or chy qodam okor chor okchom	ZERO__STRUCTURAL_CROSSWALK_ONLY
74	f17r	f17r	HERBAL	WHOLE_PLANT_ARTICLE	f17r.4	4	1	0	RUNNING_PROSE	9	9	0	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	tcho shol qokol qor olaiin opydg som ypchy ypaim	ZERO__STRUCTURAL_CROSSWALK_ONLY
75	f17r	f17r	HERBAL	WHOLE_PLANT_ARTICLE	f17r.5	5	0	0	RUNNING_PROSE	9	9	0	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	NONE	NONE	NONE	DIRECT_PAGE_CONTEXT_ONLY	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ZERO__STRUCTURAL_CROSSWALK_ONLY
