phrase_id	unit	page	left_source_id	left_surface	left_identity	left_slot	left_reading_de	phrase_surface	phrase_reading_de	right_source_id	right_surface	right_identity	right_slot	right_reading_de
PHR07	B1-S004	f81v	E123	chedy	PROC042	OPERATION_OR_STATE	UMSETZEN · POSTEN	ol shedy	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	NONE	NONE	NONE	STATEMENT_END	AUSSAGEENDE
PHR07	B1-S008	f81v	E134	cheky	PROC083	OPERATION_OR_STATE	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	ol shedy	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	NONE	NONE	NONE	STATEMENT_END	AUSSAGEENDE
PHR07	B1-S016	f81v	E153	qokeey	PROC092	OPERATION_OR_STATE	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	ol shedy	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	NONE	NONE	NONE	STATEMENT_END	AUSSAGEENDE
PHR07	B4-S003	f83r	E323	qoky	PROC008	OPERATION_OR_STATE	ANSETZEN · POSTEN	ol shedy	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	NONE	NONE	NONE	STATEMENT_END	AUSSAGEENDE
PHR08	B1-S002	f81v	E107	kain	PROC069	QUANTITY_OR_STAGE	ZUGEBEN · EIN ABGEGRENZTER TEIL	olkain dal	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN	E110	ol	PROC013	ORDER_OR_CONTINUATION	WEITER
PHR08	B4-S016	f83r	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	olkain dal	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN	E360	skar	PROC165	SOURCE	ZUGEBEN · QUELLE
PHR09	H4-S004	f55v	E070	oltchy	PROC049	OPERATION_OR_STATE	WEITER · BEARBEITEN · POSTEN	or chey	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN	E073	orain	PROC050	QUANTITY_OR_STAGE	ANSATZ · EIN ABGEGRENZTER TEIL
PHR09	B4-S014	f83r	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	or chey	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN	E350	qockhey	PROC161	OPERATION_OR_STATE	ARBEITSGANG · DURCHLASS · EIN KURZER ARBEITSGANG · POSTEN
PHR10	B2-S010	f82r	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	qokeey qoky ls	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN	E197	cheey	PROC031	OPERATION_OR_STATE	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN
PHR10	B4-S003	f83r	E321	otchey	PROC065	ORDER_OR_CONTINUATION	DANACH · POSTEN	qokeey qoky ol	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN	E325	shedy	PROC078	RESULT_OR_CLOSE	STEHENLASSEN · SCHLUSS
