source_id	page	unit	surface	identity	card_class	component_recipe	global_default_de	slot	boundary_sides	phrase_ids	phrase_ready_reading_de	semantic_atoms_changed
E134	f81v	B1-S008	cheky	PROC083	PORTABLE_CORE	CHK+E+Y	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_OR_STATE	LEFT	PHR07	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	NO
E153	f81v	B1-S016	qokeey	PROC092	PORTABLE_CORE	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_OR_STATE	LEFT	PHR07	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
E194	f82r	B2-S010	qokeey	PROC092	PORTABLE_CORE	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_OR_STATE	LEFT	PHR06	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
E196	f82r	B2-S010	ls	PROC115	LOCAL_MODEL	OL	WEITER	ORDER_OR_CONTINUATION	RIGHT	PHR04	WEITERARBEITEN	NO
E197	f82r	B2-S010	cheey	PROC031	PORTABLE_CORE	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_OR_STATE	RIGHT	PHR06,PHR10	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
E206	f82r	B2-S012	lcheey	PROC118	LOCAL_MODEL	L+EE+Y	LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_OR_STATE	LEFT	PHR01	DEN POSTEN LAENGER LEITEN	NO
E209	f82r	B2-S012	qokeeedy	PROC119	LOCAL_MODEL	OK+EEE+DY	ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS	RESULT_OR_CLOSE	RIGHT	PHR01	DEN GANZEN POSTEN ANSETZEN UND SCHLIESSEN	NO
E232	f83r	B3-S003	chey	PROC019	PORTABLE_CORE	Y	POSTEN	ACTIVE_ITEM	LEFT	PHR01	POSTEN	NO
E235	f83r	B3-S003	lchedy	PROC120	PORTABLE_CORE	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	RESULT_OR_CLOSE	RIGHT	PHR01	LEITEN · UMSETZEN · SCHLUSS	NO
E300	f83r	B3-S030	schedair	PROC150	LOCAL_MODEL	CHD+AIR	UMSETZEN · WASSER	MATERIAL_OR_MEDIUM	RIGHT	PHR05	DAS WASSER UMSETZEN	NO
E321	f83r	B4-S003	otchey	PROC065	LOCAL_MODEL	OT+Y	DANACH · POSTEN	ORDER_OR_CONTINUATION	LEFT	PHR04,PHR10	DANACH DIESEN POSTEN	NO
E322	f83r	B4-S003	qokeey	PROC092	PORTABLE_CORE	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	OPERATION_OR_STATE	LEFT	PHR06	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
E323	f83r	B4-S003	qoky	PROC008	PORTABLE_CORE	OK+Y	ANSETZEN · POSTEN	OPERATION_OR_STATE	LEFT	PHR07	ANSETZEN · POSTEN	NO
E324	f83r	B4-S003	ol	PROC013	PORTABLE_CORE	OL	WEITER	ORDER_OR_CONTINUATION	RIGHT	PHR04	WEITER	NO
E325	f83r	B4-S003	shedy	PROC078	PORTABLE_CORE	SHED+DY	STEHENLASSEN · SCHLUSS	RESULT_OR_CLOSE	RIGHT	PHR06,PHR10	STEHENLASSEN · SCHLUSS	NO
E341	f83r	B4-S011	qokain	PROC080	PORTABLE_CORE	OK+AIN	ANSETZEN · EIN ABGEGRENZTER TEIL	QUANTITY_OR_STAGE	LEFT	PHR03	ANSETZEN · EIN ABGEGRENZTER TEIL	NO
E344	f83r	B4-S011	lkedy	PROC159	LOCAL_MODEL	L+K+E+DY	LEITEN · ZUGEBEN · EIN KURZER ARBEITSGANG · SCHLUSS	RESULT_OR_CLOSE	RIGHT	PHR03	KURZ WEITERLEITEN UND SCHLIESSEN	NO
E350	f83r	B4-S014	qockhey	PROC161	LOCAL_MODEL	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_OR_STATE	RIGHT	PHR09	DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN	NO
E360	f83r	B4-S016	skar	PROC165	LOCAL_MODEL	K+AR	ZUGEBEN · QUELLE	SOURCE	RIGHT	PHR08	AUS DER QUELLE ZUGEBEN	NO
E364	f83r	B5-S003	shedal	PROC142	PORTABLE_CORE	SHED+AL	STEHENLASSEN · ZIELSTELLE	TARGET	LEFT	PHR02	STEHENLASSEN · ZIELSTELLE	NO
E367	f83r	B5-S003	lol	PROC167	LOCAL_MODEL	L+OL	LEITEN · WEITER	OPERATION_OR_STATE	RIGHT	PHR02	VON DORT WEITERLEITEN	NO
