identity	surface	component_recipe	slot_signature	root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_pattern	marks	orders	renderer_rule
A3:G056	daiial	NONE	WHOLE	LOKALES GANZWORT	FEUCHTESTUFE	FEUCHTESTUFE	WHOLE_LEXICON	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G057	cheody	CHEO+Y	MATERIAL>REFERENT	AUSZUG · POSTEN	AUSZUG · POSTEN	AUSZUG · POSTEN	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G058	cheal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G059	yetey	Y+E+T+E+Y	REFERENT>GRADE>OPERATION>GRADE>REFERENT	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G060	chear	CH+E+AR	OPERATION>GRADE>ADDRESS	ENTNEHMEN · KURZ · QUELLE	ENTNEHMEN · KURZ · QUELLE	ENTNEHMEN · KURZ · QUELLE	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G061	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G062	dy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G063	ykey	Y+K+E+Y	REFERENT>OPERATION>GRADE>REFERENT	POSTEN · ZUGEBEN · KURZ · POSTEN	POSTEN · ZUGEBEN · KURZ · POSTEN	POSTEN · ZUGEBEN · KURZ · POSTEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G064	ch	CH	OPERATION	ENTNEHMEN	ENTNEHMEN	ENTNEHMEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G065	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G066	dy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G067	chol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G068	ykar	Y+K+AR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G069	ol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G070	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G071	ykeeody	Y+K+EE+O+Y	REFERENT>OPERATION>GRADE>PROCESS>REFERENT	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G072	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G073	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G074	ody	O+DY	PROCESS>ENDPOINT	ARBEITSGANG · SCHLIESSEN	ARBEITSGANG SCHLIESSEN	ARBEITSGANG SCHLIESSEN	CLOSING_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G075	airchy	AIR+Y	PATH>REFERENT	LAUF · POSTEN	LAUF · POSTEN	LAUF · POSTEN	TRANSFER_OR_PATH	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G076	choky	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G077	ychey	Y+Y	REFERENT>REFERENT	POSTEN · POSTEN	POSTEN · POSTEN	POSTEN · POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G078	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G079	doair	D_ADDR+O+AIR	ADDRESS>PROCESS>PATH	TEILSTELLE · ARBEITSGANG · LAUF	TEILSTELLE · ARBEITSGANG · LAUF	TEILSTELLE · ARBEITSGANG · LAUF	TRANSFER_OR_PATH	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G080	otaldal	OT+AL+AL	ORDER>ADDRESS>ADDRESS	DANACH · ZIELSTELLE · ZIELSTELLE	DANACH · ZIELSTELLE · ZIELSTELLE	DANACH · ZIELSTELLE · ZIELSTELLE	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G081	dair	D_ADDR+AIR	ADDRESS>PATH	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TRANSFER_OR_PATH	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G082	chdy	CHD+Y	OPERATION>REFERENT	UMSETZEN · POSTEN	UMSETZEN · POSTEN	UMSETZEN · POSTEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G083	otoar	OT+O+AR	ORDER>PROCESS>ADDRESS	DANACH · ARBEITSGANG · QUELLE	DANACH · ARBEITSGANG · QUELLE	DANACH · ARBEITSGANG · QUELLE	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G084	ar	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G085	chy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G086	qoteor	OT+E+OR	ORDER>GRADE>MATERIAL	DANACH · KURZ · ANSATZ	DANACH · KURZ · ANSATZ	DANACH · KURZ · ANSATZ	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G087	cho	HO	MATERIAL	TEIL	TEIL	TEIL	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G088	qotair	OT+AIR	ORDER>PATH	DANACH · LAUF	DANACH · LAUF	DANACH · LAUF	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G089	chda	CHD+A_ADDR	OPERATION>ADDRESS	UMSETZEN · STELLE	UMSETZEN · STELLE	UMSETZEN · STELLE	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G090	oteeal	OT+EE+AL	ORDER>GRADE>ADDRESS	DANACH · LANG · ZIELSTELLE	DANACH · LANG · ZIELSTELLE	DANACH · LANG · ZIELSTELLE	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G091	cheor	CHEO+R	MATERIAL>STATE	AUSZUG · KUEHL	AUSZUG · KUEHL	AUSZUG · BEZUG	STATE_OR_GRADE	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G092	ar	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G093	air	AIR	PATH	LAUF	LAUF	LAUF	TRANSFER_OR_PATH	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G094	oteody	OT+E+O+Y	ORDER>GRADE>PROCESS>REFERENT	DANACH · KURZ · ARBEITSGANG · POSTEN	DANACH · KURZ · ARBEITSGANG · POSTEN	DANACH · KURZ · ARBEITSGANG · POSTEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G095	ytyd	Y+T+Y+D_LABEL	REFERENT>OPERATION>REFERENT>LABEL	POSTEN · BEARBEITEN · POSTEN · PHASE	POSTEN · BEARBEITEN · POSTEN · PHASE	POSTEN · BEARBEITEN · POSTEN · PHASE	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G096	a	A_ADDR	ADDRESS	STELLE	STELLE	STELLE	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G097	dchy	D_ADDR+Y	ADDRESS>REFERENT	TEILSTELLE · POSTEN	TEILSTELLE · POSTEN	TEILSTELLE · POSTEN	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G098	otoly	OT+OL+Y	ORDER>ORDER>REFERENT	DANACH · FORTSETZEN · POSTEN	DANACH · FORTSETZEN · POSTEN	DANACH · FORTSETZEN · POSTEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G099	okeodal	OK+E+O+AL	OPERATION>GRADE>PROCESS>ADDRESS	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G100	oteoarar	OT+E+O+AR+AR	ORDER>GRADE>PROCESS>ADDRESS>ADDRESS	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G101	cheteeser	CH+E+T+EE+S_ADDR+E+R	OPERATION>GRADE>OPERATION>GRADE>ADDRESS>GRADE>STATE	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · KUEHL	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · KUEHL	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · BEZUG	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G102	dair	D_ADDR+AIR	ADDRESS>PATH	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TRANSFER_OR_PATH	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G103	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G104	okody	OK+O+Y	OPERATION>PROCESS>REFERENT	ANSETZEN · ARBEITSGANG · POSTEN	ANSETZEN · ARBEITSGANG · POSTEN	ANSETZEN · ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G105	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G106	oteey	OT+EE+Y	ORDER>GRADE>REFERENT	DANACH · LANG · POSTEN	DANACH LANG HALTEN	DANACH LANG HALTEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G107	oteey	OT+EE+Y	ORDER>GRADE>REFERENT	DANACH · LANG · POSTEN	DANACH LANG HALTEN	DANACH LANG HALTEN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G118	otody	OT+O+DY	ORDER>PROCESS>ENDPOINT	DANACH · ARBEITSGANG · SCHLIESSEN	DANACH · ARBEITSGANG · SCHLIESSEN	DANACH · ARBEITSGANG · SCHLIESSEN	CLOSING_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC001	dchey	CH+E+Y	OPERATION>GRADE>REFERENT	ENTNEHMEN · KURZ · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC002	cthoor	CTH+O+OR	STATE>PROCESS>MATERIAL	BEREIT · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	STATE_OR_GRADE	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC003	char	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	5	WH01,WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC004	chety	T+Y	OPERATION>REFERENT	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	OPERATION_INSTRUCTION	3	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC005	os	OS	ORDER	DAZU	DAZU	DAZU	ORDERED_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC006	chair	CH+AIR	OPERATION>PATH	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	OPERATION_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC007	otytchol	OT+Y+T+CH+OL	ORDER>REFERENT>OPERATION>OPERATION>ORDER	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · FORTSETZEN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	ORDERED_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC008	qoky	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	OPERATION_INSTRUCTION	11	WH01,WH02,WH03,WH04,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC009	daiin	AIIN	ARGUMENT	MASS	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	ARGUMENT_OR_ADDRESS	18	WH01,WH02,WH03,WH04,WH05,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC010	etyd	E+T+Y	GRADE>OPERATION>REFERENT	KURZ · BEARBEITEN · POSTEN	DEN POSTEN KURZ WEITERBEARBEITEN	DEN POSTEN KURZ WEITERBEARBEITEN	OPERATION_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC011	qokchy	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	OPERATION_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC012	qotchol	OT+CH+OL	ORDER>OPERATION>ORDER	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	ORDERED_INSTRUCTION	2	WH01,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC013	ol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	18	WH01,WH03,WH04,WH05,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC014	checthy	CTH+Y	STATE>REFERENT	BEREIT · POSTEN	BEREITEN · POSTEN	BEREITEN · POSTEN	STATE_OR_GRADE	7	WH01,WH02,WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC016	or	OR	MATERIAL	ANSATZ	ANSATZ	ANSATZ	ARGUMENT_OR_ADDRESS	3	WH03,WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC019	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	13	WH01,WH02,WH03,WH04,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC020	otchor	OT+CH+OR	ORDER>OPERATION>MATERIAL	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	DANACH VOM ANSATZ ENTNEHMEN	ORDERED_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC022	olor	OL+OR	ORDER>MATERIAL	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	ANSATZ WEITERFUEHREN	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC026	tshol	T+SH+OL	OPERATION>STATE>ORDER	BEARBEITEN · HALTEN · FORTSETZEN	BEARBEITEN · HALTEN · WEITER	BEARBEITEN · HALTEN · WEITER	OPERATION_INSTRUCTION	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC027	schoal	SH+O+AL	STATE>PROCESS>ADDRESS	HALTEN · ARBEITSGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	STATE_OR_GRADE	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC028	cfhy	CFH+Y	OPERATION>REFERENT	AUSPRESSEN · POSTEN	AUSPRESSEN · POSTEN	AUSPRESSEN · POSTEN	OPERATION_INSTRUCTION	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC029	shfydaiin	SH+Y+AIIN	STATE>REFERENT>ARGUMENT	HALTEN · POSTEN · MASS	HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER	HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER	STATE_OR_GRADE	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC030	cphy	P+Y	OPERATION>REFERENT	EINBRINGEN · POSTEN	EINBRINGEN · POSTEN	EINBRINGEN · POSTEN	OPERATION_INSTRUCTION	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC031	cheey	SH+EE+Y	STATE>GRADE>REFERENT	HALTEN · LANG · POSTEN	LANG HALTEN	LANG HALTEN	STATE_OR_GRADE	5	WH02,WH04,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC032	tchody	T+CH+O+DY	OPERATION>OPERATION>PROCESS>ENDPOINT	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLIESSEN	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	CLOSING_INSTRUCTION	2	WH02,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC033	shoyty	SH+O+Y+T+Y	STATE>PROCESS>REFERENT>OPERATION>REFERENT	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	DURCHARBEITEN	OPERATION_INSTRUCTION	1	WH02	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
