statement_id	loci	event_ids	surfaces	card_literal_de	fluent_pool_reading_de	terminal	unit_type	visible_owner_de
B1-S011	f81v.18	E139|E140	chckhy qoky	Durchlass · dies; ansetzen · dies	Den Durchlass mit dem laufenden Posten belegen und ansetzen.	NO	OPEN_POOL_INSTRUCTION	gemeinsame zweireihige Figuren-/Beckenstation
B1-S012	f81v.21	E141|E142|E143	lsho qokey lshedy	Waschgang · Arbeitsgang; ansetzen · kurz · dies; Waschgang · kurz · Schluss	Den Waschgang beginnen, den Posten kurz ansetzen und den kurzen Waschgang schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S013	f81v.21	E144	lshedy	Waschgang · kurz · Schluss	Einen kurzen Waschgang schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S014	f81v.21	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	umsetzen · dies; auffangen · dies; führen · umsetzen · Zielstelle; fortsetzen; danach · von dort	Den Posten umsetzen, auffangen, zur Zielstelle führen, fortsetzen und danach von dort nehmen.	NO	OPEN_POOL_INSTRUCTION	gemeinsame zweireihige Figuren-/Beckenstation
B1-S015	f81v.24	E150|E151	ytey okchedy	eintragen · kurz · dies; ansetzen · umsetzen · Schluss	Den Posten kurz eintragen, ansetzen, umsetzen und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S016	f81v.24	E152|E153|E154|E155	qokal okeey qol cheedy	ansetzen · Zielstelle; ansetzen · länger · dies; fortsetzen; absetzen · Schluss	An der Zielstelle ansetzen, länger halten, fortsetzen, absetzen und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S017	f81v.24	E156|E157|E158	sal teol dchdy	Zielstelle; kurz · fortsetzen; umsetzen · Schluss	Die Zielstelle setzen, kurz fortsetzen, umsetzen und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S018	f81v.24|f81v.27	E159|E160|E161|E162	ly dsheol oiiin olkeedy	führen · dies; halten · kurz · fortsetzen; Arbeitsgang · Sollstufe; auffangen · länger · Schluss	Den Posten führen, kurz halten und fortsetzen, auf Sollstufe bringen, länger auffangen und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S019	f81v.27	E163	tedy	absetzen · Schluss	Absetzen und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S020	f81v.27	E164|E165	cheky shckhedy	wärmen · kurz · dies; halten · Durchlass · kurz · Schluss	Kurz wärmen, kurz am Durchlass halten und schließen.	YES	INDEPENDENT_CLOSED_CELL	gemeinsame zweireihige Figuren-/Beckenstation
B1-S021	f81v.27	E166	chal	Zielstelle	Die Zielstelle übernehmen.	NO	OPEN_POOL_INSTRUCTION	gemeinsame zweireihige Figuren-/Beckenstation
