right_surface	provenance_path	promotion_status	selected_default_de	confidence	source_kind	source_axis_de	source_status	source_confidence	source_headed_or_target_occurrences	source_bare_occurrences	gdt738_discovery_decision	gdt738_w23_decision	source_renderer_license_before_gdt778	gdt734_legacy_source	gdt734_legacy_reading_id	gdt734_legacy_working_meaning_de	gdt734_legacy_status	ol_local_raw_occurrences	ol_local_reader_exact_occurrences	source_conflict	source_conflict_detail	gdt778_conflict_decision	legacy_literal_patient_quarantined	exact_complete_whole_only	free_component_export	default_is_translation	confirmed_lexeme	confirmed_plaintext
chy	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	trockene Grundform	C1	GDT736_BODY_CANDIDATE	trockene Grundform	SIMPLIFY	HIGH	15	NA	NOT_APPLICABLE_GDT736_TRAINING	NOT_APPLICABLE_GDT736_TRAINING	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chy#1	trocken am Anfang des Grades	INHERITED_V97	3	3	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
dair	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	abgemessener Anteil II	C2	GDT768_LATER_COMPLETE_WHOLE	Anteil II	CONTROL_DEFAULT_RETAINED	C2_FRACTION_FAMILY__C0_SUBSTANCE_IDENTITY	1	NA	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	1	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	dair#1	abgemessener Anteil II	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
dal	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	abgemessenes Material I	C0	GDT737_BODY_CANDIDATE	abgemessene Materialstufe I	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	2	191	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	dal#V84_1	Rohstoff I, abgemessen	INHERITED_V97	2	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
dar	GDT737_BODY_PLUS_GDT768_LADDER	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	abgemessener Anteil I	C1	GDT737_BODY_CANDIDATE	abgemessener Anteil, Stufe I	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	7	245	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	dar#1	abgemessener Anteil I	INHERITED_V97	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
dol	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Materialmaß	C0	GDT737_BODY_CANDIDATE	Materialmaß oder Materialwert	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM	3	76	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	dol#1	Materialmaß	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
kain	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitzte Form II	C1	GDT737_BODY_CANDIDATE	erhitzte Form: Index II	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	34	43	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	kain#1	heiß, Grad II	INHERITED_V97	3	3	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
kar	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitzter Anteil I	C1	GDT737_BODY_CANDIDATE	erhitzte Teil-/Fraktionsstufe I	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	33	57	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	kar#GLOBAL	heiße Drogenfraktion I	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
keey	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitzte Form II	C1	GDT737_BODY_CANDIDATE	erhitzte Form II	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	39	43	SUPPORTED_FAMILY_ONLY	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	keey#1	heiß am Ende des Grades	INHERITED_V97	2	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
oaiin	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Zubereitungswert III	C1	GDT736_BODY_CANDIDATE	Zubereitung: Index III	NARROW_TO_INDEX	HIGH	6	NA	NOT_APPLICABLE_GDT736_TRAINING	NOT_APPLICABLE_GDT736_TRAINING	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	oaiin#GLOBAL	drei Ansatzportionen	GDT730_QUANTITY_WHOLE_SINGLE_DEFAULT_DISPATCH	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
oldaiin	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Materialergebnis III	C0	GDT737_BODY_CANDIDATE	Materialergebnis: Dosis oder Wert III	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM	2	7	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_RESIDUAL_SPLIT_INVENTORY	NONE	ol#V84_1=Ansatz + daiin#V84_CORE=Wert III || ol#V84_2=Stoffkopf + daiin#V84_CORE=Wert III	NOT_SELECTED_THIS_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
olkaiin	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitztes Material, Wert III	C0	GDT737_BODY_CANDIDATE	erhitztes Material: Index III	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	5	28	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	olkaiin#1	heiß; Wert III	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
olkain	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitztes Material, Wert II	C0	GDT737_BODY_CANDIDATE	erhitztes Material: Index II	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	3	33	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	olkain#GLOBAL	heißes Drogenmaterial, Grad II	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
olkeey	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	erhitztes Material, Form II	C0	GDT737_BODY_CANDIDATE	erhitztes Material, Form II	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	6	35	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	olkeey#1	Holzansatz vollständig erhitzt	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
ols	GDT769_772_SOURCE_CONFLICT	EXACT_OL_PLUS_WHOLE_ONLY__SOURCE_CONFLICT	Produktposten	C0	GDT769_GDT772_SOURCE_CONFLICT	Maß-/Produktposten	SELECTED_WORKING_SPECIFICITY_TIEBREAK__OLS_NULL	C0_RIVAL_ONLY	12	NA	SUPERSEDED_BY_LATER_SOURCE_CONFLICT	SUPERSEDED_BY_LATER_SOURCE_CONFLICT	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	ols#GLOBAL	Drogenstoffposten	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	1	GDT758_ABGESEIHTES_ENDPRODUKT_RETIRED__GDT769_MASS_PRODUCT_FIELD_RIVAL__GDT772_OLS_NULL	NEW_C0_PRODUKTPOSTEN_EXACT_OL_PLUS_WHOLE_ONLY__FILTRATE_OR_STRAINING_NOT_SELECTED	1	1	0	0	0	0
ory	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Portionsposten	C0	GDT737_BODY_CANDIDATE	Teil-/Portionsträger, Grund-/Schlussform	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	3	13	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_RESIDUAL_SPLIT_INVENTORY	NONE	o#GLOBAL=Ansatzwasser + ry#GLOBAL=rohe Wurzel || or#1=Drogenportion + y#1=[STRUKTUR: SATZSCHLUSS] || or#1=Drogenportion + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	NOT_SELECTED_THIS_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
otaiin	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	abgekühlte Zubereitung, Wert III	C0	GDT737_BODY_CANDIDATE	kalte/abgekühlte Zubereitung: Index III	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	2	138	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	otaiin#1	kalter Ansatz, Grad III	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
sheckhy	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	angefeuchtete Mischung	C0	GDT737_BODY_CANDIDATE	angefeuchtete Mischung, Grundform	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	3	33	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	sheckhy#1	feuchte Mischung, Anfangsstufe	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
shol	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Feuchtmaterial	C0	GDT737_BODY_CANDIDATE	Feuchtmaterial	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	4	163	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	shol#1	feucht	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
