right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	provenance_path	promotion_status	positive_evidence	counterevidence	local_raw_occurrences	local_reader_exact_occurrences	local_nonexact_exclusions	fallback_replacements	contextual_sharpenings	contextual_confirmations	actual_display_changes	source_kind	source_status	scope_status	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
dar	abgemessener Anteil I	Dosisfeld I	Resultatstufe I	C1	GDT737_BODY_PLUS_GDT768_LADDER	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	245 bare und 7 headed; spätere dreistufige Leiter stärkt Anteil-/Messrolle	Anteil gegen Dosis oder Resultat offen	2	2	0	2	0	0	2	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
dol	Materialmaß	Materialwert	Maßfeld	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	76 bare und 3 headed Kandidatenvorkommen tragen Material-/Maßfeld	GDT738 unentschieden; Einheit offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
kain	erhitzte Form II	Wärmestufe II	Verarbeitungsstufe II	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	43 bare und 34 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Form gegen Prozessstufe offen	3	3	0	1	2	0	3	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
kar	erhitzter Anteil I	heiße Fraktion I	Wärmestufe I	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	57 bare und 33 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Anteil gegen Fraktion und Stufe offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
keey	erhitzte Form II	Wärmestufe II	Erhitzungsvorgang	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	43 bare und 39 headed Kandidatenvorkommen; Discovery trägt die Wärmefamilie	W23 bleibt unentschieden und Prozess gegen Zustand offen	2	1	1	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
oaiin	Zubereitungswert III	Zubereitungsmenge III	Charge III	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736 High-Kandidat plus 22 alte Ganzwortvorkommen tragen Zubereitung und Wert III	Wert gegen Menge oder Charge offen	1	1	0	1	0	0	1	GDT736_BODY_CANDIDATE	NARROW_TO_INDEX	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
oldaiin	Materialergebnis III	Materialwert III	Dosis III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	7 bare und 2 headed Kandidatenvorkommen tragen Material/Ergebnis plus Wert III	GDT738 unentschieden; alte Karte hatte NO_EXACT_BODY_WHOLE	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
olkaiin	erhitztes Material, Wert III	Grad III	Mengenstufe III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	28 bare und 5 headed Kandidatenvorkommen tragen Wärme/Material plus Wertleiter	Beide Transferprüfungen unentschieden	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
olkain	erhitztes Material, Wert II	Materialform II	Wärmestufe II	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	33 bare und 3 headed Kandidatenvorkommen tragen Wärme/Material plus Wert II	GDT738 unentschieden; Dimension offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
olkeey	erhitztes Material, Form II	erhitzte Zubereitung II	Wärmezustand II	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	35 bare und 6 headed Kandidatenvorkommen tragen Wärme/Material plus Form II	GDT738 unentschieden; alter Holzpatient verworfen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
ols	Produktposten	Maß-/Dosisposten	Endportion	C0	GDT769_772_SOURCE_CONFLICT	EXACT_OL_PLUS_WHOLE_ONLY__SOURCE_CONFLICT	GDT769 findet 12 exakte Vorkommen mit Wert- und Endpositionen; GDT778 setzt eine bewusst neue lokale Ganzworthypothese	GDT772 wählt formal OLS_NULL; die ältere Filtratlesung ist überholt	1	1	0	1	0	0	1	GDT769_GDT772_SOURCE_CONFLICT	SELECTED_WORKING_SPECIFICITY_TIEBREAK__OLS_NULL	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
ory	Portionsposten	Portionsabschluss	Teilträger	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	13 bare und 3 headed Kandidatenvorkommen tragen Teil-/Portionsfamilie	GDT738 unentschieden; Zielstelle ist medial und alte Karte hatte NO_EXACT_BODY_WHOLE	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
otaiin	abgekühlte Zubereitung, Wert III	Kaltstufe III	Abkühlungsvorgang	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	138 bare und 2 headed Kandidatenvorkommen tragen Kälte/Zubereitung plus Wert III	GDT738 unentschieden; Temperatur gegen Prozess offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
sheckhy	angefeuchtete Mischung	Feuchtkompositum	feuchte Grundform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	33 bare und 3 headed Kandidatenvorkommen tragen Feucht-/Kompositumfamilie	GDT738 unentschieden; Patient offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
shol	Feuchtmaterial	Feuchtzustand	feuchter Träger	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	163 bare und 4 headed Kandidatenvorkommen tragen Feucht-/Materialfamilie	GDT738 trennt Zustand und Träger nicht	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
