exact_tuple_id	surface	locus	selected	alternative_A	alternative_B	selection_reason	strongest_null
6f7ff8287eddf4da9fdb	chedy	f55v.5:7	stir until evenly mixed	beat the liquid until even	stir the herb and wine together	V18 recurrent deck	ordinary omitted subject/argument supplied by picture
7249edc4df3419c26999	ycheor	f10r.6:1	it grows beside running water	it grows in damp meadow ground	it is found beside shaded ditches	page-owned descriptive clause; no water is drawn, so this remains a text-side habitat bet	ordinary omitted subject/argument supplied by picture
75a523fcf039b006f97b	kchal	f56r.13:3	keep a dried reserve in the shade	powder the dried remnant	store the dried head in a linen bag	makes a dry alternative after fresh internal use	ordinary omitted subject/argument supplied by picture
807591efc3d3f7ddbfab	cheoar	f55v.11:2	take strong wine	take white wine	take warmed spring water	distinguishes the second wine card from the first white-wine card	mis-segmented abbreviation or page-exemplar filler
80ebbbbf238eee9f0aef	chty	f10r.2:4	until the pieces are evenly joined	until the cut pieces soften	until the wine and root are joined	keeps V18 joining action but supplies the local cut-root operand	ordinary omitted subject/argument supplied by picture
834825c61d048a6b5628	chodaiin	f10r.9:7	preserve the finished portion under oil	store it in a sealed jar	mix the finished portion with oil	article-final storage instruction	ordinary omitted subject/argument supplied by picture
893c570f3fa3fce99711	kchol	f56r.7:2	add white wine	add spring water	add sour wine	follows continuation card in root application	mis-segmented abbreviation or page-exemplar filler
953ad19b79517fc8a211	tshol	f11r.1:1	gather it in early spring	gather it at sunrise	gather it before midsummer	article-opening temporal instruction	ordinary omitted subject/argument supplied by picture
95987d6f198d6d247511	cheeckhody	f56r.8:4	bind it in place overnight	leave the dressing until morning	cover the poultice with linen	concrete poultice closure replaces apparatus outlet	ordinary omitted subject/argument supplied by picture
97cc9ac109148723c472	ody	f55v.5:5	steep it until clear, then stopper it	leave it overnight then seal	boil until the wine clears	closure ends first f55v field before a second measured step	ordinary omitted subject/argument supplied by picture
9bb7122b386ebbc6138f	keol	f56r.19:2	the pale inner flower	the white flower centre	the pale young head	visible white centre contrasts with dark blue head	ordinary omitted subject/argument supplied by picture
a48efd6c4491a046ba78	qotchy	f11r.7:1	take the flowering tops	take the young leaves	take the blue flowers	final application begins with pictured flower material	ordinary omitted subject/argument supplied by picture
a6939862e33ece5a0483	etyd	f10r.2:10	keep the remaining root dry	seal the remaining paste in a jar	hang the unused root in shade	closes first preparation while preserving unused pictured material	ordinary omitted subject/argument supplied by picture
a8af08e69edab8e54f15	shfydaiin	f11r.1:4	wash the gathered leaves in clean water	steep the leaves in spring water	crush the leaves with their own juice	removes V18 duplication with following cloth card	ordinary omitted subject/argument supplied by picture
ad3581d3144f69a5912d	sh	f56r.12:1	for the mature seed-head	as for the seed	take the dark burr-like head	visible spiral and burr heads supply the inherited class	ordinary omitted subject/argument supplied by picture
af816c04e65874a0f2fa	qoctholy	f10r.6:5	simmer them gently together	boil the juice once	warm the decoction without boiling	liquid pair immediately precedes portion formula	ordinary omitted subject/argument supplied by picture
b2812c8283c3a62438bd	kchy	f11r.4:3	bind this portion on as a poultice	rub the swelling with this portion	lay the crushed leaves over the swelling	fits Y-X-Y measure frame under swelling rubric	ordinary omitted subject/argument supplied by picture
b5df9126607030b95175	shey	f11r.1:6	until the liquid runs clear	until no cloudiness remains	until the last drops run pale	V18 recurrent deck	ordinary omitted subject/argument supplied by picture
b5fcea1eaed06b2f2291	qokaiin	f55v.5:1	take up the next portion or instruction	take the next measured charge	begin the following preparation	V18 recurrent deck	ordinary omitted subject/argument supplied by picture
b74e9e65637b7c8538dd	kchey	f56r.12:3	the fully opened head	the dried leaf	the dark unopened flower-head	follows generic take-next card and matches staged heads	ordinary omitted subject/argument supplied by picture
b9d7b6d68209a9019e7a	chochor	f56r.5:1	gather the pictured plant in spring	gather it before the heads open	take the plant in early summer	opens root recipe and uses pictured owner	ordinary omitted subject/argument supplied by picture
bdad9f9ea8b80f141496	cfhy	f11r.1:3	before the blue flowers fully open	take only the blue flowers	gather before the seed sets	qualifies collection and matches visibly numerous flowers	ordinary omitted subject/argument supplied by picture
c10aec6d4dd877ec8bd8	choy	f56r.8:2	pound it fine with wine	bruise it with oil	cut it finely into the warm medium	between swelling head and application action	ordinary omitted subject/argument supplied by picture
c71c72da4e09e0833392	kchoar	f56r.18:3	with honey	with thickened wine	with clarified butter	ordinary medium between fresh remedy and use-fresh close	mis-segmented abbreviation or page-exemplar filler
d929a14ec45749b2e805	ykan	f55v.5:4	in white wine	in clear water	in weak vinegar	ordinary recipe medium after heating action	mis-segmented abbreviation or page-exemplar filler
dd0ecaf5e27d81befffc	dal	f56r.7:5	at the painful place shown in the rubric	on the place marked in the picture	over the swollen bodily part	V18 recurrent deck	ordinary omitted subject/argument supplied by picture
deb377381ceaf55ea310	cphy	f11r.1:5	press them through a linen cloth	strain through a hair sieve	wring the soaked leaves in linen	precedes established clarity gate	ordinary omitted subject/argument supplied by picture
dec401773c1f0347793d	cholor	f10r.8:5	draw another portion from that batch	repeat the foregoing mixing	take the clear upper liquid from the batch	occupies centre of repeated CHOL-X-CHOL frame	ordinary omitted subject/argument supplied by picture
dedc383b600397a301ee	cthoor	f10r.2:2	cut it into thin pieces	wash the root clean	keep the root in a covered jar	follows root selection and precedes batch reference	ordinary omitted subject/argument supplied by picture
df1098831679a8ad1b39	os	f10r.2:5	pound them to a paste	dry the pieces to powder	bruise the fresh root	ordinary root preparation following cutting	ordinary omitted subject/argument supplied by picture
e026af581c99322fbd46	talam	f55v.5:8	strain the mixture into a clean vessel	wash the vessel and close it	pour off the clear liquid and seal it	Herbal record end; replaces apparatus-wash wording	ordinary omitted subject/argument supplied by picture
e8a6105b5c3a6220b440	qotchol	f10r.5:2	apply it while warm	drink it while warm	lay it warm on the swelling	warm application between fresh-remedy and inherited-preparation cards	ordinary omitted subject/argument supplied by picture
f3c23f42baf625639e1e	cthaiin	f10r.6:4	the expressed juice	the juice pressed from the root	the water in which it was steeped	ordinary paired liquid beside decoction	mis-segmented abbreviation or page-exemplar filler
f7dc90b2c31fd341f0a4	ykaiin	f55v.11:1	for a wound that heals slowly	for an old ulcer	for a swollen joint	concrete second-recipe head on broad-leaved wound-herb candidate	ordinary omitted subject/argument supplied by picture
faf321940aed922846a9	otchey	f56r.19:1	for a poultice take	for a drink take	for a warm plaster take	opens final measured plant-part phrase	ordinary omitted subject/argument supplied by picture
