exact_tuple_id	surface	locus	selected_default	concrete_alternative_1	concrete_alternative_2	selection_reason
953ad19b79517fc8a211	tshol	f11r.1:1	gather the whole herb in spring	cut the flowering mat at dawn	lift the roots after spring rain	V18 default+article opening; selected phrase makes the complete page article require fewer topic changes
95987d6f198d6d247511	cheeckhody	f56r.8:4	bind it on overnight, then remove; end	leave it on until dry, then remove	wash the bound place at dawn	Herbal contradiction repairs V18 outlet; selected phrase makes the complete page article require fewer topic changes
97cc9ac109148723c472	ody	f55v.5:5	steep until clear, then decant; end	let it stand until the lees settle	strain the steeped wine into a clean jar	V18 default clarified; selected phrase makes the complete page article require fewer topic changes
9bb7122b386ebbc6138f	keol	f56r.19:2	one pale opened flower-head	one dark unopened head	one handful of pale flower petals	picture+measure context; selected phrase makes the complete page article require fewer topic changes
a48efd6c4491a046ba78	qotchy	f11r.7:1	pound the fresh cushion leaves	bruise the three toothed roots	take the young blue-flowered shoots	page-local recipe opening; selected phrase makes the complete page article require fewer topic changes
a6939862e33ece5a0483	etyd	f10r.2:10	retain the sound roots for later use	keep the remaining powder dry	plant the sound side-root again	paired roots+closure; selected phrase makes the complete page article require fewer topic changes
a8af08e69edab8e54f15	shfydaiin	f11r.1:4	pass the decoction first through coarse cloth	press the boiled herb through a linen bag	pour the first liquor through a hair sieve	V18 default+paired operation; selected phrase makes the complete page article require fewer topic changes
ad3581d3144f69a5912d	sh	f56r.12:1	the ripe seed-head	the dark unopened flower-head	the seed from the spiral head	picture; selected phrase makes the complete page article require fewer topic changes
af816c04e65874a0f2fa	qoctholy	f10r.6:5	boil it gently in water	steep it overnight in water	warm it slowly in white wine	water hypothesis+article; selected phrase makes the complete page article require fewer topic changes
b2812c8283c3a62438bd	kchy	f11r.4:3	bind this portion upon a swollen place	wash a swollen joint with this portion	drink the portion against inward swelling	V18 swelling+local phrase; selected phrase makes the complete page article require fewer topic changes
b5df9126607030b95175	shey	f11r.1:6	until the liquid runs clear	until no leaf fragments remain	until the pressed liquid turns pale	V18 default+sequence; selected phrase makes the complete page article require fewer topic changes
b5fcea1eaed06b2f2291	qokaiin	f55v.5:1	take up the next portion or instruction	take the next measured plant part	begin the following preparation	V18 recurrent deck; selected phrase makes the complete page article require fewer topic changes
b74e9e65637b7c8538dd	kchey	f56r.12:3	the dried scale-leaf	the dried flowering bract	the dried upper stalk	V18 default+picture; selected phrase makes the complete page article require fewer topic changes
b9d7b6d68209a9019e7a	chochor	f56r.5:1	gather the tall simple in spring	cut the heads before midsummer	dig the lower stalk after flowering	V18 default+picture; selected phrase makes the complete page article require fewer topic changes
bdad9f9ea8b80f141496	cfhy	f11r.1:3	before the first blue flowers open	after the leaf cushion has filled out	while the shoots are still tender	picture+sequence; selected phrase makes the complete page article require fewer topic changes
c10aec6d4dd877ec8bd8	choy	f56r.8:2	it grows on open stony ground	it grows in a dry meadow	it grows on a sunny bank	picture-compatible revision; selected phrase makes the complete page article require fewer topic changes
c71c72da4e09e0833392	kchoar	f56r.18:3	with honey	with thickened wine	with rose oil	V18 default; selected phrase makes the complete page article require fewer topic changes
d929a14ec45749b2e805	ykan	f55v.5:4	in white wine	in clean spring water	in weak vinegar	V18 default+recipe; selected phrase makes the complete page article require fewer topic changes
dd0ecaf5e27d81befffc	dal	f56r.7:5	bind it at the affected place	wash the place shown by the rubric	anoint the painful place with it	V18 location+article; selected phrase makes the complete page article require fewer topic changes
deb377381ceaf55ea310	cphy	f11r.1:5	pass it a second time through clean linen	strain the residue through finer cloth	filter the liquor once through folded linen	V18 default+paired operation; selected phrase makes the complete page article require fewer topic changes
dec401773c1f0347793d	cholor	f10r.8:5	from the first foregoing decoction	from the reserved root liquor	from the second warm infusion	recurrent reference frame; selected phrase makes the complete page article require fewer topic changes
dedc383b600397a301ee	cthoor	f10r.2:2	store its paired sound roots in a covered jar	keep the cut root under oil	hang the paired roots in a dry loft	picture+article order; selected phrase makes the complete page article require fewer topic changes
df1098831679a8ad1b39	os	f10r.2:5	the dried leaf powder	powder of the dried root	finely bruised flower heads	article order; selected phrase makes the complete page article require fewer topic changes
e026af581c99322fbd46	talam	f55v.5:8	wash the affected place once; end	drink one draught and end	rinse the cut root once and put it away	V18 default+Herbal object; selected phrase makes the complete page article require fewer topic changes
e8a6105b5c3a6220b440	qotchol	f10r.5:2	lay it on while warm	drink it while lukewarm	wash the painful place with it warm	V18 default+local syntax; selected phrase makes the complete page article require fewer topic changes
f3c23f42baf625639e1e	cthaiin	f10r.6:4	the freshly expressed leaf juice	juice expressed from the red roots	the first water drawn from the herb	article order; selected phrase makes the complete page article require fewer topic changes
f7dc90b2c31fd341f0a4	ykaiin	f55v.11:1	for a painful swollen joint	for a hot skin swelling	for pain of the lower belly	article prescription opening; selected phrase makes the complete page article require fewer topic changes
faf321940aed922846a9	otchey	f56r.19:1	for one dose take	for the final preparation take	for a child's dose take	article order revision; selected phrase makes the complete page article require fewer topic changes
