statement_id	page	record	owner_slot_de	owner_break_inside_statement	material_state_components	quantity_stage_components	work_components	grade_components	address_order_components	endpoint_components	terse_value_docket_de	docket_signature	nonempty_slots	raw_component_tokens	deduplicated_docket_components	card_family_address_sequence	surface_sequence	registry_sequences_for_same_docket	docket_unique_in_fixed_registry	master_card_address_required	rebuilt_card_sequence	exact_card_sequence_rebuild	working_reading_de
H4-S002	f55v	H4	die breitblaettrige rispige Pflanze	NO	-	AIIN	CHD+TALAM	-	-	Y	ST:- M:MASS W:UMSETZEN+VERWAHREN G:- ADR:- E:DIES	- || AIIN || CHD+TALAM || - || - || Y	3	4	4	PROC009|PROC042|PROC043	daiin chedy talam	1	YES	YES	PROC009|PROC042|PROC043	YES	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.
H4-S003	f55v	H4	die breitblaettrige rispige Pflanze	NO	O	AIIN	K+CH+CHK	E+EE	AR+OL	Y+DY	ST:GANG M:MASS W:ZUDOSIEREN+ABNEHMEN+WAERMEN G:KURZ+LANG ADR:QUELLE+FORTSETZEN E:DIES+SCHLUSS	O || AIIN || K+CH+CHK || E+EE || AR+OL || Y+DY	6	12	11	PROC044|PROC045|PROC046|PROC047	ykaiin cheoar cheeky oldy	1	YES	YES	PROC044|PROC045|PROC046|PROC047	YES	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zudosieren; dann kurz im Gang aus der Quelle abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.
H4-S004	f55v	H4	die breitblaettrige rispige Pflanze	NO	OR	AIIN+AIN	OK+T	-	AL+OL	Y	ST:ANSATZ M:MASS+PORTION W:ANSETZEN+EINTRAGEN G:- ADR:ZIEL+FORTSETZEN E:DIES	OR || AIIN+AIN || OK+T || - || AL+OL || Y	5	10	8	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	aiin okal oltchy or y orain	1	YES	YES	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	YES	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	HO+OR	AIIN	CH+K+OK	-	AL+OL+OT	Y	ST:ZUTAT+ANSATZ M:MASS W:ABNEHMEN+ZUDOSIEREN+ANSETZEN G:- ADR:ZIEL+FORTSETZEN+DANACH E:DIES	HO+OR || AIIN || CH+K+OK || - || AL+OL+OT || Y	5	17	10	PROC051|PROC052|PROC053|PROC009|PROC052|PROC054|PROC020|PROC008|PROC055	chochor cho chodaly daiin sho kchol otchor choky dal	1	YES	YES	PROC051|PROC052|PROC053|PROC009|PROC052|PROC054|PROC020|PROC008|PROC055	YES	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz abnehmen, zum Ziel bringen und nach Mass weiter zudosieren; danach vom Ansatz abnehmen und den Posten am Ziel ansetzen.
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	HO+CKH+O	-	RESUME_CARD+OK+CH	EE	-	Y+DY	ST:ZUTAT+DURCHLASS+GANG M:- W:WIEDERAUFNEHMEN+ANSETZEN+ABNEHMEN G:LANG ADR:- E:DIES+SCHLUSS	HO+CKH+O || - || RESUME_CARD+OK+CH || EE || - || Y+DY	4	10	9	PROC034|PROC056|PROC008|PROC057	schol choy choky cheeckhody	1	YES	YES	PROC034|PROC056|PROC008|PROC057	YES	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass abnehmen und schliessen.
H5-S003	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	HO	-	SH+K+OK	E	-	Y	ST:ZUTAT M:- W:HALTEN+ZUDOSIEREN+ANSETZEN G:KURZ ADR:- E:DIES	HO || - || SH+K+OK || E || - || Y	4	8	6	PROC058|PROC052|PROC059|PROC060	sh cho kchey qokokchy	1	YES	YES	PROC058|PROC052|PROC059|PROC060	YES	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.
H5-S004	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	O	-	OK+CH+K	E	AL	Y	ST:GANG M:- W:ANSETZEN+ABNEHMEN+ZUDOSIEREN G:KURZ ADR:ZIEL E:DIES	O || - || OK+CH+K || E || AL || Y	5	8	7	PROC011|PROC061|PROC062	okchy chokcheo kchal	1	YES	YES	PROC011|PROC061|PROC062	YES	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und abnehmen; dann zum Ziel zudosieren.
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	HO+O	AIN	OK+K	-	AR+OT	Y	ST:ZUTAT+GANG M:PORTION W:ANSETZEN+ZUDOSIEREN G:- ADR:QUELLE+DANACH E:DIES	HO+O || AIN || OK+K || - || AR+OT || Y	5	9	8	PROC052|PROC011|PROC063|PROC064	sho chokchy kchoar sotodan	1	YES	YES	PROC052|PROC011|PROC063|PROC064	YES	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zudosieren; danach eine Portion in den Gang nehmen.
H5-S006	f56r	H5	die mehrkoepfige stachelige Pflanze	NO	-	AIIN	K	E	OT+OL	Y	ST:- M:MASS W:ZUDOSIEREN G:KURZ ADR:DANACH+FORTSETZEN E:DIES	- || AIIN || K || E || OT+OL || Y	5	6	6	PROC065|PROC066|PROC009	otchey keol daiin	1	YES	YES	PROC065|PROC066|PROC009	YES	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiterdosieren, bis das Mass erreicht ist.
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	OK	E	-	DY	ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS	- || - || OK || E || - || DY	3	3	3	PROC067	qokedy	1	YES	YES	PROC067	YES	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	NO	AIR+OR+CKH	AIIN+AIN	OK+K+R+L+SH+CHD	E+EE	AL+AR+OL	Y+DY	ST:LAUF+ANSATZ+DURCHLASS M:MASS+PORTION W:ANSETZEN+ZUDOSIEREN+KUEHLEN+WEITERLEITEN+HALTEN+UMSETZEN G:KURZ+LANG ADR:ZIEL+QUELLE+FORTSETZEN E:DIES+SCHLUSS	AIR+OR+CKH || AIIN+AIN || OK+K+R+L+SH+CHD || E+EE || AL+AR+OL || Y+DY	6	34	18	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	1	YES	YES	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	YES	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	SH+K+CHD	-	OL	DY	ST:- M:- W:HALTEN+ZUDOSIEREN+UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS	- || - || SH+K+CHD || - || OL || DY	3	5	5	PROC013|PROC077	qol sshkchdy	1	YES	YES	PROC013|PROC077	YES	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	CHD+SHED	-	OL	Y+DY	ST:- M:- W:UMSETZEN+ABSETZEN G:- ADR:FORTSETZEN E:DIES+SCHLUSS	- || - || CHD+SHED || - || OL || Y+DY	3	5	5	PROC042|PROC013|PROC078	chedy ol shedy	1	YES	YES	PROC042|PROC013|PROC078	YES	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	CHD	-	OL	DY	ST:- M:- W:UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS	- || - || CHD || - || OL || DY	3	3	3	PROC079	qolchedy	1	YES	YES	PROC079	YES	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	NO	CKH	AIN	OK+L+R	-	AL	Y	ST:DURCHLASS M:PORTION W:ANSETZEN+WEITERLEITEN+KUEHLEN G:- ADR:ZIEL E:DIES	CKH || AIN || OK+L+R || - || AL || Y	5	7	7	PROC080|PROC075|PROC072|PROC081	qokain shckhy dl ral	1	YES	YES	PROC080|PROC075|PROC072|PROC081	YES	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	OK+CHD	-	-	DY	ST:- M:- W:ANSETZEN+UMSETZEN G:- ADR:- E:SCHLUSS	- || - || OK+CHD || - || - || DY	2	3	3	PROC082	qokchdy	1	YES	YES	PROC082	YES	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	CHK+SHED	E	OL	Y+DY	ST:- M:- W:WAERMEN+ABSETZEN G:KURZ ADR:FORTSETZEN E:DIES+SCHLUSS	- || - || CHK+SHED || E || OL || Y+DY	4	8	6	PROC019|PROC013|PROC083|PROC013|PROC078	chey ol cheky ol shedy	1	YES	YES	PROC019|PROC013|PROC083|PROC013|PROC078	YES	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	OK	E	-	DY	ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS	- || - || OK || E || - || DY	3	3	3	PROC067	qokedy	1	YES	YES	PROC067	YES	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	OK	E	-	DY	ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS	- || - || OK || E || - || DY	3	3	3	PROC067	qokedy	1	YES	YES	PROC067	YES	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	NO	CKH	-	OK	-	-	Y	ST:DURCHLASS M:- W:ANSETZEN G:- ADR:- E:DIES	CKH || - || OK || - || - || Y	3	4	3	PROC075|PROC008	chckhy qoky	1	YES	YES	PROC075|PROC008	YES	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	NO	O	-	LSH+OK	E	-	Y+DY	ST:GANG M:- W:WASCHEN+ANSETZEN G:KURZ ADR:- E:DIES+SCHLUSS	O || - || LSH+OK || E || - || Y+DY	4	8	6	PROC084|PROC085|PROC086	lsho qokey lshedy	1	YES	YES	PROC084|PROC085|PROC086	YES	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	LSH	E	-	DY	ST:- M:- W:WASCHEN G:KURZ ADR:- E:SCHLUSS	- || - || LSH || E || - || DY	3	3	3	PROC086	lshedy	1	YES	YES	PROC086	YES	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	CHD+SOLK+L	-	AL+OL+OT+AR	Y	ST:- M:- W:UMSETZEN+AUFFANGEN+WEITERLEITEN G:- ADR:ZIEL+FORTSETZEN+DANACH+QUELLE E:DIES	- || - || CHD+SOLK+L || - || AL+OL+OT+AR || Y	3	10	8	PROC042|PROC087|PROC088|PROC013|PROC089	chedy qolky lchedal qol otar	1	YES	YES	PROC042|PROC087|PROC088|PROC013|PROC089	YES	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	T+OK+CHD	E	-	Y+DY	ST:- M:- W:EINTRAGEN+ANSETZEN+UMSETZEN G:KURZ ADR:- E:DIES+SCHLUSS	- || - || T+OK+CHD || E || - || Y+DY	3	6	6	PROC090|PROC091	ytey okchedy	1	YES	YES	PROC090|PROC091	YES	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	OK+SHED	EE	AL+OL	Y+DY	ST:- M:- W:ANSETZEN+ABSETZEN G:LANG ADR:ZIEL+FORTSETZEN E:DIES+SCHLUSS	- || - || OK+SHED || EE || AL+OL || Y+DY	4	8	7	PROC048|PROC092|PROC013|PROC078	qokal okeey qol cheedy	1	YES	YES	PROC048|PROC092|PROC013|PROC078	YES	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	CHD	E	AL+OL	DY	ST:- M:- W:UMSETZEN G:KURZ ADR:ZIEL+FORTSETZEN E:SCHLUSS	- || - || CHD || E || AL+OL || DY	4	5	5	PROC055|PROC093|PROC094	sal teol dchdy	1	YES	YES	PROC055|PROC093|PROC094	YES	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	NO	O	IIN	L+SH+SOLK	E+EE	OL	Y+DY	ST:GANG M:STUFE W:WEITERLEITEN+HALTEN+AUFFANGEN G:KURZ+LANG ADR:FORTSETZEN E:DIES+SCHLUSS	O || IIN || L+SH+SOLK || E+EE || OL || Y+DY	6	10	10	PROC095|PROC096|PROC097|PROC098	ly dsheol oiiin olkeedy	1	YES	YES	PROC095|PROC096|PROC097|PROC098	YES	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	SHED	-	-	DY	ST:- M:- W:ABSETZEN G:- ADR:- E:SCHLUSS	- || - || SHED || - || - || DY	2	2	2	PROC078	tedy	1	YES	YES	PROC078	YES	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	NO	CKH	-	CHK+SH	E	-	Y+DY	ST:DURCHLASS M:- W:WAERMEN+HALTEN G:KURZ ADR:- E:DIES+SCHLUSS	CKH || - || CHK+SH || E || - || Y+DY	4	7	6	PROC083|PROC099	cheky shckhedy	1	YES	YES	PROC083|PROC099	YES	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	NO	-	-	-	-	AL	-	ST:- M:- W:- G:- ADR:ZIEL E:-	- || - || - || - || AL || -	1	1	1	PROC055	chal	1	YES	YES	PROC055	YES	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	NO	-	-	CHD	-	-	DY	ST:- M:- W:UMSETZEN G:- ADR:- E:SCHLUSS	- || - || CHD || - || - || DY	2	2	2	PROC076	dchedy	1	YES	YES	PROC076	YES	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	NO	-	-	CHD	-	OL	DY	ST:- M:- W:UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS	- || - || CHD || - || OL || DY	3	3	3	PROC079	qolchedy	1	YES	YES	PROC079	YES	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	NO	-	AIN	OK	EE	-	Y+DY	ST:- M:PORTION W:ANSETZEN G:LANG ADR:- E:DIES+SCHLUSS	- || AIN || OK || EE || - || Y+DY	4	6	5	PROC080|PROC019|PROC100	qokain dy qokeedy	1	YES	YES	PROC080|PROC019|PROC100	YES	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	NO	CKH	-	OK+L+CHD	EE+E	AL	Y+DY	ST:DURCHLASS M:- W:ANSETZEN+WEITERLEITEN+UMSETZEN G:LANG+KURZ ADR:ZIEL E:DIES+SCHLUSS	CKH || - || OK+L+CHD || EE+E || AL || Y+DY	5	14	9	PROC048|PROC101|PROC102|PROC092|PROC103	qokal lcheckhy lched qokeey lcheckhedy	1	YES	YES	PROC048|PROC101|PROC102|PROC092|PROC103	YES	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	NO	CKH+O+CTH	AIIN	OK+SOLK+CHK+L	E+EE	AL+OL	Y+DY	ST:DURCHLASS+GANG+BEREIT M:MASS W:ANSETZEN+AUFFANGEN+WAERMEN+WEITERLEITEN G:KURZ+LANG ADR:ZIEL+FORTSETZEN E:DIES+SCHLUSS	CKH+O+CTH || AIIN || OK+SOLK+CHK+L || E+EE || AL+OL || Y+DY	6	20	14	PROC104|PROC105|PROC075|PROC038|PROC038|PROC106|PROC107|PROC108	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	1	YES	YES	PROC104|PROC105|PROC075|PROC038|PROC038|PROC106|PROC107|PROC108	YES	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	NO	CKH	-	OK+SH	EE+E	OT+AL	Y	ST:DURCHLASS M:- W:ANSETZEN+HALTEN G:LANG+KURZ ADR:DANACH+ZIEL E:DIES	CKH || - || OK+SH || EE+E || OT+AL || Y	5	11	8	PROC109|PROC048|PROC110|PROC008	oteey qokal sheckhy qoky	1	YES	YES	PROC109|PROC048|PROC110|PROC008	YES	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	NO	-	-	SH	E	-	DY	ST:- M:- W:HALTEN G:KURZ ADR:- E:SCHLUSS	- || - || SH || E || - || DY	3	3	3	PROC111	dshedy	1	YES	YES	PROC111	YES	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
B2-S008	f82r	B2	die linke Mittelstation mit Zwischenknoten	NO	-	AIIN	OK+SHED	-	OT+AR	DY	ST:- M:MASS W:ANSETZEN+ABSETZEN G:- ADR:DANACH+QUELLE E:SCHLUSS	- || AIIN || OK+SHED || - || OT+AR || DY	4	6	6	PROC112|PROC113|PROC078	sotaiin qokar shedy	1	YES	YES	PROC112|PROC113|PROC078	YES	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.
B2-S009	f82r	B2	die linke Mittelstation mit Zwischenknoten	NO	-	-	SH	E	OL	DY	ST:- M:- W:HALTEN G:KURZ ADR:FORTSETZEN E:SCHLUSS	- || - || SH || E || OL || DY	4	4	4	PROC114	solshedy	1	YES	YES	PROC114	YES	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
