card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds
11	tchedaiin	COLD_DRY_DOSE_III	PRODUCTIVE_COMPOUND	T_COLD+CHEDAIIN_DRY_DOSE_III	drei Dosen bis zur Mittelstufe kalt-getrocknete Droge	drei Dosen bis zur Mittelstufe kalt-getrocknete Droge	drei Dosen getrocknete Droge anschließend kühlen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; T cold precedes the published CHEDAIIN dose core	All three readers preserve the whole inside a material and dose register.	1	1	1	0	0	0	1
12	chpcheey	REDRIED_POWDER_FORM_II	PRODUCTIVE_POWDER_COMPOUND	CH_DRY+PCHEEY_DRY_POWDER_FORM_II	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	sehr lange getrocknetes Pulver under IT2a chpeeeey	LOW_EXPLORATORY	1	1	0	exact ZL3b and RF1b whole; CH re-treatment wraps PCHEEY	The second dry head marks a repeat treatment while the reader rival changes its duration, not its powder object.	1	1	0	0	1	0	1
13	cphochy	LIGHTLY_DRIED_COMPOSITE_PREPARATION	PRODUCTIVE_COMPOSITE_COMPOUND	CPH_COMPOSITE+O_PREP+CH_DRY+Y_BASE	leicht angetrocknetes Arzneikompositum im Ansatz	leicht angetrocknetes Arzneikompositum im Ansatz	Arzneikompositum als leichter Trockenansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; CPH, O, CH and terminal Y preserve material and state	Bilateral exactness places the card between other composite and dry-preparation products.	1	1	1	0	0	0	1
14	aiir	DRUG_FRACTION_III	PRODUCTIVE_QUANTITY_VALUE	AIIR_FRACTION_III	Drogenfraktion III	Drogenfraktion III	Sortierklasse III	STRONG_PRACTICAL_OR_COMPOSITIONAL	20	14	0	exact whole; the published AR AIR AIIR ladder applies	All twenty contexts are compatible with the third fraction value and do not require a new grade reading.	20	14	14	1	4	1	20
15	chopo	POWDER_FROM_DRY_PREPARATION	LEARNED_POWDER_COMPOUND	CHO_DRY_PREP+PO_POWDER_PREPARATION	Pulverzubereitung aus Trockenansatz	Pulverzubereitung aus Trockenansatz	bound chopo+sair dry preparation with seed fraction II	LOW_EXPLORATORY	1	1	0	exact ZL3b and IT2a whole; RF1b right-joins it locally	The source register places the powder preparation between dry state and seed fraction without licensing free PO.	1	1	0	1	0	0	1
16	fdar	FLOWER_FRACTION_I_MEASURE_COMMAND	PRODUCTIVE_FLOWER_COMMAND	F_FLOWER+D_MEASURE+AR_FRACTION_I	erste Blütenfraktion abmessen	erste Blütenfraktion abmessen	erste angefeuchtete Blütenfraktion under IT2a fshdar	LOW_EXPLORATORY	1	1	1	exact ZL3b whole; both alternate readers preserve only the flower and first-fraction edges	The working card keeps the visible D measure while recording RF1b f ar as a boundary loss.	1	1	0	0	0	1	1
17	qochedain	DRY_DOSE_II_MEASURE_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	QO_COMMAND+CHEDAIN_DRY_DOSE_II	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	zwei Dosen erst bis zur Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; QO wraps the published CHEDAIN two-dose object	All three readers preserve the whole and the surrounding line already supplies a take command.	1	1	1	0	0	0	1
18	cheop	MIDDLE_DRY_POWDER_PREPARATION	READER_BOUND_COMPOUND	CH_DRY+E_MIDDLE+OP_POWDER_PREP	bis zur Mittelstufe getrockneter Pulveransatz	bis zur Mittelstufe getrockneter Pulveransatz	getrockneter Pulverstoff under bilateral cheopol join	LOW_EXPLORATORY	1	1	0	exact ZL3b whole only; alternate readers bind following OL material	The powder-preparation core survives, but the applied source render follows the bilateral material join.	1	1	0	0	0	1	1
19	oroiir	PREPARATION_FRACTION_III_PORTION	PRODUCTIVE_QUANTITY_COMPOUND	OR_PORTION+OIIR_PREP_FRACTION_III	eine Portion der dritten Ansatzfraktion	eine Portion der dritten Ansatzfraktion	eine Portion Ansatz in Zubereitungsform III	LOW_EXPLORATORY	1	1	0	exact whole; OR portion wraps the observed OIIR third-form or fraction block	Bilateral exactness and the nearby cooling ladder support a third preparation fraction while the form rival stays explicit.	1	1	1	0	0	0	1
20	oechedy	MIDDLE_DRY_FINISHED_PREPARATION	PRODUCTIVE_PREPARATION_COMPOUND	OE_PREP_FRAME+CH_DRY+E_MIDDLE+DY_FINISHED	bis zur Mittelstufe getrockneter und fertiggestellter Ansatz	bis zur Mittelstufe getrockneter und fertiggestellter Ansatz	diese Portion bis Mitte trocknen und fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact ZL3b and IT2a whole; OE remains a preparation frame	RF1b oeche y weakens only the terminal finish while preserving the dry-middle core.	1	1	0	1	0	0	1
21	adeeody	EQUAL_MEASURE_COMPLETE_PREPARATION_RESULT	LEARNED_RESULT_WHOLE	A_PART+D_MEASURE+EE_END+O_PREP+DY_FINISHED	gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes	gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes	einen gleichen Teil vollständig abmessen und fertigstellen	LOW_EXPLORATORY	1	1	0	exact whole; visible shell remains local and is not exported as free glyph values	IT2a preserves the whole while RF1b drops initial A after a boundary shift, leaving the equal-part field weakest.	1	1	0	1	0	0	1
22	ykecthey	ANAPHORIC_HEAT_HERB_MIDDLE_COMMAND	LEARNED_HERB_COMMAND_COMPOUND	Y_REFERENCE+K_HEAT+E_MIDDLE+CTH_HERB+E_Y_CLOSE	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	denselben Heizbefehl ohne sichtbares Krautobjekt under RF1b ykey	LOW_EXPLORATORY	1	1	1	exact whole; CTH object is licensed inside this learned command only	IT2a retains CTH with an internal h rival; RF1b retains only the anaphoric heat shell.	1	1	0	0	0	1	1
23	ytedy	ANAPHORIC_COOL_MIDDLE_FINISH_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	Y_REFERENCE+T_COLD+E_MIDDLE+DY_FINISHED	hiervon bis zur Mittelstufe abkühlen und fertigstellen	hiervon bis zur Mittelstufe abkühlen und fertigstellen	hieraus bis Mitte gekühltes Fertigpräparat as nominal result	STRONG_PRACTICAL_OR_COMPOSITIONAL	24	16	1	exact whole; Y wraps the published TEDY cold-middle finish	All twenty-four contexts remain process-compatible; reader-specific drying or O-preparation rivals are recorded by position.	24	16	12	10	0	2	24
24	checthedy	TWO_STAGE_HERB_DRY_FINISH_COMMAND	PRODUCTIVE_PROCESS_COMPOUND	CH_DRY+E_MIDDLE+CTH_HERB+E_MIDDLE+DY_FINISHED	Blatt- oder Krautdroge in zwei mäßigen Trockengängen fertigstellen	Blatt- oder Krautdroge in zwei mäßigen Trockengängen fertigstellen	Krautdroge einmal bis Mitte trocknen und abschließen	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; repeated CH-E and CTH-E sequence stays visible	Both contexts support a repeated dry treatment; RF1b source split weakens only the final marker.	2	2	1	1	0	0	2
25	ls	WOOD_DRUG_CHARGE	READER_REPAIR_SHORT_CARD	L_WOOD+S_TERM_CHARGE	eine Charge Holzdroge	eine Charge Holzdroge	Wurzelholz under reader lr	LOW_EXPLORATORY	12	11	0	exact short whole; no free L or S value is exported	Most positions tolerate a wood-drug charge; bilateral source lr overrides it locally with published Wurzelholz.	12	11	7	0	2	3	12
26	ypchesy	ANAPHORIC_DRY_SEED_POWDER_COMMAND	READER_RIVAL_COMPOUND	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+S_SEED+Y_CLOSE	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Wurzelpulver trocknen under IT2a ypchery	LOW_EXPLORATORY	1	1	1	exact ZL3b and RF1b whole; internal S selects seed material provisionally	The quantity-label source and IT2a root rival keep the exact plant material replaceable while retaining powder and drying.	1	1	0	0	1	0	1
27	sheeey	FULLY_SOAKED_FINAL_MATERIAL	PRODUCTIVE_MOISTURE_RESULT	SH_MOIST+EEE_FINAL+Y_CLOSE	vollständig eingeweichtes Gut der Schlussstufe	vollständig eingeweichtes Gut der Schlussstufe	sehr lange eingeweichtes Gut	STRONG_PRACTICAL_OR_COMPOSITIONAL	5	5	0	exact whole; the extended E ladder advances the published SHEEY result	Four contexts retain at least one exact alternate reader and the fifth keeps the same moisture family despite spelling rivals.	5	5	4	0	0	1	5
28	sail	SEED_CHARGE_II	READER_RIVAL_MATERIAL_VALUE	S_SEED+AIL_CHARGE_II	Saatgut, Charge II	Saatgut, Charge II	Saatgut, Charge II under IT2a sain with alternate internal stroke	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	0	exact whole; S seed and the II value stay bound	RF1b preserves both wholes and IT2a sain confirms the seed category while varying the charge spelling.	2	2	1	0	1	0	2
29	ltedy	COLD_FINISHED_WOOD_DRUG	PRODUCTIVE_WOOD_RESULT	L_WOOD+T_COLD+E_MIDDLE+DY_FINISHED	bis zur Mittelstufe abgekühlte und fertige Holzdroge	bis zur Mittelstufe abgekühlte und fertige Holzdroge	Holzdroge bis Mitte abkühlen und fertigstellen as action	STRONG_PRACTICAL_OR_COMPOSITIONAL	5	5	0	exact whole; L wood wraps the published TEDY cold-middle result	All five contexts are compatible with a cooled wood-drug result; RF1b splits terminal Y locally without changing the core.	5	5	3	2	0	0	5
