position	locus	group	raw_projection	clause	production	tag	hypothetical_meaning	origin	confirmed
58	f83r.14	7	qokaiin	C06	PrimaryMaterialBranch	WEARER	the wearer	INHERITED_UNCONFIRMED_RAW384	False
59	f83r.14	8	shcthy	C06	PrimaryMaterialBranch	PLACES	place the current material group at its uniquely specified required pose relative to the explicit carrier	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
60	f83r.14	9	dal	C06	PrimaryMaterialBranch	WITH	group or accompany typed physical arguments; neither numerical quantity nor temporal next-stage	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
61	f83r.14	10	sy	C06	PrimaryMaterialBranch	THE_STONE	the already introduced stone S, not an additional stone	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
62	f83r.15	1	saiin	C07	AlternativeMaterialBranch	ALTERNATIVELY	introduce the second branch of the immediately preceding material-part choice	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
63	f83r.15	2	shedal	C07	AlternativeMaterialBranch	HAWK	hawk as the alternative source bird kind	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
64	f83r.15	3	shecthy	C07	AlternativeMaterialBranch	WING_TIP	the same unresolved wing/feather-tip category as WING_TIP_OF	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
65	f83r.15	4	chey	C07	AlternativeMaterialBranch	INSTEAD_OF	substitute the following typed component role in this alternative branch only	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
66	f83r.15	5	tal	C07	AlternativeMaterialBranch	THAT_PART	the physical bird-part role P from the preceding branch, not the engraving	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
67	f83r.15	6	shcthy	C07	AlternativeMaterialBranch	PLACES	place the current material group at its uniquely specified required pose relative to the explicit carrier	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
68	f83r.15	7	dalchdy	C07	AlternativeMaterialBranch	UNDER_CARRIER	explicitly give the same required below-S placement	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
69	f83r.15	8	qotchedy	C07	AlternativeMaterialBranch	ACCOMPANIED_BY	retain the following separate material component in the same placement group	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
70	f83r.15	9	lchedy	C07	AlternativeMaterialBranch	GRAPE_SEED	grape seed	INHERITED_UNCONFIRMED_RAW384	False
71	f83r.16	1	tchedy	C08	EncloseWearClaim	THEN	execute the following operations after completion of the material-placement branch	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
72	f83r.16	2	qokchdy	C08	EncloseWearClaim	ENCLOSE	enclose / seal the assembled object	INHERITED_UNCONFIRMED_RAW384	False
73	f83r.16	3	cheedar	C08	EncloseWearClaim	WEAR	put the sealed assembly on the persistent wearer W	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
74	f83r.16	4	chldaiin	C08	EncloseWearClaim	THAT_ASSEMBLY	the composite A whose same stone and two material items are now enclosed	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
75	f83r.16	5	chedy	C08	EncloseWearClaim	CLAIMS_PROTECTS	record the source assertion of protection, without modifying a real patient-health state	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
76	f83r.16	6	qokain	C08	EncloseWearClaim	YOU	the same actor/wearer W named by qokaiin	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
77	f83r.16	7	checthy	C08	EncloseWearClaim	ALL_PREVIOUS	retain the complete prior chapter reference, not a new selected disease list	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
78	f83r.16	8	chealror	C08	EncloseWearClaim	AILMENTS	the source's previously named ailment set	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
79	f83r.17	1	dcheokedy	C09	SocialClaimAndClosure	CLAIMS_GIVES	record the following attributed effects as source claims	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
80	f83r.17	2	lkeed	C09	SocialClaimAndClosure	FAVOR_ESTEEM_AT_POWERFUL_ENCOUNTERS	favor and esteem in encounters with rulers, great people and people of standing; an explicitly broad whole-word guess	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
81	f83r.17	3	shckhey	C09	SocialClaimAndClosure	OTHER_EFFECTS_UNLISTED	other effects are asserted but not enumerated; do not invent their contents	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
82	f83r.17	4	ytaiin	C09	SocialClaimAndClosure	CLOSE	close the specified textual section	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
83	f83r.17	5	shechy	C09	SocialClaimAndClosure	FIRST_SECTION	the first element/section of the source organization	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
84	f83r.17	6	schety	C09	SocialClaimAndClosure	ALPHA	the named alpha section; not a recovered alphabet symbol	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
