surface_id	visible_surface	register_status	common_atom_sequences	common_nucleus_de	prose_master_card_id	prose_short_value_de	prose_occurrences	astro_short_values_de	astro_occurrences	astro_owner_count	astro_owners	reading_rule_de
SF0035	chedy	PROSE_ONLY	CHD+Y	UMSETZEN + AKTUELLER POSTEN	MC074	laufenden Posten umsetzen	10	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0036	cheeckhody	PROSE_ONLY	EE+CKH+HO+CLOSE	LÄNGER + DURCHLAUF + EINGANGSPOSTEN + CLOSE	MC099	länger auftragen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0037	cheedar	PROSE_ONLY	CHD+AR	UMSETZEN + QUELLE	MC042	von dort umsetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0038	cheedy	PROSE_ONLY	SHED+E+CLOSE	ABSETZEN + KURZ + CLOSE	MC128	kurz absetzen lassen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0039	cheeety	PROSE_ONLY	EEE+TY	VOLL + TEIL	MC094	ganzen Teilposten	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0040	cheeky	PROSE_ONLY	CHK+EE+Y	WÄRMEN/HALTEN + LÄNGER + AKTUELLER POSTEN	MC032	länger erwärmen und offen halten	2	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0041	chees	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	lange oder volle Diagrammstufe	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0042	cheeteey	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	lange oder volle Diagrammstufe + lange oder volle Diagrammstufe	1	1	A2_MIDDLE_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0043	cheey	PROSE_AND_ASTRO	CHEEY	CHEEY	MC119	klarer Auszug	2	abgelesener oder freigegebener Diagrammwert	2	2	A2_MIDDLE_PANEL_HEADER|A3_MIDDLE_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0044	chekody	ASTRO_ONLY	CHK	WÄRMEN/HALTEN	NONE	NONE	0	abgeleiteter Klassenwert	1	1	A1_LEFT_LOCAL_FIELD_41	lies den registrierten Werkstattwert dieses Registers
SF0045	cheky	PROSE_ONLY	CHK+E+Y	WÄRMEN/HALTEN + KURZ + AKTUELLER POSTEN	MC147	kurz wärmen	3	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0046	cheo	ASTRO_ONLY	CHEO	AUSGABE/AUSZUG	NONE	NONE	0	Ablesewert	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0047	cheoar	PROSE_ONLY	CHEO+AR	AUSGABE/AUSZUG + QUELLE	MC085	Auszug entnehmen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0048	cheody	ASTRO_ONLY	CHEO	AUSGABE/AUSZUG	NONE	NONE	0	Ablesewert fest	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0049	cheokorchey	ASTRO_ONLY	CHEO+OR	AUSGABE/AUSZUG + SATZ/ANSATZ	NONE	NONE	0	Auszug/Ausgabe + Ansatz/Satz	1	1	A2_MIDDLE_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0050	cheol	PROSE_ONLY	OL	FORTSETZEN	MC153	fortsetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0051	cheor	ASTRO_ONLY	CHEO	AUSGABE/AUSZUG	NONE	NONE	0	Bedingungs-, Tabellen- oder Wahlansatz	2	2	A2_LEFT_PANEL_HEADER|A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0052	cheos	ASTRO_ONLY	CHEO	AUSGABE/AUSZUG	NONE	NONE	0	sekundärer Ablesewert	1	1	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	lies den registrierten Werkstattwert dieses Registers
SF0053	ches	PROSE_ONLY	PARTITION	PARTITION	MC152	teilen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0054	cheteeser	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	lange oder volle Diagrammstufe	1	1	A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0055	chetody	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	abgeleiteter Platzwert	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0056	chety	PROSE_ONLY	PARTITION+TY	PARTITION + TEIL	MC086	Teil abtrennen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0057	chey	PROSE_AND_ASTRO	Y	AKTUELLER POSTEN	MC123	dieser Posten	7	dieser lokale Diagrammposten	4	3	A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0058	cheyky	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	Ablesung dieses Hauses	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0059	chkain	PROSE_ONLY	AIN	PORTION	MC105	eine Portion	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0060	chkchdar	ASTRO_ONLY	KCH+AR	BEARBEITEN + QUELLE	NONE	NONE	0	Bearbeiten + Quelle	1	1	A1_RIGHT_SECTOR_SLOT_08	lies den registrierten Werkstattwert dieses Registers
SF0061	chkchykoly	ASTRO_ONLY	KCH+OL	BEARBEITEN + FORTSETZEN	NONE	NONE	0	Bearbeiten + Fortsetzen	1	1	A2_MULTIPANEL_HEADER_FRAGMENT_07	lies den registrierten Werkstattwert dieses Registers
SF0062	chkeedy	PROSE_ONLY	CHK+EE+CLOSE	WÄRMEN/HALTEN + LÄNGER + CLOSE	MC110	länger wärmen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0063	chkeey	PROSE_ONLY	CHK+EE+Y	WÄRMEN/HALTEN + LÄNGER + AKTUELLER POSTEN	MC166	diesen Posten länger warm halten	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0064	chky	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	Grad oder Diagrammzustand justieren	1	1	A1_RIGHT_SECTOR_SLOT_11	lies den registrierten Werkstattwert dieses Registers
SF0065	chldaiin	PROSE_ONLY	SHED+AIIN	ABSETZEN + SOLLWERT	MC144	Absetzmaß	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0066	cho	PROSE_AND_ASTRO	HO	EINGANGSPOSTEN	MC034	Zutat	2	Eingangsobjekt oder Eingangsbedingung	2	2	A1_LEFT_OUTER_STAR_STATION_07|A3_RIGHT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0067	choaiin	ASTRO_ONLY	HO+AIIN	EINGANGSPOSTEN + SOLLWERT	NONE	NONE	0	Eingangsposten + Sollwert/Maß	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0068	chocfhy	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung	2	2	A1_LEFT_LOCAL_FIELD_20|A2_STAR_STATION_04	lies den registrierten Werkstattwert dieses Registers
SF0069	chochor	PROSE_ONLY	HO+OR	EINGANGSPOSTEN + SATZ/ANSATZ	MC125	Zutatenansatz	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0070	choctheeey	ASTRO_ONLY	HO+CTH	EINGANGSPOSTEN + BEREIT	NONE	NONE	0	Eingangsposten + Bereitwert	1	1	A2_LEFT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0071	chod	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung	1	1	A2_MIDDLE_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0072	chodaiin	PROSE_ONLY	HO+AIIN	EINGANGSPOSTEN + SOLLWERT	MC087	Zutatenmaß	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0073	chodaly	PROSE_ONLY	HO+AL+Y	EINGANGSPOSTEN + ZIEL + AKTUELLER POSTEN	MC010	diese Zutat zur Stelle bringen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0074	choeea	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe	1	1	A1_LEFT_LOCAL_FIELD_50	lies den registrierten Werkstattwert dieses Registers
SF0075	choer	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung	1	1	A1_LEFT_LOCAL_FIELD_49	lies den registrierten Werkstattwert dieses Registers
SF0076	chokal	ASTRO_ONLY	HO+AL	EINGANGSPOSTEN + ZIEL	NONE	NONE	0	Eingangsposten + Ziel	1	1	A2_RIGHT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0077	chokcheo	PROSE_ONLY	OK+CHEO	AKTIVIEREN/ANSETZEN + AUSGABE/AUSZUG	MC006	Auszug zugeben	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0078	chokchy	PROSE_ONLY	OK+Y	AKTIVIEREN/ANSETZEN + AKTUELLER POSTEN	MC103	Posten zur Weiterbearbeitung ansetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0079	choky	PROSE_AND_ASTRO	OK+Y	AKTIVIEREN/ANSETZEN + AKTUELLER POSTEN	MC026	aktuellen Posten ansetzen	2	diesen Diagrammposten setzen	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0080	chol	PROSE_AND_ASTRO	OL	FORTSETZEN	MC153	fortsetzen	3	im selben Ring oder Band fortsetzen	4	3	A1_LEFT_LOCAL_FIELD_35|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0081	cholor	PROSE_ONLY	OL+OR	FORTSETZEN + SATZ/ANSATZ	MC157	Fortsetzungsansatz	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0082	choly	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	im selben Ring, Band oder Satz fortsetzen	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0083	chor	PROSE_ONLY	OR	SATZ/ANSATZ	MC080	Ansatz	3	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0084	chos	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung	2	2	A1_LEFT_LOCAL_FIELD_42|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	lies den registrierten Werkstattwert dieses Registers
SF0085	choteey	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe	1	1	A2_LEFT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0086	choy	PROSE_ONLY	HO+Y	EINGANGSPOSTEN + AKTUELLER POSTEN	MC131	diese Zutat	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0087	chpor	ASTRO_ONLY	OR	SATZ/ANSATZ	NONE	NONE	0	Bedingungs-, Tabellen- oder Wahlansatz	1	1	A2_MIDDLE_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0088	chsdy	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	sekundärer Zustand fest	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0089	chteey	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	lange oder volle Diagrammstufe	1	1	A2_LEFT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0090	chty	PROSE_ONLY	PARTITION+TY	PARTITION + TEIL	MC086	Teil abtrennen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0091	chy	PROSE_AND_ASTRO	Y	AKTUELLER POSTEN	MC123	dieser Posten	3	dieser lokale Diagrammposten	2	2	A1_RIGHT_SECTOR_SLOT_11|A3_RIGHT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0092	chykar	ASTRO_ONLY	AR	QUELLE	NONE	NONE	0	Ausgangssektor, Ursprung oder Bezugswert	1	1	A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0093	chykchs	ASTRO_ONLY	KCH	BEARBEITEN	NONE	NONE	0	Diagrammplatz berechnen oder bearbeiten	1	1	A1_RIGHT_SECTOR_SLOT_11	lies den registrierten Werkstattwert dieses Registers
SF0094	cpheey	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	lange oder volle Diagrammstufe	1	1	A1_RIGHT_PHASE_STATION_03	lies den registrierten Werkstattwert dieses Registers
SF0095	cphocthy	ASTRO_ONLY	CTH	BEREIT	NONE	NONE	0	Himmelsobjekt oder Eingangsbedingung	1	1	A2_STAR_STATION_09	lies den registrierten Werkstattwert dieses Registers
SF0096	cphol	ASTRO_ONLY	OL	FORTSETZEN	NONE	NONE	0	im selben Ring, Band oder Satz fortsetzen	1	1	A2_LEFT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0097	cphy	PROSE_ONLY	CPH+Y	CPH + AKTUELLER POSTEN	MC156	aktuellen Posten nachseihen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0098	cthaiin	PROSE_ONLY	CTH+AIIN	BEREIT + SOLLWERT	MC169	Fertigmaß	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0099	cthoor	PROSE_ONLY	CTH+OR	BEREIT + SATZ/ANSATZ	MC158	Ansatz bereit	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0100	cthy	PROSE_ONLY	CTH+Y	BEREIT + AKTUELLER POSTEN	MC161	bereit	3	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0101	d	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	Festwert	1	1	A3_LEFT_RADIAL_SLOT_23	lies den registrierten Werkstattwert dieses Registers
SF0102	dadaiin	ASTRO_ONLY	AIIN	SOLLWERT	NONE	NONE	0	Sollwert oder Grad eines Diagrammplatzes	1	1	A1_LEFT_LOCAL_FIELD_51	lies den registrierten Werkstattwert dieses Registers
SF0103	daiial	ASTRO_ONLY	AL	ZIEL	NONE	NONE	0	Zielsektor, Zielstern oder Zielfeld	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0104	daiiin	PROSE_ONLY	IIN	STUFE	MC172	Öffnungsstufe	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0105	daiin	PROSE_AND_ASTRO	AIIN	SOLLWERT	MC039	Sollmaß	11	Sollwert oder Grad des bezeichneten Himmelsplatzes	4	4	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_LOCAL_FIELD_36|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_OUTER_STAR_STATION_05	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0106	dain	PROSE_AND_ASTRO	DAIN	DAIN	MC059	Tuch	2	Band-, Schleier- oder Abdecktraeger	1	1	A1_LEFT_LOCAL_FIELD_48	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0107	dair	ASTRO_ONLY	AIR	LAUF/BAHN	NONE	NONE	0	Himmels-, Ring- oder Zeigerlauf	3	2	A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0108	dairydy	PROSE_ONLY	AIR+Y+CLOSE	LAUF/BAHN + AKTUELLER POSTEN + CLOSE	MC091	Wasserlauf schliessen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0109	dal	PROSE_AND_ASTRO	AL	ZIEL	MC154	dorthin	5	zum bezeichneten Zielplatz	5	4	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_OUTER_STAR_STATION_07|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0110	dalchdy	PROSE_ONLY	AL+CHD+CLOSE	ZIEL + UMSETZEN + CLOSE	MC031	dorthin umsetzen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0111	daldy	PROSE_ONLY	AL+CLOSE	ZIEL + CLOSE	MC079	Nebenoeffnung; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0112	dar	PROSE_AND_ASTRO	AR	QUELLE	MC055	aus dem Ansatz	2	vom bezeichneten Ausgangsplatz	2	2	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0113	daram	ASTRO_ONLY	AR	QUELLE	NONE	NONE	0	Ausgangssektor, Ursprung oder Bezugswert	1	1	A2_RIGHT_PANEL_HEADER	lies den registrierten Werkstattwert dieses Registers
SF0114	dary	ASTRO_ONLY	AR	QUELLE	NONE	NONE	0	Ausgangssektor, Ursprung oder Bezugswert	1	1	A2_MULTIPANEL_HEADER_FRAGMENT_06	lies den registrierten Werkstattwert dieses Registers
SF0115	dchdar	ASTRO_ONLY	CHD+AR	UMSETZEN + QUELLE	NONE	NONE	0	Umsetzen + Quelle	1	1	A1_LEFT_OUTER_STAR_STATION_02	lies den registrierten Werkstattwert dieses Registers
SF0116	dchdy	PROSE_ONLY	CHD+CLOSE	UMSETZEN + CLOSE	MC139	weitergeführten Posten überführen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0117	dchedy	PROSE_ONLY	CHD+CLOSE	UMSETZEN + CLOSE	MC025	Posten überführen; Schluss	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0118	dchetay	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	fester Hauptphasenwert	1	1	A1_RIGHT_SECTOR_SLOT_06	lies den registrierten Werkstattwert dieses Registers
SF0119	dchey	PROSE_ONLY	DCHE+Y	DCHE + AKTUELLER POSTEN	MC071	Wurzel als aktueller Posten	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0120	dchol	PROSE_ONLY	DCHOL	DCHOL	MC142	vorigen Posten fortsetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0121	dchor	ASTRO_ONLY	HO	EINGANGSPOSTEN	NONE	NONE	0	Bedingungs-, Tabellen- oder Wahlansatz	2	2	A2_MULTIPANEL_HEADER_FRAGMENT_04|A3_LEFT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
