modifier_cell_id	register	modifier_atoms	modifier_type_sequence	state_event_count	statement_count	physical_page_count	current_modifier_phrase_de	modifier_voice_phrase_de	modifier_voice_changed	owner_control_contains_target_phrase_count	example_event_ids	guard
GDT570-C012	BIOLOGICAL	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	1	1	1	am Beginn; zur Ausführung; auf Grad I; auf Grad I	als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I	YES	1	G407-E3377	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C013	BIOLOGICAL	DA+IIN	FORMAL_CONTROL+FORMAL_CONTROL	1	1	1	auf der zweiten Stufe; auf der Stufe	auf der zweiten Stufe und auf der bezeichneten Stufe	YES	1	G407-E3011	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C014	BIOLOGICAL	D_ADDR	LOCAL_OR_CLASS_SIGN	10	9	6	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	10	G407-E2329|G407-E2529|G407-E2791|G407-E2887|G407-E2912|G407-E3103|G407-E3138|G407-E3376	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C015	BIOLOGICAL	D_ADDR+AIR	LOCAL_OR_CLASS_SIGN+RELATION	2	2	2	an der bezeichneten Stelle; entlang der Stationsbahn	an der bezeichneten Stelle; entlang der Stationsbahn	NO	0	G407-E1669|G407-E1974	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C016	BIOLOGICAL	D_ADDR+AR+A_ADDR+IIN	LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	1	1	1	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der Stufe	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der bezeichneten Stufe	YES	0	G407-E2393	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C017	BIOLOGICAL	D_ADDR+AR+D_ADDR+AR	LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; von der Ausgangsstation	an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; von der Ausgangsstation	NO	0	G407-E1755	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C018	BIOLOGICAL	D_ADDR+D_ADDR	LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	1	1	1	an der bezeichneten Stelle; an der bezeichneten Stelle	an der bezeichneten Stelle und an der bezeichneten Stelle	YES	1	G407-E3030	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C019	BIOLOGICAL	D_ADDR+D_ADDR+AR	LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	an der bezeichneten Stelle; an der bezeichneten Stelle; von der Ausgangsstation	an der bezeichneten Stelle und an der bezeichneten Stelle; von der Ausgangsstation	YES	0	G407-E1846	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C020	BIOLOGICAL	D_ADDR+E	LOCAL_OR_CLASS_SIGN+GRADE	2	2	2	an der bezeichneten Stelle; auf Grad I	an der bezeichneten Stelle; auf Grad I	NO	0	G407-E3100|G407-E3723	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C021	BIOLOGICAL	D_ADDR+L	LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	an der bezeichneten Stelle; über die sichtbare Verbindung	an der bezeichneten Stelle; über die sichtbare Verbindung	NO	0	G407-E2616	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C022	BIOLOGICAL	E	GRADE	284	267	7	auf Grad I	auf Grad I	NO	284	G407-E1431|G407-E1435|G407-E1497|G407-E1510|G407-E1511|G407-E1520|G407-E1532|G407-E1536	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C023	BIOLOGICAL	E+AL	GRADE+RELATION	1	1	1	auf Grad I; zur Zielstation	auf Grad I; zur Zielstation	NO	0	G407-E2427	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C024	BIOLOGICAL	E+AR	GRADE+RELATION	1	1	1	auf Grad I; von der Ausgangsstation	auf Grad I; von der Ausgangsstation	NO	0	G407-E3162	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C025	BIOLOGICAL	E+D_ADDR	GRADE+LOCAL_OR_CLASS_SIGN	2	2	2	auf Grad I; an der bezeichneten Stelle	auf Grad I; an der bezeichneten Stelle	NO	2	G407-E3252|G407-E3617	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C026	BIOLOGICAL	E+D_ADDR+E	GRADE+LOCAL_OR_CLASS_SIGN+GRADE	1	1	1	auf Grad I; an der bezeichneten Stelle; auf Grad I	auf Grad I; an der bezeichneten Stelle; auf Grad I	NO	0	G407-E1924	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C027	BIOLOGICAL	E+E	GRADE+GRADE	4	4	4	auf Grad I; auf Grad I	auf Grad I und auf Grad I	YES	4	G407-E2115|G407-E2481|G407-E2783|G407-E3528	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C028	BIOLOGICAL	E+L	GRADE+RELATION	1	1	1	auf Grad I; über die sichtbare Verbindung	auf Grad I; über die sichtbare Verbindung	NO	0	G407-E2009	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C029	BIOLOGICAL	EE	GRADE	164	153	7	auf Grad II	auf Grad II	NO	164	G407-E1438|G407-E1458|G407-E1466|G407-E1475|G407-E1493|G407-E1513|G407-E1516|G407-E1535	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C030	BIOLOGICAL	EE+D_ADDR	GRADE+LOCAL_OR_CLASS_SIGN	4	4	3	auf Grad II; an der bezeichneten Stelle	auf Grad II; an der bezeichneten Stelle	NO	4	G407-E2346|G407-E2999|G407-E3631|G407-E3640	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C031	BIOLOGICAL	EE+D_ADDR+AR+AN	GRADE+LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN	1	1	1	auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; als Klasse	auf Grad II; an der bezeichneten Stelle; von der Ausgangsstation; in der bezeichneten Klasse	YES	0	G407-E2259	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C032	BIOLOGICAL	EEE	GRADE	3	3	2	auf Grad III	auf Grad III	NO	3	G407-E2591|G407-E2645|G407-E3363	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C033	BIOLOGICAL	EEE+D_ADDR	GRADE+LOCAL_OR_CLASS_SIGN	1	1	1	auf Grad III; an der bezeichneten Stelle	auf Grad III; an der bezeichneten Stelle	NO	1	G407-E2033	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C034	BIOLOGICAL	L	RELATION	57	57	7	über die sichtbare Verbindung	über die sichtbare Verbindung	NO	57	G407-E1483|G407-E1512|G407-E1644|G407-E1675|G407-E1720|G407-E1762|G407-E1768|G407-E1972	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C035	BIOLOGICAL	L+D_ADDR	RELATION+LOCAL_OR_CLASS_SIGN	1	1	1	über die sichtbare Verbindung; an der bezeichneten Stelle	über die sichtbare Verbindung; an der bezeichneten Stelle	NO	1	G407-E3685	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C036	BIOLOGICAL	L+E	RELATION+GRADE	16	16	5	über die sichtbare Verbindung; auf Grad I	über die sichtbare Verbindung; auf Grad I	NO	16	G407-E1492|G407-E1729|G407-E1878|G407-E2007|G407-E2350|G407-E3072|G407-E3111|G407-E3115	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C037	BIOLOGICAL	L+O	RELATION+FORMAL_CONTROL	1	1	1	über die sichtbare Verbindung; zur Ausführung	über die sichtbare Verbindung; als Ausführung	YES	1	G407-E3402	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C038	BIOLOGICAL	O	FORMAL_CONTROL	7	7	4	zur Ausführung	als Ausführung	YES	7	G407-E1662|G407-E2203|G407-E2649|G407-E2714|G407-E2717|G407-E2812|G407-E2862	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C039	BIOLOGICAL	O+AM_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	YES	1	G407-E1701	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C040	BIOLOGICAL	O+D_ADDR+EE	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+GRADE	1	1	1	zur Ausführung; an der bezeichneten Stelle; auf Grad II	als Ausführung; an der bezeichneten Stelle; auf Grad II	YES	0	G407-E2423	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C041	BIOLOGICAL	O+E	FORMAL_CONTROL+GRADE	3	3	2	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	YES	3	G407-E3200|G407-E3457|G407-E3612	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C042	BIOLOGICAL	O+EE	FORMAL_CONTROL+GRADE	1	1	1	zur Ausführung; auf Grad II	als Ausführung und auf Grad II	YES	1	G407-E2821	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C043	BIOLOGICAL	O+EEE	FORMAL_CONTROL+GRADE	1	1	1	zur Ausführung; auf Grad III	als Ausführung und auf Grad III	YES	1	G407-E2802	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C044	BIOLOGICAL	O+IIN	FORMAL_CONTROL+FORMAL_CONTROL	1	1	1	zur Ausführung; auf der Stufe	als Ausführung und auf der bezeichneten Stufe	YES	1	G407-E2059	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C045	CELESTIAL	AL	RELATION	5	4	2	zur Zielposition	zur Zielposition	NO	5	G407-E1120|G407-E1123|G407-E1273|G407-E1276|G407-E1282	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C046	CELESTIAL	AM_ADDR	LOCAL_OR_CLASS_SIGN	3	1	1	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	3	G407-E1166|G407-E1167|G407-E1168	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C047	CELESTIAL	AR	RELATION	7	5	3	von der Ausgangsposition	von der Ausgangsposition	NO	7	G407-E1014|G407-E1079|G407-E1093|G407-E1192|G407-E1202|G407-E1207|G407-E1238	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C048	CELESTIAL	D_ADDR	LOCAL_OR_CLASS_SIGN	1	1	1	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	1	G407-E1000	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C049	CELESTIAL	D_ADDR+EE	LOCAL_OR_CLASS_SIGN+GRADE	1	1	1	an der bezeichneten Stelle; auf Grad II	an der bezeichneten Stelle; auf Grad II	NO	0	G407-E1373	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C050	CELESTIAL	D_ADDR+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	1	1	1	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	YES	0	G407-E0958	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C051	CELESTIAL	E	GRADE	18	12	2	auf Grad I	auf Grad I	NO	18	G407-E1112|G407-E1148|G407-E1161|G407-E1181|G407-E1186|G407-E1189|G407-E1227|G407-E1271	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C052	CELESTIAL	E+AR	GRADE+RELATION	1	1	1	auf Grad I; von der Ausgangsposition	auf Grad I; von der Ausgangsposition	NO	0	G407-E1198	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C053	CELESTIAL	E+D_ADDR+AR	GRADE+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	auf Grad I; an der bezeichneten Stelle; von der Ausgangsposition	auf Grad I; an der bezeichneten Stelle; von der Ausgangsposition	NO	0	G407-E1403	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C054	CELESTIAL	E+E	GRADE+GRADE	1	1	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	YES	1	G407-E1152	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C055	CELESTIAL	E+O	GRADE+FORMAL_CONTROL	7	6	2	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	YES	7	G407-E1042|G407-E1141|G407-E1190|G407-E1268|G407-E1303|G407-E1310|G407-E1369	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C056	CELESTIAL	E+O+AR	GRADE+FORMAL_CONTROL+RELATION	1	1	1	auf Grad I; zur Ausführung; von der Ausgangsposition	auf Grad I und als Ausführung; von der Ausgangsposition	YES	0	G407-E1086	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C057	CELESTIAL	E+O+D_ADDR+AL	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle; zur Zielposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; zur Zielposition	YES	0	G407-E1076	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C058	CELESTIAL	E+O+D_ADDR+AR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	3	3	2	auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	YES	0	G407-E1081|G407-E1179|G407-E1353	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C059	CELESTIAL	E+O+EE	GRADE+FORMAL_CONTROL+GRADE	2	2	2	auf Grad I; zur Ausführung; auf Grad II	auf Grad I, als Ausführung und auf Grad II	YES	2	G407-E1065|G407-E1229	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C060	CELESTIAL	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	4	4	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	YES	4	G407-E1213|G407-E1219|G407-E1357|G407-E1422	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C061	CELESTIAL	EE	GRADE	26	19	3	auf Grad II	auf Grad II	NO	26	G407-E1030|G407-E1068|G407-E1088|G407-E1090|G407-E1135|G407-E1143|G407-E1145|G407-E1151	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C062	CELESTIAL	EE+AL+O	GRADE+RELATION+FORMAL_CONTROL	1	1	1	auf Grad II; zur Zielposition; zur Ausführung	auf Grad II; zur Zielposition; als Ausführung	YES	0	G407-E1077	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C063	CELESTIAL	EE+O	GRADE+FORMAL_CONTROL	3	3	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	YES	3	G407-E1137|G407-E1191|G407-E1280	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C064	CELESTIAL	EE+O+D_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	auf Grad II; zur Ausführung; an der bezeichneten Stelle	auf Grad II und als Ausführung; an der bezeichneten Stelle	YES	1	G407-E1061	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C065	CELESTIAL	EE+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	auf Grad II; zur Ausführung; an der bezeichneten Stelle	auf Grad II und als Ausführung; an der bezeichneten Stelle	YES	1	G407-E1097	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C066	CELESTIAL	EEE	GRADE	2	2	2	auf Grad III	auf Grad III	NO	2	G407-E1039|G407-E1391	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C067	CELESTIAL	EEE+S_ADDR	GRADE+LOCAL_OR_CLASS_SIGN	1	1	1	auf Grad III; an der bezeichneten Stelle	auf Grad III; an der bezeichneten Stelle	NO	1	G407-E1399	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C068	CELESTIAL	L	RELATION	3	3	3	über die Ringverbindung	über die Ringverbindung	NO	3	G407-E1038|G407-E1122|G407-E1139	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C069	CELESTIAL	O	FORMAL_CONTROL	6	6	3	zur Ausführung	als Ausführung	YES	6	G407-E0941|G407-E0943|G407-E1105|G407-E1163|G407-E1258|G407-E1348	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C070	CELESTIAL	O+AL	FORMAL_CONTROL+RELATION	1	1	1	zur Ausführung; zur Zielposition	als Ausführung; zur Zielposition	YES	0	G407-E1394	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C071	CELESTIAL	O+AR	FORMAL_CONTROL+RELATION	1	1	1	zur Ausführung; von der Ausgangsposition	als Ausführung; von der Ausgangsposition	YES	0	G407-E1286	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C072	CELESTIAL	O+E	FORMAL_CONTROL+GRADE	1	1	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	YES	1	G407-E0959	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C073	CELESTIAL	O+E+AR+L	FORMAL_CONTROL+GRADE+RELATION+RELATION	1	1	1	zur Ausführung; auf Grad I; von der Ausgangsposition; über die Ringverbindung	als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung	YES	0	G407-E1420	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C074	CELESTIAL	O+EE	FORMAL_CONTROL+GRADE	1	1	1	zur Ausführung; auf Grad II	als Ausführung und auf Grad II	YES	1	G407-E1033	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C075	CELESTIAL	O+LOCAL_CHAR_F	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	YES	1	G407-E0975	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C076	CELESTIAL	O+O+D_ADDR	FORMAL_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	zur Ausführung; zur Ausführung; an der bezeichneten Stelle	als Ausführung und als Ausführung; an der bezeichneten Stelle	YES	1	G407-E0902	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C077	HERBAL	AL	RELATION	6	6	3	zur Zielstelle	zur Zielstelle	NO	6	G407-E0439|G407-E0483|G407-E4443|G407-E4475|G407-E4494|G407-E4500	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C078	HERBAL	AL+O	RELATION+FORMAL_CONTROL	1	1	1	zur Zielstelle; zur Ausführung	zur Zielstelle; als Ausführung	YES	1	G407-E4427	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C079	HERBAL	AM_ADDR	LOCAL_OR_CLASS_SIGN	1	1	1	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	1	G407-E0796	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C080	HERBAL	AR	RELATION	8	5	4	vom Ausgangsmaterial	vom Ausgangsmaterial	NO	8	G407-E0302|G407-E0750|G407-E0773|G407-E4472|G407-E4517|G407-E4520|G407-E4524|G515-E0175	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C081	HERBAL	A_ADDR	LOCAL_OR_CLASS_SIGN	2	2	2	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	2	G407-E0765|G515-E0002	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C082	HERBAL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	3	3	3	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	YES	3	G407-E0262|G407-E0486|G407-E0705	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C083	HERBAL	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	1	1	1	am Beginn; zur Ausführung; auf Grad I; auf Grad I	als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I	YES	0	G515-E0239	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C084	HERBAL	D_ADDR	LOCAL_OR_CLASS_SIGN	9	8	6	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	9	G407-E0334|G407-E0375|G407-E0377|G407-E0452|G407-E0494|G407-E0568|G407-E0694|G407-E4523	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C085	HERBAL	D_ADDR+AIR	LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	an der bezeichneten Stelle; entlang der Verarbeitungsbahn	an der bezeichneten Stelle; entlang der Verarbeitungsbahn	NO	0	G407-E0521	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C086	HERBAL	D_ADDR+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	2	2	2	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	YES	0	G407-E0451|G407-E4525	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C087	HERBAL	D_ADDR+O+D_LABEL	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	an der bezeichneten Stelle; zur Ausführung; an der bezeichneten Stelle	an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle	YES	0	G407-E0695	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C088	HERBAL	E	GRADE	36	29	5	auf Grad I	auf Grad I	NO	36	G407-E0661|G407-E0851|G407-E0900|G407-E4404|G407-E4405|G407-E4409|G407-E4432|G407-E4474	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
