changed_modifier_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	modifier_atoms	modifier_type_sequence	changed_fragment_atoms	within_class_transition_count	current_modifier_phrase_de	modifier_voice_phrase_de	gdt569_context_voice_clause_de	modifier_voice_working_clause_de	guard
13	G407-E0313	G407-S010	f11r	HERBAL	tchody	T+CH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Ausführung; schließe den Schritt.	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
14	G407-E0443	G407-S017	f17r	HERBAL	fshody	LOCAL_CHAR_F+SH+O+DY	LOCAL_CHAR_F+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	O	0	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	Halte; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	Halte; an der bezeichneten Stelle; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
15	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze den Pflanzenposten ein; zur Ausführung; schließe den Schritt.	Setze den Pflanzenposten ein; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
16	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	D_ADDR+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	O	0	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	Im laufenden Gang: Nimm denselben Pflanzenposten; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Nimm denselben Pflanzenposten; an der bezeichneten Stelle; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
17	G407-E0457	G407-S020	f17r	HERBAL	ckhody	CH+K+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; zur Ausführung; schließe den Schritt.	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
18	G407-E0486	G407-S022	f17r	HERBAL	qody	CARRIER_Q+O+DY	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Im laufenden Gang: Stelle denselben Pflanzenposten ein; am Beginn; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Stelle denselben Pflanzenposten ein; als neuen Einsatz und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
19	G407-E0497	G407-S023	f17r	HERBAL	opchordy	O+P+CH+OR+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; zur Ausführung; schließe den Schritt.	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
20	G407-E0520	G407-S024	f17r	HERBAL	chotom	CH+OT+O+M_LOCAL	O+M_LOCAL	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Danach: nimm denselben Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	Danach: nimm denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
21	G407-E0573	G407-S028	f18r	HERBAL	olody	OL+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter im laufenden Gang: gib dieselbe Arbeitseinheit zu; zur Ausführung; schließe den Schritt.	Weiter im laufenden Gang: gib dieselbe Arbeitseinheit zu; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
22	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O+O	FORMAL_CONTROL+FORMAL_CONTROL	O|O	1	zur Ausführung; zur Ausführung	als Ausführung und als Ausführung	Setze denselben Pflanzenposten ein und halte denselben Pflanzenposten; zur Ausführung; zur Ausführung; schließe den Schritt.	Setze denselben Pflanzenposten ein und halte denselben Pflanzenposten; als Ausführung und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
23	G407-E0622	G407-S031	f24v	HERBAL	otaiir	OT+IIN+R	IIN	FORMAL_CONTROL	IIN	0	auf der Stufe	auf der bezeichneten Stufe	Danach: markiere dieselbe Arbeitseinheit; auf der Stufe.	Danach: markiere dieselbe Arbeitseinheit; auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
24	G407-E0623	G407-S031	f24v	HERBAL	otchos	OT+CH+O+S	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach: nimm dieselbe Arbeitseinheit und wähle dieselbe Arbeitseinheit; zur Ausführung.	Danach: nimm dieselbe Arbeitseinheit und wähle dieselbe Arbeitseinheit; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
25	G407-E0641	G407-S032	f24v	HERBAL	tochol	T+O+CH+OL	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter: stelle dieselbe Arbeitseinheit ein und nimm dieselbe Arbeitseinheit; zur Ausführung.	Weiter: stelle dieselbe Arbeitseinheit ein und nimm dieselbe Arbeitseinheit; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
26	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	O+AM_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter im laufenden Gang: nimm denselben Materialanteil; zur Ausführung; an der bezeichneten Stelle.	Weiter im laufenden Gang: nimm denselben Materialanteil; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
27	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	O+D_ADDR+AL	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	O	0	zur Ausführung; an der bezeichneten Stelle; zur Zielstelle	als Ausführung; an der bezeichneten Stelle; zur Zielstelle	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; zur Ausführung; an der bezeichneten Stelle; zur Zielstelle; weiterführen.	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle; zur Zielstelle; weiterführen.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
28	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	D_ADDR+O+D_LABEL	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	an der bezeichneten Stelle; zur Ausführung; an der bezeichneten Stelle	an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
29	G407-E0705	G407-S034	f55v	HERBAL	qool	CARRIER_Q+O+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter im laufenden Gang: setze denselben Materialanteil im Arbeitsgang an; am Beginn; zur Ausführung.	Weiter im laufenden Gang: setze denselben Materialanteil im Arbeitsgang an; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
30	G407-E0720	G407-S034	f55v	HERBAL	ody	O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Setze denselben Materialanteil im Arbeitsgang an; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Setze denselben Materialanteil im Arbeitsgang an; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
31	G407-E0725	G407-S035	f55v	HERBAL	ody	O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Gib denselben Pflanzenposten zu; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Gib denselben Pflanzenposten zu; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
32	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Wähle denselben Pflanzenposten; auf Grad I; auf Grad I; schließe den Schritt.	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
33	G407-E0847	G407-S039	f56r	HERBAL	cheeckhody	CH+EE+CH+K+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Nimm denselben Pflanzenposten und nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; auf Grad II; zur Ausführung; schließe den Schritt.	Nimm denselben Pflanzenposten und nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
34	G407-E0898	G407-S040	f56r	HERBAL	sotodan	S+OT+O+D_ADDR+AN	O+D_ADDR+AN	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	O|AN	1	zur Ausführung; an der bezeichneten Stelle; als Klasse	als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse	Danach: wähle denselben Pflanzenposten; zur Ausführung; an der bezeichneten Stelle; als Klasse.	Danach: wähle denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
35	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O+O+D_ADDR	FORMAL_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O|O	1	zur Ausführung; zur Ausführung; an der bezeichneten Stelle	als Ausführung und als Ausführung; an der bezeichneten Stelle	Weiter: setze ein; zur Ausführung; zur Ausführung; an der bezeichneten Stelle.	Weiter: setze ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
36	G407-E0941	G407-S044	f67r2	CELESTIAL	ytody	Y+T+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Stelle den Positionsposten ein; zur Ausführung; schließe den Schritt.	Stelle den Positionsposten ein; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
37	G407-E0943	G407-S045	f67r2	CELESTIAL	ochol	O+OL	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter im laufenden Gang: wähle denselben Positionswert; zur Ausführung.	Weiter im laufenden Gang: wähle denselben Positionswert; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
38	G407-E0958	G407-S048	f67r2	CELESTIAL	otoldos	OT+OL+D_ADDR+O+S	D_ADDR+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	O	0	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	Danach: wähle dieselbe Positionseinheit; an der bezeichneten Stelle; zur Ausführung; weiterführen.	Danach: wähle dieselbe Positionseinheit; an der bezeichneten Stelle; als Ausführung; weiterführen.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
39	G407-E0959	G407-S048	f67r2	CELESTIAL	octhole	O+CH+T+OL+E	O+E	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	Weiter: nimm dieselbe Positionseinheit auf und stelle dieselbe Positionseinheit ein; zur Ausführung; auf Grad I.	Weiter: nimm dieselbe Positionseinheit auf und stelle dieselbe Positionseinheit ein; als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
40	G407-E0975	G407-S048	f67r2	CELESTIAL	ofydy	O+LOCAL_CHAR_F+Y+DY	O+LOCAL_CHAR_F	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Im laufenden Gang: Wähle den Positionsposten; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang: Wähle den Positionsposten; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
41	G407-E1033	G407-S052	f68r1	CELESTIAL	opcheeol	O+P+CH+EE+OL	O+EE	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad II	als Ausführung und auf Grad II	Weiter: setze denselben Positionsposten ein und nimm denselben Positionsposten auf; zur Ausführung; auf Grad II.	Weiter: setze denselben Positionsposten ein und nimm denselben Positionsposten auf; als Ausführung und auf Grad II.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
42	G407-E1042	G407-S053	f68r1	CELESTIAL	yteody	Y+T+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Stelle den Positionsposten ein; auf Grad I; zur Ausführung; schließe den Schritt.	Stelle den Positionsposten ein; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
43	G407-E1061	G407-S055	f71v	CELESTIAL	oteeodaiin	OT+EE+O+D_ADDR+AIIN	EE+O+D_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad II; zur Ausführung; an der bezeichneten Stelle	auf Grad II und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: setze den Positionswert ein; auf Grad II; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: setze den Positionswert ein; auf Grad II und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
44	G407-E1065	G407-S055	f71v	CELESTIAL	oteokeey	OT+E+O+K+EE+Y	E+O+EE	GRADE+FORMAL_CONTROL+GRADE	O	2	auf Grad I; zur Ausführung; auf Grad II	auf Grad I, als Ausführung und auf Grad II	Danach: ordne den Positionsposten zu; auf Grad I; zur Ausführung; auf Grad II.	Danach: ordne den Positionsposten zu; auf Grad I, als Ausführung und auf Grad II.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
45	G407-E1076	G407-S055	f71v	CELESTIAL	otcheodal	OT+CH+E+O+D_ADDR+AL	E+O+D_ADDR+AL	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle; zur Zielposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; zur Zielposition	Danach: nimm denselben Positionsposten auf; auf Grad I; zur Ausführung; an der bezeichneten Stelle; zur Zielposition.	Danach: nimm denselben Positionsposten auf; auf Grad I und als Ausführung; an der bezeichneten Stelle; zur Zielposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
46	G407-E1077	G407-S055	f71v	CELESTIAL	sheealody	SH+EE+AL+O+DY	EE+AL+O	GRADE+RELATION+FORMAL_CONTROL	O	0	auf Grad II; zur Zielposition; zur Ausführung	auf Grad II; zur Zielposition; als Ausführung	Halte denselben Positionsposten; auf Grad II; zur Zielposition; zur Ausführung; schließe den Schritt.	Halte denselben Positionsposten; auf Grad II; zur Zielposition; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
47	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E+O+D_ADDR+AR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	Danach im laufenden Gang: setze denselben Positionsposten; auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	Danach im laufenden Gang: setze denselben Positionsposten; auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
48	G407-E1086	G407-S056	f71v	CELESTIAL	oteoshar	OT+E+O+SH+AR	E+O+AR	GRADE+FORMAL_CONTROL+RELATION	O	1	auf Grad I; zur Ausführung; von der Ausgangsposition	auf Grad I und als Ausführung; von der Ausgangsposition	Danach: halte denselben Positionswert; auf Grad I; zur Ausführung; von der Ausgangsposition.	Danach: halte denselben Positionswert; auf Grad I und als Ausführung; von der Ausgangsposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
49	G407-E1097	G407-S057	f71v	CELESTIAL	oteeos	OT+EE+O+S_ADDR	EE+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad II; zur Ausführung; an der bezeichneten Stelle	auf Grad II und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: nimm auf; auf Grad II; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: nimm auf; auf Grad II und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
50	G407-E1105	G407-S057	f71v	CELESTIAL	oto	OT+O	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: setze denselben Positionsposten; zur Ausführung.	Danach im laufenden Gang: setze denselben Positionsposten; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
51	G407-E1137	G407-S060	f72r	CELESTIAL	oteeo	OT+EE+O	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Danach: auf Grad II; zur Ausführung.	Danach: auf Grad II und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
52	G407-E1141	G407-S060	f72r	CELESTIAL	olcheor	OL+CH+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Weiter: nimm denselben Positionsposten auf; auf Grad I; zur Ausführung; schließe den Schritt.	Weiter: nimm denselben Positionsposten auf; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
53	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E+E	GRADE+GRADE	NONE	1	auf Grad I; auf Grad I	auf Grad I und auf Grad I	Weiter: halte den Positionsposten und stelle den Positionsposten ein; auf Grad I; auf Grad I.	Weiter: halte den Positionsposten und stelle den Positionsposten ein; auf Grad I und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
54	G407-E1163	G407-S063	f72r	CELESTIAL	otos	OT+O+S	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach: wähle denselben Positionswert; zur Ausführung.	Danach: wähle denselben Positionswert; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
55	G407-E1179	G407-S064	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	E+O+D_ADDR+AR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition	Danach: auf Grad I; zur Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	Danach: auf Grad I und als Ausführung; an der bezeichneten Stelle; von der Ausgangsposition.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
