surface	event_count	pages	registers	source_event_ids	working_recipe	working_reading_de	coverage_class	consistency_status
cheody	1	f89r	PHARMA	P1008-E1299	CH+E+O+Y	NEHMEN · GRAD I · AUSFÜHRUNG · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
cheosdy	1	f88v	PHARMA	P1003-E0460	NONE	cheo:DROGENFAMILIE · [DROGENNAME:cheosdy]	OWNER_FAMILY_STRUCTURED_LEARNED_NAME	INVARIANT
ches	2	f72r|f89r	CELESTIAL|PHARMA	P1008-E0358|P1008-E1092	CH+E+S	NEHMEN · GRAD I · WÄHLEN	FULL_FUNCTION_FORMULA	INVARIANT
cheys	1	f89r	PHARMA	P1008-E1298	Y+S	POSTEN · WÄHLEN	FULL_FUNCTION_FORMULA	INVARIANT
chfaly	1	f71v	CELESTIAL	P1003-E0597	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
chol	1	f89r	PHARMA	P1008-E1091	OL	FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
chosar	1	f72r	CELESTIAL	P1008-E0284	AR	[STERNSTELLENNAME:chos] · AUSGANG	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
cpheor	1	f88v	PHARMA	P1003-E0415	OR	[DROGENNAME:cphe] · EINHEIT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
daiin	1	f72r	CELESTIAL	P1008-E0362	AIIN	WERT	FULL_FUNCTION_FORMULA	INVARIANT
dan	2	f71v|f89r	CELESTIAL|PHARMA	P1003-E0608|P1008-E1095	AIN	ANTEIL	FULL_FUNCTION_FORMULA	INVARIANT
daramdal	1	f88v	PHARMA	P1003-E0554	AR+AL	[DROGENNAME:d] · AUSGANG · [DROGENNAME:am] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
dararda	1	f88v	PHARMA	P1003-E0557	AR+AR	[DROGENNAME:d] · AUSGANG · AUSGANG · [DROGENNAME:da]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
darchdar	1	f77r	BIOLOGICAL	P1003-E0081	AR+AR	[BADSTATIONSNAME:d] · AUSGANG · [BADSTATIONSNAME:chd] · AUSGANG	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
dchdy	1	f77r	BIOLOGICAL	P1003-E0086	CHD+DY	BEARBEITEN · SCHLUSS	FULL_FUNCTION_FORMULA	INVARIANT
doly	1	f89r	PHARMA	P1008-E1180	OL+Y	[DROGENNAME:d] · FORTSETZEN · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
dotedy	1	f77r	BIOLOGICAL	P1003-E0088	OT	[BADSTATIONSNAME:d] · DANACH · [BADSTATIONSNAME:edy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
dy	2	f72r|f89r	CELESTIAL|PHARMA	P1008-E0245|P1008-E1232	Y	POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
eeesaly	1	f72r	CELESTIAL	P1008-E0417	AL+Y	[STERNSTELLENNAME:eees] · ZIELORT · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
fydy	1	f72r	CELESTIAL	P1008-E0414	Y+DY	[STERNSTELLENNAME:f] · POSTEN · SCHLUSS	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
korainy	1	f89r	PHARMA	P1008-E1296	K+OR+AIN+Y	GEBEN · EINHEIT · ANTEIL · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
o	2	f72r|f77r	BIOLOGICAL|CELESTIAL	P1008-E0416|P1003-E0412	O	AUSFÜHRUNG	FULL_FUNCTION_FORMULA	INVARIANT
oaiin	1	f72r	CELESTIAL	P1008-E0129	O+AIIN	AUSFÜHRUNG · WERT	FULL_FUNCTION_FORMULA	INVARIANT
ochey	1	f72r	CELESTIAL	P1008-E0413	O+CH+E+Y	AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
ochol	1	f72r	CELESTIAL	P1008-E0142	O+OL	AUSFÜHRUNG · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
octho	1	f72r	CELESTIAL	P1008-E0457	CH+T	[STERNSTELLENNAME:o] · NEHMEN · EINSTELLEN · [STERNSTELLENNAME:o]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
odory	1	f89r	PHARMA	P1008-E1179	OR+Y	[DROGENNAME:od] · EINHEIT · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oeeesaiin	1	f72r	CELESTIAL	P1008-E0411	AIIN	[STERNSTELLENNAME:oeees] · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oeeodaiin	1	f72r	CELESTIAL	P1008-E0363	AIIN	[STERNSTELLENNAME:oeeo] · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
of	1	f72r	CELESTIAL	P1008-E0415	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	FULL_FUNCTION_FORMULA	INVARIANT
ofakal	1	f89r	PHARMA	P1008-E1410	O+LOCAL_CHAR_F+AL	AUSFÜHRUNG · HIER · [DROGENNAME:ak] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ofaom	1	f71v	CELESTIAL	P1003-E0641	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ofaralar	1	f72r	CELESTIAL	P1008-E0171	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
ofchdamy	1	f72r	CELESTIAL	P1008-E0190	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:chdamy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ofsholdy	1	f72r	CELESTIAL	P1008-E0364	O+LOCAL_CHAR_F+SH+OL	AUSFÜHRUNG · HIER · HALTEN · FORTSETZEN · [STERNSTELLENNAME:dy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oiil	1	f17r	HERBAL	P1003-E0080	NONE	[PFLANZENNAME:oiil]	WHOLE_LEARNED_NAME	INVARIANT
okaiin	3	f72r|f88v|f89r	CELESTIAL|PHARMA	P1008-E0366|P1003-E0461|P1008-E1094	OK+AIIN	SETZEN · WERT	FULL_FUNCTION_FORMULA	INVARIANT
okain	1	f89r	PHARMA	P1008-E1408	OK+AIN	SETZEN · ANTEIL	FULL_FUNCTION_FORMULA	INVARIANT
okaircham	1	f72r	CELESTIAL	P1008-E0246	OK+AIR+AM_ADDR	SETZEN · BAHN · [STERNSTELLENNAME:ch] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okairy	1	f72r	CELESTIAL	P1008-E0193	OK+AIR	SETZEN · BAHN · [STERNSTELLENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okal	2	f72r	CELESTIAL	P1008-E0238|P1008-E0240	OK+AL	SETZEN · ZIELORT	FULL_FUNCTION_FORMULA	INVARIANT
okalam	1	f72r	CELESTIAL	P1008-E0132	OK+AL+AM_ADDR	SETZEN · ZIELORT · HIER	FULL_FUNCTION_FORMULA	INVARIANT
okalar	2	f72r	CELESTIAL	P1008-E0237|P1008-E0420	OK+AL+AR	SETZEN · ZIELORT · AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
okaldy	1	f72r	CELESTIAL	P1008-E0283	OK+AL+DY	SETZEN · ZIELORT · SCHLUSS	FULL_FUNCTION_FORMULA	INVARIANT
okaly	2	f72r	CELESTIAL	P1008-E0239|P1008-E0249	OK+AL+Y	SETZEN · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
okalyd	1	f88v	PHARMA	P1003-E0413	OK+AL	SETZEN · ZIELORT · [DROGENNAME:yd]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okam	1	f72r	CELESTIAL	P1008-E0281	OK+AM_ADDR	SETZEN · HIER	FULL_FUNCTION_FORMULA	INVARIANT
okaraiin	1	f71v	CELESTIAL	P1003-E0602	OK+AR+AIIN	SETZEN · AUSGANG · WERT	FULL_FUNCTION_FORMULA	INVARIANT
okaram	1	f72r	CELESTIAL	P1008-E0192	OK+AR+AM_ADDR	SETZEN · AUSGANG · HIER	FULL_FUNCTION_FORMULA	INVARIANT
okarcham	1	f72r	CELESTIAL	P1008-E0287	OK+AR+AM_ADDR	SETZEN · AUSGANG · [STERNSTELLENNAME:ch] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okchshy	1	f89r	PHARMA	P1008-E1038	OK+CH+Y	SETZEN · NEHMEN · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
okeal	1	f72r	CELESTIAL	P1008-E0247	OK+AL	SETZEN · [STERNSTELLENNAME:e] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okealar	1	f72r	CELESTIAL	P1008-E0194	OK+AL+AR	SETZEN · [STERNSTELLENNAME:e] · ZIELORT · AUSGANG	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okeey	2	f72r	CELESTIAL	P1008-E0174|P1008-E0241	OK+EE+Y	SETZEN · GRAD II · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
oklairdy	1	f72r	CELESTIAL	P1008-E0191	OK+AIR	SETZEN · [STERNSTELLENNAME:l] · BAHN · [STERNSTELLENNAME:dy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okol	1	f89r	PHARMA	P1008-E1230	OK+OL	SETZEN · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
okolar	1	f71v	CELESTIAL	P1003-E0598	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
okshdchos	1	f89r	PHARMA	P1008-E1301	OK+SH	SETZEN · HALTEN · [DROGENNAME:dchos]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
okyd	1	f72r	CELESTIAL	P1008-E0251	OK	SETZEN · [STERNSTELLENNAME:yd]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
olaiin	1	f72r	CELESTIAL	P1008-E0422	OL+AIIN	FORTSETZEN · WERT	FULL_FUNCTION_FORMULA	INVARIANT
olalsy	1	f72r	CELESTIAL	P1008-E0351	OL+AL+Y	FORTSETZEN · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
olay	1	f72r	CELESTIAL	P1008-E0423	OL	FORTSETZEN · [STERNSTELLENNAME:ay]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oldam	1	f89r	PHARMA	P1008-E1040	OL+AM_ADDR	FORTSETZEN · [DROGENNAME:d] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oletal	1	f72r	CELESTIAL	P1008-E0459	OL+AL	FORTSETZEN · [STERNSTELLENNAME:et] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
olfsheoral	1	f72r	CELESTIAL	P1008-E0424	OL+SH+AL	FORTSETZEN · [STERNSTELLENNAME:f] · HALTEN · [STERNSTELLENNAME:eor] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
olkalaiin	1	f72r	CELESTIAL	P1008-E0350	OL+AL+AIIN	FORTSETZEN · [STERNSTELLENNAME:k] · ZIELORT · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
olkchs	1	f77r	BIOLOGICAL	P1003-E0082	OL	FORTSETZEN · [BADSTATIONSNAME:kchs]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opalal	1	f72r	CELESTIAL	P1008-E0452	AL+AL	[STERNSTELLENNAME:op] · ZIELORT · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opalar	1	f71v	CELESTIAL	P1003-E0606	AL+AR	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opalor	1	f71v	CELESTIAL	P1003-E0609	AL+OR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opcheor	1	f89r	PHARMA	P1008-E1183	O+P+CH+E+OR	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · EINHEIT	FULL_FUNCTION_FORMULA	INVARIANT
opchoroiin	1	f89r	PHARMA	P1008-E1233	O+IIN	[DROGENNAME:opchor] · AUSFÜHRUNG · STUFE	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opchosam	1	f89r	PHARMA	P1008-E1181	AM_ADDR	[DROGENNAME:opchos] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opoeey	1	f72r	CELESTIAL	P1008-E0365	EE+Y	[STERNSTELLENNAME:opo] · GRAD II · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
opoiiinoin	1	f72r	CELESTIAL	P1008-E0356	O+IIN	[STERNSTELLENNAME:opoiiin] · AUSFÜHRUNG · STUFE	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oporain	1	f89r	PHARMA	P1008-E1300	AIN	[DROGENNAME:opor] · ANTEIL	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oraiinam	1	f72r	CELESTIAL	P1008-E0352	OR+AM_ADDR	EINHEIT · [STERNSTELLENNAME:aiin] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oraiiral	1	f72r	CELESTIAL	P1008-E0454	OR+AL	EINHEIT · [STERNSTELLENNAME:aiir] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oralkam	1	f72r	CELESTIAL	P1008-E0409	OR+AL+AM_ADDR	EINHEIT · ZIELORT · [STERNSTELLENNAME:k] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
orara	1	f72r	CELESTIAL	P1008-E0421	OR+AR	EINHEIT · AUSGANG · [STERNSTELLENNAME:a]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
orary	1	f72r	CELESTIAL	P1008-E0250	OR+AR	EINHEIT · AUSGANG · [STERNSTELLENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ory	1	f72r	CELESTIAL	P1008-E0412	OR+Y	EINHEIT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
osarsheeeo	1	f72r	CELESTIAL	P1008-E0353	AR+SH	[STERNSTELLENNAME:os] · AUSGANG · HALTEN · [STERNSTELLENNAME:eeeo]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oshodady	1	f72r	CELESTIAL	P1008-E0127	SH	[STERNSTELLENNAME:o] · HALTEN · [STERNSTELLENNAME:odady]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otaiin	2	f71v|f72r	CELESTIAL	P1003-E0601|P1008-E0137	OT+AIIN	DANACH · WERT	FULL_FUNCTION_FORMULA	INVARIANT
otain	1	f72r	CELESTIAL	P1008-E0138	OT+AIN	DANACH · ANTEIL	FULL_FUNCTION_FORMULA	INVARIANT
otainy	1	f72r	CELESTIAL	P1008-E0176	OT+AIN+Y	DANACH · ANTEIL · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
otair	1	f72r	CELESTIAL	P1008-E0244	OT+AIR	DANACH · BAHN	FULL_FUNCTION_FORMULA	INVARIANT
otal	1	f72r	CELESTIAL	P1008-E0279	OT+AL	DANACH · ZIELORT	FULL_FUNCTION_FORMULA	INVARIANT
otalaiin	1	f71v	CELESTIAL	P1003-E0643	OT+AL+AIIN	DANACH · ZIELORT · WERT	FULL_FUNCTION_FORMULA	INVARIANT
otalef	1	f72r	CELESTIAL	P1008-E0139	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ef]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otalody	1	f71v	CELESTIAL	P1003-E0642	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ody]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otalshy	1	f72r	CELESTIAL	P1008-E0282	OT+AL+Y	DANACH · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
otalsy	1	f89r	PHARMA	P1008-E1411	OT+AL+Y	DANACH · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
otam	1	f72r	CELESTIAL	P1008-E0285	OT+AM_ADDR	DANACH · HIER	FULL_FUNCTION_FORMULA	INVARIANT
otar	4	f71v|f72r|f88v	CELESTIAL|PHARMA	P1003-E0603|P1003-E0644|P1008-E0248|P1003-E0416	OT+AR	DANACH · AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
otaraldy	2	f72r	CELESTIAL	P1008-E0136|P1008-E0236	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
otchdal	1	f72r	CELESTIAL	P1008-E0173	OT+AL	DANACH · [STERNSTELLENNAME:ch] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otchdy	1	f77r	BIOLOGICAL	P1003-E0410	OT+CHD+DY	DANACH · BEARBEITEN · SCHLUSS	FULL_FUNCTION_FORMULA	INVARIANT
otchody	1	f71v	CELESTIAL	P1003-E0599	OT	DANACH · [STERNSTELLENNAME:chody]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otchoshy	1	f72r	CELESTIAL	P1008-E0172	OT+Y	DANACH · [STERNSTELLENNAME:cho] · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otdordy	1	f88v	PHARMA	P1003-E0556	OT	DANACH · [DROGENNAME:dordy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otedy	1	f77r	BIOLOGICAL	P1003-E0083	OT+E+DY	DANACH · GRAD I · SCHLUSS	FULL_FUNCTION_FORMULA	INVARIANT
oteeary	1	f72r	CELESTIAL	P1008-E0243	OT+AR	DANACH · [STERNSTELLENNAME:ee] · AUSGANG · [STERNSTELLENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oteeeon	1	f17r	HERBAL	P1003-E0079	OT	DANACH · [PFLANZENNAME:eeeon]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
oteey	1	f72r	CELESTIAL	P1008-E0361	OT+EE+Y	DANACH · GRAD II · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
oto	1	f72r	CELESTIAL	P1008-E0354	OT+O	DANACH · AUSFÜHRUNG	FULL_FUNCTION_FORMULA	INVARIANT
otokol	1	f88v	PHARMA	P1003-E0418	OT+OK+OL	DANACH · SETZEN · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
otol	1	f77r	BIOLOGICAL	P1003-E0085	OT+OL	DANACH · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
otolaiin	1	f77r	BIOLOGICAL	P1003-E0411	OT+OL+AIIN	DANACH · FORTSETZEN · WERT	FULL_FUNCTION_FORMULA	INVARIANT
otolam	1	f72r	CELESTIAL	P1008-E0252	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	FULL_FUNCTION_FORMULA	INVARIANT
otolarol	1	f89r	PHARMA	P1008-E1413	OT+OL+AR+OL	DANACH · FORTSETZEN · AUSGANG · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
otold	1	f89r	PHARMA	P1008-E1228	OT+OL	DANACH · FORTSETZEN · [DROGENNAME:d]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otoldy	1	f89r	PHARMA	P1008-E1041	OT+OL	DANACH · FORTSETZEN · [DROGENNAME:dy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otora	1	f88v	PHARMA	P1003-E0459	OT	DANACH · [DROGENNAME:ora]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otorain	1	f89r	PHARMA	P1008-E1093	OT+AIN	DANACH · [DROGENNAME:or] · ANTEIL	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otoram	1	f88v	PHARMA	P1003-E0458	OT+AM_ADDR	DANACH · [DROGENNAME:or] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otork	1	f77r	BIOLOGICAL	P1003-E0084	OT	DANACH · [BADSTATIONSNAME:ork]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
otydary	1	f88v	PHARMA	P1003-E0555	OT+D_ADDR+AR	DANACH · [DROGENNAME:y] · HIER · AUSGANG · [DROGENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
qkol	1	f89r	PHARMA	P1008-E1039	OL	[DROGENNAME:qk] · FORTSETZEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ralal	1	f72r	CELESTIAL	P1008-E0280	AL+AL	[STERNSTELLENNAME:r] · ZIELORT · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
saldam	1	f89r	PHARMA	P1008-E1176	AL+AM_ADDR	[DROGENNAME:s] · ZIELORT · [DROGENNAME:d] · HIER	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
saloiinsheol	1	f89r	PHARMA	P1008-E1182	AL+SH+OL	[DROGENNAME:s] · ZIELORT · [DROGENNAME:oiin] · HALTEN · [DROGENNAME:e] · FORTSETZEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
shar	2	f71v|f72r	CELESTIAL	P1003-E0645|P1008-E0456	SH+AR	HALTEN · AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
sharam	1	f72r	CELESTIAL	P1008-E0143	SH+AR+AM_ADDR	HALTEN · AUSGANG · HIER	FULL_FUNCTION_FORMULA	INVARIANT
shol	1	f89r	PHARMA	P1008-E1231	SH+OL	HALTEN · FORTSETZEN	FULL_FUNCTION_FORMULA	INVARIANT
sholshdy	1	f71v	CELESTIAL	P1003-E0646	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
sodar	1	f89r	PHARMA	P1008-E1297	S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	FULL_FUNCTION_FORMULA	INVARIANT
soral	1	f77r	BIOLOGICAL	P1003-E0087	AL	[BADSTATIONSNAME:sor] · ZIELORT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
sydarary	1	f89r	PHARMA	P1008-E1177	D_ADDR+AR+AR	[DROGENNAME:sy] · HIER · AUSGANG · AUSGANG · [DROGENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
y	1	f89r	PHARMA	P1008-E1229	Y	POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
yddy	1	f89r	PHARMA	P1008-E1178	Y+D_ADDR+Y	POSTEN · HIER · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
yfary	1	f72r	CELESTIAL	P1008-E0453	AR	[STERNSTELLENNAME:yf] · AUSGANG · [STERNSTELLENNAME:y]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ykaraiin	1	f72r	CELESTIAL	P1008-E0418	AR+AIIN	[STERNSTELLENNAME:yk] · AUSGANG · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ykocfhy	1	f89r	PHARMA	P1008-E1175	CH+LOCAL_CHAR_F+Y	[DROGENNAME:yko] · NEHMEN · HIER · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ykolairol	1	f72r	CELESTIAL	P1008-E0367	OL+AIR+OL	[STERNSTELLENNAME:yk] · FORTSETZEN · BAHN · FORTSETZEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ykyd	1	f89r	PHARMA	P1008-E1090	Y+K+Y+D_ADDR	POSTEN · GEBEN · POSTEN · HIER	FULL_FUNCTION_FORMULA	INVARIANT
yorain	1	f89r	PHARMA	P1008-E1409	AIN	[DROGENNAME:yor] · ANTEIL	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ypaiin	1	f72r	CELESTIAL	P1008-E0359	AIIN	[STERNSTELLENNAME:yp] · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
