component	old_default_de	revised_portable_value_de	herbal_expansion	biological_expansion	zodiac_expansion	pharma_expansion	decision	reason
DA	ZWEITE	MARKIERTE ODER ZWEITE STUFE	zweiter Teilgang	zweite Station	zweiter Ringwert	zweite Portion	KEEP_TENTATIVE	Die ordinale Lesung passt, bleibt aber duenn.
DY	SCHLIESSEN	LIZENZIERTER ABSCHLUSS	Arbeitsschritt schliessen	Stationsschritt schliessen	Kennung oder Teilfolge schliessen	Ansatzschritt schliessen	KEEP_CONTEXT_BOUND	Dieselbe sichtbare dy-Folge kann anderswo ein offener Y-Referent sein; Position und Kartentyp entscheiden.
E	KURZ	KURZER GRAD	kurz bearbeiten	kurz halten	kurzer Ringwert	kurz ansetzen	KEEP_STRONG	Der Grad uebertraegt besser als ein bestimmtes Verb.
EE	LANG	LAENGERER GRAD	laenger bearbeiten	laenger halten	laengerer Ringwert	laenger ansetzen	KEEP_STRONG	Der Grad uebertraegt besser als ein bestimmtes Verb.
EEE	VOLLSTAENDIG	VOLLER GRAD	vollstaendig bearbeiten	vollstaendig halten	voller Ringwert	vollstaendig ansetzen	KEEP_STRONG	Der Grad uebertraegt besser als ein bestimmtes Verb.
HO	TEIL	MATERIAL- ODER OBJEKTTEIL	Pflanzenteil	Koerper- oder Anlagenabschnitt	Figurenteil	Zutatenteil	KEEP_BROADER	Teil ist tragfaehig; die Art des Teils kommt vom Bildbesitzer.
IIN	STUFE	STUFE ODER INDEX	Arbeitsstufe	Stationsstufe	Ringstufe	Zubereitungsstufe	KEEP_STRONG	Besonders im Tierkreisregister ist Index ebenso plausibel wie Prozessstufe.
K	ZUGEBEN	ZUORDNEN ODER ZUGEBEN	Material zugeben	Posten einsetzen	Wert zuordnen	Zutat zugeben	ABSTRACT_PORTABLE	Das konkrete Zugeben ist ausserhalb der Prosa zu eng.
L	LEITEN	LEITEN ODER VERBINDEN	weiterleiten	Becken verbinden	Ringverbindung	zum Gefaess leiten	KEEP_STRONG	f75r stuetzt den Pfadwert direkt.
LD	FESTBINDEN	BEFESTIGEN	Auflage befestigen	Einsatz befestigen	Kennung befestigen	Verschluss befestigen	KEEP_LOCAL	Auf den vier neuen Seiten nicht stark neu geprueft.
LSH	SPUELEN	WASCH- ODER SPUELGANG	Pflanzenteil waschen	Becken spuelen	Ringgang markieren	Gefaess spuelen	REGISTER_BOUND	Die nasse Lesung gehoert zur Prosa- und Bildfuellung, nicht sicher zum Tierkreisregister.
O	ARBEITSGANG	AKTIVER REGISTERGANG	Verarbeitungsgang	Stationsgang	Ringgang	Zubereitungsgang	KEEP_BROADER	O funktioniert als Prozesscontainer, nicht als einzelnes Sachwort.
OK	ANSETZEN	GANG ANSETZEN ODER AKTIVIEREN	Zubereitung ansetzen	Station aktivieren	Ringstelle setzen	Ansatz beginnen	KEEP_BROADER	Die gemeinsame Bedeutung ist Aktivierung; die konkrete Handlung kommt vom Register.
OL	FORTSETZEN	FORTSETZEN	Artikel fortsetzen	Lauf fortsetzen	im Ring weiter	Ansatz fortsetzen	KEEP_STRONG	Bleibt in allen vier Registern lesbar.
OR	ANSATZ	ANSATZ ODER ZUBEREITUNG	Pflanzenansatz	Arbeitsansatz	lokaler Eintrag	Gefaessansatz	KEEP_PROSE_STRONG	f88r macht den Zubereitungswert stark; im Tierkreisregister darf OR nur als lokaler Eintrag gelesen werden.
OT	DANACH	DANACH ODER NAECHSTE STELLE	danach	naechste Station	naechster Ringplatz	danach	KEEP_STRONG	Ordnung ist die stabilste registeruebergreifende Lesung.
P	EINBRINGEN	BEGINNEN ODER EINSETZEN	Material einsetzen	Zeile oder Station beginnen	Eintrag beginnen	Zutat einsetzen	REVISE	Auf f75r stehen sieben von neun p-anlautenden Gruppen am physischen Zeilenanfang.
R	KUEHL	MARKIERTER ZUSTAND	lokal kuehl	lokaler Zustand	Kennungszustand	lokal kuehl	DEMOTE_LITERAL	KUEHL ist auf Tierkreiskennungen und Bildlabels nicht portabel.
S	PROBE	KONTEXTMARKER	Probe oder und/dann	Probe	Stern- oder Phasenkennung	und/dann	DEMOTE_TO_CONTEXT	f13r, f70v und f88r verlangen verschiedene Rollen fuer dieselbe kurze Form.
SH	HALTEN	HALTEN ODER FESTHALTEN	Ansatz halten	Posten halten	Bezug festhalten	Ansatz halten	KEEP_BROADER	Die abstrakte Persistenz uebertraegt; das gehaltene Objekt ist bildgebunden.
SHED	RUHEN	RUHE- ODER HALTESTUFE	ruhen lassen	an Station halten	Ringstatus halten	Ansatz ruhen lassen	KEEP_PROSE_STRONG	Die konkrete Ruhe bleibt vor allem eine Prosaexpansion.
SOLK	SAMMELN	SAMMEL- ODER HALTESTELLE	Sammelgefäss	Auffangstelle	lokale Sammelstelle	Sammelgefäss	KEEP_TENTATIVE	Auf den neuen Seiten brauchbar, aber nicht als bestimmtes Gefaesswort.
T	BEARBEITEN	BEARBEITEN ODER MARKIEREN	bearbeiten	Anlage bedienen	Stelle markieren	Zutat bearbeiten	ABSTRACT_PORTABLE	Das konkrete Verb wechselt mit dem Register.
Y	POSTEN	AKTUELLER POSTEN ODER BEZUG	aktuelles Material	aktueller Stationsposten	aktuelle Ringstelle	aktueller Ansatzteil	KEEP_STRONG	Die Referenzfunktion uebertraegt sehr gut; Y ist kein allgemeiner Schluss.
AM_ADDR	GEGENFELD	LOKALE M-ADRESSE	lokale Stelle	lokale Gegenstelle	Gegen- oder Innenfeld	lokale Zutatenklasse	REGISTER_LOCAL_ONLY	f88r widerlegt GEGENFELD als globale Wortbedeutung.
D_ADDR	TEILSTELLE	TEIL- ODER UNTERADRESSE	Teil des Artikels	Teilstation	Teilring	Teilrezept	KEEP_FORMAL	Die Hierarchie uebertraegt besser als eine Sachbedeutung.
S_ADDR	STERNBEZUG	LOKALE S-ADRESSE	lokaler Anschluss	lokale Station	Sternbezug	lokale Rezeptverknuepfung	REGISTER_LOCAL_ONLY	Sternbezug ist nur im Himmelsregister sinnvoll.
S_LABEL	PHASENZEICHEN	LOKALES S-KENNZEICHEN	Prosakonnektor	Stationskennung	Phasenkennung	Prosakonnektor	REGISTER_LOCAL_ONLY	Die neue Prosa erzwingt Rollenwechsel.
CHEO	AUSZUG	REGISTERABHAENGIGER EINTRAG	Auszug	Arbeitsinhalt	Kennung oder Eintrag	Auszug	REGISTER_BOUND	f88r stuetzt AUSZUG; f70v widerlegt ihn als globale Bedeutung.
CFH	AUSPRESSEN	PRESS- ODER TRENNOPERATION	auspressen	Anlagenoperation	Kennungsoperation	abpressen	KEEP_PROSE_LOCAL	f13r traegt die bestehende Trennlesung; das Tierkreisregister wurde nicht damit gefuellt.
