locus	kind	tokens	exact_old_surface_tokens	visible_owner	portable_skeleton_de	creative_default_de	transfer_status	pressure_point
f88r.11	PROSE	7	0	oberes Gefaess; Abschluss	POSTEN · ANSETZEN · KURZ · SCHLIESSEN · ANSATZ · HALTEN	Den laufenden Posten kurz ansetzen und schliessen; den restlichen Ansatz halten.	COMPOSITIONAL_TRANSFER_WITH_RESIDUAL	CHEEB hat einen neuen B-Rest; die Arbeitsfolge bleibt nur grob.
f88r.12	LABEL	1	0	mittleres Zutatenfeld; linkes Wurzelbuendel	LOKALER NAME	WURZELBUENDEL G	LOCAL_NOMENCLATOR_REQUIRED	OT/AL/DY ist hier zunaechst ein Etikett, keine geschlossene Anweisung.
f88r.13	LABEL	1	0	mittleres Zutatenfeld; gelappter Pflanzenteil	LOKALER NAME	GELAPPTER PFLANZENTEIL H	LOCAL_NOMENCLATOR_REQUIRED	OR/AM kann lokale Klasse sein.
f88r.14	LABEL	1	0	mittleres Zutatenfeld; dunkle schmale Wurzel	LOKALER NAME	SCHMALE WURZEL I	LOCAL_NOMENCLATOR_REQUIRED	D/AR/Y wird nicht als Quellanweisung gelesen.
f88r.15	LABEL	1	0	mittleres Zutatenfeld; senkrechter Pflanzenteil	LOKALER NAME	SENKRECHTER PFLANZENTEIL J	LOCAL_NOMENCLATOR_REQUIRED	OK/OL bleibt als moegliche Klassenkomposition offen.
f88r.16	LABEL	1	0	mittleres Zutatenfeld; gefleckter Frucht-/Wurzelkoerper	LOKALER NAME	GEFLECKTER KOERPER K	LOCAL_NOMENCLATOR_REQUIRED	Kein alter Surface-Transfer.
f88r.17	LABEL	1	0	mittleres Zutatenfeld; rechter Blattzweig	LOKALER NAME	BLATTZWEIG L	LOCAL_NOMENCLATOR_REQUIRED	Operationswurzeln muessen im Namensregister suspendiert werden.
f88r.18	PROSE	7	1	mittleres Gefaess und Zutatenreihe	PORTION/POSTEN · EINBRINGEN · FORTSETZEN · DANACH · SCHLIESSEN	Eine Portion einbringen, den Ansatz fortsetzen, danach weiterarbeiten und schliessen.	ROOT_GRAMMAR_TRANSFERS	Der Satz ist trotz neuer Oberflaechen fast voll aus P/OL/OT/DY gebaut.
f88r.19	PROSE	8	2	mittleres Gefaess; Arbeitsfolge	ENTNEHMEN · KURZ · POSTEN · MASS · ANSETZEN · FORTSETZEN · DURCHLASS	Kurz entnehmen, nach Mass ansetzen, wiederholt fortsetzen und durch den Arbeitsgang fuehren.	ROOT_GRAMMAR_TRANSFERS	QOEKOL/QOCKHOL sind neue Renderer derselben OK/OL/CKH-Schicht.
f88r.20	PROSE	10	7	mittleres Gefaess; Mengenfolge	HALTEN · KURZ/LANG · MASS · POSTEN · ANSATZ · DANACH	Kurz halten; den Posten nach Mass bearbeiten; danach eine weitere gemessene Ansatzportion nehmen.	EXACT_TRANSFER_STRONG	Sieben von zehn Marken sind alte exakte Surfaces; bare S braucht eine neue Konnektorlesung.
f88r.21	PROSE	8	2	mittleres Gefaess; Abschlussfolge	KURZ · FORTSETZEN · HALTEN · SCHLIESSEN · POSTEN	Kurz fortsetzen, den Posten halten, weiterfuehren und den Abschnitt schliessen.	COMPOSITIONAL_TRANSFER_WITH_RESIDUAL	SHOLDG und SHOLFCHOR enthalten neue G/F-Reste.
f88r.22	PROSE	6	4	mittleres Gefaess; Absatzschluss	POSTEN · MASS · FORTSETZEN · AUSZUG · KUEHL	Den Posten nach Mass ansetzen, den kuehlen Auszug fortsetzen und den Absatz beenden.	EXACT_TRANSFER_STRONG	Vier von sechs Surfaces sind direkt alt; CHORCHOLSAL ist die einzige lange lokale Schlusskarte.
f88r.23	LABEL	1	0	unteres Zutatenfeld; linkes Wurzel-/Blattbuendel	LOKALER NAME	UNTERE WURZELMENGUNG M	LOCAL_NOMENCLATOR_REQUIRED	Langer Name mit lokalem Rest, kein Arbeitssatz.
f88r.24	LABEL	2	0	unteres Zutatenfeld; zwei benachbarte kleine Pflanzenteile	LOKALE NAMEN	KLEINTEIL N · KLEINTEIL O	LOCAL_NOMENCLATOR_REQUIRED	Zwei physisch getrennte Etiketten duerfen nicht zu DANACH+GEGENFELD verschmolzen werden.
f88r.25	LABEL	1	0	unteres Zutatenfeld; rechter Wurzel-/Blattkoerper	LOKALER NAME	WURZELKOERPER P	LOCAL_NOMENCLATOR_REQUIRED	Bildname trotz sichtbarem AL-Ende.
f88r.26	PROSE	7	1	unteres Gefaess und Zutatenreihe	QUELLE · HALTEN · POSTEN · FORTSETZEN · SAMMELN · SCHLIESSEN	Aus der Quelle nehmen, den Posten halten, fortsetzen, sammeln und den Schritt schliessen.	ROOT_GRAMMAR_TRANSFERS	POEEAR bleibt ein neuer P/O/EE/AR-Verbund; S ist erneut Konnektor.
f88r.27	PROSE	9	8	unteres Gefaess; Wiederholungsfolge	ANSETZEN · FORTSETZEN · LANG · POSTEN · ANSATZ · MASS	Mehrmals ansetzen und fortsetzen; den Posten laenger halten und den Ansatz nach Mass fuehren.	EXACT_TRANSFER_STRONG	Acht von neun Marken sind alte Surfaces; staerkster Transfer der Seite.
f88r.28	PROSE	10	6	unteres Gefaess; Quellenfolge	POSTEN · ZUGEBEN · QUELLE · FORTSETZEN · DURCHLASS · ANSATZ · ZIELSTELLE	Den Posten aus der Quelle zugeben, fortsetzen, durch den Durchlass fuehren und am Ziel in den Ansatz geben.	EXACT_TRANSFER_STRONG	Sechs direkte Surfaces; S zwischen CKH und OR funktioniert als UND/DANN.
f88r.29	PROSE	9	5	unteres Gefaess; Zielgang	ZUGEBEN · ANSATZ · POSTEN · ANSETZEN · FORTSETZEN · SCHLIESSEN · ZIELSTELLE	Den Ansatz zum Posten geben, ansetzen, fortsetzen, schliessen und an die Zielstelle bringen.	EXACT_TRANSFER_STRONG	HO/CH/DY muss als lokale Schlusskarte gelesen werden, nicht als Pflanzenname.
f88r.30	PROSE	7	1	unteres Gefaess; langer Arbeitsgang	POSTEN · ZUGEBEN · VOLLSTAENDIG · AUSZUG · KUEHL · DANACH · FORTSETZEN · ANSATZ	Den Posten vollstaendig zugeben, den kuehlen Auszug danach fortsetzen und in den Ansatz bringen.	ROOT_GRAMMAR_TRANSFERS	Nur ein exaktes Surface, aber fast die ganze Wurzelkette ist alt.
f88r.31	PROSE	6	2	unteres Gefaess; Absatzschluss	QUELLE · ENTNEHMEN · KURZ · FORTSETZEN · ANSETZEN · ANSATZ	Kurz aus der Quelle entnehmen, fortsetzen und in den Ansatz geben.	ROOT_GRAMMAR_TRANSFERS	CHEOM behaelt AM/O-Rest; kein globaler Gegenfeldwert.
