profile_ordinal	surface	final_recipes	gap_event_count	action_gap_event_count	argument_gap_event_count	primary_role_count	primary_roles	exact_initializer_event_count	physical_pages	event_ids	status	guard
21	lchedy	L+CHD+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0566	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
22	lchey	L+Y	1	1	0	1	PRE_ACTION_SCOPE_PROLOGUE	0	f66r	G515-E0547	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
23	okar	OK+AR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0435	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
24	okedy	OK+E+DY	3	0	3	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f31r|f66r	G515-E0217|G515-E0218|G515-E0316	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
25	ol	OL	3	1	3	2	CARRIED_ACTION_OBJECTLESS_CONTROL|CONTINUATION_PROLOGUE	0	f4r|f66r	G515-E0004|G515-E0406|G515-E0461	CONTEXT_ROLE_VARIATION	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
26	opchedy	O+P+CHD+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0302	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
27	otchedy	OT+CHD+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0524	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
28	otedy	OT+E+DY	1	1	1	1	CLOSURE_BOUNDARY	0	f31r	G515-E0240	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
29	oteedy	OT+EE+DY	1	1	1	1	CLOSURE_BOUNDARY	0	f66r	G515-E0503	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
30	pchof	P+CH+O+LOCAL_CHAR_F	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0414	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
31	qokal	OK+AL	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0315	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
32	qokedy	OK+E+DY	2	0	2	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f31r	G515-E0205|G515-E0219	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
33	qokeedy	OK+EE+DY	2	0	2	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f31r|f66r	G515-E0220|G515-E0314	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
34	qokees	OK+EE+S	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0161	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
35	qokshd	OK+SH+D_ADDR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0317	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
36	qotchedy	OT+CHD+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0577	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
37	qotedy	OT+E+DY	1	1	1	1	CLOSURE_BOUNDARY	0	f31r	G515-E0190	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
38	qotey	OT+E+Y	1	1	0	1	ARGUMENT_INITIALIZER	1	f66r	G515-E0336	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
39	r	R	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0381	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
40	s	S	2	0	2	1	ACTION_INITIALIZER	2	f31r	G515-E0162|G515-E0193	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
41	saiis	S+A_ADDR+IIN+S	1	0	1	1	ACTION_INITIALIZER	1	f31r	G515-E0243	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
42	sair	S+AIR	1	0	1	1	ACTION_INITIALIZER	1	f66r	G515-E0460	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
43	shedy	SH+E+DY	5	0	5	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f31r|f66r	G515-E0204|G515-E0436|G515-E0447|G515-E0457|G515-E0458	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
44	sheod	SH+E+O+D_ADDR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0382	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
45	sheol	SH+E+OL	1	0	1	1	ACTION_INITIALIZER	1	f4r	G515-E0003	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
46	shokaiir	SH+OK+IIN+R	1	0	1	1	ACTION_INITIALIZER	1	f66r	G515-E0383	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
47	shol	SH+OL	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0498	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
48	shso	SH+S+O	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0216	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
49	tol	T+OL	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0215	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
50	tshol	T+SH+OL	1	0	1	1	ACTION_INITIALIZER	1	f20v	G515-E0099	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
