argumentless_ordinal	gap_ordinal	event_id	statement_id	card_ordinal_in_statement	statement_event_count	physical_page	register	surface	final_recipe	action_gap	argument_gap	overlap_gap	statement_initial	statement_final	predecessor_event_id	successor_event_id	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	action_consumer_count	immediate_action_consumer_count	argument_consumer_count	immediate_argument_consumer_count	action_consumer_event_ids	argument_consumer_event_ids	actionless_role	argumentless_role	primary_gap_role	primary_gap_role_de	portable_semantic_macro	current_clause_de	immediate_paired_reading_de	retention
13	14	G515-E0204	G515-S015	1	1	f31r	HERBAL	shedy	SH+E+DY	NO	YES	NO	YES	YES	NONE	NONE	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:SH;X:-;C:GRADE:I>CLOSE	Halte; auf Grad I; schließe den Schritt.	Halte; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
14	15	G515-E0205	G515-S016	1	1	f31r	HERBAL	qokedy	OK+E+DY	NO	YES	NO	YES	YES	NONE	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:I>CLOSE	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
15	16	G515-E0206	G515-S017	1	9	f31r	HERBAL	cheol	CH+E+O+L	NO	YES	NO	YES	NO	NONE	G515-E0207	CH	NONE	CH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CH;X:-;C:GRADE:I>EXEC>REL:L	Nimm; über die Verbindung im Pflanzenartikel; auf Grad I und zur Ausführung.	Nimm; über die Verbindung im Pflanzenartikel; auf Grad I und zur Ausführung.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
16	17	G515-E0207	G515-S017	2	9	f31r	HERBAL	cheod	CH+E+O+D_ADDR	NO	YES	NO	NO	NO	G515-E0206	G515-E0208	CH	NONE	CH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CH;X:-;C:GRADE:I>EXEC>ADDR:D	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
17	18	G515-E0215	G515-S018	1	3	f31r	HERBAL	tol	T+OL	NO	YES	NO	YES	NO	NONE	G515-E0216	T	NONE	T	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:T;X:-;C:CONTINUE	Stelle ein; führe fort.	Stelle ein; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
18	19	G515-E0216	G515-S018	2	3	f31r	HERBAL	shso	SH+S+O	NO	YES	NO	NO	NO	G515-E0215	G515-E0217	SH|S	NONE	SH|S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:SH+S;X:-;C:EXEC	Halte und wähle; zur Ausführung.	Halte und wähle; zur Ausführung.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
19	20	G515-E0217	G515-S018	3	3	f31r	HERBAL	okedy	OK+E+DY	NO	YES	NO	NO	YES	G515-E0216	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:I>CLOSE	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
20	21	G515-E0218	G515-S019	1	1	f31r	HERBAL	okedy	OK+E+DY	NO	YES	NO	YES	YES	NONE	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:I>CLOSE	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
21	22	G515-E0219	G515-S020	1	1	f31r	HERBAL	qokedy	OK+E+DY	NO	YES	NO	YES	YES	NONE	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:I>CLOSE	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
22	23	G515-E0220	G515-S021	1	1	f31r	HERBAL	qokeedy	OK+EE+DY	NO	YES	NO	YES	YES	NONE	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:II>CLOSE	Setze im Arbeitsgang an; auf Grad II; schließe den Schritt.	Setze im Arbeitsgang an; auf Grad II; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
23	24	G515-E0221	G515-S022	1	14	f31r	HERBAL	dar	D_ADDR+AR	YES	YES	YES	YES	NO	NONE	G515-E0222	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AR	Vom Ausgangsmaterial; an der bezeichneten Stelle.	Vom Ausgangsmaterial; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
24	25	G515-E0240	G515-S024	1	1	f31r	HERBAL	otedy	OT+E+DY	YES	YES	YES	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CLOSURE_BOUNDARY	NO_ACTION__CLOSURE_BOUNDARY	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	A:-;X:-;C:THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	Danach: auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
25	26	G515-E0242	G515-S026	1	6	f31r	HERBAL	dals	AL+S	NO	YES	NO	YES	NO	NONE	G515-E0243	S	NONE	S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:S;X:-;C:REL:AL	Wähle; zur Zielstelle.	Wähle; zur Zielstelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
26	27	G515-E0243	G515-S026	2	6	f31r	HERBAL	saiis	S+A_ADDR+IIN+S	NO	YES	NO	NO	NO	G515-E0242	G515-E0244	S|S	NONE	S|S	NONE	NONE	NONE	1	1	0	0	G515-E0244	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:S+S;X:-;C:ADDR:A>STAGE	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle. → Im laufenden Satz wähle die Arbeitseinheit.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
27	28	G515-E0302	G515-S029	1	1	f66r	SOURCE_SECTION_T	opchedy	O+P+CHD+DY	NO	YES	NO	YES	YES	NONE	NONE	P|CHD	NONE	P|CHD	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:P+CHD;X:-;C:EXEC>CLOSE	Setze ein und bearbeite; zur Ausführung; schließe den Schritt.	Setze ein und bearbeite; zur Ausführung; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
28	29	G515-E0303	G515-S030	1	3	f66r	SOURCE_SECTION_T	chap	CH+A_ADDR+P	NO	YES	NO	YES	NO	NONE	G515-E0304	CH|P	NONE	CH|P	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CH+P;X:-;C:ADDR:A	Entnimm und setze ein; an der bezeichneten Stelle.	Entnimm und setze ein; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
29	30	G515-E0314	G515-S032	1	1	f66r	SOURCE_SECTION_T	qokeedy	OK+EE+DY	NO	YES	NO	YES	YES	NONE	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:II>CLOSE	Trage ein; auf Grad II; schließe den Schritt.	Trage ein; auf Grad II; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
30	31	G515-E0315	G515-S033	1	2	f66r	SOURCE_SECTION_T	qokal	OK+AL	NO	YES	NO	YES	NO	NONE	G515-E0316	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:OK;X:-;C:REL:AL	Trage ein; zur Zielspalte.	Trage ein; zur Zielspalte.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
31	32	G515-E0316	G515-S033	2	2	f66r	SOURCE_SECTION_T	okedy	OK+E+DY	NO	YES	NO	NO	YES	G515-E0315	NONE	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:OK;X:-;C:GRADE:I>CLOSE	Trage ein; auf Grad I; schließe den Schritt.	Trage ein; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
32	33	G515-E0317	G515-S034	1	2	f66r	SOURCE_SECTION_T	qokshd	OK+SH+D_ADDR	NO	YES	NO	YES	NO	NONE	G515-E0318	OK|SH	NONE	OK|SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:OK+SH;X:-;C:ADDR:D	Trage ein und halte fest; an der bezeichneten Stelle.	Trage ein und halte fest; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
33	34	G515-E0319	G515-S035	1	1	f66r	SOURCE_SECTION_T	chady	CH+A_ADDR+DY	NO	YES	NO	YES	YES	NONE	NONE	CH	NONE	CH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:CH;X:-;C:ADDR:A>CLOSE	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
34	35	G515-E0335	G515-S038	1	11	f66r	SOURCE_SECTION_T	dar	D_ADDR+AR	YES	YES	YES	YES	NO	NONE	G515-E0336	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AR	Von der Ausgangszeile; an der bezeichneten Stelle.	Von der Ausgangszeile; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
35	37	G515-E0380	G515-S043	1	15	f66r	SOURCE_SECTION_T	cheta	CH+E+T+A_ADDR	NO	YES	NO	YES	NO	NONE	G515-E0381	CH|T	NONE	CH|T	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CH+T;X:-;C:GRADE:I>ADDR:A	Entnimm und lege fest; auf Grad I; an der bezeichneten Stelle.	Entnimm und lege fest; auf Grad I; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
36	38	G515-E0381	G515-S043	2	15	f66r	SOURCE_SECTION_T	r	R	NO	YES	NO	NO	NO	G515-E0380	G515-E0382	R	NONE	R	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:R;X:-;C:-	Kennzeichne.	Kennzeichne.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
37	39	G515-E0382	G515-S043	3	15	f66r	SOURCE_SECTION_T	sheod	SH+E+O+D_ADDR	NO	YES	NO	NO	NO	G515-E0381	G515-E0383	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:SH;X:-;C:GRADE:I>EXEC>ADDR:D	Halte fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Halte fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
38	40	G515-E0383	G515-S043	4	15	f66r	SOURCE_SECTION_T	shokaiir	SH+OK+IIN+R	NO	YES	NO	NO	NO	G515-E0382	G515-E0384	SH|OK|R	NONE	SH|OK|R	NONE	NONE	NONE	2	1	0	0	G515-E0384|G515-E0385	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:SH+OK+R;X:-;C:STAGE	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe. → Im laufenden Satz kennzeichne den laufenden Eintrag.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
39	41	G515-E0406	G515-S046	1	8	f66r	SOURCE_SECTION_T	ol	OL	YES	YES	YES	YES	NO	NONE	G515-E0407	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CONTINUATION_PROLOGUE	NO_ACTION__CONTINUATION_PROLOGUE	CONTINUATION_PROLOGUE	setzt eine Fortsetzungsangabe vor der ersten Handlung	A:-;X:-;C:CONTINUE	Führe fort.	Führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
40	42	G515-E0414	G515-S047	1	12	f66r	SOURCE_SECTION_T	pchof	P+CH+O+LOCAL_CHAR_F	NO	YES	NO	YES	NO	NONE	G515-E0415	P|CH	NONE	P|CH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:P+CH;X:-;C:EXEC>LOCAL:F	Setze ein und entnimm; zur Ausführung; an der bezeichneten Stelle.	Setze ein und entnimm; zur Ausführung; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
41	43	G515-E0435	G515-S049	1	2	f66r	SOURCE_SECTION_T	okar	OK+AR	NO	YES	NO	YES	NO	NONE	G515-E0436	OK	NONE	OK	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:OK;X:-;C:REL:AR	Trage ein; von der Ausgangszeile.	Trage ein; von der Ausgangszeile.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
42	44	G515-E0436	G515-S049	2	2	f66r	SOURCE_SECTION_T	shedy	SH+E+DY	NO	YES	NO	NO	YES	G515-E0435	NONE	SH	NONE	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	A:SH;X:-;C:GRADE:I>CLOSE	Halte fest; auf Grad I; schließe den Schritt.	Halte fest; auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
