link_ordinal	state_dimension	source_event_id	source_statement_id	source_card_ordinal	source_surface	source_roots	source_clause_de	consumer_event_id	consumer_card_ordinal	consumer_surface	consumer_clause_de	card_distance	immediate_successor	paired_reading_de	source_pointer_exact	same_statement	guard
11	ACTION_STATE	G515-E0383	G515-S043	4	shokaiir	SH|OK|R	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	G515-E0384	5	chy	Im laufenden Satz kennzeichne den laufenden Eintrag.	1	YES	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe. → Im laufenden Satz kennzeichne den laufenden Eintrag.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
12	ACTION_STATE	G515-E0383	G515-S043	4	shokaiir	SH|OK|R	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	G515-E0385	6	dard	Im laufenden Satz kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; an der bezeichneten Stelle [außen] und an der bezeichneten Stelle [innen].	2	NO	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe. → Im laufenden Satz kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; an der bezeichneten Stelle [außen] und an der bezeichneten Stelle [innen].	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
13	ACTION_STATE	G515-E0460	G515-S056	2	sair	S	Wähle; entlang der Lesebahn.	G515-E0461	3	ol	Im laufenden Satz wähle; führe fort.	1	YES	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle; führe fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
14	ACTION_STATE	G515-E0460	G515-S056	2	sair	S	Wähle; entlang der Lesebahn.	G515-E0462	4	daiin	Im laufenden Satz wähle den Kennwert.	2	NO	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle den Kennwert.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
15	ACTION_STATE	G515-E0460	G515-S056	2	sair	S	Wähle; entlang der Lesebahn.	G515-E0463	5	daiin	Im laufenden Satz wähle den Kennwert.	3	NO	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle den Kennwert.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
16	ACTION_STATE	G515-E0460	G515-S056	2	sair	S	Wähle; entlang der Lesebahn.	G515-E0464	6	dal	Im laufenden Satz wähle den Kennwert [wie zuvor]; zur Zielspalte.	4	NO	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle den Kennwert [wie zuvor]; zur Zielspalte.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
17	ACTION_STATE	G515-E0460	G515-S056	2	sair	S	Wähle; entlang der Lesebahn.	G515-E0465	7	dol	Im laufenden Satz wähle den Kennwert [wie zuvor]; an der bezeichneten Stelle; führe fort.	5	NO	Wähle; entlang der Lesebahn. → Im laufenden Satz wähle den Kennwert [wie zuvor]; an der bezeichneten Stelle; führe fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
18	ARGUMENT_STATE	G515-E0491	G515-S059	1	daly	Y	Bezug: den laufenden Eintrag; zur Zielspalte.	G515-E0492	2	saiir	Wähle den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	1	YES	Bezug: den laufenden Eintrag; zur Zielspalte. → Wähle den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
19	ARGUMENT_STATE	G515-E0491	G515-S059	1	daly	Y	Bezug: den laufenden Eintrag; zur Zielspalte.	G515-E0493	3	cheol	Entnimm den laufenden Eintrag [wie zuvor]; über die Eintragsverbindung; auf Grad I und zur Ausführung.	2	NO	Bezug: den laufenden Eintrag; zur Zielspalte. → Entnimm den laufenden Eintrag [wie zuvor]; über die Eintragsverbindung; auf Grad I und zur Ausführung.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
20	ARGUMENT_STATE	G515-E0491	G515-S059	1	daly	Y	Bezug: den laufenden Eintrag; zur Zielspalte.	G515-E0494	4	kal	Ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	3	NO	Bezug: den laufenden Eintrag; zur Zielspalte. → Ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
21	ARGUMENT_STATE	G515-E0563	G515-S071	2	aiin	AIIN	Bezug: den Kennwert.	G515-E0564	3	sheeol	Halte den Kennwert [wie zuvor] fest; auf Grad II; führe fort.	1	YES	Bezug: den Kennwert. → Halte den Kennwert [wie zuvor] fest; auf Grad II; führe fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
22	ARGUMENT_STATE	G515-E0563	G515-S071	2	aiin	AIIN	Bezug: den Kennwert.	G515-E0565	4	lshedy	Halte den Kennwert [wie zuvor] fest; über die Eintragsverbindung; auf Grad I; schließe den Schritt.	2	NO	Bezug: den Kennwert. → Halte den Kennwert [wie zuvor] fest; über die Eintragsverbindung; auf Grad I; schließe den Schritt.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
