statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	revised_event_count	surface_sequence	card_sequence_de	event_slot_trace	canonical_slots_present	workshop_sentence_de	physical_line_note
H5-S005	H5	f56r	f56r.18	F019	E094|E095|E096|E097	4	0	sho · chokchy · kchoar · sotodan	Pflanze · den laufenden Posten anwenden oder in Arbeit nehmen · Brusttrank · gebrauchen	E094[OWNER_ITEM] | E095[OWNER_ITEM+OPERATION] | E096[OPERATION] | E097[OPERATION]	OWNER_ITEM>OPERATION	Pflanze; den laufenden Posten anwenden oder in Arbeit nehmen; Brusttrank; gebrauchen	LOCAL_SEQUENCE
H5-S006	H5	f56r	f56r.19	F020	E098|E099|E100	3	1	otchey · keol · daiin	den nächsten Posten wählen · je Gabe · vorgeschriebenes Maß	E098[OWNER_ITEM] | E099[OPERATION] | E100[QUANTITY]	OWNER_ITEM>QUANTITY>OPERATION	Den nächsten Posten wählen; je Gabe; vorgeschriebenes Maß	LOCAL_SEQUENCE
B1-S001	B1	f81v	f81v.2	F021	E101	1	0	qokedy	kurz spülen oder benetzen und den Schritt abschließen	E101[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Kurz spülen oder benetzen und den Schritt abschließen	CONTINUES_ACROSS_LINE
B1-S002	B1	f81v	f81v.2|f81v.7	F022|F023	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	19	6	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	auf das vorgeschriebene Maß einstellen · laufende Beckenflüssigkeit · an der Zielstelle einsetzen · aus demselben Vorrat · mit Vorigem weiter · eine Portion · eine weitere Portion zugeben · Zielstelle · mit Vorigem weiter · vor dem Abkühlen · Badezusatz · mit der vorigen Zubereitung · mit Vorigem weiter · mäßige Menge · vorgeschriebenes Maß · an der Zielstelle anhaltend in Kontakt halten · vorgeschriebenes Maß · durch verbundenen Lauf · Arbeitsbewegung abschließen	E102[QUANTITY+OPERATION] | E103[FLOW_TRANSFER] | E104[OPERATION+TARGET] | E105[SOURCE] | E106[OPERATION] | E107[QUANTITY] | E108[QUANTITY+OPERATION] | E109[TARGET] | E110[OPERATION] | E111[OPERATION] | E112[PREPARATION] | E113[PREPARATION] | E114[OPERATION] | E115[QUANTITY] | E116[QUANTITY] | E117[OPERATION+TARGET+STATE_GRADE] | E118[QUANTITY] | E119[OPERATION] | E120[OPERATION+CLOSE]	SOURCE>QUANTITY>PREPARATION>OPERATION>FLOW_TRANSFER>TARGET>STATE_GRADE>CLOSE	Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle anhaltend in Kontakt halten; vorgeschriebenes Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	CONTINUES_ACROSS_LINE
B1-S003	B1	f81v	f81v.7|f81v.17	F024|F025	E121|E122	2	0	qol · sshkchdy	mit Vorigem weiter · unter besonderer Bedingung umsetzen; Schluss	E121[OPERATION] | E122[OPERATION+CLOSE]	OPERATION>CLOSE	Mit Vorigem weiter; unter besonderer Bedingung umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S004	B1	f81v	f81v.17	F026	E123|E124|E125	3	0	chedy · ol · shedy	den laufenden Posten umsetzen oder durcharbeiten · mit Vorigem weiter · kurz oder gewöhnlich ruhen lassen; Schluss	E123[OWNER_ITEM+OPERATION] | E124[OPERATION] | E125[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>STATE_GRADE>CLOSE	Den laufenden Posten umsetzen oder durcharbeiten; mit Vorigem weiter; kurz oder gewöhnlich ruhen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S005	B1	f81v	f81v.17	F027	E126	1	0	qolchedy	weiterführen; Schluss	E126[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Weiterführen; Schluss	CONTINUES_ACROSS_LINE
B1-S006	B1	f81v	f81v.17	F028	E127|E128|E129|E130	4	1	qokain · shckhy · dl · ral	eine Portion zugeben · durch verbundenen Lauf · Badezusatz · abkühlen	E127[QUANTITY+OPERATION] | E128[OPERATION] | E129[PREPARATION] | E130[OPERATION]	QUANTITY>PREPARATION>OPERATION	Eine Portion zugeben; durch verbundenen Lauf; Badezusatz; abkühlen	CONTINUES_ACROSS_LINE
B1-S007	B1	f81v	f81v.18	F029	E131	1	0	qokchdy	Ansatz umsetzen; Schluss	E131[PREPARATION+OPERATION+CLOSE]	PREPARATION>OPERATION>CLOSE	Ansatz umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S008	B1	f81v	f81v.18	F030	E132|E133|E134|E135|E136	5	0	chey · ol · cheky · ol · shedy	der laufende Posten; dies oder es · mit Vorigem weiter · kurz oder mild erwärmen · mit Vorigem weiter · kurz oder gewöhnlich ruhen lassen; Schluss	E132[OWNER_ITEM] | E133[OPERATION] | E134[STATE_GRADE] | E135[OPERATION] | E136[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>STATE_GRADE>CLOSE	Der laufende Posten; dies oder es; mit Vorigem weiter; kurz oder mild erwärmen; mit Vorigem weiter; kurz oder gewöhnlich ruhen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S009	B1	f81v	f81v.18	F031	E137	1	0	qokedy	kurz spülen oder benetzen und den Schritt abschließen	E137[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Kurz spülen oder benetzen und den Schritt abschließen	CONTINUES_ACROSS_LINE
B1-S010	B1	f81v	f81v.18	F032	E138	1	0	qokedy	kurz spülen oder benetzen und den Schritt abschließen	E138[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Kurz spülen oder benetzen und den Schritt abschließen	CONTINUES_ACROSS_LINE
B1-S011	B1	f81v	f81v.18	F033	E139|E140	2	0	chckhy · qoky	durch verbundenen Lauf · den laufenden Posten anwenden oder in Arbeit nehmen	E139[OPERATION] | E140[OWNER_ITEM+OPERATION]	OWNER_ITEM>OPERATION	Durch verbundenen Lauf; den laufenden Posten anwenden oder in Arbeit nehmen	CONTINUES_ACROSS_LINE
B1-S012	B1	f81v	f81v.21	F034	E141|E142|E143	3	0	lsho · qokey · lshedy	Spülung beginnen · den laufenden Posten kurz anlegen oder benetzen · waschen; Ende	E141[OPERATION] | E142[OWNER_ITEM+OPERATION+STATE_GRADE] | E143[FLOW_TRANSFER+CLOSE]	OWNER_ITEM>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Spülung beginnen; den laufenden Posten kurz anlegen oder benetzen; waschen; Ende	CONTINUES_ACROSS_LINE
B1-S013	B1	f81v	f81v.21	F035	E144	1	0	lshedy	waschen; Ende	E144[FLOW_TRANSFER+CLOSE]	FLOW_TRANSFER>CLOSE	Waschen; Ende	CONTINUES_ACROSS_LINE
B1-S014	B1	f81v	f81v.21	F036	E145|E146|E147|E148|E149	5	0	chedy · qolky · lchedal · qol · otar	den laufenden Posten umsetzen oder durcharbeiten · betroffene Stelle · Auslassstelle · mit Vorigem weiter · danach auslassen	E145[OWNER_ITEM+OPERATION] | E146[OPERATION] | E147[OPERATION+FLOW_TRANSFER+TARGET] | E148[OPERATION] | E149[SOURCE]	OWNER_ITEM>SOURCE>OPERATION>FLOW_TRANSFER>TARGET	Den laufenden Posten umsetzen oder durcharbeiten; betroffene Stelle; Auslassstelle; mit Vorigem weiter; danach auslassen	CONTINUES_ACROSS_LINE
B1-S015	B1	f81v	f81v.24	F037	E150|E151	2	0	ytey · okchedy	Gefäß füllen · Ansatz umsetzen; Schluss	E150[OPERATION] | E151[PREPARATION+OPERATION+CLOSE]	PREPARATION>OPERATION>CLOSE	Gefäß füllen; Ansatz umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S016	B1	f81v	f81v.24	F038	E152|E153|E154|E155	4	0	qokal · okeey · qol · cheedy	an der Zielstelle einsetzen · den laufenden Posten anhaltend in Kontakt halten · mit Vorigem weiter · kurz oder gewöhnlich ruhen lassen; Schluss	E152[OPERATION+TARGET] | E153[OWNER_ITEM+OPERATION+STATE_GRADE] | E154[OPERATION] | E155[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>TARGET>STATE_GRADE>CLOSE	An der Zielstelle einsetzen; den laufenden Posten anhaltend in Kontakt halten; mit Vorigem weiter; kurz oder gewöhnlich ruhen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S017	B1	f81v	f81v.24	F039	E156|E157|E158	3	0	sal · teol · dchdy	Zielstelle · erste Öffnung · Umsetzung abschließen	E156[TARGET] | E157[OPERATION] | E158[OPERATION+CLOSE]	OPERATION>TARGET>CLOSE	Zielstelle; erste Öffnung; Umsetzung abschließen	CONTINUES_ACROSS_LINE
B1-S018	B1	f81v	f81v.24|f81v.27	F040|F041	E159|E160|E161|E162	4	1	ly · dsheol · oiiin · olkeedy	Gefäß füllen · Stelle bestreichen · vorgeschriebener Grad · an der Sammelstelle stehen oder absetzen lassen; Schluss	E159[OPERATION] | E160[OPERATION] | E161[QUANTITY+STATE_GRADE] | E162[TARGET+STATE_GRADE+CLOSE]	QUANTITY>OPERATION>TARGET>STATE_GRADE>CLOSE	Gefäß füllen; Stelle bestreichen; vorgeschriebener Grad; an der Sammelstelle stehen oder absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S019	B1	f81v	f81v.27	F042	E163	1	0	tedy	kurz oder gewöhnlich ruhen lassen; Schluss	E163[STATE_GRADE+CLOSE]	STATE_GRADE>CLOSE	Kurz oder gewöhnlich ruhen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S020	B1	f81v	f81v.27	F043	E164|E165	2	0	cheky · shckhedy	kurz oder mild erwärmen · durch Tuch seihen; Ende	E164[STATE_GRADE] | E165[CLOSE]	STATE_GRADE>CLOSE	Kurz oder mild erwärmen; durch Tuch seihen; Ende	CONTINUES_ACROSS_LINE
B1-S021	B1	f81v	f81v.27	F044	E166	1	0	chal	Zielstelle	E166[TARGET]	TARGET	Zielstelle	CONTINUES_ACROSS_LINE
B2-S001	B2	f82r	f82r.2	F045	E167	1	0	dchedy	Arbeitsbewegung abschließen	E167[OPERATION+CLOSE]	OPERATION>CLOSE	Arbeitsbewegung abschließen	CONTINUES_ACROSS_LINE
B2-S002	B2	f82r	f82r.2	F046	E168	1	0	qolchedy	weiterführen; Schluss	E168[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Weiterführen; Schluss	CONTINUES_ACROSS_LINE
B2-S003	B2	f82r	f82r.2	F047	E169|E170|E171	3	1	qokain · dy · qokeedy	eine Portion zugeben · der laufende Posten; dies oder es · eintauchen oder einweichen und den Schritt abschließen	E169[QUANTITY+OPERATION] | E170[OWNER_ITEM] | E171[OPERATION+CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>CLOSE	Eine Portion zugeben; der laufende Posten; dies oder es; eintauchen oder einweichen und den Schritt abschließen	CONTINUES_ACROSS_LINE
B2-S004	B2	f82r	f82r.2|f82r.3	F048|F049	E172|E173|E174|E175|E176	5	0	qokal · lcheckhy · lched · qokeey · lcheckhedy	an der Zielstelle einsetzen · zweite Öffnung · hinausführen · den laufenden Posten anhaltend in Kontakt halten · klar seihen; Ende	E172[OPERATION+TARGET] | E173[OPERATION] | E174[OPERATION+FLOW_TRANSFER] | E175[OWNER_ITEM+OPERATION+STATE_GRADE] | E176[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>FLOW_TRANSFER>TARGET>STATE_GRADE>CLOSE	An der Zielstelle einsetzen; zweite Öffnung; hinausführen; den laufenden Posten anhaltend in Kontakt halten; klar seihen; Ende	CONTINUES_ACROSS_LINE
B2-S005	B2	f82r	f82r.3|f82r.4	F050|F051	E177|E178|E179|E180|E181|E182|E183|E184	8	2	qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy	den laufenden Posten an der Zielstelle einsetzen · durch Tuch · durch verbundenen Lauf · auf das vorgeschriebene Maß einstellen · auf das vorgeschriebene Maß einstellen · gleiche Einstellung · breites Gefäß · abziehen; Ende	E177[OWNER_ITEM+OPERATION+TARGET] | E178[OPERATION] | E179[OPERATION] | E180[QUANTITY+OPERATION] | E181[QUANTITY+OPERATION] | E182[OPERATION] | E183[OPERATION] | E184[CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>TARGET>CLOSE	Den laufenden Posten an der Zielstelle einsetzen; durch Tuch; durch verbundenen Lauf; auf das vorgeschriebene Maß einstellen; auf das vorgeschriebene Maß einstellen; gleiche Einstellung; breites Gefäß; abziehen; Ende	CONTINUES_ACROSS_LINE
B2-S006	B2	f82r	f82r.4	F052	E185|E186|E187|E188	4	0	oteey · qokal · sheckhy · qoky	den laufenden Posten danach anhaltend einwirken lassen · an der Zielstelle einsetzen · über der Stelle · den laufenden Posten anwenden oder in Arbeit nehmen	E185[OWNER_ITEM+STATE_GRADE] | E186[OPERATION+TARGET] | E187[OPERATION] | E188[OWNER_ITEM+OPERATION]	OWNER_ITEM>OPERATION>TARGET>STATE_GRADE	Den laufenden Posten danach anhaltend einwirken lassen; an der Zielstelle einsetzen; über der Stelle; den laufenden Posten anwenden oder in Arbeit nehmen	CONTINUES_ACROSS_LINE
B2-S007	B2	f82r	f82r.7	F053	E189	1	1	dshedy	sauberes Wasser zugeben; Schluss	E189[OPERATION+CLOSE]	OPERATION>CLOSE	Sauberes Wasser zugeben; Schluss	CONTINUES_ACROSS_LINE
B2-S008	B2	f82r	f82r.7	F054	E190|E191|E192	3	1	sotaiin · qokar · shedy	das nächste Maß · daraus in den Arbeitsgang nehmen · kurz oder gewöhnlich ruhen lassen; Schluss	E190[QUANTITY] | E191[SOURCE+OPERATION] | E192[STATE_GRADE+CLOSE]	SOURCE>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Das nächste Maß; daraus in den Arbeitsgang nehmen; kurz oder gewöhnlich ruhen lassen; Schluss	CONTINUES_ACROSS_LINE
B2-S009	B2	f82r	f82r.7	F055	E193	1	0	solshedy	warm halten; Ende	E193[STATE_GRADE+CLOSE]	STATE_GRADE>CLOSE	Warm halten; Ende	CONTINUES_ACROSS_LINE
B2-S010	B2	f82r	f82r.7	F056	E194|E195|E196|E197	4	0	qokeey · qoky · ls · cheey	den laufenden Posten anhaltend in Kontakt halten · den laufenden Posten anwenden oder in Arbeit nehmen · erste Öffnung · klare Flüssigkeit	E194[OWNER_ITEM+OPERATION+STATE_GRADE] | E195[OWNER_ITEM+OPERATION] | E196[OPERATION] | E197[FLOW_TRANSFER]	OWNER_ITEM>OPERATION>FLOW_TRANSFER>STATE_GRADE	Den laufenden Posten anhaltend in Kontakt halten; den laufenden Posten anwenden oder in Arbeit nehmen; erste Öffnung; klare Flüssigkeit	CONTINUES_ACROSS_LINE
B2-S011	B2	f82r	f82r.19	F057	E198|E199|E200|E201	4	2	okain · char · okain · qokeedy	eine Portion zugeben · aus demselben Vorrat · eine Portion zugeben · eintauchen oder einweichen und den Schritt abschließen	E198[QUANTITY+OPERATION] | E199[SOURCE] | E200[QUANTITY+OPERATION] | E201[OPERATION+CLOSE]	SOURCE>QUANTITY>OPERATION>CLOSE	Eine Portion zugeben; aus demselben Vorrat; eine Portion zugeben; eintauchen oder einweichen und den Schritt abschließen	CONTINUES_ACROSS_LINE
B2-S012	B2	f82r	f82r.19|f82r.23	F058|F059	E202|E203|E204|E205|E206|E207|E208|E209	8	1	lchy · cheey · qcthey · qokeey · lcheey · daiin · chey · qokeeedy	den flüssigen Anteil des laufenden Postens abziehen · klare Flüssigkeit · den laufenden Posten bereit halten · den laufenden Posten anhaltend in Kontakt halten · benetzte Körperstelle · vorgeschriebenes Maß · der laufende Posten; dies oder es · vollständig durchtränken und den Schritt abschließen	E202[OWNER_ITEM] | E203[FLOW_TRANSFER] | E204[OWNER_ITEM+STATE_GRADE] | E205[OWNER_ITEM+OPERATION+STATE_GRADE] | E206[TARGET] | E207[QUANTITY] | E208[OWNER_ITEM] | E209[OPERATION+FLOW_TRANSFER+CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>FLOW_TRANSFER>TARGET>STATE_GRADE>CLOSE	Den flüssigen Anteil des laufenden Postens abziehen; klare Flüssigkeit; den laufenden Posten bereit halten; den laufenden Posten anhaltend in Kontakt halten; benetzte Körperstelle; vorgeschriebenes Maß; der laufende Posten; dies oder es; vollständig durchtränken und den Schritt abschließen	CONTINUES_ACROSS_LINE
