decision	joint_tuple_id	surface_family	event_count	event_inventory	pages	records	statement_ids	selected_parse	invariant_quantity_value_de	concrete_default_de	rival_de	full_local_consequence_de	strength
PRODUCTIVE_AIIN	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	E056@H4-S001|E102@B1-S002|E180@B2-S005|E181@B2-S005|E219@B2-S016|E236@B3-S004|E243@B3-S007|E256@B3-S013|E270@B3-S021	f55v|f81v|f82r|f83r	H4|B1|B2|B3	H4-S001|B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021	Q_RENDERER+OK+AIIN_MEASURE	OK=in Arbeit setzen; AIIN=Maß	nach Maß einsetzen oder bemessen	allgemein etwas geben	Acht Quellaufrufe in acht Aussagen; E180/E181 zweimal sichtbar und einmal gelesen	SELECTED_STRONG
PRODUCTIVE_AIN	1645e612504fcef59ced	okain|qokain	7	E127@B1-S006|E169@B2-S003|E198@B2-S011|E200@B2-S011|E288@B3-S026|E341@B4-S011|E352@B4-S015	f81v|f82r|f83r	B1|B2|B3|B4	B1-S006|B2-S003|B2-S011|B3-S026|B4-S011|B4-S015	Q_RENDERER+OK+AIN_PART_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion einsetzen oder zugeben	nach Maß einsetzen wie OKAIIN	Sieben Ereignisse handhaben eine konkrete Portion, nicht die Maßvorschrift	SELECTED_STRONG
PRODUCTIVE_AIN	94df4847b7b16c98394a	olkain|qolkain	2	E108@B1-S002|E358@B4-S016	f81v|f83r	B1|B4	B1-S002|B4-S016	Q_RENDERER+OL+KAIN[AIN_PART_PORTION]	OL=weiter; AIN=Portion	mit einer weiteren Portion fortfahren	Öl oder bloße Fortsetzung ohne Mengenobjekt	Beide Aussagen setzen den Vorgang mit einer weiteren Portion fort	SELECTED_RECURRENT
PARTIAL_AIN	6afeb5c9ab9f6cbdea0d	orain	1	E073@H4-S004	f55v	H4	H4-S004	OR_PREPARATION+AIN_PART_PORTION	OR=Zubereitung; AIN=Portion	eine Portion der Zubereitung auflegen	warm auflegen als unzerlegte Karte	H4-S004 hat bereits den Wärmeschritt; ORAIN liefert die aufzulegende Portion	SELECTED_COMPOSITIONAL
PRODUCTIVE_AIIN	54d0e228ca346110af05	otaiin|sotaiin	3	E190@B2-S008|E306@B3-S032|E312@B3-S034	f82r|f83r	B2|B3	B2-S008|B3-S032|B3-S034	S_RENDERER+OT+AIIN_MEASURE	OT=voriges oder danach; AIIN=Maß	voriges Maß wiederholen	feste Dauer oder neue Portion	Drei Aussagen wiederholen dieselbe Vorschrift; in B2-S008 ist die lokale Dimension Dauer	SELECTED_RECURRENT
OPAQUE_RETAINED	1779decef17481ec2853	qotedaiin	1	E305@B3-S032	f83r	B3	B3-S032	OPAQUE_EXACT_CARD	kein produktiver AIIN-Wert lizenziert	breites Gefäß	QOTED+AIIN; ohne selbständige QOTED-Gefäßkarte erklärt AIIN die Breite nicht	B3-S032 behält den konkreten Gefäßwert	RETAIN_EXACT_IDENTITY
PARTIAL_AIIN	a8af08e69edab8e54f15	shfydaiin	1	E042@H3-S001	f11r	H3	H3-S001	SHFY_STAND+AIIN_MEASURE	AIIN=Maß; lokale Dimension Dauer	für das Maß stehen lassen	unbestimmt stehen lassen	H3-S001 liest das Stehenlassen über die vorgeschriebene Dauer	SELECTED_PARTIAL
OPAQUE_RETAINED	2d2e37ccb2dacc53ee5a	solkaiin	1	E178@B2-S005	f82r	B2	B2-S005	OPAQUE_EXACT_CARD	kein produktiver AIIN-Wert lizenziert	durch Tuch	SOLK-Sammelstelle plus Maß über die Ortsgrenze ausdehnen	B2-S005 behält den gelernten Filterwert	RETAIN_EXACT_IDENTITY
PARTIAL_AIIN	f7dc90b2c31fd341f0a4	ykaiin	1	E064@H4-S003	f55v	H4	H4-S003	Y_REFERENT+K_RENDERER+AIIN_MEASURE	Y=laufender Posten; AIIN=Maß	Maß des laufenden Postens	Wunde waschen als satzgroße Kartenbedeutung	H4-S003 beginnt mit der Maßvorschrift für den laufenden Posten	SELECTED_MINIMAL_PAIR
PARTIAL_AIN	403c1592f918c8f23b88	ykain	1	E058@H4-S001	f55v	H4	H4-S001	Y_REFERENT+KAIN[AIN_PART_PORTION]	Y=laufender Posten; AIN=Portion	eine Portion des laufenden Postens	Blätter zerstoßen als satzgroße Kartenbedeutung	H4-S001 nennt eine Portion des bereits laufenden Postens	SELECTED_MINIMAL_PAIR
PARTIAL_AIN	d929a14ec45749b2e805	ykan	1	E059@H4-S001	f55v	H4	H4-S001	Y_REFERENT+K_HULL+AIN_PART_PORTION	Y=dies; AIN=Teil oder Portion	diese Portion	Weißwein zugeben als satzgroße Kartenbedeutung	H4-S001 verweist nach YKAIN nochmals auf diese Portion	SELECTED_NEAR_MINIMAL_PAIR
