case_id	edition	page	physical_leaf	model	direction	source_names	plants_without_known_mask	plants_without_upper_component	status	joint_lexicon_assessed	independent_confirmation_leaves
ZL3b|f103r|f103r.13-f103r.15|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Perwinkle | Succory	Mugwort	CONTRADICTED	False	0
ZL3b|f106r|f106r.1-f106r.3|MATERIAL|ORIGINAL	ZL3b	f106r	106	MATERIAL	ORIGINAL	34	Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106r|f106r.1-f106r.3|MATERIAL|REVERSED	ZL3b	f106r	106	MATERIAL	REVERSED	34	Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106r|f106r.1-f106r.3|PLANT_IDENTITY|ORIGINAL	ZL3b	f106r	106	PLANT_IDENTITY	ORIGINAL	32	Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106r|f106r.1-f106r.3|PLANT_IDENTITY|REVERSED	ZL3b	f106r	106	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106v|f106v.1-f106v.4|MATERIAL|ORIGINAL	ZL3b	f106v	106	MATERIAL	ORIGINAL	34	Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106v|f106v.1-f106v.4|MATERIAL|REVERSED	ZL3b	f106v	106	MATERIAL	REVERSED	34	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106v|f106v.1-f106v.4|PLANT_IDENTITY|ORIGINAL	ZL3b	f106v	106	PLANT_IDENTITY	ORIGINAL	32	Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f106v|f106v.1-f106v.4|PLANT_IDENTITY|REVERSED	ZL3b	f106v	106	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f107v|f107v.1-f107v.4|MATERIAL|ORIGINAL	ZL3b	f107v	107	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f107v|f107v.1-f107v.4|MATERIAL|REVERSED	ZL3b	f107v	107	MATERIAL	REVERSED	34	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f107v|f107v.1-f107v.4|PLANT_IDENTITY|ORIGINAL	ZL3b	f107v	107	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f107v|f107v.1-f107v.4|PLANT_IDENTITY|REVERSED	ZL3b	f107v	107	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Perwinkle		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.1-f113r.3|MATERIAL|ORIGINAL	ZL3b	f113r	113	MATERIAL	ORIGINAL	34	Mandrake | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.1-f113r.3|MATERIAL|REVERSED	ZL3b	f113r	113	MATERIAL	REVERSED	34	Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.1-f113r.3|PLANT_IDENTITY|ORIGINAL	ZL3b	f113r	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.1-f113r.3|PLANT_IDENTITY|REVERSED	ZL3b	f113r	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.4-f113r.7|MATERIAL|ORIGINAL	ZL3b	f113r	113	MATERIAL	ORIGINAL	34	Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.4-f113r.7|MATERIAL|REVERSED	ZL3b	f113r	113	MATERIAL	REVERSED	34	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.4-f113r.7|PLANT_IDENTITY|ORIGINAL	ZL3b	f113r	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113r|f113r.4-f113r.7|PLANT_IDENTITY|REVERSED	ZL3b	f113r	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113v|f113v.1-f113v.3|MATERIAL|ORIGINAL	ZL3b	f113v	113	MATERIAL	ORIGINAL	34	Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113v|f113v.1-f113v.3|MATERIAL|REVERSED	ZL3b	f113v	113	MATERIAL	REVERSED	34	Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113v|f113v.1-f113v.3|PLANT_IDENTITY|ORIGINAL	ZL3b	f113v	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f113v|f113v.1-f113v.3|PLANT_IDENTITY|REVERSED	ZL3b	f113v	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
IT2a|f103r|f103r.1-f103r.4|MATERIAL|ORIGINAL	IT2a	f103r	103	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Succory | Trifoile	Mandrake | Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.1-f103r.4|MATERIAL|REVERSED	IT2a	f103r	103	MATERIAL	REVERSED	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f103r|f103r.1-f103r.4|PLANT_IDENTITY|ORIGINAL	IT2a	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.1-f103r.4|PLANT_IDENTITY|REVERSED	IT2a	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f103r|f103r.5-f103r.7|MATERIAL|ORIGINAL	IT2a	f103r	103	MATERIAL	ORIGINAL	34	Mugwort | Trifoile	Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.5-f103r.7|MATERIAL|REVERSED	IT2a	f103r	103	MATERIAL	REVERSED	34	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.5-f103r.7|PLANT_IDENTITY|ORIGINAL	IT2a	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Trifoile	Mandrake | Mugwort | Perwinkle | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.5-f103r.7|PLANT_IDENTITY|REVERSED	IT2a	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f103r|f103r.8-f103r.12|MATERIAL|ORIGINAL	IT2a	f103r	103	MATERIAL	ORIGINAL	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f103r|f103r.8-f103r.12|MATERIAL|REVERSED	IT2a	f103r	103	MATERIAL	REVERSED	34	Mugwort | Succory	Mugwort | Succory	CONTRADICTED	False	0
IT2a|f103r|f103r.8-f103r.12|PLANT_IDENTITY|ORIGINAL	IT2a	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle	Mandrake | Mugwort | Perwinkle	CONTRADICTED	False	0
IT2a|f103r|f103r.8-f103r.12|PLANT_IDENTITY|REVERSED	IT2a	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f103r|f103r.13-f103r.15|MATERIAL|ORIGINAL	IT2a	f103r	103	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f103r|f103r.13-f103r.15|MATERIAL|REVERSED	IT2a	f103r	103	MATERIAL	REVERSED	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f103r|f103r.13-f103r.15|PLANT_IDENTITY|ORIGINAL	IT2a	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory	Mandrake | Mugwort | Perwinkle | Succory	CONTRADICTED	False	0
IT2a|f103r|f103r.13-f103r.15|PLANT_IDENTITY|REVERSED	IT2a	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Perwinkle	Mandrake | Mugwort | Perwinkle	CONTRADICTED	False	0
IT2a|f106v|f106v.1-f106v.4|MATERIAL|ORIGINAL	IT2a	f106v	106	MATERIAL	ORIGINAL	34	Mugwort | Succory | Trifoile	Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f106v|f106v.1-f106v.4|MATERIAL|REVERSED	IT2a	f106v	106	MATERIAL	REVERSED	34	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f106v|f106v.1-f106v.4|PLANT_IDENTITY|ORIGINAL	IT2a	f106v	106	PLANT_IDENTITY	ORIGINAL	32	Mugwort | Succory | Trifoile	Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f106v|f106v.1-f106v.4|PLANT_IDENTITY|REVERSED	IT2a	f106v	106	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f107r|f107r.1-f107r.3|MATERIAL|ORIGINAL	IT2a	f107r	107	MATERIAL	ORIGINAL	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f107r|f107r.1-f107r.3|MATERIAL|REVERSED	IT2a	f107r	107	MATERIAL	REVERSED	34	Mugwort | Succory | Trifoile	Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f107r|f107r.1-f107r.3|PLANT_IDENTITY|ORIGINAL	IT2a	f107r	107	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort	Mandrake | Mugwort	CONTRADICTED	False	0
IT2a|f107r|f107r.1-f107r.3|PLANT_IDENTITY|REVERSED	IT2a	f107r	107	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f107v|f107v.1-f107v.4|MATERIAL|ORIGINAL	IT2a	f107v	107	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f107v|f107v.1-f107v.4|MATERIAL|REVERSED	IT2a	f107v	107	MATERIAL	REVERSED	34	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f107v|f107v.1-f107v.4|PLANT_IDENTITY|ORIGINAL	IT2a	f107v	107	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f107v|f107v.1-f107v.4|PLANT_IDENTITY|REVERSED	IT2a	f107v	107	PLANT_IDENTITY	REVERSED	32	Mugwort | Perwinkle | Succory	Mugwort | Perwinkle | Succory	CONTRADICTED	False	0
IT2a|f108r|f108r.1-f108r.4|MATERIAL|ORIGINAL	IT2a	f108r	108	MATERIAL	ORIGINAL	34	Mugwort | Trifoile	Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.1-f108r.4|MATERIAL|REVERSED	IT2a	f108r	108	MATERIAL	REVERSED	34	Mugwort | Trifoile	Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.1-f108r.4|PLANT_IDENTITY|ORIGINAL	IT2a	f108r	108	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.1-f108r.4|PLANT_IDENTITY|REVERSED	IT2a	f108r	108	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Trifoile	Mandrake | Mugwort | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.5-f108r.7|MATERIAL|ORIGINAL	IT2a	f108r	108	MATERIAL	ORIGINAL	34	Mugwort | Succory | Trifoile	Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.5-f108r.7|MATERIAL|REVERSED	IT2a	f108r	108	MATERIAL	REVERSED	34	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f108r|f108r.5-f108r.7|PLANT_IDENTITY|ORIGINAL	IT2a	f108r	108	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f108r|f108r.5-f108r.7|PLANT_IDENTITY|REVERSED	IT2a	f108r	108	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f113r|f113r.1-f113r.3|MATERIAL|ORIGINAL	IT2a	f113r	113	MATERIAL	ORIGINAL	34	Mugwort | Succory	Mugwort | Succory	CONTRADICTED	False	0
IT2a|f113r|f113r.1-f113r.3|MATERIAL|REVERSED	IT2a	f113r	113	MATERIAL	REVERSED	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f113r|f113r.1-f113r.3|PLANT_IDENTITY|ORIGINAL	IT2a	f113r	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f113r|f113r.1-f113r.3|PLANT_IDENTITY|REVERSED	IT2a	f113r	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort	Mandrake | Mugwort	CONTRADICTED	False	0
IT2a|f113r|f113r.4-f113r.7|MATERIAL|ORIGINAL	IT2a	f113r	113	MATERIAL	ORIGINAL	34	Mugwort | Succory | Trifoile	Mugwort | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f113r|f113r.4-f113r.7|MATERIAL|REVERSED	IT2a	f113r	113	MATERIAL	REVERSED	34	Mandrake | Mugwort	Mandrake | Mugwort	CONTRADICTED	False	0
IT2a|f113r|f113r.4-f113r.7|PLANT_IDENTITY|ORIGINAL	IT2a	f113r	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	CONTRADICTED	False	0
IT2a|f113r|f113r.4-f113r.7|PLANT_IDENTITY|REVERSED	IT2a	f113r	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort	Mandrake | Mugwort	CONTRADICTED	False	0
IT2a|f113v|f113v.1-f113v.3|MATERIAL|ORIGINAL	IT2a	f113v	113	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Succory	Mandrake | Mugwort | Succory	CONTRADICTED	False	0
IT2a|f113v|f113v.1-f113v.3|MATERIAL|REVERSED	IT2a	f113v	113	MATERIAL	REVERSED	34	Mugwort	Mugwort	CONTRADICTED	False	0
IT2a|f113v|f113v.1-f113v.3|PLANT_IDENTITY|ORIGINAL	IT2a	f113v	113	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory	Mandrake | Mugwort | Perwinkle | Succory	CONTRADICTED	False	0
IT2a|f113v|f113v.1-f113v.3|PLANT_IDENTITY|REVERSED	IT2a	f113v	113	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort	Mandrake | Mugwort	CONTRADICTED	False	0
