exact_card_id	surfaces	component_recipe	events	old_reading_de	new_reading_de
PROC133	chedchy	CHD+Y	1	UMSETZEN · DIES	UMSETZEN · POSTEN
PROC044	ykaiin	Y+K+AIIN	1	DIES · ZUGEBEN · SOLLMASS	POSTEN · ZUGEBEN · SOLLMASS
PROC046	cheeky	CHK+EE+Y	2	WAERMEN · LANG · DIES	WAERMEN · LANG · POSTEN
PROC107	chkeey	CHK+EE+Y	1	WAERMEN · LANG · DIES	WAERMEN · LANG · POSTEN
PROC049	oltchy	OL+T+Y	1	WEITER · BEARBEITEN · DIES	WEITER · BEARBEITEN · POSTEN
PROC053	chodaly	HO+AL+Y	1	ZUTAT · ZIELSTELLE · DIES	ZUTAT · ZIELSTELLE · POSTEN
PROC056	choy	HO+Y	1	ZUTAT · DIES	ZUTAT · POSTEN
PROC059	kchey	K+E+Y	1	ZUGEBEN · KURZ · DIES	ZUGEBEN · KURZ · POSTEN
PROC060	qokokchy	OK+OK+Y	1	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · POSTEN
PROC075	chckhy|shckhy	CKH+Y	4	DURCHLASS · DIES	DURCHLASS · POSTEN
PROC083	cheky	CHK+E+Y	3	WAERMEN · KURZ · DIES	WAERMEN · KURZ · POSTEN
PROC085	okey|qokey	OK+E+Y	2	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · POSTEN
PROC087	qolky	SOLK+Y	1	SAMMELN · DIES	SAMMELN · POSTEN
PROC090	ytey	T+E+Y	1	BEARBEITEN · KURZ · DIES	BEARBEITEN · KURZ · POSTEN
PROC092	okeey|qokeey	OK+EE+Y	7	ANSETZEN · LANG · DIES	ANSETZEN · LANG · POSTEN
PROC095	ly	L+Y	1	LEITEN · DIES	LEITEN · POSTEN
PROC101	lcheckhy	L+CKH+Y	1	LEITEN · DURCHLASS · DIES	LEITEN · DURCHLASS · POSTEN
PROC104	qokaly	OK+AL+Y	1	ANSETZEN · ZIELSTELLE · DIES	ANSETZEN · ZIELSTELLE · POSTEN
PROC109	oteey	OT+EE+Y	2	DANACH · LANG · DIES	DANACH · LANG · POSTEN
PROC110	sheckhy	SH+E+CKH+Y	1	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · POSTEN
PROC116	lchy	L+CH+Y	1	LEITEN · ENTNEHMEN · DIES	LEITEN · ENTNEHMEN · POSTEN
PROC117	qcthey|shcthey	CTH+E+Y	2	BEREITEN · KURZ · DIES	BEREITEN · KURZ · POSTEN
PROC118	lcheey	L+EE+Y	1	LEITEN · LANG · DIES	LEITEN · LANG · POSTEN
PROC122	tshey	SH+E+Y	1	HALTEN · KURZ · DIES	HALTEN · KURZ · POSTEN
PROC136	shecthedchy	SH+E+CTH+CHD+Y	1	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	HALTEN · KURZ · BEREITEN · UMSETZEN · POSTEN
PROC137	chary	AR+Y	1	QUELLE · DIES	QUELLE · POSTEN
PROC143	shecthy	SH+E+CTH+Y	1	HALTEN · KURZ · BEREITEN · DIES	HALTEN · KURZ · BEREITEN · POSTEN
PROC149	cheeety	EEE+T+Y	1	VOLL · BEARBEITEN · DIES	VOLL · BEARBEITEN · POSTEN
PROC153	olsaly	OL+AL+Y	1	WEITER · ZIELSTELLE · DIES	WEITER · ZIELSTELLE · POSTEN
PROC154	qolchey	OL+Y	1	WEITER · DIES	WEITER · POSTEN
PROC155	qokylddy	OK+Y+LD+DY	1	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS
PROC161	qockhey	O+CKH+E+Y	1	VORGANG · DURCHLASS · KURZ · DIES	VORGANG · DURCHLASS · KURZ · POSTEN
PROC162	dairydy	AIR+Y+DY	1	WASSER · DIES · SCHLUSS	WASSER · POSTEN · SCHLUSS
PROC164	solkey	SOLK+E+Y	1	SAMMELN · KURZ · DIES	SAMMELN · KURZ · POSTEN
PROC170	solkeey	SOLK+EE+Y	1	SAMMELN · LANG · DIES	SAMMELN · LANG · POSTEN
PROC171	qekey	E+K+E+Y	1	KURZ · ZUGEBEN · KURZ · DIES	KURZ · ZUGEBEN · KURZ · POSTEN
PROC172	raly	R+AL+Y	1	KUEHLEN · ZIELSTELLE · DIES	KUEHLEN · ZIELSTELLE · POSTEN
