system	query	grammar_status	world_status
P0-3	okaiin=WITHOUT_AGENT	unsat	unsat
P0-3	okaiin=WITHOUT_HARM	unsat	unsat
P0-3	okaiin=WITH_TRIP	unsat	unsat
P0-3	okaiin=WOULD_BE	unsat	unsat
P2-4	EXISTS	sat	sat
P2-4	dcheor=ALL	unsat	unsat
P2-4	dcheor=ALONE	sat	unsat
P2-4	dcheor=ATTENDED_BY	unsat	unsat
P2-4	dcheor=AT_MOST_ONE	unsat	unsat
P2-4	dcheor=B	unsat	unsat
P2-4	dcheor=BESIDES	unsat	unsat
P2-4	dcheor=C	sat	sat
P2-4	dcheor=CARGOS	unsat	unsat
P2-4	dcheor=COLOC	unsat	unsat
P2-4	dcheor=CONVEY_OUT	unsat	unsat
P2-4	dcheor=EXAMPLE	unsat	unsat
P2-4	dcheor=FAR_BANK	unsat	unsat
P2-4	dcheor=FERRY	unsat	unsat
P2-4	dcheor=FINALLY	unsat	unsat
P2-4	dcheor=FIRST_CARGO	sat	sat
P2-4	dcheor=FORBIDDEN	unsat	unsat
P2-4	dcheor=G	sat	sat
P2-4	dcheor=GOAL	unsat	unsat
P2-4	dcheor=HARM	unsat	unsat
P2-4	dcheor=HOME	unsat	unsat
P2-4	dcheor=INIT	unsat	unsat
P2-4	dcheor=JOINING_RESULT	unsat	unsat
P2-4	dcheor=LEAVE	unsat	unsat
P2-4	dcheor=LIKEWISE	unsat	unsat
P2-4	dcheor=M	sat	sat
P2-4	dcheor=NEXT	unsat	unsat
P2-4	dcheor=OTHER_CARGO	sat	sat
P2-4	dcheor=OUTWARD	unsat	unsat
P2-4	dcheor=PAIRED_WITH	unsat	unsat
P2-4	dcheor=PAIRS	unsat	unsat
P2-4	dcheor=REST_CARGO	unsat	unsat
P2-4	dcheor=RETURN	unsat	unsat
P2-4	dcheor=RETURN_EXCLUDING	unsat	unsat
P2-4	dcheor=TAKE_OUT	unsat	unsat
P2-4	dcheor=THEN	sat	sat
P2-4	dcheor=THERE	sat	unsat
P2-4	dcheor=THUS	unsat	unsat
P2-4	dcheor=TRAVEL_TOGETHER	unsat	unsat
P2-4	dcheor=UNATTENDED	unsat	unsat
P2-4	dcheor=UNHARMED	unsat	unsat
P2-4	dcheor=UNSAFE	unsat	unsat
P2-4	dcheor=W	sat	sat
P2-4	dcheor=WHEN	unsat	unsat
P2-4	dcheor=WITHOUT_AGENT	unsat	unsat
P2-4	dcheor=WITHOUT_HARM	unsat	unsat
P2-4	dcheor=WITH_TRIP	unsat	unsat
P2-4	dcheor=WOULD_BE	unsat	unsat
P2-4	s=ALL	unsat	unsat
P2-4	s=ALONE	unsat	unsat
P2-4	s=ATTENDED_BY	unsat	unsat
P2-4	s=AT_MOST_ONE	unsat	unsat
P2-4	s=B	unsat	unsat
P2-4	s=BESIDES	unsat	unsat
P2-4	s=C	sat	sat
P2-4	s=CARGOS	unsat	unsat
P2-4	s=COLOC	unsat	unsat
P2-4	s=CONVEY_OUT	unsat	unsat
P2-4	s=EXAMPLE	unsat	unsat
P2-4	s=FAR_BANK	unsat	unsat
P2-4	s=FERRY	unsat	unsat
P2-4	s=FINALLY	unsat	unsat
P2-4	s=FIRST_CARGO	unsat	unsat
P2-4	s=FORBIDDEN	unsat	unsat
P2-4	s=G	sat	sat
P2-4	s=GOAL	unsat	unsat
P2-4	s=HARM	unsat	unsat
P2-4	s=HOME	unsat	unsat
P2-4	s=INIT	unsat	unsat
P2-4	s=JOINING_RESULT	unsat	unsat
P2-4	s=LEAVE	unsat	unsat
P2-4	s=LIKEWISE	unsat	unsat
P2-4	s=M	unsat	unsat
P2-4	s=NEXT	unsat	unsat
P2-4	s=OTHER_CARGO	unsat	unsat
P2-4	s=OUTWARD	unsat	unsat
P2-4	s=PAIRED_WITH	unsat	unsat
P2-4	s=PAIRS	unsat	unsat
P2-4	s=REST_CARGO	unsat	unsat
P2-4	s=RETURN	unsat	unsat
P2-4	s=RETURN_EXCLUDING	unsat	unsat
P2-4	s=TAKE_OUT	unsat	unsat
P2-4	s=THEN	sat	sat
P2-4	s=THERE	unsat	unsat
P2-4	s=THUS	unsat	unsat
P2-4	s=TRAVEL_TOGETHER	unsat	unsat
P2-4	s=UNATTENDED	unsat	unsat
P2-4	s=UNHARMED	unsat	unsat
P2-4	s=UNSAFE	unsat	unsat
P2-4	s=W	sat	sat
P2-4	s=WHEN	unsat	unsat
P2-4	s=WITHOUT_AGENT	unsat	unsat
P2-4	s=WITHOUT_HARM	unsat	unsat
P2-4	s=WITH_TRIP	unsat	unsat
P2-4	s=WOULD_BE	unsat	unsat
P2-4	shodol=ALL	unsat	unsat
P2-4	shodol=ALONE	unsat	unsat
P2-4	shodol=ATTENDED_BY	unsat	unsat
P2-4	shodol=AT_MOST_ONE	unsat	unsat
P2-4	shodol=B	unsat	unsat
P2-4	shodol=BESIDES	unsat	unsat
P2-4	shodol=C	unsat	unsat
P2-4	shodol=CARGOS	unsat	unsat
P2-4	shodol=COLOC	unsat	unsat
P2-4	shodol=CONVEY_OUT	unsat	unsat
P2-4	shodol=EXAMPLE	unsat	unsat
P2-4	shodol=FAR_BANK	unsat	unsat
P2-4	shodol=FERRY	unsat	unsat
P2-4	shodol=FINALLY	unsat	unsat
P2-4	shodol=FIRST_CARGO	unsat	unsat
P2-4	shodol=FORBIDDEN	unsat	unsat
P2-4	shodol=G	unsat	unsat
P2-4	shodol=GOAL	unsat	unsat
P2-4	shodol=HARM	unsat	unsat
P2-4	shodol=HOME	unsat	unsat
P2-4	shodol=INIT	unsat	unsat
P2-4	shodol=JOINING_RESULT	unsat	unsat
P2-4	shodol=LEAVE	unsat	unsat
P2-4	shodol=LIKEWISE	unsat	unsat
P2-4	shodol=M	sat	sat
P2-4	shodol=NEXT	unsat	unsat
P2-4	shodol=OTHER_CARGO	unsat	unsat
P2-4	shodol=OUTWARD	unsat	unsat
P2-4	shodol=PAIRED_WITH	unsat	unsat
P2-4	shodol=PAIRS	unsat	unsat
P2-4	shodol=REST_CARGO	unsat	unsat
P2-4	shodol=RETURN	unsat	unsat
P2-4	shodol=RETURN_EXCLUDING	unsat	unsat
P2-4	shodol=TAKE_OUT	unsat	unsat
P2-4	shodol=THEN	unsat	unsat
P2-4	shodol=THERE	unsat	unsat
P2-4	shodol=THUS	unsat	unsat
P2-4	shodol=TRAVEL_TOGETHER	unsat	unsat
P2-4	shodol=UNATTENDED	unsat	unsat
P2-4	shodol=UNHARMED	unsat	unsat
P2-4	shodol=UNSAFE	unsat	unsat
P2-4	shodol=W	unsat	unsat
P2-4	shodol=WHEN	unsat	unsat
P2-4	shodol=WITHOUT_AGENT	unsat	unsat
P2-4	shodol=WITHOUT_HARM	unsat	unsat
P2-4	shodol=WITH_TRIP	unsat	unsat
P2-4	shodol=WOULD_BE	unsat	unsat
