field_id	record_unit_id	loci	statement_ids	events	event_ids	owner_zones	card_sequence_de
F098	B3	f83r.16	B3-S026	6	E285|E286|E287|E288|E289|E290	B3_ZONE_B_MIDDLE_STATION	Quellstation > Absetzmaß > dies umsetzen > eine Portion zugeben > bereit > Auffangpunkt
F099	B3	f83r.20	B3-S026	1	E291	B3_ZONE_C_LOWER_STATION	länger auffangen; Schluss
F100	B3	f83r.20	B3-S027	1	E292	B3_ZONE_C_LOWER_STATION	nächsten Schritt länger halten; Schluss
F101	B3	f83r.20	B3-S028	2	E293|E294	B3_ZONE_C_LOWER_STATION	länger ansetzen > kurz ansetzen; Schluss
F102	B3	f83r.20	B3-S029	3	E295|E296|E297	B3_ZONE_C_LOWER_STATION	fortsetzen > voll spülen > kurz ansetzen; Schluss
F103	B3	f83r.20	B3-S030	2	E298|E299	B3_ZONE_C_LOWER_STATION	verwende dies > Mass
F104	B3	f83r.22	B3-S030	2	E300|E301	B3_ZONE_C_LOWER_STATION	Laufflüssigkeit weiterführen > Folgeüberführung; Schluss
F105	B3	f83r.22	B3-S031	1	E302	B3_ZONE_C_LOWER_STATION	länger ansetzen; Schluss
F106	B3	f83r.22	B3-S032	5	E303|E304|E305|E306|E307	B3_ZONE_C_LOWER_STATION	eine Portion überführen > dies umsetzen > kurzes Folgemaß > nächstes Maß > kurzer Folgeschritt; Schluss
F107	B3	f83r.22	B3-S033	1	E308	B3_ZONE_C_LOWER_STATION	abführen; Schluss
F108	B3	f83r.24	B3-S034	6	E309|E310|E311|E312|E313|E314	B3_ZONE_C_LOWER_STATION	Sollstand > bereit > zerkleinern > nächstes Maß > dies an der Stelle fortsetzen > kurz absetzen; Schluss
F109	B4	f83r.25	B4-S001	1	E315	B4_ZONE_A_LEFT_AND_UPPER_FLOW	länger ansetzen; Schluss
F110	B4	f83r.25	B4-S002	3	E316|E317|E318	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies weiterführen > länger ansetzen > kurz ansetzen; Schluss
F111	B4	f83r.25	B4-S003	2	E319|E320	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies umsetzen > Folgestelle
F112	B4	f83r.26	B4-S003	5	E321|E322|E323|E324|E325	B4_ZONE_A_LEFT_AND_UPPER_FLOW	nächster Posten > länger ansetzen > verwende dies > fortsetzen > kurz absetzen; Schluss
F113	B4	f83r.26	B4-S004	1	E326	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies befestigen; Schluss
F114	B4	f83r.27	B4-S005	3	E327|E328|E329	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Tuch > dies umsetzen > länger ansetzen; Schluss
F115	B4	f83r.27	B4-S006	1	E330	B4_ZONE_A_LEFT_AND_UPPER_FLOW	seihen; Schluss
F116	B4	f83r.27	B4-S007	1	E331	B4_ZONE_A_LEFT_AND_UPPER_FLOW	seihen; Schluss
F117	B4	f83r.28	B4-S008	4	E332|E333|E334|E335	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Mass > dies länger wärmen > dies länger halten > kurz ansetzen; Schluss
F118	B4	f83r.28	B4-S009	1	E336	B4_ZONE_A_LEFT_AND_UPPER_FLOW	kurz absetzen; Schluss
F119	B4	f83r.28	B4-S010	1	E337	B4_ZONE_A_LEFT_AND_UPPER_FLOW	fortsetzen; Schluss
F120	B4	f83r.35	B4-S011	5	E338|E339|E340|E341|E342	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Mass > kurz wärmen > länger fortsetzen > eine Portion zugeben > dies umsetzen
F121	B4	f83r.37	B4-S011	2	E343|E344	B4_ZONE_A_LEFT_AND_UPPER_FLOW	fortsetzen > kurz abführen; Schluss
F122	B4	f83r.37	B4-S012	1	E345	B4_ZONE_A_LEFT_AND_UPPER_FLOW	hinausführen; Schluss
F123	B4	f83r.37	B4-S013	2	E346|E347	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Fortsetzung einsetzen > kurz absetzen; Schluss
F124	B4	f83r.38	B4-S014	4	E348|E349|E350|E351	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Ansatz > dies > dies kurz durchführen > Laufflüssigkeit abschließen
F125	B4	f83r.39	B4-S015	4	E352|E353|E354|E355	B4_ZONE_A_LEFT_AND_UPPER_FLOW	eine Portion zugeben > Klarauszug > eine Portion > Durchlassstelle
F126	B4	f83r.41	B4-S015	2	E356|E357	B4_ZONE_B_RIGHT_LOWER_FLOW	kurz auffangen > hinausführen; Schluss
F127	B4	f83r.41	B4-S016	2	E358|E359	B4_ZONE_B_RIGHT_LOWER_FLOW	weitere Portion > Stelle
F128	B4	f83r.44	B4-S016	2	E360|E361	B4_ZONE_B_RIGHT_LOWER_FLOW	Ausguss > kurz absetzen; Schluss
F129	B5	f83r.47	B5-S001	1	E362	B5_LOCAL_RECORD_OWNER	danach umsetzen; Schluss
F130	B5	f83r.47	B5-S002	1	E363	B5_LOCAL_RECORD_OWNER	Ansatz umsetzen; Schluss
F131	B5	f83r.47	B5-S003	1	E364	B5_LOCAL_RECORD_OWNER	an der Stelle absetzen
F132	B5	f83r.48	B5-S003	5	E365|E366|E367|E368|E369	B5_LOCAL_RECORD_OWNER	Stelle > fortsetzen > warm > an der Stelle umsetzen > Mass
F133	B5	f83r.49	B5-S003	3	E370|E371|E372	B5_LOCAL_RECORD_OWNER	fortsetzen > zweite Stufe > dies umsetzen
F134	B6	f83r.52	B6-S001	4	E373|E374|E375|E376	B6_LOCAL_RECORD_OWNER	laenger auffangen > roh > dies abkuehlen > fortsetzen
F135	B6	f83r.54	B6-S001	5	E377|E378|E379|E380|E381	B6_LOCAL_RECORD_OWNER	Mass > fortsetzen > Tuch > dies > Ansatz zur Stelle fuehren
