card_no	surfaces	graphic_component_parse	semantic_component_parse	consolidated_short_default_de	component_count	slot_signature	distinct_slots	repeated_slot	silent_fill_needed	occurrences	records	composition_status	action_components	grade_scope_assignments	grade_doctrine_names
PROC012	qotchol	OT+CH+OL	OT+CH+OL	DANACH·ABZIEHEN·FORTSETZEN	3	SEQUENCE>ACTION>SEQUENCE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC013	cheol|chol|ol|qol|sol|tol	OL	OL	FORTSETZEN	1	SEQUENCE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	19	H1|H2|B1|B3|B4|B5|B6	COMPOSITIONAL	NONE	NONE	NONE
PROC014	checthy|cthy|shcthy	CTH+Y	CTH+Y	BEREIT·DIES	2	STATE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	7	H1|H2|H3|B3	COMPOSITIONAL	NONE	NONE	NONE
PROC015	ycheor	Y+CH+E+OR	Y+CH+E+OR	DIES·ABZIEHEN·KURZ·ANSATZ	4	OBJECT_MATERIAL>ACTION>GRADE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL	CH	E->CH	SHORT_OR_LONG_DRAW
PROC016	chor|or|shor|sor	OR	OR	ANSATZ	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	7	H2|H4|B3|B4	COMPOSITIONAL	NONE	NONE	NONE
PROC017	cthaiin	CTH+AIIN	CTH+AIIN	BEREIT·MASS	2	STATE>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL	NONE	NONE	NONE
PROC018	qoctholy	O+CTH+OL+Y	O+CTH+OL+Y	GANG·BEREIT·FORTSETZEN·DIES	4	OBJECT_MATERIAL>STATE>SEQUENCE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL	NONE	NONE	NONE
PROC019	chey|chy|dy|shy|sy|y	Y	Y	DIES	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	18	H2|H3|H4|B1|B2|B3|B4|B6	COMPOSITIONAL	NONE	NONE	NONE
PROC020	otchor|qotchor	OT+CH+OR	OT+CH+OR	DANACH·ABZIEHEN·ANSATZ	3	SEQUENCE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H2|H5	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC021	otol	OT+OL	OT+OL	DANACH·FORTSETZEN	2	SEQUENCE>SEQUENCE	1	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL	NONE	NONE	NONE
PROC022	cholor|olor	OL+OR	OL+OR	FORTSETZEN·ANSATZ	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H2|B1	COMPOSITIONAL	NONE	NONE	NONE
PROC023	oykchor	O+Y+K+OR	O+Y+K+OR	GANG·DIES·ZUFUEHREN·ANSATZ	4	OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC024	kaiiin	K+IIN	K+IIN	ZUFUEHREN·STUFE	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC025	chodaiin	CH+O+AIIN	CH+O+AIIN	ABZIEHEN·GANG·MASS	3	ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC026	tshol	T+SH+OL	T+SH+OL	EINTRAGEN·HALTEN·FORTSETZEN	3	ACTION>ACTION>SEQUENCE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	T|SH	NONE	SHORT_OR_COMPLETE_ENTRY|SHORT_OR_LONG_HOLD
PROC027	schoal	SH+O+AL	SH+O+AL	HALTEN·GANG·ZIEL	3	ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET	3	NO	NONE	1	H3	COMPOSITIONAL	SH	NONE	SHORT_OR_LONG_HOLD
PROC028	cfhy	CFH+Y	CFH+Y	AUSWRINGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	PARTIAL_WITH_LEARNED_ATOM	CFH	NONE	INHERENT_COMPLETION
PROC029	shfydaiin	SH+Y+AIIN	SH+Y+AIIN	HALTEN·DIES·MASS	3	ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	SH	NONE	SHORT_OR_LONG_HOLD
PROC030	cphy	P+Y	P+Y	HINEIN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	P	NONE	INSTANT_LOAD
PROC031	cheey|shey	SH+EE+Y	SH+EE+Y	HALTEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	4	H3|B2|B4	COMPOSITIONAL	SH	EE->SH	SHORT_OR_LONG_HOLD
PROC032	tchody	T+CH+O+DY	T+CH+O+DY	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	4	ACTION>ACTION>OBJECT_MATERIAL>CLOSE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	T|CH	NONE	SHORT_OR_COMPLETE_ENTRY|SHORT_OR_LONG_DRAW
PROC033	shoyty	SH+O+Y+T+Y	SH+O+Y+T+Y	HALTEN·GANG·DIES·EINTRAGEN·DIES	5	ACTION>OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	SH|T	NONE	SHORT_OR_LONG_HOLD|SHORT_OR_COMPLETE_ENTRY
PROC034	dchol|schol	OL	OL	FORTSETZEN	1	SEQUENCE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H3|H5	COMPOSITIONAL	NONE	NONE	NONE
PROC035	kchy	K+Y	K+Y	ZUFUEHREN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC036	qotchy	OT+Y	OT+Y	DANACH·DIES	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H3	COMPOSITIONAL	NONE	NONE	NONE
PROC037	okchol	OK+OL	OK+OL	ANSETZEN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H3	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC038	okaiin|qokaiin	OK+AIIN	OK+AIIN	ANSETZEN·MASS	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	9	H4|B1|B2|B3	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC039	ykain	Y+K+AIN	Y+K+AIN	DIES·ZUFUEHREN·PORTION	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC040	ykan	Y+K+AIN	Y+K+AIN	DIES·ZUFUEHREN·PORTION	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC041	ody	O+DY	O+DY	GANG·SCHLUSS	2	OBJECT_MATERIAL>CLOSE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H4	COMPOSITIONAL	NONE	NONE	NONE
PROC042	chdy|chedy	CHD+Y	CHD+Y	UMSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	11	H4|B1|B3|B4|B5	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC043	talam	TALAM	TALAM	VERWAHREN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	LEARNED_WHOLE_CARD	TALAM	NONE	STORE_ONCE
PROC044	ykaiin	Y+K+AIIN	Y+K+AIIN	DIES·ZUFUEHREN·MASS	3	OBJECT_MATERIAL>ACTION>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC045	cheoar	CH+E+O+AR	CH+E+O+AR	ABZIEHEN·KURZ·GANG·QUELLE	4	ACTION>GRADE>OBJECT_MATERIAL>SOURCE_PATH_TARGET	4	NO	NONE	1	H4	COMPOSITIONAL	CH	E->CH	SHORT_OR_LONG_DRAW
PROC046	cheeky	CHK+EE+Y	CHK+EE+Y	WAERMEN·LANG·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H4|B4	COMPOSITIONAL	CHK	EE->CHK	SHORT_OR_LONG_HEAT
PROC047	oldy	OL+DY	OL+DY	FORTSETZEN·SCHLUSS	2	SEQUENCE>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H4|B4	COMPOSITIONAL	NONE	NONE	NONE
PROC048	okal|qokal	OK+AL	OK+AL	ANSETZEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	6	H4|B1|B2|B3	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC049	oltchy	OL+T+Y	OL+T+Y	FORTSETZEN·EINTRAGEN·DIES	3	SEQUENCE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H4	COMPOSITIONAL	T	NONE	SHORT_OR_COMPLETE_ENTRY
PROC050	orain	OR+AIN	OR+AIN	ANSATZ·PORTION	2	OBJECT_MATERIAL>QUANTITY_STAGE	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H4	COMPOSITIONAL	NONE	NONE	NONE
PROC051	chochor	HO+CH+OR	HO+CH+OR	GABE·ABZIEHEN·ANSATZ	3	OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC052	cho|sho	HO	HO	GABE	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	4	H5	COMPOSITIONAL	NONE	NONE	NONE
PROC053	chodaly	HO+AL+Y	HO+AL+Y	GABE·ZIEL·DIES	3	OBJECT_MATERIAL>SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	YES	NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL	NONE	NONE	NONE
PROC054	kchol	K+OL	K+OL	ZUFUEHREN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC055	al|chal|cheal|dal|sal|tal	AL	AL	ZIEL	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	10	H5|B1|B2|B3|B4|B5	COMPOSITIONAL	NONE	NONE	NONE
PROC056	choy	HO+Y	HO+Y	GABE·DIES	2	OBJECT_MATERIAL>OBJECT_MATERIAL	1	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL	NONE	NONE	NONE
PROC057	cheeckhody	CH+EE+CKH+O+DY	CH+EE+CKH+O+DY	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	5	ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	5	NO	NONE	1	H5	COMPOSITIONAL	CH	EE->CH	SHORT_OR_LONG_DRAW
PROC058	sh	SH	SH	HALTEN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	SH	NONE	SHORT_OR_LONG_HOLD
PROC059	kchey	K+E+Y	K+E+Y	ZUFUEHREN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	K	E->K	PULSED_FEED
PROC060	qokokchy	OK+OK+Y	OK+OK+Y	ANSETZEN·ANSETZEN·DIES	3	ACTION>ACTION>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	OK|OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC061	chokcheo	OK+CH+E+O	OK+CH+E+O	ANSETZEN·ABZIEHEN·KURZ·GANG	4	ACTION>ACTION>GRADE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	OK|CH	E->CH	SHORT_LONG_OR_FULL_APPLICATION|SHORT_OR_LONG_DRAW
PROC062	kchal	K+AL	K+AL	ZUFUEHREN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	H5	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC063	kchoar	K+HO+AR	K+HO+AR	ZUFUEHREN·GABE·QUELLE	3	ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET	3	NO	NONE	1	H5	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC064	sotodan	OT+O+AIN	OT+O+AIN	DANACH·GANG·PORTION	3	SEQUENCE>OBJECT_MATERIAL>QUANTITY_STAGE	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H5	COMPOSITIONAL	NONE	NONE	NONE
PROC065	otchey	OT+Y	OT+Y	DANACH·DIES	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H5|B4	COMPOSITIONAL	NONE	NONE	NONE
PROC066	keol	K+E+OL	K+E+OL	ZUFUEHREN·KURZ·FORTSETZEN	3	ACTION>GRADE>SEQUENCE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H5	COMPOSITIONAL	K	E->K	PULSED_FEED
PROC067	qokedy	OK+E+DY	OK+E+DY	ANSETZEN·KURZ·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	8	B1|B3|B4	COMPOSITIONAL	OK	E->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC068	kair	K+AIR	K+AIR	ZUFUEHREN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC069	chkain|kain	K+AIN	K+AIN	ZUFUEHREN·PORTION	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3|B4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC070	olkain|qolkain	OL+K+AIN	OL+K+AIN	FORTSETZEN·ZUFUEHREN·PORTION	3	SEQUENCE>ACTION>QUANTITY_STAGE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B4	COMPOSITIONAL	K	NONE	PULSED_FEED
PROC071	rol	R+OL	R+OL	KUEHLEN·FORTSETZEN	2	ACTION>SEQUENCE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	R	NONE	COOL_TO_STATE
PROC072	dl	L	L	FUEHREN	1	ACTION	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1	COMPOSITIONAL	L	NONE	SHORT_OR_LONG_ROUTE
PROC073	sheckhal	SH+E+CKH+AL	SH+E+CKH+AL	HALTEN·KURZ·DURCHLASS·ZIEL	4	ACTION>GRADE>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	3	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL	SH	E->SH	SHORT_OR_LONG_HOLD
PROC074	qokeedal	OK+EE+AL	OK+EE+AL	ANSETZEN·LANG·ZIEL	3	ACTION>GRADE>SOURCE_PATH_TARGET	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL	OK	EE->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC075	chckhy|shckhy	CKH+Y	CKH+Y	DURCHLASS·DIES	2	SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	NO	NONACTION_ARGUMENT_OR_STATE_CARD	4	B1|B2	COMPOSITIONAL	NONE	NONE	NONE
PROC076	dchedy|schedy|tchedy	CHD+DY	CHD+DY	UMSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	4	B1|B2|B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC077	sshkchdy	SH+K+CHD+DY	SH+K+CHD+DY	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	4	ACTION>ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	SH|K|CHD	NONE	SHORT_OR_LONG_HOLD|PULSED_FEED|UNIT_TRANSFER
PROC078	cheedy|shedy|tedy	SHED+DY	SHED+DY	ABSETZEN·SCHLUSS	2	ACTION>CLOSE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	12	B1|B2|B3|B4	COMPOSITIONAL	SHED	NONE	SETTLE_TO_RESULT
PROC079	olchedy|qolchedy	OL+CHD+DY	OL+CHD+DY	FORTSETZEN·UMSETZEN·SCHLUSS	3	SEQUENCE>ACTION>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B2|B3	COMPOSITIONAL	CHD	NONE	UNIT_TRANSFER
PROC080	okain|qokain	OK+AIN	OK+AIN	ANSETZEN·PORTION	2	ACTION>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	7	B1|B2|B3|B4	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC081	ral	R+AL	R+AL	KUEHLEN·ZIEL	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL	R	NONE	COOL_TO_STATE
PROC082	qokchdy	OK+CHD+DY	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	3	ACTION>ACTION>CLOSE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B3|B5	COMPOSITIONAL	OK|CHD	NONE	SHORT_LONG_OR_FULL_APPLICATION|UNIT_TRANSFER
PROC083	cheky	CHK+E+Y	CHK+E+Y	WAERMEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	B1|B4	COMPOSITIONAL	CHK	E->CHK	SHORT_OR_LONG_HEAT
PROC084	lsho	LSH+O	LSH+O	WASCHEN·GANG	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	LSH	NONE	SHORT_WASH_CYCLE
PROC085	okey|qokey	OK+E+Y	OK+E+Y	ANSETZEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1|B2	COMPOSITIONAL	OK	E->OK	SHORT_LONG_OR_FULL_APPLICATION
PROC086	lshedy	LSH+E+DY	LSH+E+DY	WASCHEN·KURZ·SCHLUSS	3	ACTION>GRADE>CLOSE	3	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	B1	COMPOSITIONAL	LSH	E->LSH	SHORT_WASH_CYCLE
PROC087	qolky	SOLK+Y	SOLK+Y	AUFFANGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	B1	COMPOSITIONAL	SOLK	NONE	SHORT_OR_LONG_COLLECTION
PROC088	lchedal	L+CHD+AL	L+CHD+AL	FUEHREN·UMSETZEN·ZIEL	3	ACTION>ACTION>SOURCE_PATH_TARGET	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	B1	COMPOSITIONAL	L|CHD	NONE	SHORT_OR_LONG_ROUTE|UNIT_TRANSFER
