shape_id	shape_family	source_style	source_clause_template	historical_mechanism	style_purpose	language_identification
C09	SOURCE_PREPARATION	WORKSHOP_VERNACULAR	Nenne Quelle, Lauf, Auszug oder Ansatz: {value}.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	knappe praktische Rezept- oder Arbeitsprosa	NONE
C09	SOURCE_PREPARATION	LATIN_FORMULARY	EX / LIQUOR / PRAEPARATIO: {value}.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C09	SOURCE_PREPARATION	TABULAR_NOTATION	SRC | {value}.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C10	QUANTITY_STAGE	WORKSHOP_VERNACULAR	Setze Maß, Portion oder Stufe: {value}.	Zahl-, Gewichts-, ana- oder Stufenfeld	knappe praktische Rezept- oder Arbeitsprosa	NONE
C10	QUANTITY_STAGE	LATIN_FORMULARY	MENSURA / PORTIO / GRADUS: {value}.	Zahl-, Gewichts-, ana- oder Stufenfeld	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C10	QUANTITY_STAGE	TABULAR_NOTATION	Q | {value}.	Zahl-, Gewichts-, ana- oder Stufenfeld	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C11	TARGET_ADDRESS	WORKSHOP_VERNACULAR	Setze die bezeichnete Zielstelle: {value}.	Bild-, Gefäß-, Körper- oder Stationsadresse	knappe praktische Rezept- oder Arbeitsprosa	NONE
C11	TARGET_ADDRESS	LATIN_FORMULARY	AD LOCUM DESIGNATUM: {value}.	Bild-, Gefäß-, Körper- oder Stationsadresse	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C11	TARGET_ADDRESS	TABULAR_NOTATION	AD | {value}.	Bild-, Gefäß-, Körper- oder Stationsadresse	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C12	REFERENT_CLOSE_RESIDUE	WORKSHOP_VERNACULAR	Nimm diesen Posten wieder auf: {value}.	verkürzte Anapher oder residuale Kurzform	knappe praktische Rezept- oder Arbeitsprosa	NONE
C12	REFERENT_CLOSE_RESIDUE	LATIN_FORMULARY	HOC / IDEM: {value}.	verkürzte Anapher oder residuale Kurzform	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C12	REFERENT_CLOSE_RESIDUE	TABULAR_NOTATION	REF | {value}.	verkürzte Anapher oder residuale Kurzform	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
