cross_register_cell_id	target_realization_cell_id	frozen_frame	action_root	action_recipe	target_register	observed_other_register	event_count	page_count	pages	observed_clause_form_count	observed_clauses_de	same_action_and_formal_frame	exact_observed_other_register_cell
G494-CR034	G493-C036	@ACTION+AL	R	R+AL	SOURCE_SECTION_T	PHARMA	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G494-CR035	G493-C037	@ACTION+AL	R	R+AL	HERBAL	BIOLOGICAL	1	1	f81v	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	YES	YES
G494-CR036	G493-C037	@ACTION+AL	R	R+AL	HERBAL	PHARMA	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G494-CR037	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	BIOLOGICAL	1	1	f81v	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	YES	YES
G494-CR038	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	PHARMA	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G494-CR039	G493-C041	@ACTION+AL+Y	T	T+AL+Y	SOURCE_SECTION_T	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G494-CR040	G493-C042	@ACTION+AL+Y	T	T+AL+Y	HERBAL	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G494-CR041	G493-C043	@ACTION+AL+Y	T	T+AL+Y	BIOLOGICAL	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G494-CR042	G493-C045	@ACTION+AL+Y	T	T+AL+Y	PHARMA	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G494-CR043	G493-C046	@ACTION+AL+Y	R	R+AL+Y	SOURCE_SECTION_T	BIOLOGICAL	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES	YES
G494-CR044	G493-C047	@ACTION+AL+Y	R	R+AL+Y	HERBAL	BIOLOGICAL	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES	YES
G494-CR045	G493-C049	@ACTION+AL+Y	R	R+AL+Y	CELESTIAL	BIOLOGICAL	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES	YES
G494-CR046	G493-C050	@ACTION+AL+Y	R	R+AL+Y	PHARMA	BIOLOGICAL	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES	YES
G494-CR047	G493-C052	@ACTION+CH+E+Y	T	T+CH+E+Y	HERBAL	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G494-CR048	G493-C053	@ACTION+CH+E+Y	T	T+CH+E+Y	BIOLOGICAL	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G494-CR049	G493-C054	@ACTION+CH+E+Y	T	T+CH+E+Y	CELESTIAL	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G494-CR050	G493-C055	@ACTION+CH+E+Y	T	T+CH+E+Y	PHARMA	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G494-CR051	G493-C056	@ACTION+CH+E+Y	R	R+CH+E+Y	SOURCE_SECTION_T	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G494-CR052	G493-C057	@ACTION+CH+E+Y	R	R+CH+E+Y	HERBAL	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G494-CR053	G493-C059	@ACTION+CH+E+Y	R	R+CH+E+Y	CELESTIAL	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G494-CR054	G493-C060	@ACTION+CH+E+Y	R	R+CH+E+Y	PHARMA	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G494-CR055	G493-C061	@ACTION+CHD+Y	T	T+CHD+Y	SOURCE_SECTION_T	HERBAL	1	1	f95v	1	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	YES	YES
G494-CR056	G493-C061	@ACTION+CHD+Y	T	T+CHD+Y	SOURCE_SECTION_T	BIOLOGICAL	4	2	f75r|f83r	1	Stelle den Stationsposten ein und bearbeite den Stationsposten.	YES	YES
G494-CR057	G493-C064	@ACTION+CHD+Y	T	T+CHD+Y	CELESTIAL	HERBAL	1	1	f95v	1	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	YES	YES
G494-CR058	G493-C064	@ACTION+CHD+Y	T	T+CHD+Y	CELESTIAL	BIOLOGICAL	4	2	f75r|f83r	1	Stelle den Stationsposten ein und bearbeite den Stationsposten.	YES	YES
G494-CR059	G493-C065	@ACTION+CHD+Y	T	T+CHD+Y	PHARMA	HERBAL	1	1	f95v	1	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	YES	YES
G494-CR060	G493-C065	@ACTION+CHD+Y	T	T+CHD+Y	PHARMA	BIOLOGICAL	4	2	f75r|f83r	1	Stelle den Stationsposten ein und bearbeite den Stationsposten.	YES	YES
G494-CR061	G493-C066	@ACTION+CHD+Y	R	R+CHD+Y	SOURCE_SECTION_T	BIOLOGICAL	2	2	f82r|f83r	1	Markiere den Stationsposten und bearbeite den Stationsposten.	YES	YES
G494-CR062	G493-C067	@ACTION+CHD+Y	R	R+CHD+Y	HERBAL	BIOLOGICAL	2	2	f82r|f83r	1	Markiere den Stationsposten und bearbeite den Stationsposten.	YES	YES
G494-CR063	G493-C069	@ACTION+CHD+Y	R	R+CHD+Y	CELESTIAL	BIOLOGICAL	2	2	f82r|f83r	1	Markiere den Stationsposten und bearbeite den Stationsposten.	YES	YES
G494-CR064	G493-C070	@ACTION+CHD+Y	R	R+CHD+Y	PHARMA	BIOLOGICAL	2	2	f82r|f83r	1	Markiere den Stationsposten und bearbeite den Stationsposten.	YES	YES
G494-CR065	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	SOURCE_SECTION_T	1	1	f1r	1	Weiter lege den laufenden Eintrag [wie zuvor] fest.	YES	YES
G494-CR066	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	HERBAL	3	2	f11r|f56r	2	Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-CR067	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	BIOLOGICAL	1	1	f83r	1	Weiter stelle den Stationsposten [wie zuvor] ein.	YES	YES
G494-CR068	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	PHARMA	2	2	f88v|f89r	2	Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein.	YES	YES
G494-CR069	G493-C076	@ACTION+OL	R	R+OL	SOURCE_SECTION_T	BIOLOGICAL	4	3	f75r|f76r|f81v	2	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	YES	YES
G494-CR070	G493-C077	@ACTION+OL	R	R+OL	HERBAL	BIOLOGICAL	4	3	f75r|f76r|f81v	2	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	YES	YES
G494-CR071	G493-C079	@ACTION+OL	R	R+OL	CELESTIAL	BIOLOGICAL	4	3	f75r|f76r|f81v	2	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	YES	YES
G494-CR072	G493-C080	@ACTION+OL	R	R+OL	PHARMA	BIOLOGICAL	4	3	f75r|f76r|f81v	2	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	YES	YES
G494-CR073	G493-C081	@ACTION+OR+Y	T	T+OR+Y	SOURCE_SECTION_T	HERBAL	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES	YES
G494-CR074	G493-C083	@ACTION+OR+Y	T	T+OR+Y	BIOLOGICAL	HERBAL	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES	YES
G494-CR075	G493-C084	@ACTION+OR+Y	T	T+OR+Y	CELESTIAL	HERBAL	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES	YES
G494-CR076	G493-C085	@ACTION+OR+Y	T	T+OR+Y	PHARMA	HERBAL	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES	YES
G494-CR077	G493-C086	@ACTION+OR+Y	R	R+OR+Y	SOURCE_SECTION_T	BIOLOGICAL	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES	YES
G494-CR078	G493-C087	@ACTION+OR+Y	R	R+OR+Y	HERBAL	BIOLOGICAL	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES	YES
G494-CR079	G493-C089	@ACTION+OR+Y	R	R+OR+Y	CELESTIAL	BIOLOGICAL	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES	YES
G494-CR080	G493-C090	@ACTION+OR+Y	R	R+OR+Y	PHARMA	BIOLOGICAL	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES	YES
G494-CR081	G493-C091	@ACTION+Y	T	T+Y	SOURCE_SECTION_T	HERBAL	2	2	f10r|f13r	1	Stelle den Pflanzenposten ein.	YES	YES
G494-CR082	G493-C091	@ACTION+Y	T	T+Y	SOURCE_SECTION_T	BIOLOGICAL	1	1	f83r	1	Stelle den Stationsposten ein.	YES	YES
G494-CR083	G493-C094	@ACTION+Y	T	T+Y	CELESTIAL	HERBAL	2	2	f10r|f13r	1	Stelle den Pflanzenposten ein.	YES	YES
G494-CR084	G493-C094	@ACTION+Y	T	T+Y	CELESTIAL	BIOLOGICAL	1	1	f83r	1	Stelle den Stationsposten ein.	YES	YES
G494-CR085	G493-C095	@ACTION+Y	T	T+Y	PHARMA	HERBAL	2	2	f10r|f13r	1	Stelle den Pflanzenposten ein.	YES	YES
G494-CR086	G493-C095	@ACTION+Y	T	T+Y	PHARMA	BIOLOGICAL	1	1	f83r	1	Stelle den Stationsposten ein.	YES	YES
G494-CR087	G493-C096	@ACTION+Y	R	R+Y	SOURCE_SECTION_T	BIOLOGICAL	2	2	f75r|f82r	1	Markiere den Stationsposten.	YES	YES
G494-CR088	G493-C097	@ACTION+Y	R	R+Y	HERBAL	BIOLOGICAL	2	2	f75r|f82r	1	Markiere den Stationsposten.	YES	YES
G494-CR089	G493-C099	@ACTION+Y	R	R+Y	CELESTIAL	BIOLOGICAL	2	2	f75r|f82r	1	Markiere den Stationsposten.	YES	YES
G494-CR090	G493-C100	@ACTION+Y	R	R+Y	PHARMA	BIOLOGICAL	2	2	f75r|f82r	1	Markiere den Stationsposten.	YES	YES
G494-CR091	G493-C101	CH+@ACTION	T	CH+T	SOURCE_SECTION_T	HERBAL	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES	YES
G494-CR092	G493-C103	CH+@ACTION	T	CH+T	BIOLOGICAL	HERBAL	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES	YES
G494-CR093	G493-C104	CH+@ACTION	T	CH+T	CELESTIAL	HERBAL	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES	YES
G494-CR094	G493-C105	CH+@ACTION	T	CH+T	PHARMA	HERBAL	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES	YES
G494-CR095	G493-C106	CH+@ACTION	R	CH+R	SOURCE_SECTION_T	BIOLOGICAL	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES	YES
G494-CR096	G493-C107	CH+@ACTION	R	CH+R	HERBAL	BIOLOGICAL	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES	YES
G494-CR097	G493-C109	CH+@ACTION	R	CH+R	CELESTIAL	BIOLOGICAL	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES	YES
G494-CR098	G493-C110	CH+@ACTION	R	CH+R	PHARMA	BIOLOGICAL	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES	YES
