statement_order	statement_id	record_unit_id	page	clause_count	creative_resolution_count	owner_expanded_literal_statement_de	current_concrete_source_expansion_de
11	H4-S002	H4	f55v	2	0	Vorgang=umsetzen; Posten=Posten; Wert=Sollmaß. Vorgang=verwahren; Ziel=gesetzt.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
12	H4-S003	H4	f55v	2	0	Vorgang=wärmen; Posten=Posten+Auszug; Quelle=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter; Schluss.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
13	H4-S004	H4	f55v	2	0	Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß. Vorgang=weiterführen→bereithalten; Reihenfolge=weiter; Posten=Posten+Ansatz; Wert=Anteil; Zustand=bereit.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
14	H5-S001	H5	f56r	2	0	Vorgang=zugeben→bearbeiten→weiterführen; Reihenfolge=weiter; Posten=Zutat+Ansatz+Posten; Ziel=gesetzt; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Ansatz+Posten; Ziel=gesetzt.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
15	H5-S002	H5	f56r	2	0	Vorgang=zugeben→ansetzen; Reihenfolge=vorher; Posten=Vorposten+Zutat+Posten. Vorgang=durchleiten→zugeben; Posten=Zutat; Grad=länger; Schluss.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
16	H5-S003	H5	f56r	3	0	Vorgang=halten. Vorgang=zugeben→bearbeiten; Posten=Zutat+Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
17	H5-S004	H5	f56r	3	0	Vorgang=ansetzen; Posten=Posten. Vorgang=ansetzen; Posten=Auszug. Vorgang=bearbeiten; Ziel=gesetzt.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
18	H5-S005	H5	f56r	2	0	Vorgang=zugeben→ansetzen; Posten=Zutat+Posten. Vorgang=folgen→anwenden; Reihenfolge=danach; Posten=Auszug; Quelle=gesetzt.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
19	H5-S006	H5	f56r	1	0	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten; Wert=Sollmaß; Grad=kurz.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
20	B1-S001	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
21	B1-S002	B1	f81v	12	0	Vorgang=ansetzen; Lauf=gesetzt; Wert=Sollmaß. Vorgang=ansetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Zusatz+Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=durchleiten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz. Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß; Grad=länger. Vorgang=durchleiten; Posten=Posten. Vorgang=umsetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
22	B1-S003	B1	f81v	2	0	Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=halten→bearbeiten→umsetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
23	B1-S004	B1	f81v	3	0	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
24	B1-S005	B1	f81v	1	0	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
25	B1-S006	B1	f81v	2	0	Vorgang=ansetzen; Wert=Anteil. Vorgang=durchleiten; Posten=Posten+Zusatz; Ziel=gesetzt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
26	B1-S007	B1	f81v	1	0	Vorgang=ansetzen→umsetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
27	B1-S008	B1	f81v	4	0	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten. Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
28	B1-S009	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
29	B1-S010	B1	f81v	1	0	Vorgang=ansetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
30	B1-S011	B1	f81v	2	0	Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Posten=Posten.	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
31	B1-S012	B1	f81v	3	0	Vorgang=waschen. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=waschen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
32	B1-S013	B1	f81v	1	0	Vorgang=waschen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
33	B1-S014	B1	f81v	4	0	Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen→umsetzen; Ziel=gesetzt. Vorgang=weiterführen→folgen; Reihenfolge=weiter+danach; Quelle=gesetzt.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
34	B1-S015	B1	f81v	1	0	Vorgang=ansetzen→umsetzen; Posten=Posten+Teil; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
35	B1-S016	B1	f81v	4	0	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
36	B1-S017	B1	f81v	2	0	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Grad=kurz. Vorgang=umsetzen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
37	B1-S018	B1	f81v	3	0	Vorgang=abführen; Posten=Posten. Vorgang=halten→weiterführen; Reihenfolge=weiter; Wert=Stufe; Grad=kurz. Vorgang=sammeln; Grad=länger; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
38	B1-S019	B1	f81v	1	0	Vorgang=absetzen; Grad=kurz; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
39	B1-S020	B1	f81v	2	0	Vorgang=wärmen; Posten=Posten; Grad=kurz. Vorgang=trennen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
40	B1-S021	B1	f81v	1	0	Vorgang=BILDBESITZER-AKTION; Ziel=gesetzt.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
41	B2-S001	B2	f82r	1	0	Vorgang=umsetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe
42	B2-S002	B2	f82r	1	0	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe
43	B2-S003	B2	f82r	2	0	Vorgang=ansetzen; Posten=Posten; Wert=Anteil. Vorgang=ansetzen; Grad=länger; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe
44	B2-S004	B2	f82r	5	0	Vorgang=ansetzen; Ziel=gesetzt. Vorgang=abführen→durchleiten; Posten=Posten. Vorgang=abführen→umsetzen. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen→trennen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe
45	B2-S005	B2	f82r	8	0	Vorgang=ansetzen; Posten=Posten; Ziel=gesetzt. Vorgang=sammeln; Wert=Sollmaß. Vorgang=durchleiten; Posten=Posten. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=ansetzen; Wert=Sollmaß. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Zustand=bereit. Vorgang=wärmen; Posten=Posten; Grad=länger. Vorgang=abführen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
46	B2-S006	B2	f82r	3	0	Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger. Vorgang=durchleiten; Posten=Posten; Grad=kurz. Vorgang=ansetzen; Posten=Posten.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
47	B2-S007	B2	f82r	1	0	Vorgang=absetzen; Grad=kurz; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
48	B2-S008	B2	f82r	2	0	Vorgang=folgen→ansetzen; Reihenfolge=danach; Quelle=gesetzt; Wert=Sollmaß. Vorgang=absetzen; Grad=kurz; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe
49	B2-S009	B2	f82r	1	0	Vorgang=weiterführen→absetzen; Reihenfolge=weiter; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe
50	B2-S010	B2	f82r	3	0	Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Posten=Posten. Vorgang=abführen; Posten=Ergebnis; Zustand=Ergebnis.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
51	B2-S011	B2	f82r	3	3	Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Quelle=gesetzt; Wert=Anteil. Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Wert=Anteil. Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Grad=länger; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe
52	B2-S012	B2	f82r	5	1	Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=abführen; Posten=Posten. Vorgang=bereithalten; Posten=Ergebnis+Posten; Grad=kurz; Zustand=bereit+Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=abführen; Posten=Ergebnis; Wert=Sollmaß; Zustand=Ergebnis. Vorgang=ansetzen; Posten=Posten; Grad=vollständig; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.
53	B2-S013	B2	f82r	1	0	Vorgang=abführen→umsetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe
54	B2-S014	B2	f82r	1	0	Vorgang=abführen; Quelle=gesetzt.	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.
55	B2-S015	B2	f82r	1	0	Vorgang=ansetzen; Posten=Ergebnis; Grad=länger; Zustand=Ergebnis; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
56	B2-S016	B2	f82r	5	0	Vorgang=abführen→umsetzen; Quelle=gesetzt; Ziel=gesetzt. Vorgang=teilen; Wert=Sollmaß. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Wert=Sollmaß; Grad=länger. Vorgang=ansetzen; Posten=Posten; Grad=kurz. Vorgang=zuführen→umsetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe
57	B2-S017	B2	f82r	1	0	Vorgang=halten; Ziel=gesetzt; Grad=kurz; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
58	B2-S018	B2	f82r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe
59	B2-S019	B2	f82r	1	0	Vorgang=waschen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.
60	B2-S020	B2	f82r	1	0	Vorgang=folgen; Reihenfolge=danach; Grad=länger; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe
61	B2-S021	B2	f82r	1	0	Vorgang=ansetzen; Grad=länger; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe
62	B2-S022	B2	f82r	1	0	Vorgang=abführen→umsetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe
63	B3-S001	B3	f83r	1	0	Vorgang=sammeln; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Sammle länger und schließe
64	B3-S002	B3	f83r	1	0	Vorgang=folgen→wärmen; Reihenfolge=danach; Ziel=gesetzt; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe
65	B3-S003	B3	f83r	1	0	Vorgang=abführen→umsetzen; Posten=Posten; Wert=Sollmaß; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe
66	B3-S004	B3	f83r	1	0	Vorgang=ansetzen→folgen; Reihenfolge=danach; Quelle=gesetzt; Ziel=gesetzt; Wert=Sollmaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus
67	B3-S005	B3	f83r	1	0	Vorgang=umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze die entnommene Sollmaßportion um und schließe
68	B3-S006	B3	f83r	3	0	Vorgang=umsetzen; Posten=Posten. Vorgang=ansetzen; Ziel=gesetzt. Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe
69	B3-S007	B3	f83r	3	0	Vorgang=ansetzen; Wert=Sollmaß. Vorgang=umsetzen; Posten=Posten. Vorgang=ansetzen; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe
70	B3-S008	B3	f83r	1	0	Vorgang=abführen→umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
71	B3-S009	B3	f83r	1	0	Vorgang=ansetzen; Posten=Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an
72	B3-S010	B3	f83r	1	0	Vorgang=zuführen→umsetzen→folgen; Reihenfolge=danach; Ziel=gesetzt; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe
73	B3-S011	B3	f83r	3	0	Vorgang=bereithalten→umsetzen; Posten=Posten; Zustand=bereit. Vorgang=ansetzen; Posten=Posten. Vorgang=umsetzen; Posten=Posten; Quelle=gesetzt.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
74	B3-S012	B3	f83r	1	0	Vorgang=absetzen; Posten=Ansatz; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe
75	B3-S013	B3	f83r	3	0	Vorgang=ansetzen; Wert=Sollmaß+Anteil. Vorgang=bereithalten; Posten=Posten; Grad=kurz; Zustand=bereit. Vorgang=ansetzen; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe
76	B3-S014	B3	f83r	2	0	Vorgang=ansetzen; Lauf=gesetzt. Vorgang=absetzen; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe
77	B3-S015	B3	f83r	1	0	Vorgang=abführen→umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
78	B3-S016	B3	f83r	2	1	Vorgang=abführen. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.
79	B3-S017	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Grad=länger; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe
80	B3-S018	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Grad=kurz; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe
81	B3-S019	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→absetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe
82	B3-S020	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=abführen→umsetzen; Ziel=gesetzt; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe
83	B3-S021	B3	f83r	6	6	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Ziel=gesetzt; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Ziel=gesetzt; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Grad=kurz; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Ziel=gesetzt; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Ziel=gesetzt; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.
84	B3-S022	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=folgen→umsetzen; Reihenfolge=danach; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe
85	B3-S023	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=abführen→umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
86	B3-S024	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe
87	B3-S025	B3	f83r	1	1	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe
