track	unit_id	page	surface_sequence	minimal_dictionary_reading	owner_augmented_reading	selected_source_vocabulary	controlled_record_reading	apprentice_instruction
B2	B2-S007	f82r	dshedy	absetzen + kurz + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: absetzen + kurz + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S008	f82r	sotaiin qokar shedy	danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S009	f82r	solshedy	weiter + absetzen + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: weiter + absetzen + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S010	f82r	qokeey qoky ls cheey	ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug	Bei der mittleren linken Vorrichtung mit Zwischenknoten: ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S011	f82r	okain char okain qokeedy	ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende	Bei der mittleren rechten Station: ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S012	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende	Bei dem unteren grünen Mehrfigurenbecken: abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S013	f82r	lchedy	abführen; Schluss	Bei dem unteren grünen Mehrfigurenbecken: abführen; Schluss.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S014	f82r	lar	von dort abfuehren	Bei dem unteren grünen Mehrfigurenbecken: von dort abfuehren.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S015	f82r	tshey qokeedy	Klarlauf zugeben; ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: Klarlauf zugeben; ansetzen + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S016	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	Ziel; von dort abführen; teilen; Sollwert; danach + länger + dies; ansetzen + Sollwert; ansetzen + kurz + dies; einführen; Schluss	Bei den Randstationen des unteren Beckens: Ziel; von dort abführen; teilen; Sollwert; danach + länger + dies; ansetzen + Sollwert; ansetzen + kurz + dies; einführen; Schluss.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S017	f82r	rsheal daldy	halten + kurz + Ziel; Ziel + Ende	Bei den Randstationen des unteren Beckens: halten + kurz + Ziel; Ziel + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S018	f82r	qokeedy	ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: ansetzen + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S019	f82r	rshedy	waschen + Ende	Bei den Randstationen des unteren Beckens: waschen + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S020	f82r	qoteedy	danach + länger + Ende	Bei den Randstationen des unteren Beckens: danach + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S021	f82r	qokeedy	ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: ansetzen + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S022	f82r	lochedy	Rest abfuehren; Schluss	Bei den Randstationen des unteren Beckens: Rest abfuehren; Schluss.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
A3	f69v.1	f69v	40 opaque groups	local label bundle	Ringtext des linken 28-Platz-Rades	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige Ringtext des linken 28-Platz-Rades; kopiere alle 40 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.2	f69v	38 opaque groups	local label bundle	Ringtext des mittleren Wolken-/Wellenrades	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige Ringtext des mittleren Wolken-/Wellenrades; kopiere alle 38 Gruppen; lies den Wert nur unter A3_MIDDLE_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.3	f69v	29 opaque groups	local label bundle	Ringtext des rechten Gesicht-Strahlenrades	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige Ringtext des rechten Gesicht-Strahlenrades; kopiere alle 29 Gruppen; lies den Wert nur unter A3_RIGHT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.4	f69v	2 opaque groups	local label bundle	lokaler Radialplatz 01 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 01 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.5	f69v	2 opaque groups	local label bundle	lokaler Radialplatz 02 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 02 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.6	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 03 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 03 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.7	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 04 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 04 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.8	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 05 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 05 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.9	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 06 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 06 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.10	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 07 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 07 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.11	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 08 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 08 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.12	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 09 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 09 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.13	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 10 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 10 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.14	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 11 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 11 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
A3	f69v.15	f69v	1 opaque groups	local label bundle	lokaler Radialplatz 12 des linken f69v-Rades; Nummer nur editoriale Adresse	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Zeige lokaler Radialplatz 12 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	Zeige den lokalen Platz; kopiere das Bündel; lies nur im örtlichen Instrumentenschlüssel.
