trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
11	H3	f11r	E049	kchy	KCH+Y	bearbeiten + dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	E049	kchy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
12	H3	f11r	E050	dy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Nimm diesen Posten wieder auf: dieser Posten.	E050	dy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
13	H3	f11r	E051	daiin	AIIN	Sollwert	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze Maß, Portion oder Stufe: Sollmaß.	E051	daiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
14	H3	f11r	E052	qotchy	OT+Y	danach + dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Danach oder in demselben Gang: anschließender Arbeitsposten.	E052	qotchy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
15	H3	f11r	E053	okchol	OK+OL	ansetzen + weiter	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	E053	okchol	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
16	H3	f11r	E054	cthy	CTH+Y	bereit + dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Führe es mit diesem laufenden Posten aus: bereit.	E054	cthy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
17	H3	f11r	E055	dy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Nimm diesen Posten wieder auf: dieser Posten.	E055	dy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
18	B2	f82r	E167	dchedy	CHD+CLOSE	umsetzen + Ende	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	E167	dchedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
19	B2	f82r	E168	qolchedy	OL+CHD+CLOSE	weiter + umsetzen + Ende	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: weiterüberführen; Schluss.	E168	qolchedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
20	B2	f82r	E169	qokain	OK+AIN	ansetzen + Anteil	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	E169	qokain	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
21	B2	f82r	E170	dy	Y	dies	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Nimm diesen Posten wieder auf: dieser Posten.	E170	dy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
22	B2	f82r	E171	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	E171	qokeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
23	B2	f82r	E172	qokal	OK+AL	ansetzen + Ziel	den oberen Paarbecken mit Zylinder	BODY_WORK_AREA;STATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es an der bezeichneten Stelle aus: dort ansetzen.	E172	qokal	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
24	B2	f82r	E173	lcheckhy	L+CKH+Y	Ausgangsdurchlass	den oberen Paarbecken mit Zylinder	FILTER;INLET;OPENING;OUTLET;RUN	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: Ausgangsdurchlass.	E173	lcheckhy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
25	B2	f82r	E174	lched	L+CHD	abführen	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: abführen.	E174	lched	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
26	B2	f82r	E175	qokeey	OK+EE+Y	ansetzen + länger + dies	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	E175	qokeey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
27	B2	f82r	E176	lcheckhedy	L+CKHE+CLOSE	abseihen; Schluss	den oberen Paarbecken mit Zylinder	FILTER	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: abseihen; Schluss.	E176	lcheckhedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
28	B2	f82r	E177	qokaly	OK+AL+Y	ansetzen + Ziel + dies	den oberen Paarbecken mit Zylinder	BODY_WORK_AREA;STATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es an der bezeichneten Stelle aus: dies dort ansetzen.	E177	qokaly	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
29	B2	f82r	E178	solkaiin	SOLK+AIIN	sammeln + Sollwert	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln.	E178	solkaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
30	B2	f82r	E179	chckhy	CKH+Y	Durchlass + dies	den oberen Paarbecken mit Zylinder	FILTER;INLET;OPENING;OUTLET;RUN	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es mit diesem laufenden Posten aus: durchleiten.	E179	chckhy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
31	B2	f82r	E180	qokaiin	OK+AIIN	ansetzen + Sollwert	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	E180	qokaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
32	B2	f82r	E181	qokaiin	OK+AIIN	ansetzen + Sollwert	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	E181	qokaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
33	B2	f82r	E182	octheol	CTH+OL	bereit + weiter	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: bereitgestellten Gang fortsetzen.	E182	octheol	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
34	B2	f82r	E183	chkeey	CHK+EE+Y	wärmen + länger + dies	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten.	E183	chkeey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
35	B2	f82r	E184	ldy	L+CLOSE	abziehen; Ende	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: abziehen; Ende.	E184	ldy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
36	B2	f82r	E185	oteey	OT+EE+Y	danach + länger + dies	den oberen Paarbecken mit Zylinder	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: langer Folgeposten.	E185	oteey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
37	B2	f82r	E186	qokal	OK+AL	ansetzen + Ziel	den oberen Paarbecken mit Zylinder	BODY_WORK_AREA;STATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es an der bezeichneten Stelle aus: dort ansetzen.	E186	qokal	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
38	B2	f82r	E187	sheckhy	CKH+E+Y	Durchlass + kurz + dies	den oberen Paarbecken mit Zylinder	DURATION;FILTER;INLET;OPENING;OUTLET;RUN;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten.	E187	sheckhy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
39	B2	f82r	E188	qoky	OK+Y	ansetzen + dies	den oberen Paarbecken mit Zylinder	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	E188	qoky	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
40	B2	f82r	E189	dshedy	SHED+E+CLOSE	absetzen + kurz + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	E189	dshedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
41	B2	f82r	E190	sotaiin	OT+AIIN	danach + Sollwert	der mittleren linken Vorrichtung mit Zwischenknoten	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: Folgemaß.	E190	sotaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
42	B2	f82r	E191	qokar	OK+AR	ansetzen + Quelle	der mittleren linken Vorrichtung mit Zwischenknoten	INLET	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen.	E191	qokar	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
43	B2	f82r	E192	shedy	SHED+E+CLOSE	absetzen + kurz + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	E192	shedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
44	B2	f82r	E193	solshedy	OL+SHED+CLOSE	weiter + absetzen + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	DURATION	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Danach oder in demselben Gang: weiter absetzen; Schluss.	E193	solshedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
45	B2	f82r	E194	qokeey	OK+EE+Y	ansetzen + länger + dies	der mittleren linken Vorrichtung mit Zwischenknoten	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	E194	qokeey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
46	B2	f82r	E195	qoky	OK+Y	ansetzen + dies	der mittleren linken Vorrichtung mit Zwischenknoten	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	E195	qoky	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
47	B2	f82r	E196	ls	L	Durchlassöffnung	der mittleren linken Vorrichtung mit Zwischenknoten	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: Durchlassöffnung.	E196	ls	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
48	B2	f82r	E197	cheey	CHEEY	klarer Auszug	der mittleren linken Vorrichtung mit Zwischenknoten	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: klarer Auszug.	E197	cheey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
49	B2	f82r	E198	okain	OK+AIN	ansetzen + Anteil	der mittleren rechten Station	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	E198	okain	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
50	B2	f82r	E199	char	AR	Quelle	der mittleren rechten Station	INLET	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	E199	char	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
51	B2	f82r	E200	okain	OK+AIN	ansetzen + Anteil	der mittleren rechten Station	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	E200	okain	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
52	B2	f82r	E201	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	der mittleren rechten Station	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	E201	qokeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
53	B2	f82r	E202	lchy	L+Y	abziehen	dem unteren grünen Mehrfigurenbecken	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: abziehen.	E202	lchy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
54	B2	f82r	E203	cheey	CHEEY	klarer Auszug	dem unteren grünen Mehrfigurenbecken	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: klarer Auszug.	E203	cheey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
55	B2	f82r	E204	qcthey	CTH+E+Y	bereit + kurz + dies	dem unteren grünen Mehrfigurenbecken	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	E204	qcthey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
56	B2	f82r	E205	qokeey	OK+EE+Y	ansetzen + länger + dies	dem unteren grünen Mehrfigurenbecken	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	E205	qokeey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
57	B2	f82r	E206	lcheey	L+CHEEY	Klarlauf abfuehren	dem unteren grünen Mehrfigurenbecken	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: Klarlauf abfuehren.	E206	lcheey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
58	B2	f82r	E207	daiin	AIIN	Sollwert	dem unteren grünen Mehrfigurenbecken	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze Maß, Portion oder Stufe: Sollmaß.	E207	daiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
59	B2	f82r	E208	chey	Y	dies	dem unteren grünen Mehrfigurenbecken	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Nimm diesen Posten wieder auf: dieser Posten.	E208	chey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
60	B2	f82r	E209	qokeeedy	OK+EEE+CLOSE	ansetzen + vollständig + Ende	dem unteren grünen Mehrfigurenbecken	DURATION;TEMPERATURE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	E209	qokeeedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
61	B2	f82r	E210	lchedy	L+CHD+CLOSE	abführen; Schluss	dem unteren grünen Mehrfigurenbecken	NONE	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	Setze die gelernte Fachkarte: abführen; Schluss.	E210	lchedy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
