occurrence	ref	paragraph	locus	index	form	frequency	process	catalogue	kind
65	f21r.12#7	H21	f21r.12	7	daiin	8	abgemessen	abgemessen	QUALITY
66	f21r.12#8	H21	f21r.12	8	chkaiin	2	miss ab	Abmessen	ACTION
67	f32v.7#1	H32	f32v.7	1	ksho	1	zur Aufbereitung	Aufbereitung	LINK
68	f32v.7#2	H32	f32v.7	2	cphos	1	zerkleinere	Zerkleinern	ACTION
69	f32v.7#3	H32	f32v.7	3	she	2	lasse ruhen	Ruhenlassen	ACTION
70	f32v.7#4	H32	f32v.7	4	sheaiin	1	eine Weile	Zeitspanne	QUANTITY
71	f32v.7#5	H32	f32v.7	5	otshcho	1	grobes Material	grobes Material	THING
72	f32v.7#6	H32	f32v.7	6	r	1	daraus	Herkunftsbezug	LINK
73	f32v.7#7	H32	f32v.7	7	dain	1	wenig	kleine Menge	QUANTITY
74	f32v.7#8	H32	f32v.7	8	shckhy	1	füge zusammen	Zusammenfügen	ACTION
75	f32v.7#9	H32	f32v.7	9	s	5	jeweils	jeweils	LINK
76	f32v.7#10	H32	f32v.7	10	odan	1	Rückstand	Rückstand	THING
77	f32v.8#1	H32	f32v.8	1	otchol	1	Feinmaterial	Feinmaterial	THING
78	f32v.8#2	H32	f32v.8	2	daiin	8	abgemessen	abgemessen	QUALITY
79	f32v.8#3	H32	f32v.8	3	daiin	8	abgemessen	abgemessen	QUALITY
80	f32v.8#4	H32	f32v.8	4	ctho	1	Pulver	Pulver	THING
81	f32v.8#5	H32	f32v.8	5	daiin	8	abgemessen	abgemessen	QUALITY
82	f32v.8#6	H32	f32v.8	6	qotaiin	2	entnommene Probe	entnommene Probe	THING
83	f32v.8#7	H32	f32v.8	7	otchy	1	nimm	Entnahme	ACTION
84	f32v.8#8	H32	f32v.8	8	d	1	davon	Herkunftsbezug	LINK
85	f32v.8#9	H32	f32v.8	9	shan	1	feinen Anteil	feiner Anteil	THING
86	f32v.9#1	H32	f32v.9	1	qotchy	2	trenne	Trennung	ACTION
87	f32v.9#2	H32	f32v.9	2	cfhy	1	mit dem Sieb	Sieb als Werkzeug	THING
88	f32v.9#3	H32	f32v.9	3	skey	1	behalte	Behalten	ACTION
89	f32v.9#4	H32	f32v.9	4	chocthy	1	Grobgut	Grobgut	THING
90	f32v.9#5	H32	f32v.9	5	daiin	8	abgemessen	abgemessen	QUALITY
91	f32v.9#6	H32	f32v.9	6	cthaiin	1	Feingut	Feingut	THING
92	f32v.9#7	H32	f32v.9	7	daiin	8	abgemessen	abgemessen	QUALITY
93	f32v.10#1	H32	f32v.10	1	sho	4	Flüssigkeit	Flüssigkeit	THING
94	f32v.10#2	H32	f32v.10	2	keol	1	Flüssigkeit L	Flüssigkeit L	THING
95	f32v.10#3	H32	f32v.10	3	chor	4	Material B	Material B	THING
96	f32v.10#4	H32	f32v.10	4	chol	7	trocken	trocken	QUALITY
97	f32v.10#5	H32	f32v.10	5	daiin	8	abgemessen	abgemessen	QUALITY
98	f32v.10#6	H32	f32v.10	6	cpho	1	verrühre	Verrühren	ACTION
99	f32v.10#7	H32	f32v.10	7	l	1	mit	mit	LINK
100	f32v.10#8	H32	f32v.10	8	cthol	1	Feststoff D	Feststoff D	THING
101	f32v.10#9	H32	f32v.10	9	da	1	einer Portion	Portion	QUANTITY
102	f32v.10#10	H32	f32v.10	10	ar	1	desselben	Identitätsbezug	LINK
103	f32v.11#1	H32	f32v.11	1	ol	2	mit	mit	LINK
104	f32v.11#2	H32	f32v.11	2	sho	4	Flüssigkeit	Flüssigkeit	THING
105	f32v.11#3	H32	f32v.11	3	chy	2	vermische	Vermischung	ACTION
106	f29v.1#1	H29	f29v.1	1	kooiin	1	Ausgangsgut R	Ausgangsgut R	THING
107	f29v.1#2	H29	f29v.1	2	shor	2	Material C	Material C	THING
108	f29v.1#3	H29	f29v.1	3	chetchy	1	zerteile	Zerteilen	ACTION
109	f29v.1#4	H29	f29v.1	4	ol	2	mit	mit	LINK
110	f29v.1#5	H29	f29v.1	5	ls	1	Schneidwerkzeug	Schneidwerkzeug	THING
111	f29v.1#6	H29	f29v.1	6	shytchy	1	schneide klein	Kleinschneiden	ACTION
112	f29v.1#7	H29	f29v.1	7	cthy	5	Material A	Material A	THING
113	f29v.1#8	H29	f29v.1	8	shy	2	fein	fein	QUALITY
114	f29v.1#9	H29	f29v.1	9	cho	2	hiervon	Bezug zum vorigen Material	LINK
115	f29v.1#10	H29	f29v.1	10	shy	2	fein	fein	QUALITY
116	f29v.1#11	H29	f29v.1	11	daiin	8	abgemessen	abgemessen	QUALITY
117	f29v.2#1	H29	f29v.2	1	qotcheaiin	1	abgetrennter Anteil	abgetrennter Anteil	THING
118	f29v.2#2	H29	f29v.2	2	s	5	jeweils	jeweils	LINK
119	f29v.2#3	H29	f29v.2	3	chol	7	trocken	trocken	QUALITY
120	f29v.2#4	H29	f29v.2	4	chol	7	trocken	trocken	QUALITY
121	f29v.2#5	H29	f29v.2	5	cthy	5	Material A	Material A	THING
122	f29v.2#6	H29	f29v.2	6	chey	1	prüfe	Prüfung	ACTION
123	f29v.2#7	H29	f29v.2	7	cthold	1	grober A-Anteil	grober A-Anteil	THING
124	f29v.2#8	H29	f29v.2	8	ytchor	1	B-Anteil	B-Anteil	THING
125	f29v.2#9	H29	f29v.2	9	dary	1	getrennt	getrennt	LINK
126	f29v.3#1	H29	f29v.3	1	chol	7	trocken	trocken	QUALITY
127	f29v.3#2	H29	f29v.3	2	chol	7	trocken	trocken	QUALITY
128	f29v.3#3	H29	f29v.3	3	kor	1	mahle	Mahlen	ACTION
129	f29v.3#4	H29	f29v.3	4	shey	2	teile ab	Abteilen	ACTION
130	f29v.3#5	H29	f29v.3	5	odaiin	1	Pulverportion	Pulverportion	THING
131	f29v.3#6	H29	f29v.3	6	qotchy	2	trenne	Trennung	ACTION
132	f29v.3#7	H29	f29v.3	7	taiin	1	abgenommener Anteil	abgenommener Anteil	THING
133	f29v.3#8	H29	f29v.3	8	s	5	jeweils	jeweils	LINK
134	f29v.3#9	H29	f29v.3	9	she	2	lasse ruhen	Ruhenlassen	ACTION
135	f29v.3#10	H29	f29v.3	10	otey	1	bis	Zielbedingung	LINK
136	f29v.3#11	H29	f29v.3	11	sy	1	abgesetzt	abgesetzt	QUALITY
137	f29v.4#1	H29	f29v.4	1	ysho	1	zuletzt	Abschlusseintrag	LINK
138	f29v.4#2	H29	f29v.4	2	otshy	1	kühl	kühl	QUALITY
139	f29v.4#3	H29	f29v.4	3	okaiin	3	Gefäß	Gefäß	THING
140	f29v.4#4	H29	f29v.4	4	cthy	5	Material A	Material A	THING
141	f29v.4#5	H29	f29v.4	5	oltchy	1	lasse abkühlen	Abkühlenlassen	ACTION
142	f29v.4#6	H29	f29v.4	6	s	5	jeweils	jeweils	LINK
143	f29v.4#7	H29	f29v.4	7	shot	1	erwärme	Erwärmen	ACTION
144	f29v.4#8	H29	f29v.4	8	sho	4	Flüssigkeit	Flüssigkeit	THING
145	f29v.4#9	H29	f29v.4	9	okaiin	3	Gefäß	Gefäß	THING
