root	working_value_de	global_running_event_id	global_running_ordinal	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	card_ordinal	atom_ordinal_in_card	flat_atom_ordinal	leave_one_page_support_class	other_surface_pages	other_recipe_pages	unsupported_adjacent_pairs	working_core_reading_de	semantic_disposition
CH	NEHMEN	G407-E0007	7	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	1	1	1	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	T+R|R+E	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0007	7	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	T+R|R+E	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
R	MARKIEREN	G407-E0007	7	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	1	3	3	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	T+R|R+E	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0007	7	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	1	5	5	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	T+R|R+E	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0008	8	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	y	Y	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	NONE	POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0009	9	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	kor	K+OR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f88r	f76r|f88r	NONE	GEBEN · EINHEIT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OR	EINHEIT	G407-E0009	9	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	kor	K+OR	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f88r	f76r|f88r	NONE	GEBEN · EINHEIT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0010	10	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f18r|f89r	f18r|f89r	NONE	HALTEN · FORTSETZEN · HIER · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OL	FORTSETZEN	G407-E0010	10	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f18r|f89r	f18r|f89r	NONE	HALTEN · FORTSETZEN · HIER · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0010	10	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	1	4	4	EXACT_SURFACE_FROM_OTHER_PAGE	f18r|f89r	f18r|f89r	NONE	HALTEN · FORTSETZEN · HIER · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0011	11	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	1	1	1	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	WÄHLEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OR	EINHEIT	G407-E0011	11	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	WÄHLEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0011	11	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	WÄHLEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0012	12	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	1	1	1	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f72r|f75r	NONE	NEHMEN · GEBEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0012	12	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	1	2	2	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f72r|f75r	NONE	NEHMEN · GEBEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0012	12	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	1	3	3	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f72r|f75r	NONE	NEHMEN · GEBEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OR	EINHEIT	G407-E0013	13	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	or	OR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	NONE	EINHEIT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0014	14	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	y	Y	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	NONE	POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0015	15	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	kair	K+AIR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f81v	f81v	NONE	GEBEN · BAHN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIR	BAHN	G407-E0015	15	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	kair	K+AIR	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f81v	f81v	NONE	GEBEN · BAHN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0016	16	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	1	1	1	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f10r|f18r	NONE	NEHMEN · EINSTELLEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0016	16	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	1	2	2	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f10r|f18r	NONE	NEHMEN · EINSTELLEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIIN	WERT	G407-E0016	16	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	1	3	3	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f10r|f18r	NONE	NEHMEN · EINSTELLEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0017	17	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	shar	SH+AR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f89r|f95v	f89r|f95v	NONE	HALTEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0017	17	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	shar	SH+AR	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f89r|f95v	f89r|f95v	NONE	HALTEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0018	18	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · WÄHLEN · GRAD I	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0019	19	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0019	19	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0019	19	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	3	3	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0020	20	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0020	20	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0020	20	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	1	3	3	EXACT_SURFACE_FROM_OTHER_PAGE	f17r|f18r|f76r	f17r|f18r|f76r	NONE	NEHMEN · EINSTELLEN · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIN	ANTEIL	G407-E0021	21	f1r	SOURCE_SECTION_T	f1r.2	G404-S001	F1R_TEXT_BLOCK_A	dan	AIN	1	1	1	EXACT_RECIPE_FROM_OTHER_PAGE	NONE	f10r|f11r|f18r|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v	NONE	ANTEIL	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0022	22	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	1	1	1	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	Y+IIN	WÄHLEN · POSTEN · STUFE · MARKIEREN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0022	22	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	Y+IIN	WÄHLEN · POSTEN · STUFE · MARKIEREN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
R	MARKIEREN	G407-E0022	22	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	1	4	4	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	Y+IIN	WÄHLEN · POSTEN · STUFE · MARKIEREN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0023	23	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f71v|f82r	f71v|f82r	NONE	HALTEN · GRAD I · GEBEN · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0023	23	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	1	3	3	EXACT_SURFACE_FROM_OTHER_PAGE	f71v|f82r	f71v|f82r	NONE	HALTEN · GRAD I · GEBEN · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0023	23	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	1	4	4	EXACT_SURFACE_FROM_OTHER_PAGE	f71v|f82r	f71v|f82r	NONE	HALTEN · GRAD I · GEBEN · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OR	EINHEIT	G407-E0024	24	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	or	OR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	f10r|f17r|f18r|f24v|f55v|f67r2|f71v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	NONE	EINHEIT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0025	25	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f55v|f81v	f55v|f77r|f81v	NONE	POSTEN · GEBEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0025	25	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f55v|f81v	f55v|f77r|f81v	NONE	POSTEN · GEBEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIIN	WERT	G407-E0025	25	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	1	3	3	EXACT_SURFACE_FROM_OTHER_PAGE	f55v|f81v	f55v|f77r|f81v	NONE	POSTEN · GEBEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0026	26	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f24v	f24v	NONE	HALTEN · AUSFÜHRUNG · HIER	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0027	27	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	1	1	1	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0027	27	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0027	27	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	1	4	4	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0027	27	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	1	5	5	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
CH	NEHMEN	G407-E0028	28	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	1	1	1	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0028	28	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0028	28	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	1	4	4	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0029	29	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · AUSGANG · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIIN	WERT	G407-E0029	29	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · AUSGANG · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
