sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
11	H4-S002	H4	f55v	daiin chedy talam	AIIN | CHD+Y | AL+AM	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	OWNER|ACTIVE|TARGET	der ganzen breitblättrigen rispigen Bildpflanze	Arbeitsposten H4-1	Zielstelle H4-1	NICHT_BENÖTIGT	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1. Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	SINGLE_TRANSFER[H4-S002-U01] | SINGLE_STORE[H4-S002-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
12	H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen breitblättrigen rispigen Bildpflanze	Arbeitsposten H4-1	Zielstelle H4-1	Vorposten H4-1	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1; ‚das Vorige‘ bezeichnet Vorposten H4-1. Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	M18[H4-S003-U01+H4-S003-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
13	H4-S004	H4	f55v	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	OWNER|ACTIVE|PREVIOUS	der ganzen breitblättrigen rispigen Bildpflanze	Arbeitsposten H4-2	NICHT_BENÖTIGT	Vorposten H4-1	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-2; ‚das Vorige‘ bezeichnet Vorposten H4-1. Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	M06[H4-S004-U01+H4-S004-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
14	H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	OWNER|ACTIVE|TARGET	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-1	Zielstelle H5-1	NICHT_BENÖTIGT	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	SINGLE_PROCESS[H5-S001-U01] | SINGLE_SET[H5-S001-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
15	H5-S002	H5	f56r	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	OWNER|ACTIVE|TARGET	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-1	Zielstelle H5-1	NICHT_BENÖTIGT	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	M07[H5-S002-U01+H5-S002-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
16	H5-S003	H5	f56r	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-1	Zielstelle H5-2	Vorposten H5-1	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-2; ‚das Vorige‘ bezeichnet Vorposten H5-1. Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	SINGLE_HOLD[H5-S003-U01] | SINGLE_PROCESS[H5-S003-U02] | SINGLE_SET[H5-S003-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
17	H5-S004	H5	f56r	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-2	Zielstelle H5-3	Vorposten H5-1	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-1. Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	M19[H5-S004-U01+H5-S004-U02] | SINGLE_PROCESS[H5-S004-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
18	H5-S005	H5	f56r	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-2	Zielstelle H5-4	Vorposten H5-1	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-4; ‚das Vorige‘ bezeichnet Vorposten H5-1. Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	SINGLE_SET[H5-S005-U01] | SINGLE_APPLY[H5-S005-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
19	H5-S006	H5	f56r	otchey keol daiin	OT+Y | E+OL | AIIN	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	OWNER|ACTIVE|PREVIOUS	der ganzen mehrköpfigen stacheligen Bildpflanze	Arbeitsposten H5-3	NICHT_BENÖTIGT	Vorposten H5-2	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-2. Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	SINGLE_CONTINUE[H5-S006-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
20	B1-S001	B1	f81v	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-1	Zielstelle B1-1	NICHT_BENÖTIGT	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	SINGLE_SET[B1-S001-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
21	B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-1	Zielstelle B1-1	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	M19[B1-S002-U01+B1-S002-U02] | M01[B1-S002-U03+B1-S002-U04+B1-S002-U05] | M01[B1-S002-U06+B1-S002-U07+B1-S002-U08] | M08[B1-S002-U09+B1-S002-U10] | SINGLE_PASSAGE[B1-S002-U11] | SINGLE_TRANSFER[B1-S002-U12]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
22	B1-S003	B1	f81v	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	fortsetzen; im Arbeitsgang schwenken; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem gemeinsamen zweireihigen Becken	Arbeitsposten B1-2	Zielstelle B1-5	Vorposten B1-1	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	SINGLE_CONTINUE[B1-S003-U01] | SINGLE_HOLD[B1-S003-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
