event_id	statement_id	card_no	surface	component_recipe	statement_position	licensed_close
E210	B2-S013	PROC120	lchedy	L+CHD+DY	WHOLE	YES
E213	B2-S015	PROC100	qokeedy	OK+EE+DY	FINAL	YES
E221	B2-S016	PROC125	pchedy	P+CHD+DY	FINAL	YES
E223	B2-S017	PROC127	daldy	AL+DY	FINAL	YES
E224	B2-S018	PROC100	qokeedy	OK+EE+DY	WHOLE	YES
E225	B2-S019	PROC128	rshedy	R+SHED+DY	WHOLE	YES
E226	B2-S020	PROC129	qoteedy	OT+EE+DY	WHOLE	YES
E227	B2-S021	PROC100	qokeedy	OK+EE+DY	WHOLE	YES
E228	B2-S022	PROC130	lochedy	L+O+CHD+DY	WHOLE	YES
E229	B3-S001	PROC098	olkeedy	SOLK+EE+DY	WHOLE	YES
E231	B3-S002	PROC132	chkeedy	CHK+EE+DY	FINAL	YES
E235	B3-S003	PROC120	lchedy	L+CHD+DY	FINAL	YES
E239	B3-S005	PROC076	schedy	CHD+DY	WHOLE	YES
E242	B3-S006	PROC079	olchedy	OL+CHD+DY	FINAL	YES
E245	B3-S007	PROC100	qokeedy	OK+EE+DY	FINAL	YES
E246	B3-S008	PROC120	lchedy	L+CHD+DY	WHOLE	YES
E249	B3-S010	PROC135	otedy	OT+E+DY	FINAL	YES
E255	B3-S012	PROC078	shedy	SHED+DY	FINAL	YES
E259	B3-S013	PROC067	qokedy	OK+E+DY	FINAL	YES
E261	B3-S014	PROC139	sheedy	SH+EE+DY	FINAL	YES
E262	B3-S015	PROC120	lchedy	L+CHD+DY	WHOLE	YES
E264	B3-S016	PROC091	qokchedy	OK+CHD+DY	FINAL	YES
E265	B3-S017	PROC100	qokeedy	OK+EE+DY	WHOLE	YES
E266	B3-S018	PROC078	shedy	SHED+DY	WHOLE	YES
E267	B3-S019	PROC141	qokshedy	OK+SH+E+DY	WHOLE	YES
E269	B3-S020	PROC120	lchedy	L+CHD+DY	FINAL	YES
E280	B3-S021	PROC144	dalchdy	AL+CHD+DY	FINAL	YES
E281	B3-S022	PROC145	qotchedy	OT+CHD+DY	WHOLE	YES
E282	B3-S023	PROC120	lchedy	L+CHD+DY	WHOLE	YES
E283	B3-S024	PROC076	tchedy	CHD+DY	WHOLE	YES
E284	B3-S025	PROC082	qokchdy	OK+CHD+DY	WHOLE	YES
E291	B3-S026	PROC098	solkeedy	SOLK+EE+DY	FINAL	YES
E292	B3-S027	PROC129	qoteedy	OT+EE+DY	WHOLE	YES
E294	B3-S028	PROC067	qokedy	OK+E+DY	FINAL	YES
E297	B3-S029	PROC067	qokedy	OK+E+DY	FINAL	YES
E301	B3-S030	PROC145	otchedy	OT+CHD+DY	FINAL	YES
E302	B3-S031	PROC100	qokeedy	OK+EE+DY	WHOLE	YES
E307	B3-S032	PROC135	otedy	OT+E+DY	FINAL	YES
E308	B3-S033	PROC108	ldy	L+DY	WHOLE	YES
E314	B3-S034	PROC078	shedy	SHED+DY	FINAL	YES
E315	B4-S001	PROC100	qokeedy	OK+EE+DY	WHOLE	YES
E318	B4-S002	PROC067	qokedy	OK+E+DY	FINAL	YES
E325	B4-S003	PROC078	shedy	SHED+DY	FINAL	YES
E326	B4-S004	PROC155	qokylddy	OK+Y+LD+DY	WHOLE	YES
E329	B4-S005	PROC100	qokeedy	OK+EE+DY	FINAL	YES
E330	B4-S006	PROC099	shckhedy	SH+CKH+E+DY	WHOLE	YES
E331	B4-S007	PROC099	shckhedy	SH+CKH+E+DY	WHOLE	YES
E335	B4-S008	PROC067	qokedy	OK+E+DY	FINAL	YES
E336	B4-S009	PROC078	shedy	SHED+DY	WHOLE	YES
E337	B4-S010	PROC047	oldy	OL+DY	WHOLE	YES
E344	B4-S011	PROC159	lkedy	L+K+E+DY	FINAL	YES
E345	B4-S012	PROC120	lchedy	L+CHD+DY	WHOLE	YES
E347	B4-S013	PROC078	shedy	SHED+DY	FINAL	YES
E351	B4-S014	PROC162	dairydy	AIR+Y+DY	FINAL	YES
E357	B4-S015	PROC120	lchedy	L+CHD+DY	FINAL	YES
E361	B4-S016	PROC078	shedy	SHED+DY	FINAL	YES
E362	B5-S001	PROC166	otchdy	OT+CHD+DY	WHOLE	YES
E363	B5-S002	PROC082	qokchdy	OK+CHD+DY	WHOLE	YES
