card_no	surfaces	component_recipe	control_roots	portable_contributions_de	composed_reading_de	events	event_ids
PROC120	lchedy	L+CHD+DY	DY	SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	8	E210|E235|E246|E262|E269|E282|E345|E357
PROC124	ches	CH+E+S	CH+S	ABNEHMEN · TEILEN	ABNEHMEN · KURZ · TEILEN	1	E216
PROC125	pchedy	P+CHD+DY	DY	SCHLUSS	EINFUELLEN · UMSETZEN; SCHLUSS	1	E221
PROC127	daldy	AL+DY	DY	SCHLUSS	ZIELSTELLE; SCHLUSS	1	E223
PROC128	rshedy	R+SHED+DY	DY	SCHLUSS	KUEHLEN · ABSETZEN; SCHLUSS	1	E225
PROC129	qoteedy	OT+EE+DY	DY	SCHLUSS	DANACH · LANG; SCHLUSS	2	E226|E292
PROC130	lochedy	L+O+CHD+DY	O+DY	ARBEITSGANG · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	1	E228
PROC132	chkeedy	CHK+EE+DY	DY	SCHLUSS	WAERMEN · LANG; SCHLUSS	1	E231
PROC135	otedy	OT+E+DY	DY	SCHLUSS	DANACH · KURZ; SCHLUSS	2	E249|E307
PROC139	sheedy	SH+EE+DY	DY	SCHLUSS	HALTEN · LANG; SCHLUSS	1	E261
PROC140	lo	L+O	O	ARBEITSGANG	WEITERLEITEN · ARBEITSGANG	1	E263
PROC141	qokshedy	OK+SH+E+DY	DY	SCHLUSS	ANSETZEN · HALTEN · KURZ; SCHLUSS	1	E267
PROC144	dalchdy	AL+CHD+DY	DY	SCHLUSS	ZIELSTELLE · UMSETZEN; SCHLUSS	1	E280
PROC145	otchedy|qotchedy	OT+CHD+DY	DY	SCHLUSS	DANACH · UMSETZEN; SCHLUSS	2	E281|E301
PROC149	cheeety	EEE+T+Y	T	EINTRAGEN	VOLL · EINTRAGEN · ARBEITSPOSTEN	1	E296
PROC155	qokylddy	OK+Y+LD+DY	DY	SCHLUSS	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	1	E326
PROC159	lkedy	L+K+E+DY	DY	SCHLUSS	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	1	E344
PROC161	qockhey	O+CKH+E+Y	O	ARBEITSGANG	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	1	E350
PROC162	dairydy	AIR+Y+DY	DY	SCHLUSS	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	1	E351
PROC163	chckhal	CH+CKH+AL	CH	ABNEHMEN	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	1	E355
PROC166	otchdy	OT+CHD+DY	DY	SCHLUSS	DANACH · UMSETZEN; SCHLUSS	1	E362
