statement_id	page	record	refined_component_sequence	baseline_recipe_sequence	y_valent_recipe_sequence	observed_recipe_sequence_after_reveal	copied_y	baseline_cards	y_valent_cards	observed_cards	baseline_exact	y_valent_exact	newly_fixed	newly_harmed	residual_missing_occurrences	residual_extra_occurrences	rule
B1-S002	f81v	B1	AIIN+OK+AIR+K+AL+AR+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	1	14	14	19	NO	NO	NO	NO	AIIN+AL+AL+K+OK+OL+OL+OL	Y	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S008	f81v	B1	Y+OL+E+CHK+OL+SHED+DY	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	OL+Y | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	1	5	4	5	NO	NO	NO	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S011	f81v	B1	Y+CKH+OK	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y	CKH+Y | OK+Y	1	2	2	2	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S014	f81v	B1	Y+CHD+SOLK+AL+L+CHD+OL+OT+AR	CHD+Y | UNPACKED(SOLK) | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	1	5	5	5	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S004	f82r	B2	AL+OK+Y+CKH+L+CHD+EE+OK+E+CKH+L+DY	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | L+CKH+E+DY	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	1	6	5	5	NO	NO	NO	NO	L	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S005	f82r	B2	Y+AL+OK+AIIN+SOLK+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY	OK+AL+Y | SOLK+AIIN | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	2	8	7	8	NO	NO	NO	NO	AIIN+OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S006	f82r	B2	OT+EE+Y+AL+OK+E+CKH+SH+OK	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	2	6	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S012	f82r	B2	Y+L+CH+EE+SH+E+CTH+EE+OK+EE+L+AIIN+EEE+OK+DY	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	4	10	7	8	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S016	f82r	B2	AL+AR+L+CHD+E+CH+S+AIIN+OT+Y+EE+AIIN+E+OK+P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	1	9	8	8	NO	NO	NO	NO	OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S011	f83r	B3	E+CTH+Y+SH+CHD+OK+CHD+AR	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	2	4	4	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S021	f83r	B3	AIIN+OK+Y+CTH+AL+AIIN+SHED+E+CTH+SH+Y+AL+CTH+CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	1	9	9	11	NO	NO	NO	NO	AL+AL+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S026	f83r	B3	EE+AR+AIIN+L+Y+CHD+AIN+OK+CTH+OR+AL+R+EE+SOLK+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	1	7	7	7	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S034	f83r	B3	O+IIN+Y+CTH+T+OT+AIIN+AL+OL+SHED+DY	O+IIN | CTH+Y | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	2	7	6	6	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S008	f83r	B4	AIIN+Y+EE+CHK+EE+SH+E+OK+DY	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	1	4	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S015	f83r	B4	AIN+OK+Y+EE+SH+AIN+K+CKH+AL+CH+E+SOLK+L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	1	7	6	6	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B6-S001	f83r	B6	Y+EE+SOLK+E+K+AL+R+AIIN+OL+AIN+OR+AL+L	SOLK+EE+Y | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	1	8	7	9	NO	NO	NO	NO	E+OL+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
