statement_id	page	record	refined_component_sequence	baseline_recipe_sequence	y_valent_recipe_sequence	observed_recipe_sequence_after_reveal	copied_y	baseline_cards	y_valent_cards	observed_cards	baseline_exact	y_valent_exact	newly_fixed	newly_harmed	residual_missing_occurrences	residual_extra_occurrences	rule
B3-S011	f83r	B3	E+CTH+Y+SH+CHD+OK+CHD+AR	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	2	4	4	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S021	f83r	B3	AIIN+OK+Y+CTH+AL+AIIN+SHED+E+CTH+SH+Y+AL+CTH+CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	1	9	9	11	NO	NO	NO	NO	AL+AL+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S030	f83r	B3	Y+AIIN+OK+AIR+CHD+OT+CHD+DY	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	0	4	4	4	NO	NO	NO	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S032	f83r	B3	AIN+Y+CHD+OT+E+AIIN+OT+AIIN+E+DY	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	0	5	5	5	NO	NO	NO	NO	CHD+OT	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S002	f83r	B4	Y+OL+EE+OK+E+OK+DY	Y | OK+EE+OL | OK+E+DY	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	0	3	3	3	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S003	f83r	B4	Y+CHD+OT+AL+OT+Y+EE+OK+OL+OK+OL+SHED+DY	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	0	6	6	7	NO	NO	NO	NO	Y+Y	OL	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S014	f83r	B4	OR+Y+E+O+CKH+AIR+Y+DY	OR | O+CKH+E+Y | AIR+Y+DY	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	0	3	3	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S016	f83r	B4	AIN+OL+K+AL+AR+SHED+DY	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	0	4	4	4	NO	NO	NO	NO	K	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B5-S003	f83r	B5	AL+SHED+OL+L+OL+AL+CHD+AIIN+OL+DA+IIN+Y+CHD	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	0	8	8	9	NO	NO	NO	NO	AL	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B6-S001	f83r	B6	Y+EE+SOLK+E+K+AL+R+AIIN+OL+AIN+OR+AL+L	SOLK+EE+Y | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	1	8	7	9	NO	NO	NO	NO	E+OL+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
