page	locus	line_number	kind	paragraph_start	paragraph_end	reader_id	source_text	token_count	daiin_count	unknown_count	daiin_positions_1based	model_III	model_sehr
f32v	f32v.7	7	P	1	0	IT2a	ksho cphor she sheaiin otshchor dain shckhy s odan	9	0	9	[]	[ksho] [cphor] [she] [sheaiin] [otshchor] [dain] [shckhy] [s] [odan]	[ksho] [cphor] [she] [sheaiin] [otshchor] [dain] [shckhy] [s] [odan]
f32v	f32v.7	7	P	1	0	RF1b	ksho cphos she sheaiin otshcho r daii shckhy s odan	10	0	10	[]	[ksho] [cphos] [she] [sheaiin] [otshcho] [r] [daii] [shckhy] [s] [odan]	[ksho] [cphos] [she] [sheaiin] [otshcho] [r] [daii] [shckhy] [s] [odan]
f32v	f32v.8	8	P	0	0	ZL3b	otchol daiin daiin ctho daiin qotaiin otchy d shan	9	3	6	[2,3,5]	[otchol] III? III? [ctho] III? [qotaiin] [otchy] [d] [shan]	[otchol] sehr? sehr? [ctho] sehr? [qotaiin] [otchy] [d] [shan]
f32v	f32v.8	8	P	0	0	IT2a	otchol daiin daiin ctho daiin qotaiin otchy d shar	9	3	6	[2,3,5]	[otchol] III? III? [ctho] III? [qotaiin] [otchy] [d] [shar]	[otchol] sehr? sehr? [ctho] sehr? [qotaiin] [otchy] [d] [shar]
f32v	f32v.8	8	P	0	0	RF1b	otchol daiin daiin cthodaiin qotaiin otchy shan	7	2	5	[2,3]	[otchol] III? III? [cthodaiin] [qotaiin] [otchy] [shan]	[otchol] sehr? sehr? [cthodaiin] [qotaiin] [otchy] [shan]
f32v	f32v.9	9	P	0	0	ZL3b	qotchy cfhy skey chocthy daiin cthaiin daiin	7	2	5	[5,7]	[qotchy] [cfhy] [skey] [chocthy] III? [cthaiin] III?	[qotchy] [cfhy] [skey] [chocthy] sehr? [cthaiin] sehr?
f32v	f32v.9	9	P	0	0	IT2a	qotchy cfhy skey chocthy daiin cthaiin daiin	7	2	5	[5,7]	[qotchy] [cfhy] [skey] [chocthy] III? [cthaiin] III?	[qotchy] [cfhy] [skey] [chocthy] sehr? [cthaiin] sehr?
f32v	f32v.9	9	P	0	0	RF1b	qotchy cfhy skey chocthy daiin cthaiin daiin	7	2	5	[5,7]	[qotchy] [cfhy] [skey] [chocthy] III? [cthaiin] III?	[qotchy] [cfhy] [skey] [chocthy] sehr? [cthaiin] sehr?
f32v	f32v.10	10	P	0	0	ZL3b	sho keol chor chol daiin cpho l cthol da ar	10	1	9	[5]	[sho] [keol] [chor] [chol] III? [cpho] [l] [cthol] [da] [ar]	[sho] [keol] [chor] [chol] sehr? [cpho] [l] [cthol] [da] [ar]
f32v	f32v.10	10	P	0	0	IT2a	sho keol chor chol daiin cphol cthol da ar	9	1	8	[5]	[sho] [keol] [chor] [chol] III? [cphol] [cthol] [da] [ar]	[sho] [keol] [chor] [chol] sehr? [cphol] [cthol] [da] [ar]
f32v	f32v.10	10	P	0	0	RF1b	sho keol chor chol daiin cphol cthol da ar	9	1	8	[5]	[sho] [keol] [chor] [chol] III? [cphol] [cthol] [da] [ar]	[sho] [keol] [chor] [chol] sehr? [cphol] [cthol] [da] [ar]
f32v	f32v.11	11	P	0	1	ZL3b	ol sho chy	3	0	3	[]	[ol] [sho] [chy]	[ol] [sho] [chy]
f32v	f32v.11	11	P	0	1	IT2a	ol sho chy	3	0	3	[]	[ol] [sho] [chy]	[ol] [sho] [chy]
f32v	f32v.11	11	P	0	1	RF1b	ol sho chy	3	0	3	[]	[ol] [sho] [chy]	[ol] [sho] [chy]
