context_id	global_running_event_id	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	atom_count	contains_S	contains_O	contains_R	has_S_plus_O	has_O_plus_DA	has_DA_plus_R	is_exact_S_O_DA_R	surface_status	admission_color
G483-D011	G407-E0951	f67r2	CELESTIAL	f67r2.33	P1009-S036	zwei getrennte Himmelsräder und Tabelle	odal	O+DA+L	AUSFÜHRUNG · ZWEITE STUFE · VERBINDUNG	3	NO	YES	NO	NO	YES	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D012	G407-E0980	f67r2	CELESTIAL	f67r2.45	P1009-S039	zwei getrennte Himmelsräder und Tabelle	odaiiin	O+DA+LOCAL_CHAR_I+IIN	AUSFÜHRUNG · ZWEITE STUFE · VARIANTE · STUFE	4	NO	YES	NO	NO	YES	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D013	G407-E0991	f67r2	CELESTIAL	f67r2.51	P1009-S040	zwei getrennte Himmelsräder und Tabelle	dadaiin	DA+D_ADDR+AIIN	ZWEITE STUFE · HIER · WERT	3	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D014	G407-E1053	f68r1	CELESTIAL	f68r1.3	P1009-S044	mehrteilige Sternstellentafel	daram	DA+R+A_ADDR+AM_ADDR	ZWEITE STUFE · MARKIEREN · HIER · HIER	4	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D015	G407-E1057	f68r1	CELESTIAL	f68r1.6	P1009-S044	mehrteilige Sternstellentafel	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D016	G407-E1449	f75r	BIOLOGICAL	f75r.4	P1009-S075	großes Bad-/Stationsblatt mit dreieckiger Insel	dackhy	DA+CH+K+Y	ZWEITE STUFE · NEHMEN · GEBEN · POSTEN	4	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D017	G407-E2586	f77r	BIOLOGICAL	f77r.32	P1009-S360	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D018	G407-E2643	f77r	BIOLOGICAL	f77r.40	P1009-S373	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	daiiin	DA+IIN	ZWEITE STUFE · STUFE	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D019	G407-E2700	f77r	BIOLOGICAL	f77r.46	P1009-S382	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dag	DA+LOCAL_CHAR_G	ZWEITE STUFE · VARIANTE	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D020	G407-E2710	f77r	BIOLOGICAL	f77r.47	P1009-S382	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D021	G407-E2712	f77r	BIOLOGICAL	f77r.48	P1009-S382	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	sodar	S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	4	YES	YES	YES	YES	YES	YES	YES	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D022	G407-E3011	f81v	BIOLOGICAL	f81v.9	P1009-S396	gemeinsames zweireihiges Badfeld	daiidy	DA+IIN+DY	ZWEITE STUFE · STUFE · SCHLUSS	3	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D023	G407-E3045	f81v	BIOLOGICAL	f81v.13	P1009-S406	gemeinsames zweireihiges Badfeld	ykeday	Y+K+E+DA+Y	POSTEN · GEBEN · GRAD I · ZWEITE STUFE · POSTEN	5	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D024	G407-E3303	f82r	BIOLOGICAL	f82r.16	P1009-S463	mehrere getrennte Bad- und Leitungsstationen	dam	DA+AM_ADDR	ZWEITE STUFE · HIER	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D025	G407-E3577	f83r	BIOLOGICAL	f83r.13	P1009-S531	Variantenatlas lokaler Becken und Anwendungen	ldar	L+DA+R	VERBINDUNG · ZWEITE STUFE · MARKIEREN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D026	G407-E3611	f83r	BIOLOGICAL	f83r.18	P1009-S539	Variantenatlas lokaler Becken und Anwendungen	pdalshdy	P+DA+L+SH+D_ADDR+Y	EINSETZEN · ZWEITE STUFE · VERBINDUNG · HALTEN · HIER · POSTEN	6	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D027	G407-E3778	f83r	BIOLOGICAL	f83r.49	P1009-S588	Variantenatlas lokaler Becken und Anwendungen	daiiin	DA+IIN	ZWEITE STUFE · STUFE	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D028	G407-E3897	f88r	PHARMA	f88r.27	P1009-S594	sechzehn Drogenposten und drei Gefäßansätze	oldal	OL+DA+L	FORTSETZEN · ZWEITE STUFE · VERBINDUNG	3	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D029	G407-E4019	f88v	PHARMA	f88v.21	P1009-S604	zweite Gefaess-/Zutatengruppe	dam	DA+AM_ADDR	ZWEITE STUFE · HIER	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D030	G407-E4040	f88v	PHARMA	f88v.23	P1009-S605	zweite Gefaess-/Zutatengruppe	daimd	DA+IIN+M_LOCAL+D_ADDR	ZWEITE STUFE · STUFE · HIER · HIER	4	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D031	G407-E4088	f89r	PHARMA	f89r1.8	P1009-S610	Gefäß-/Pflanzenteilgruppe A	dam	DA+AM_ADDR	ZWEITE STUFE · HIER	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D032	G407-E4135	f89r	PHARMA	f89r1.17	P1009-S612	Gefäß-/Pflanzenteilgruppe B	dam	DA+AM_ADDR	ZWEITE STUFE · HIER	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D033	G407-E4150	f89r	PHARMA	f89r1.19	P1009-S614	Gefäß-/Pflanzenteilgruppe C	ydam	Y+DA+AM_ADDR	POSTEN · ZWEITE STUFE · HIER	3	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D034	G407-E4162	f89r	PHARMA	f89r1.21	P1009-S614	Gefäß-/Pflanzenteilgruppe C	dam	DA+AM_ADDR	ZWEITE STUFE · HIER	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D035	G407-E4343	f89r	PHARMA	f89r2.25	P1009-S627	Gefäß-/Pflanzenteilgruppe F	daiiin	DA+IIN	ZWEITE STUFE · STUFE	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
